GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "24000","Maryland",2,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",2935441,3007654,3092125,3119857,3156648,3191309,3247756,3310820,3378396,3440607,3430882,3359485,3345423,3394831,3438880,3493921,3537654,3602936,3659061,3695331,3750678,3742829,3536398
 "24000","Maryland",2,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",2465749,2527328,2581832,2595859,2616683,2620444,2643093,2673393,2708827,2725907,2714463,2633448,2622550,2647062,2683738,2702351,2727240,2766847,2806521,2832430,2858858,2879035,2689103
 "24000","Maryland",2,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",469692,480326,510293,523998,539965,570865,604663,637427,669569,714700,716419,726037,722873,747769,755142,791570,810414,836089,852540,862901,891820,863794,847295
 "24000","Maryland",2,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",12532,12347,12368,12200,11618,11069,10782,10716,10379,10989,10973,10800,10805,10783,10592,10853,10860,10958,11143,11066,11044,11045,11036
 "24000","Maryland",2,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",457160,467979,497925,511798,528347,559796,593881,626711,659190,703711,705446,715237,712068,736986,744550,780717,799554,825131,841397,851835,880776,852749,836259
 "24000","Maryland",2,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",17450,18005,18976,18633,18197,16633,16137,15845,15675,15971,15409,15104,15552,15527,17067,16826,17276,17172,18642,19410,18098,17512,16486
 "24000","Maryland",2,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",2917991,2989649,3073149,3101224,3138451,3174676,3231619,3294975,3362721,3424636,3415473,3344381,3329871,3379304,3421813,3477095,3520378,3585764,3640419,3675921,3732580,3725317,3519912
 "24000","Maryland",2,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",2409200,2478934,2556816,2582084,2604071,2640326,2704315,2764990,2825543,2882477,2864124,2787083,2765950,2811725,2852392,2908592,2953505,3019070,3070946,3105239,3161501,3154685,2959169
 "24000","Maryland",2,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",7248,7024,6733,6412,7400,6438,6782,6890,6787,6554,6591,6390,6353,6027,6165,6300,6631,6233,6571,6517,6666,6729,6501
 "24000","Maryland",2,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",1039,1014,859,809,807,757,795,959,912,729,729,611,527,565,675,683,639,682,705,647,660,630,607
 "24000","Maryland",2,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",3009,2853,2778,2431,2922,2235,2495,2542,2535,2363,2305,2249,2249,2105,2140,2224,2303,2064,2234,2137,2204,2405,2443
 "24000","Maryland",2,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",3200,3157,3096,3172,3671,3446,3492,3389,3340,3462,3557,3530,3577,3357,3350,3393,3689,3487,3632,3733,3802,3694,3451
 "24000","Maryland",2,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",2744,2735,2693,3000,2623,2941,2823,3092,3353,3526,4044,3853,4343,3828,4956,4993,4528,4873,4710,4012,3141,2885,2709
 "24000","Maryland",2,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),(D),(D),(D),(D),1162,1325,1348,1960,(D),(D),(D),(D),3053,(D),(D),2867,(D),(D),1285,(D)
 "24000","Maryland",2,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",1580,1553,1578,1625,1410,1430,1458,1509,1541,1646,1574,1378,1380,1292,1594,1235,1225,1286,1267,1580,1384,1271,1247
 "24000","Maryland",2,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),421,487,532,510,(D),(D),(D),(D),705,(D),(D),576,(D),(D),329,(D)
 "24000","Maryland",2,SAEMP25N,300,"22","   Utilities","Number of jobs",11629,11473,11480,11156,10221,10267,10104,10111,10156,10469,10979,10624,10341,10707,10856,10710,10671,10803,11719,10683,10613,10543,10653
 "24000","Maryland",2,SAEMP25N,400,"23","   Construction","Number of jobs",188694,196559,205264,214351,214519,221321,234269,246735,254688,254984,241834,214261,201135,201067,205908,217667,220082,225166,236260,235512,241175,238614,235683
 "24000","Maryland",2,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",41057,43979,46120,48530,50370,50151,52838,55779,57350,55889,52665,44610,42122,40752,42784,45713,47183,51980,54858,53443,55601,54972,55086
 "24000","Maryland",2,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",18378,18938,19069,18457,18495,19282,19824,20211,20239,20130,19756,18573,16934,16950,17108,17751,18686,19683,21421,21802,19734,20086,19916
 "24000","Maryland",2,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",129259,133642,140075,147364,145654,151888,161607,170745,177099,178965,169413,151078,142079,143365,146016,154203,154213,153503,159981,160267,165840,163556,160681
 "24000","Maryland",2,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",181369,178319,179005,174404,162277,152933,149065,145593,141823,139163,135453,126910,122311,121135,117583,116811,113659,114258,114811,117779,120503,121895,118155
 "24000","Maryland",2,SAEMP25N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",98031,95936,96587,94666,86916,81119,79314,77214,75214,74979,73359,68515,65666,64747,62382,61401,58687,60161,60472,61973,63701,63493,61642
 "24000","Maryland",2,SAEMP25N,511,"321","     Wood product manufacturing","Number of jobs",4597,4869,4851,4722,4356,4397,4493,4483,4132,3685,3261,2781,2448,(D),(D),2621,2660,2672,2934,2992,2927,2960,2990
 "24000","Maryland",2,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",6216,6206,6208,6143,5852,5380,5333,5477,5291,5058,4838,4096,3810,4036,3947,4224,4345,4592,4861,4516,4541,4422,4251
 "24000","Maryland",2,SAEMP25N,513,"331","     Primary metal manufacturing","Number of jobs",8922,7441,7074,6305,5724,5131,4486,4161,3683,3646,3648,3306,2917,2861,2135,755,837,965,1001,866,884,962,920
 "24000","Maryland",2,SAEMP25N,514,"332","     Fabricated metal product manufacturing","Number of jobs",12634,12593,12840,12233,11005,10213,9964,10284,10304,10331,10696,10084,9222,8719,8707,8760,8592,8695,8447,8739,8722,8912,8375
 "24000","Maryland",2,SAEMP25N,515,"333","     Machinery manufacturing","Number of jobs",13731,13327,12809,12337,10781,9426,9095,8014,8104,8034,7766,7041,6673,6708,6814,6816,6795,7224,6898,7283,7544,7642,7005
 "24000","Maryland",2,SAEMP25N,516,"334","     Computer and electronic product manufacturing","Number of jobs",27975,28107,29331,30187,26583,24060,23656,22842,22122,22290,22049,21521,21553,20905,19509,19013,18238,18395,18330,19552,20933,21025,20694
 "24000","Maryland",2,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",2717,2600,2878,3099,2433,2229,2247,2362,2322,2354,2353,2079,1940,2023,2058,2059,2025,2327,2327,2290,2287,2180,2158
 "24000","Maryland",2,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",5575,5009,5130,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),977,1021,972,(D),(D),(D)
 "24000","Maryland",2,SAEMP25N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",5263,5135,4869,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6929,6447,(D),(D),3926,3550,3375,(D),(D),(D)
 "24000","Maryland",2,SAEMP25N,521,"337","     Furniture and related product manufacturing","Number of jobs",4893,5195,5036,4965,4610,4352,4316,4408,4593,4351,4085,3513,3250,3446,3555,3908,3968,4205,4487,4466,4407,4312,3933
 "24000","Maryland",2,SAEMP25N,522,"339","     Miscellaneous manufacturing","Number of jobs",5508,5454,5561,5456,5702,5788,5646,5946,6232,6805,6639,6177,5922,5714,5886,6031,6123,6183,6616,6922,6810,6627,6374
 "24000","Maryland",2,SAEMP25N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",83338,82383,82418,79738,75361,71814,69751,68379,66609,64184,62094,58395,56645,56388,55201,55410,54972,54097,54339,55806,56802,58402,56513
 "24000","Maryland",2,SAEMP25N,531,"311","     Food manufacturing","Number of jobs",19284,18649,18349,17859,17976,17226,16372,16546,16468,16314,16584,16270,15633,15816,15612,15768,16257,16391,16507,17095,17288,18636,18475
 "24000","Maryland",2,SAEMP25N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",4218,4104,4257,4539,4805,4716,4556,4544,4367,3965,3875,3718,3628,3585,3416,3091,3153,3137,3467,3564,3931,4136,4106
 "24000","Maryland",2,SAEMP25N,533,"313","     Textile mills","Number of jobs",2189,2153,2370,2354,2078,1915,1735,1652,1536,1359,1127,932,981,988,616,635,589,541,493,487,442,420,356
 "24000","Maryland",2,SAEMP25N,534,"314","     Textile product mills","Number of jobs",1136,1143,1150,1160,1237,1230,1203,1112,1016,1064,991,942,918,957,943,911,912,929,918,936,984,859,795
 "24000","Maryland",2,SAEMP25N,535,"315","     Apparel manufacturing","Number of jobs",4734,4166,3548,3206,2866,2393,2381,2246,2202,2014,1839,1934,1783,1878,2102,2329,2233,2050,1873,1745,1371,1498,1314
 "24000","Maryland",2,SAEMP25N,536,"316","     Leather and allied product manufacturing","Number of jobs",1726,1655,1594,1375,1307,1132,(D),657,233,217,201,182,192,239,239,206,242,257,280,281,325,340,345
 "24000","Maryland",2,SAEMP25N,537,"322","     Paper manufacturing","Number of jobs",5735,6187,6274,6021,5638,5401,5245,5321,5262,4834,4256,3725,3502,3165,2767,2797,2846,2826,2645,2692,2729,2454,1939
 "24000","Maryland",2,SAEMP25N,538,"323","     Printing and related support activities","Number of jobs",19540,19425,19800,18649,16810,15788,15192,14672,14239,13731,12720,11145,10339,9547,9356,9074,8686,8327,8854,8690,8573,8367,7467
 "24000","Maryland",2,SAEMP25N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",915,915,954,980,979,980,(D),1014,1020,880,773,720,702,733,863,902,880,865,861,894,878,899,779
 "24000","Maryland",2,SAEMP25N,541,"325","     Chemical manufacturing","Number of jobs",14683,14642,14816,14699,13368,13111,13050,12703,12437,12848,12728,12340,12486,13071,12814,13268,12933,12654,12488,13588,14123,14484,14715
 "24000","Maryland",2,SAEMP25N,542,"326","     Plastics and rubber products manufacturing","Number of jobs",9178,9344,9306,8896,8297,7922,8147,7912,7829,6958,7000,6487,6481,6409,6473,6429,6241,6120,5953,5834,6158,6309,6222
 "24000","Maryland",2,SAEMP25N,600,"42","   Wholesale trade","Number of jobs",97194,98149,100774,101599,100906,99392,101194,103282,104746,104377,101804,96457,94299,95776,95340,95464,99168,100752,95334,95403,94803,95230,90167
 "24000","Maryland",2,SAEMP25N,700,"44-45","   Retail trade","Number of jobs",342490,344502,352221,349523,348220,349903,353173,358329,359833,362543,350624,334361,330859,337724,340102,341932,345019,348697,347349,346833,342205,333756,309217
 "24000","Maryland",2,SAEMP25N,701,"441","    Motor vehicle and parts dealers","Number of jobs",35996,36758,38169,39113,41228,41498,42138,42231,41579,41847,39826,35708,35615,36198,37134,37635,38350,39547,40133,40655,40572,40445,37112
 "24000","Maryland",2,SAEMP25N,702,"442","    Furniture and home furnishings stores","Number of jobs",11362,11843,12028,12246,12267,13017,13755,13792,13888,13537,12497,11118,10534,10616,10473,10179,10782,10952,10958,11196,10569,9936,8342
 "24000","Maryland",2,SAEMP25N,703,"443","    Electronics and appliance stores","Number of jobs",12364,12568,12714,12170,11431,11699,12033,12354,12730,12656,11873,9713,10147,10709,10398,9857,9530,9865,9617,9335,8755,8313,7577
