GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "38000","North Dakota",4,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",434930,435651,440643,445433,442537,443699,453086,461645,471138,482505,491898,492417,503813,529779,567388,587398,606989,597642,576704,573149,578319,581932,550696
 "38000","North Dakota",4,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",336527,340001,342387,344694,345912,347433,355611,361718,369207,375055,383039,381991,392040,412875,447229,463244,480657,471445,450498,447540,451273,457598,430442
 "38000","North Dakota",4,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",98403,95650,98256,100739,96625,96266,97475,99927,101931,107450,108859,110426,111773,116904,120159,124154,126332,126197,126206,125609,127046,124334,120254
 "38000","North Dakota",4,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",32745,31944,31865,31963,28244,26833,26249,26127,25615,26867,26927,26856,26923,27000,26795,26956,25219,24630,23817,23301,23074,23077,22971
 "38000","North Dakota",4,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",65658,63706,66391,68776,68381,69433,71226,73800,76316,80583,81932,83570,84850,89904,93364,97198,101113,101567,102389,102308,103972,101257,97283
 "38000","North Dakota",4,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",38221,37674,36887,37284,33141,30517,31095,31354,30226,31998,32145,31243,31652,32316,33055,33555,32511,29779,28666,28606,28474,29158,29603
 "38000","North Dakota",4,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",396709,397977,403756,408149,409396,413182,421991,430291,440912,450507,459753,461174,472161,497463,534333,553843,574478,567863,548038,544543,549845,552774,521093
 "38000","North Dakota",4,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",320354,322065,327023,330948,330134,332797,341043,349577,359308,369310,379254,378170,387382,413286,448759,467719,488595,480189,459109,455946,461441,463705,433780
 "38000","North Dakota",4,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",4294,3978,3931,3256,3589,3259,3365,3364,3262,3558,3860,4110,4401,4496,4633,4656,4960,4578,4784,4923,4980,4812,4792
 "38000","North Dakota",4,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "38000","North Dakota",4,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",3724,3436,3410,2986,3284,2998,3078,3062,2960,3278,3580,3860,4145,4262,4364,4385,4715,4355,4530,4692,4716,4533,4514
 "38000","North Dakota",4,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",4255,3852,3974,4227,3855,4121,4349,4986,5714,6348,9143,9081,13858,20191,30046,32682,36529,30294,23099,24261,25582,25686,18874
 "38000","North Dakota",4,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",1227,1159,1123,1179,941,1151,1120,1228,1325,1380,2250,2410,3514,3798,5654,7275,7967,8782,9133,7230,6233,6148,5552
