GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "33000","New Hampshire",1,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",743341,760763,783545,788168,788484,797648,812823,825600,835582,848001,844862,820809,813707,818789,824361,835032,844499,860657,873126,882318,892444,890266,846181
 "33000","New Hampshire",1,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",604077,620478,637473,640657,635883,637305,643788,648879,655750,658831,656967,633060,629907,633733,640426,647086,655526,666438,676230,682376,689029,696214,653928
 "33000","New Hampshire",1,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",139264,140285,146072,147511,152601,160343,169035,176721,179832,189170,187895,187749,183800,185056,183935,187946,188973,194219,196896,199942,203415,194052,192253
 "33000","New Hampshire",1,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",3089,3076,3078,3264,3481,3404,3328,3327,3265,3983,3979,3997,4048,4041,4071,4124,4033,4015,3961,3871,3851,3851,3849
 "33000","New Hampshire",1,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",136175,137209,142994,144247,149120,156939,165707,173394,176567,185187,183916,183752,179752,181015,179864,183822,184940,190204,192935,196071,199564,190201,188404
 "33000","New Hampshire",1,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",4760,4691,4718,4882,5045,4992,4630,4577,4396,5066,5159,5137,5173,5270,5521,5782,5697,5673,5509,5215,5164,5171,5110
 "33000","New Hampshire",1,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",738581,756072,778827,783286,783439,792656,808193,821023,831186,842935,839703,815672,808534,813519,818840,829250,838802,854984,867617,877103,887280,885095,841071
 "33000","New Hampshire",1,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",657419,673209,692161,695243,692225,699318,716337,729122,737593,748254,744061,719441,710810,718207,723916,734560,743707,760137,773318,783176,793143,790647,750241
 "33000","New Hampshire",1,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",3765,3721,3466,3445,3591,3113,3238,3347,3172,3226,3305,3091,2943,2952,3298,3298,3289,3190,3199,2991,2991,2834,2848
 "33000","New Hampshire",1,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",1936,2003,1849,1825,1695,1497,1561,1753,1669,1665,1704,1518,1360,1417,1746,1757,1640,1753,1691,1427,1425,1329,1314
 "33000","New Hampshire",1,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),486,426,497,395,444,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",1286,1220,1131,1194,1399,1221,1233,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",628,638,606,882,779,905,922,950,1023,1268,1311,1176,1369,1221,1697,1582,1556,1618,1737,1533,1232,1165,1096
 "33000","New Hampshire",1,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),178,177,225,191,213,264,280,407,398,505,(D),514,535,564,599,659,385,267,349,218
