GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "40000","Oklahoma",6,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",1938705,1953349,1994373,2009183,1987464,1971242,1998008,2043018,2095927,2149852,2186554,2136548,2130128,2158874,2211773,2248291,2272885,2287598,2286923,2291751,2311760,2309792,2225399
 "40000","Oklahoma",6,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",1516388,1532662,1563936,1577432,1556369,1524583,1543494,1573687,1616318,1645544,1673566,1618778,1605946,1624865,1657282,1679717,1699513,1705781,1689117,1696124,1720692,1741220,1667511
 "40000","Oklahoma",6,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",422317,420687,430437,431751,431095,446659,454514,469331,479609,504308,512988,517770,524182,534009,554491,568574,573372,581817,597806,595627,591068,568572,557888
 "40000","Oklahoma",6,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",86745,87469,88277,86922,81330,79462,77683,77348,75885,78742,77512,76397,75988,74760,73037,73334,73366,72428,72747,71760,70650,70647,70610
 "40000","Oklahoma",6,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",335572,333218,342160,344829,349765,367197,376831,391983,403724,425566,435476,441373,448194,459249,481454,495240,500006,509389,525059,523867,520418,497925,487278
 "40000","Oklahoma",6,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",97567,97464,100194,101315,93577,89220,89600,88952,86575,90862,90215,87796,85474,83507,83485,84732,83139,78227,80147,78934,76932,78171,81298
 "40000","Oklahoma",6,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",1841138,1855885,1894179,1907868,1893887,1882022,1908408,1954066,2009352,2058990,2096339,2048752,2044654,2075367,2128288,2163559,2189746,2209371,2206776,2212817,2234828,2231621,2144101
 "40000","Oklahoma",6,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",1520754,1532259,1563746,1573104,1553987,1547025,1567144,1605481,1651320,1696309,1727625,1669462,1664107,1703287,1760189,1792945,1820331,1837877,1835588,1842864,1866779,1855633,1774557
 "40000","Oklahoma",6,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",9130,8689,8214,7659,8463,7782,8277,8356,8267,8731,8910,8743,8833,8750,8824,8859,9355,8802,9287,9523,9930,10047,9595
 "40000","Oklahoma",6,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",1103,1121,1022,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",7281,6909,6545,6201,6836,6371,6763,6724,6687,7197,7372,7366,7512,7415,7388,7375,7878,7360,7723,8119,8482,8596,8144
 "40000","Oklahoma",6,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",57887,55643,52776,58320,54173,62004,59156,63790,73844,81482,100966,91323,105136,102749,131507,139586,138011,136033,133274,122696,108089,94414,75472
 "40000","Oklahoma",6,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",41983,40194,37354,40134,36836,42194,37936,39976,45322,47616,63005,62782,75610,67489,88166,97030,93052,98325,102004,82743,65275,56655,52223
 "40000","Oklahoma",6,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",2638,2567,2652,2560,2428,2473,2328,2493,2690,3269,3191,2795,2855,2805,3636,3324,3301,3248,3620,4287,3718,3399,3318
