GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "97000","Rocky Mountain",7,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",5620655,5752111,5952793,6006793,6002340,6023298,6166380,6370711,6589192,6847953,6895480,6685768,6634557,6760523,6881972,7054731,7252207,7456232,7642515,7837051,8056893,8155222,7923636
 "97000","Rocky Mountain",7,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",4444483,4572673,4721803,4759968,4721615,4704369,4790309,4919602,5083671,5218546,5245857,5002482,4961577,5037773,5151756,5283957,5434490,5584287,5707426,5844056,5993484,6142943,5946556
 "97000","Rocky Mountain",7,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",1176172,1179438,1230990,1246825,1280725,1318929,1376071,1451109,1505521,1629407,1649623,1683286,1672980,1722750,1730216,1770774,1817717,1871945,1935089,1992995,2063409,2012279,1977080
 "97000","Rocky Mountain",7,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",103770,103809,104910,106252,107544,102392,99019,97475,94967,103895,103726,104224,104859,105511,103529,104148,105758,107068,107638,108115,107536,106923,107022
 "97000","Rocky Mountain",7,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",1072402,1075629,1126080,1140573,1173181,1216537,1277052,1353634,1410554,1525512,1545897,1579062,1568121,1617239,1626687,1666626,1711959,1764877,1827451,1884880,1955873,1905356,1870058
 "97000","Rocky Mountain",7,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",148655,147217,152944,152639,150717,147402,142703,140075,137495,142422,144247,142703,144283,147329,146864,148370,149831,150764,152582,161082,154766,155679,154714
 "97000","Rocky Mountain",7,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",5472000,5604894,5799849,5854154,5851623,5875896,6023677,6230636,6451697,6705531,6751233,6543065,6490274,6613194,6735108,6906361,7102376,7305468,7489933,7675969,7902127,7999543,7768922
 "97000","Rocky Mountain",7,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",4647118,4766188,4939678,4981896,4956922,4972416,5114501,5311137,5525284,5766019,5790995,5565411,5500476,5620424,5739510,5902439,6091000,6282797,6451069,6621325,6836322,6912137,6695883
 "97000","Rocky Mountain",7,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",41120,38871,35923,32905,36085,33229,34479,34604,34250,36047,37059,36524,36959,37167,38288,39202,40944,39563,40627,(D),43379,42571,(D)
 "97000","Rocky Mountain",7,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",8117,8148,7431,7025,(D),(D),(D),6637,6316,6212,5789,4683,(D),(D),(D),5261,(D),5351,(D),4690,4840,4556,(D)
 "97000","Rocky Mountain",7,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",4113,3832,3570,2823,(D),(D),(D),3517,3561,3607,3771,3536,(D),(D),(D),3931,(D),3669,(D),(D),4325,4772,(D)
 "97000","Rocky Mountain",7,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",28890,26891,24922,23057,25744,24243,24518,24450,24373,26228,27499,28305,29070,29417,29730,30010,31901,30543,31274,33128,34214,33243,32971
 "97000","Rocky Mountain",7,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",61078,58293,57977,62492,59676,63998,66697,74378,87142,98742,114037,100863,109835,111764,135242,135061,136628,130557,119928,113444,104134,98749,84509
 "97000","Rocky Mountain",7,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",20958,19925,19047,(D),(D),(D),(D),(D),26725,29264,(D),38794,46607,41457,52767,59358,58184,60198,61657,48398,40080,36831,33728
 "97000","Rocky Mountain",7,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",27391,26912,25704,25528,24222,23946,24371,25476,27794,31228,31872,29977,30430,31395,37592,33891,32924,32724,30960,32361,29366,28066,27753
