GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "98000","Far West",8,SAEMP25S,10,"...","Total employment (number of jobs)","Number of jobs",12295133,12312679,12300440,12741867,13404810,13865186,14103317,14624671,15286900,16248244,17133143,17522961,17693436,17563866,17989335,18767176,19392296,19959241,20793417,21789995,22453167,23122164,23124075,22824741,22934116,23379760,23938234,24579913,25148613,26089122,26658867,27241357,27368668
 "98000","Far West",8,SAEMP25S,20,"..."," Wage and salary employment","Number of jobs",10705982,10689491,10641446,10973167,11548134,11886243,12021772,12453781,13032760,13961857,14717511,14952400,15118481,14843803,15067097,15808144,16306922,16753120,17396698,18076918,18696189,19189708,18848889,18631724,18620867,18905478,19331265,19836164,20345996,21024810,21606960,22203631,22309853
 "98000","Far West",8,SAEMP25S,40,"..."," Proprietors employment","Number of jobs",1589151,1623188,1658994,1768700,1856676,1978943,2081545,2170890,2254140,2286387,2415632,2570561,2574955,2720063,2922238,2959032,3085374,3206121,3396719,3713077,3756978,3932456,4275186,4193017,4313249,4474282,4606969,4743749,4802617,5064312,5051907,5037726,5058815
 "98000","Far West",8,SAEMP25S,50,"...","  Farm proprietors employment","Number of jobs",150788,149342,149034,146999,147503,146834,146844,148640,150522,156663,160343,164039,168879,167522,177667,175349,176447,174504,171473,170314,172614,171112,168682,168771,172799,171600,172803,171658,173864,176593,176161,176036,165239
 "98000","Far West",8,SAEMP25S,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",1438363,1473846,1509960,1621701,1709173,1832109,1934701,2022250,2103618,2129724,2255289,2406522,2406076,2552541,2744571,2783683,2908927,3031617,3225246,3542763,3584364,3761344,4106504,4024246,4140450,4302682,4434166,4572091,4628753,4887719,4875746,4861690,4893576
 "98000","Far West",8,SAEMP25S,70,"[01-02]"," Farm employment","Number of jobs",395333,408650,411136,415571,429003,453407,476321,480712,456969,425663,452073,445560,442187,431825,463806,432603,411091,398242,402092,433747,436893,428244,434253,402151,425002,423526,446122,460968,444936,502670,533500,491557,456145
 "98000","Far West",8,SAEMP25S,80,"..."," Nonfarm employment","Number of jobs",11899800,11904029,11889304,12326296,12975807,13411779,13626996,14143959,14829931,15822581,16681070,17077401,17251249,17132041,17525529,18334573,18981205,19560999,20391325,21356248,22016274,22693920,22689822,22422590,22509114,22956234,23492112,24118945,24703677,25586452,26125367,26749800,26912523
 "98000","Far West",8,SAEMP25S,90,"...","  Private nonfarm employment","Number of jobs",9319352,9304786,9296533,9737592,10343510,10704054,10839080,11343701,12012196,12944766,13754626,14070200,14254800,14144081,14523385,15291602,15862373,16375615,17120400,18013460,18589542,19168870,19145513,18872126,18987853,19435887,19962439,20575316,21144083,21987631,22440535,22956447,23049661
 "98000","Far West",8,SAEMP25S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",119638,124627,129542,144501,158334,168203,185010,200788,211270,242625,265116,284070,277863,280233,298847,316798,333230,345785,341639,358581,367294,383382,386148,383397,415899,440708,453355,481657,484749,482603,500241,502463,497353
 "98000","Far West",8,SAEMP25S,110,"07","    Agricultural services","Number of jobs",99508,104429,108695,123593,135088,145156,158584,167527,176736,205198,227073,243717,239455,238448,255221,272192,286137,293437,292192,305225,313820,331893,335300,336028,365346,390678,408617,434535,437627,(D),(D),445678,(NA)
 "98000","Far West",8,SAEMP25S,120,"...","    Forestry and fishing","Number of jobs",20130,20198,20847,20908,23246,23047,26426,33261,34534,37427,38043,40353,38408,41785,43626,44606,47093,52348,49447,53356,53474,51489,50848,47369,50553,50030,44738,47122,47122,(D),(D),56785,(NA)
 "98000","Far West",8,SAEMP25S,121,"08","     Forestry","Number of jobs",4464,4545,4821,5246,4408,5415,6774,6118,6055,7245,8306,9286,10249,10071,10433,11475,12910,13629,13237,13669,13855,13733,13745,12754,12891,14445,14240,14627,15325,(D),18992,(D),(NA)
 "98000","Far West",8,SAEMP25S,122,"...","     Fishing","Number of jobs",15666,15653,16026,15662,18838,17632,19652,27143,28479,30182,29737,31067,28159,31714,33193,33131,34183,38719,36210,39687,39619,37756,37103,34615,37662,35585,30498,32495,31797,(D),(D),(D),(NA)
 "98000","Far West",8,SAEMP25S,200,"B","   Mining","Number of jobs",48758,47409,46728,45704,47359,51041,52067,53558,57435,61175,67342,76435,89783,91356,93819,96041,95138,83056,90481,92717,93642,95105,95221,89322,85059,85176,83137,79859,82369,77704,71603,69969,73183
 "98000","Far West",8,SAEMP25S,210,"10","    Metal mining","Number of jobs",7780,8225,7534,6127,6293,7359,6716,6422,7620,7103,7985,9930,12284,10643,12452,11775,(D),11490,14921,16716,19111,20379,19436,20473,19656,19330,20175,21782,21700,(D),15721,(D),(NA)
 "98000","Far West",8,SAEMP25S,220,"12","    Coal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1286,(D),1258,1266,(D),(D),(D),1029,1215,1039,911,921,889,904,(D),762,732,(NA)
 "98000","Far West",8,SAEMP25S,230,"13","    Oil and gas extraction","Number of jobs",29273,27582,27392,27231,27912,30564,32871,34069,36284,39643,44188,51386,62878,67347,68265,70939,70993,58812,62592,63207,61038,60954,62938,55571,53461,54185,50423,44808,46935,(D),42230,(D),(NA)
 "98000","Far West",8,SAEMP25S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12041,12278,11496,11702,(D),(D),(D),11818,12063,10903,10750,11618,12380,12830,12761,12890,(D),(NA)
 "98000","Far West",8,SAEMP25S,300,"C","   Construction","Number of jobs",537073,525390,520867,545464,586866,589574,588701,623952,691869,781145,857331,822736,800894,722341,746102,845375,897814,966256,1039917,1114226,1206007,1224221,1148242,1087538,1070707,1115348,1161466,1210089,1279599,1360026,1437800,1476583,1522641
 "98000","Far West",8,SAEMP25S,310,"15","    General building contractors","Number of jobs",148187,140195,140515,151462,165727,164279,159393,169721,197989,232459,253754,232410,214392,185976,205058,246733,250363,272489,284348,313189,323986,325117,296123,279068,280511,283629,283067,285315,302755,321236,341357,359277,(NA)
 "98000","Far West",8,SAEMP25S,320,"16","    Heavy construction contractors","Number of jobs",110246,109539,103122,103967,104709,111452,123747,126350,120119,125418,138325,143389,144219,129218,109272,106005,107770,110749,115909,107860,115025,115488,109848,102815,106189,107899,117409,112086,113419,120076,126258,128488,(NA)
 "98000","Far West",8,SAEMP25S,330,"17","    Special trade contractors","Number of jobs",278640,275656,277230,290035,316430,313843,305561,327881,373761,423268,465252,446937,442283,407147,431772,492637,539681,583018,639660,693177,766996,783616,742271,705655,684007,723820,760990,812688,863425,918714,970185,988818,(NA)
 "98000","Far West",8,SAEMP25S,400,"D","   Manufacturing","Number of jobs",2214808,2063803,1955302,2034059,2188463,2247060,2123211,2208580,2320828,2510663,2684092,2677515,2679257,2562317,2552238,2688815,2715009,2700437,2784599,2859342,2905590,2889815,2775925,2638339,2554387,2557282,2563961,2647698,2743189,2801965,2738626,2745477,2654060
 "98000","Far West",8,SAEMP25S,410,"...","    Durable goods manufacturing","Number of jobs",1522018,1380350,1281408,1343284,1470105,1509251,1406875,1457107,1538185,1693234,1832682,1829333,1824563,1732932,1723382,1836534,1871315,1843804,1883363,1925960,1945784,1903611,1796878,1673081,1599006,1588536,1590994,1663434,1749807,1806819,1751587,1759041,1703550
 "98000","Far West",8,SAEMP25S,413,"24","     Lumber and wood products","Number of jobs",180679,170794,177355,185190,195113,187573,183500,200301,214619,220068,219318,195133,179020,153092,167374,175828,170826,176379,191439,198125,199210,192346,171407,161522,157989,162368,159020,161826,165480,161303,(D),(D),(NA)
 "98000","Far West",8,SAEMP25S,417,"25","     Furniture and fixtures","Number of jobs",47340,45863,45636,51368,57244,55634,48046,52968,58011,65384,66308,63242,65504,58827,62404,70472,69932,69091,73534,73199,72727,70025,64248,62115,65123,63514,62312,66750,71966,78194,79449,80785,(NA)
 "98000","Far West",8,SAEMP25S,420,"32","     Stone, clay, and glass products","Number of jobs",64691,65208,65837,69163,70744,71262,67904,68715,72238,75931,79747,79423,76818,69097,69058,72105,71280,73086,80070,81663,85387,83212,76737,72296,70581,74432,70291,72113,72447,74259,73381,(D),(NA)
 "98000","Far West",8,SAEMP25S,423,"33","     Primary metal industries","Number of jobs",87497,83112,77137,77005,84633,89846,79639,77578,80891,86607,90649,86782,84423,72330,65253,67224,64788,61805,62910,67276,68694,67042,63302,56764,54538,55326,56463,59520,61098,(D),(D),(D),(NA)
 "98000","Far West",8,SAEMP25S,426,"34","     Fabricated metal products","Number of jobs",140034,132066,124094,130264,142600,146945,142125,147626,154204,168850,187457,181530,178908,161321,158965,169446,171665,163299,162249,166040,167320,164580,153369,146276,144269,149871,156553,161919,168640,174477,174879,177939,(NA)
 "98000","Far West",8,SAEMP25S,429,"35","     Industrial machinery and equipment","Number of jobs",172141,168821,153982,162963,191450,210131,202460,204717,215874,243578,273476,276250,277545,272408,262442,278980,274845,257278,254142,260675,263477,266391,260771,244048,240868,244025,255932,272090,292013,296287,283531,285611,(NA)
 "98000","Far West",8,SAEMP25S,432,"36","     Electronic and other electric equipment","Number of jobs",279030,253592,230105,243916,281815,294880,244984,259075,275014,313389,344865,365742,376226,384001,391658,438919,450581,432438,430667,302656,300362,294461,280095,257687,252849,255771,275537,300951,318747,(D),(D),(D),(NA)
 "98000","Far West",8,SAEMP25S,435,"371","     Motor vehicles and equipment","Number of jobs",45120,40214,39489,43900,48857,46254,35827,45201,50950,57204,57393,41281,41509,35732,35697,40871,41652,39440,42125,45409,44640,40823,39455,39951,40722,45998,47612,47807,48581,(D),(D),(D),(NA)
 "98000","Far West",8,SAEMP25S,438,"372-379","     Other transportation equipment","Number of jobs",336027,269732,231027,240763,252482,256531,274935,260844,268014,295999,330561,348717,345480,329375,313029,325886,355001,373432,390049,392801,410811,408302,374873,339295,293597,258841,232782,234908,255253,(D),(D),(D),(NA)
 "98000","Far West",8,SAEMP25S,441,"38","     Instruments and related products","Number of jobs",40483,38663,37727,41646,45862,50347,76500,83015,89339,101187,115727,125663,130400,128245,129139,132369,137958,134703,133426,274399,266574,250154,246969,228129,211804,200279,192933,201108,207872,(D),(D),(D),(NA)
 "98000","Far West",8,SAEMP25S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",46198,46701,46417,48317,51308,52114,50955,57067,59031,65037,67181,65570,68730,68504,68363,64434,62787,62853,62752,63717,66582,66275,65652,64998,66666,78111,81559,84442,87710,(D),(D),(D),(NA)
