GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "15000","Hawaii",8,SAEMP25S,10,"...","Total employment (number of jobs)","Number of jobs",415912,433555,436830,452960,473087,485226,499203,504799,509265,527519,556339,574555,567762,566510,576830,582402,597946,611862,642686,668691,696362,724262,745447,746137,741780,736771,734039,733396,733761,738175,738111,749439,752548
 "15000","Hawaii",8,SAEMP25S,20,"..."," Wage and salary employment","Number of jobs",368900,385181,389108,400094,418518,425912,434443,440767,448947,469403,488281,498755,496535,491843,501857,508739,521605,531289,554533,570377,597113,618833,629443,634001,625580,618941,611684,607850,607070,606429,607879,624169,628046
 "15000","Hawaii",8,SAEMP25S,40,"..."," Proprietors employment","Number of jobs",47012,48374,47722,52866,54569,59314,64760,64032,60318,58116,68058,75800,71227,74667,74973,73663,76341,80573,88153,98314,99249,105429,116004,112136,116200,117830,122355,125546,126691,131746,130232,125270,124502
 "15000","Hawaii",8,SAEMP25S,50,"...","  Farm proprietors employment","Number of jobs",3876,3792,3616,3431,3595,3590,3634,3741,3865,4058,4060,4063,4151,4250,4550,4615,4627,4589,4562,4507,4524,4542,4510,4596,4947,4988,4980,5009,5119,5297,5274,5258,5236
 "15000","Hawaii",8,SAEMP25S,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",43136,44582,44106,49435,50974,55724,61126,60291,56453,54058,63998,71737,67076,70417,70423,69048,71714,75984,83591,93807,94725,100887,111494,107540,111253,112842,117375,120537,121572,126449,124958,120012,119266
 "15000","Hawaii",8,SAEMP25S,70,"[01-02]"," Farm employment","Number of jobs",14329,14402,14146,13860,14342,15047,15105,15714,15150,16058,15057,16051,14597,13900,15012,14012,14617,13699,14599,14032,14335,14610,14257,14358,13673,12744,11775,12099,11853,12501,12292,12839,12314
 "15000","Hawaii",8,SAEMP25S,80,"..."," Nonfarm employment","Number of jobs",401583,419153,422684,439100,458745,470179,484098,489085,494115,511461,541282,558504,553165,552610,561818,568390,583329,598163,628087,654659,682027,709652,731190,731779,728107,724027,722264,721297,721908,725674,725819,736600,740234
 "15000","Hawaii",8,SAEMP25S,90,"...","  Private nonfarm employment","Number of jobs",261079,277813,282227,296594,313461,324721,334096,337080,343366,358577,387359,403939,400359,398718,404007,407264,420898,436169,463050,487859,512095,537922,557230,555232,553390,550973,553591,555444,556177,559509,561297,570604,572819
 "15000","Hawaii",8,SAEMP25S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",1793,2029,2051,2349,2481,2485,2680,3206,3343,3608,4412,5031,5002,4703,4897,5005,5052,5262,6330,6626,6761,7233,8380,8181,9035,8794,8870,8992,8745,8041,8537,8521,8405
 "15000","Hawaii",8,SAEMP25S,110,"07","    Agricultural services","Number of jobs",1324,1546,1545,1801,1926,1914,2038,2412,2548,2900,3625,4120,4137,3960,4126,4295,4238,4420,4680,4823,4936,5460,6529,6470,6928,6868,7019,6892,6532,5653,5863,5881,(NA)
 "15000","Hawaii",8,SAEMP25S,120,"...","    Forestry and fishing","Number of jobs",469,483,506,548,555,571,642,794,795,708,787,911,865,743,771,710,814,842,1650,1803,1825,1773,1851,1711,2107,1926,1851,2100,2213,2388,2674,2640,(NA)
 "15000","Hawaii",8,SAEMP25S,121,"08","     Forestry","Number of jobs",4,6,2,11,11,11,13,21,19,22,29,46,39,23,19,19,23,28,21,21,23,24,41,42,50,43,(D),21,61,97,(D),(D),(NA)
 "15000","Hawaii",8,SAEMP25S,122,"...","     Fishing","Number of jobs",465,477,504,537,544,560,629,773,776,686,758,865,826,720,752,691,791,814,1629,1782,1802,1749,1810,1669,2057,1883,(D),2079,2152,2291,(D),(D),(NA)
 "15000","Hawaii",8,SAEMP25S,200,"B","   Mining","Number of jobs",72,77,49,95,89,88,61,79,117,126,189,216,246,269,320,288,250,245,398,337,345,375,504,511,510,458,583,544,541,542,509,475,477
 "15000","Hawaii",8,SAEMP25S,210,"10","    Metal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),53,74,60,52,51,17,9,8,13,14,(D),(D),(D),19,24,23,15,12,13,(NA)
 "15000","Hawaii",8,SAEMP25S,220,"12","    Coal mining","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,8,8,6,(NA)
 "15000","Hawaii",8,SAEMP25S,230,"13","    Oil and gas extraction","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),140,147,164,139,128,240,209,236,233,272,(D),(D),(D),(D),(D),240,(D),(D),(D),(NA)
 "15000","Hawaii",8,SAEMP25S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),76,99,64,59,66,141,119,101,129,218,299,292,(D),(D),(D),272,(D),(D),(D),(NA)
 "15000","Hawaii",8,SAEMP25S,300,"C","   Construction","Number of jobs",25437,28246,25722,25868,28940,30254,28808,23759,22057,23086,26305,27487,25328,21483,21742,19563,21027,22932,26737,29516,35702,39506,41724,39870,40963,37314,34724,31923,30625,29266,29342,30838,31175
 "15000","Hawaii",8,SAEMP25S,310,"15","    General building contractors","Number of jobs",11245,12439,10768,11358,13380,14277,12114,9365,8749,9576,10106,10641,9282,7559,7917,6974,7616,8580,9492,10740,13453,13773,13862,13011,13815,11648,10295,8815,8275,7980,8143,9002,(NA)
 "15000","Hawaii",8,SAEMP25S,320,"16","    Heavy construction contractors","Number of jobs",3278,3351,3408,2902,2935,2912,2784,2297,2153,2042,2982,3127,2895,2463,2504,2135,2217,2180,2666,2636,3258,4138,4926,4796,4450,4036,3631,3202,2823,2642,2625,3102,(NA)
 "15000","Hawaii",8,SAEMP25S,330,"17","    Special trade contractors","Number of jobs",10914,12456,11546,11608,12625,13065,13910,12097,11155,11468,13217,13719,13151,11461,11321,10454,11194,12172,14579,16140,18991,21595,22936,22063,22698,21630,20798,19906,19527,18644,18574,18734,(NA)
