GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "24000","Maryland",2,SAEMP25S,10,"...","Total employment (number of jobs)","Number of jobs",1679355,1702298,1728598,1781187,1846490,1867792,1845601,1865565,1918925,2003857,2059469,2070441,2095422,2083585,2151035,2242630,2342002,2427570,2553099,2647475,2703904,2737249,2662392,2635653,2658555,2705548,2765393,2806074,2870391,2935441,3007654,3092125,3119857
 "24000","Maryland",2,SAEMP25S,20,"..."," Wage and salary employment","Number of jobs",1507824,1526688,1545705,1587652,1644117,1663356,1637175,1653854,1706787,1792138,1843422,1844630,1861065,1833647,1891558,1975031,2050525,2118703,2202991,2275714,2324079,2338426,2256161,2240645,2259518,2295631,2329126,2352888,2414004,2465749,2527328,2581832,2595859
 "24000","Maryland",2,SAEMP25S,40,"..."," Proprietors employment","Number of jobs",171531,175610,182893,193535,202373,204436,208426,211711,212138,211719,216047,225811,234357,249938,259477,267599,291477,308867,350108,371761,379825,398823,406231,395008,399037,409917,436267,453186,456387,469692,480326,510293,523998
 "24000","Maryland",2,SAEMP25S,50,"...","  Farm proprietors employment","Number of jobs",18080,17758,17530,17228,17098,16919,16662,16653,16771,16992,17052,17617,18364,18257,19392,18913,18533,17747,16957,16272,15963,15465,15571,15772,15072,14422,14207,13440,12798,12532,12347,12368,12200
 "24000","Maryland",2,SAEMP25S,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",153451,157852,165363,176307,185275,187517,191764,195058,195367,194727,198995,208194,215993,231681,240085,248686,272944,291120,333151,355489,363862,383358,390660,379236,383965,395495,422060,439746,443589,457160,467979,497925,511798
 "24000","Maryland",2,SAEMP25S,70,"[01-02]"," Farm employment","Number of jobs",28244,28074,27872,26375,27653,28171,28952,29956,29082,28992,29049,29605,30045,29480,31545,29838,26653,26198,25560,24881,22984,22129,22465,22477,20574,20034,19779,18882,18978,17450,18005,18976,18633
 "24000","Maryland",2,SAEMP25S,80,"..."," Nonfarm employment","Number of jobs",1651111,1674224,1700726,1754812,1818837,1839621,1816649,1835609,1889843,1974865,2030420,2040836,2065377,2054105,2119490,2212792,2315349,2401372,2527539,2622594,2680920,2715120,2639927,2613176,2637981,2685514,2745614,2787192,2851413,2917991,2989649,3073149,3101224
 "24000","Maryland",2,SAEMP25S,90,"...","  Private nonfarm employment","Number of jobs",1242410,1264045,1284123,1326634,1381223,1394966,1370314,1385277,1435715,1512854,1560719,1567805,1594263,1592027,1659186,1750316,1847952,1930701,2050969,2139251,2189647,2210424,2141659,2115367,2139518,2187078,2247687,2289204,2350672,2409200,2478934,2556816,2582084
 "24000","Maryland",2,SAEMP25S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",10007,9882,10853,11170,11992,11426,12184,12542,12331,14005,14953,15646,15544,15121,16391,17771,19089,20966,23486,23542,23500,24800,24424,23481,25603,26038,26526,27764,28489,27873,30526,32324,33399
 "24000","Maryland",2,SAEMP25S,110,"07","    Agricultural services","Number of jobs",6373,6695,7128,7321,7842,7586,7606,7745,7814,9816,10733,11107,10760,11231,12841,14355,15703,16919,20380,20450,20543,21861,21810,21157,22860,23414,24255,25271,25921,24980,27208,28658,(NA)
 "24000","Maryland",2,SAEMP25S,120,"...","    Forestry and fishing","Number of jobs",3634,3187,3725,3849,4150,3840,4578,4797,4517,4189,4220,4539,4784,3890,3550,3416,3386,4047,3106,3092,2957,2939,2614,2324,2743,2624,2271,2493,2568,2893,3318,3666,(NA)
