GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "23000","Maine",1,SAEMP25S,10,"...","Total employment (number of jobs)","Number of jobs",443449,445896,443290,452555,470180,477672,475256,497868,512788,531154,544802,552745,551487,553311,565243,587454,606390,630438,652556,686290,701652,701002,677564,680841,691753,702752,704574,714237,727238,748614,762975,784039,787577
 "23000","Maine",1,SAEMP25S,20,"..."," Wage and salary employment","Number of jobs",380883,382423,378231,384385,398919,402729,397563,418564,430548,445767,457076,460760,460014,457778,465962,483440,494977,513247,537871,564109,577629,570493,545743,543793,549549,557039,561204,567142,577105,591011,606692,624123,627326
 "23000","Maine",1,SAEMP25S,40,"..."," Proprietors employment","Number of jobs",62566,63473,65059,68170,71261,74943,77693,79304,82240,85387,87726,91985,91473,95533,99281,104014,111413,117191,114685,122181,124023,130509,131821,137048,142204,145713,143370,147095,150133,157603,156283,159916,160251
 "23000","Maine",1,SAEMP25S,50,"...","  Farm proprietors employment","Number of jobs",7853,7458,7137,6790,6651,6670,6626,6860,7144,7386,7674,7961,7740,7543,8264,7769,7550,7557,7219,7156,7176,7060,6926,7110,7065,7090,7086,6809,6644,6836,6822,6707,7038
 "23000","Maine",1,SAEMP25S,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",54713,56015,57922,61380,64610,68273,71067,72444,75096,78001,80052,84024,83733,87990,91017,96245,103863,109634,107466,115025,116847,123449,124895,129938,135139,138623,136284,140286,143489,150767,149461,153209,153213
 "23000","Maine",1,SAEMP25S,70,"[01-02]"," Farm employment","Number of jobs",17670,17169,15355,13947,14522,14649,13898,14842,15659,15086,15072,16253,15337,14628,15915,14658,13169,13312,12823,12522,11912,11816,11625,11716,11603,11687,11367,10844,10444,10549,10495,10528,10901
 "23000","Maine",1,SAEMP25S,80,"..."," Nonfarm employment","Number of jobs",425779,428727,427935,438608,455658,463023,461358,483026,497129,516068,529730,536492,536150,538683,549328,572796,593221,617126,639733,673768,689740,689186,665939,669125,680150,691065,693207,703393,716794,738065,752480,773511,776676
 "23000","Maine",1,SAEMP25S,90,"...","  Private nonfarm employment","Number of jobs",341745,344236,343535,353674,368044,375198,372229,392005,404666,422176,434097,438868,439309,440852,450464,473679,492009,514090,535230,565728,579121,576418,555453,560222,572300,588011,592267,601191,614663,634437,647460,665795,667290
 "23000","Maine",1,SAEMP25S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",7518,6965,7980,8547,9769,9428,10029,11597,10500,10210,10846,12103,11589,12123,11049,11215,12503,13399,10949,11451,11512,11675,11952,12144,14272,14278,13695,15060,15937,17278,18917,19865,19279
 "23000","Maine",1,SAEMP25S,110,"07","    Agricultural services","Number of jobs",2056,1994,2151,2003,2278,2180,2127,2266,2355,2698,2950,3234,3408,3624,3833,4007,4360,4789,5457,5503,5553,5941,6259,6292,6903,7081,6809,7226,7739,8106,8504,8606,(NA)
