GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "27000","Minnesota",4,SAEMP25S,10,"...","Total employment (number of jobs)","Number of jobs",1690875,1698995,1706080,1780093,1877806,1921458,1920410,1976597,2033789,2121891,2217688,2248180,2232802,2192337,2219348,2324144,2385204,2417493,2509308,2580304,2633745,2691896,2717271,2762016,2816645,2903666,2994740,3056007,3109004,3189396,3256931,3330936,3347326
 "27000","Minnesota",4,SAEMP25S,20,"..."," Wage and salary employment","Number of jobs",1393732,1402854,1403661,1469394,1548909,1593312,1590975,1633185,1692303,1785516,1862192,1865288,1848987,1797645,1810110,1912909,1964246,1990297,2060518,2124111,2177845,2223189,2231914,2275510,2328672,2398002,2471290,2518954,2571818,2641823,2703900,2756409,2758598
 "27000","Minnesota",4,SAEMP25S,40,"..."," Proprietors employment","Number of jobs",297143,296141,302419,310699,328897,328146,329435,343412,341486,336375,355496,382892,383815,394692,409238,411235,420958,427196,448790,456193,455900,468707,485357,486506,487973,505664,523450,537053,537186,547573,553031,574527,588728
 "27000","Minnesota",4,SAEMP25S,50,"...","  Farm proprietors employment","Number of jobs",110342,108817,108151,106115,106331,106235,106174,105835,106305,106151,106584,107026,107345,106893,112411,105444,104041,99377,97145,96282,94937,93480,92010,92158,89487,87026,85358,83263,82525,83116,82602,81715,83353
 "27000","Minnesota",4,SAEMP25S,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",186801,187324,194268,204584,222566,221911,223261,237577,235181,230224,248912,275866,276470,287799,296827,305791,316917,327819,351645,359911,360963,375227,393347,394348,398486,418638,438092,453790,454661,464457,470429,492812,505375
 "27000","Minnesota",4,SAEMP25S,70,"[01-02]"," Farm employment","Number of jobs",136119,134980,137139,134021,140143,144084,149189,148815,142213,143151,136577,137995,134220,132866,140535,130727,134254,126800,125128,123552,116674,116289,114546,111550,107906,107121,106051,102113,101262,100402,101797,100675,101443
 "27000","Minnesota",4,SAEMP25S,80,"..."," Nonfarm employment","Number of jobs",1554756,1564015,1568941,1646072,1737663,1777374,1771221,1827782,1891576,1978740,2081111,2110185,2098582,2059471,2078813,2193417,2250950,2290693,2384180,2456752,2517071,2575607,2602725,2650466,2708739,2796545,2888689,2953894,3007742,3088994,3155134,3230261,3245883
 "27000","Minnesota",4,SAEMP25S,90,"...","  Private nonfarm employment","Number of jobs",1299628,1300826,1296586,1370999,1456283,1490124,1480464,1537820,1602049,1683675,1776955,1801603,1794253,1762257,1783525,1886668,1935986,1967980,2053446,2118511,2172535,2217906,2240336,2279071,2330022,2412451,2500309,2562751,2617086,2693541,2755327,2823597,2837697
 "27000","Minnesota",4,SAEMP25S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",6841,7447,7189,8170,8430,9203,9583,9937,11000,13345,13565,14820,14603,14709,15054,15983,17061,16971,19866,18734,18574,19307,20081,20052,21478,22525,23626,24758,25770,(D),30400,30882,31196
 "27000","Minnesota",4,SAEMP25S,110,"07","    Agricultural services","Number of jobs",6314,6821,6567,7273,7571,8247,8524,8775,9818,12068,12230,13297,12823,12949,13373,14213,15208,14866,18054,16997,17125,17916,18772,18842,19971,20944,22227,23254,24131,(D),27935,28093,(NA)
 "27000","Minnesota",4,SAEMP25S,120,"...","    Forestry and fishing","Number of jobs",527,626,622,897,859,956,1059,1162,1182,1277,1335,1523,1780,1760,1681,1770,1853,2105,1812,1737,1449,1391,1309,1210,1507,1581,1399,1504,1639,(D),2465,2789,(NA)
 "27000","Minnesota",4,SAEMP25S,121,"08","     Forestry","Number of jobs",334,451,408,539,438,604,769,652,650,760,779,891,1010,1075,1080,1187,1217,1477,924,1016,952,882,783,770,836,1002,858,883,1019,(D),1513,1764,(NA)
 "27000","Minnesota",4,SAEMP25S,122,"...","     Fishing","Number of jobs",193,175,214,358,421,352,290,510,532,517,556,632,770,685,601,583,636,628,888,721,497,509,526,440,671,579,541,621,620,828,952,1025,(NA)
 "27000","Minnesota",4,SAEMP25S,200,"B","   Mining","Number of jobs",15356,15422,14595,13858,14410,14612,14716,15492,13609,17258,18168,16503,16442,12047,10626,11201,10066,8149,8307,9172,9684,9929,9502,9425,8997,9175,9532,9236,9396,(D),8871,8785,7812
 "27000","Minnesota",4,SAEMP25S,210,"10","    Metal mining","Number of jobs",13134,13332,12735,11775,12549,12838,12775,13309,11309,14905,15526,13914,13805,9166,7525,7882,6742,5157,4579,5621,6046,6495,6402,6337,5981,5840,6125,6110,6074,5894,5734,5753,(NA)
 "27000","Minnesota",4,SAEMP25S,220,"12","    Coal mining","Number of jobs",15,4,6,20,34,34,23,36,40,33,44,27,34,45,35,56,41,38,18,30,28,32,11,10,11,10,12,9,10,(D),(D),6,(NA)
 "27000","Minnesota",4,SAEMP25S,230,"13","    Oil and gas extraction","Number of jobs",753,742,583,699,472,412,377,562,643,701,771,868,1006,1269,1327,1472,1527,1238,1967,1814,1764,1494,1377,1257,1244,1422,1417,1125,1241,(D),(D),(D),(NA)
 "27000","Minnesota",4,SAEMP25S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",1454,1344,1271,1364,1355,1328,1541,1585,1617,1619,1827,1694,1597,1567,1739,1791,1756,1716,1743,1707,1846,1908,1712,1821,1761,1903,1978,1992,2071,2332,1849,(D),(NA)
 "27000","Minnesota",4,SAEMP25S,300,"C","   Construction","Number of jobs",84660,80749,79578,84456,87330,87564,86531,90541,93792,105263,110712,104782,97096,90959,92463,102176,105555,111067,116552,115450,117130,118146,115245,122339,124251,127562,133349,137484,143511,153786,165237,172810,179816
 "27000","Minnesota",4,SAEMP25S,310,"15","    General building contractors","Number of jobs",24601,22269,21281,23644,25123,25727,22810,24342,25860,31294,34042,30363,27067,23870,24346,27726,26511,29028,28752,28430,27476,27894,24810,25067,25701,25769,25912,26136,27535,30337,33494,36215,(NA)
 "27000","Minnesota",4,SAEMP25S,320,"16","    Heavy construction contractors","Number of jobs",14997,14462,14985,14601,15037,14259,13919,13664,13798,14484,14944,14198,12805,11114,11758,12869,13322,13067,13219,11904,11779,11301,10964,11741,12715,12725,13450,13044,13540,14402,15472,15906,(NA)
 "27000","Minnesota",4,SAEMP25S,330,"17","    Special trade contractors","Number of jobs",45062,44018,43312,46211,47170,47578,49802,52535,54134,59485,61726,60221,57224,55975,56359,61581,65722,68972,74581,75116,77875,78951,79471,85531,85835,89068,93987,98304,102436,109047,116271,120689,(NA)
 "27000","Minnesota",4,SAEMP25S,400,"D","   Manufacturing","Number of jobs",335340,321926,304026,315340,338525,347500,319007,327669,346367,367083,389983,382946,374458,357372,359119,385983,388957,383294,388340,404765,411967,412235,409074,410513,419623,429913,441074,444228,450604,455402,452977,454108,436720
 "27000","Minnesota",4,SAEMP25S,410,"...","    Durable goods manufacturing","Number of jobs",194731,183306,169035,177903,195776,203187,184031,188995,203488,220830,238942,233242,226851,213654,213995,234318,235051,228434,230031,242187,243311,238881,235031,233922,240506,246985,253730,257266,265133,270358,269161,270338,258061
 "27000","Minnesota",4,SAEMP25S,413,"24","     Lumber and wood products","Number of jobs",8064,7610,8326,9340,10334,9989,10845,11863,13178,14465,14843,13352,12685,11451,13390,14784,15380,16598,18163,19484,20100,20484,20357,20713,21697,22707,23390,23474,23584,23771,24347,24643,(NA)
 "27000","Minnesota",4,SAEMP25S,417,"25","     Furniture and fixtures","Number of jobs",3743,3787,4223,4545,4929,4609,3159,3373,3483,3847,4177,4057,3992,3720,3967,4496,4993,5501,5746,5876,6195,6056,5853,6486,6892,7116,7511,7505,7562,7788,7976,8693,(NA)
 "27000","Minnesota",4,SAEMP25S,420,"32","     Stone, clay, and glass products","Number of jobs",7884,8081,7819,8228,8853,8817,9010,9168,9681,10466,10663,10403,10027,9757,10432,10395,9857,10109,9634,9705,10152,9708,8900,8796,9162,9896,10146,10327,10595,10739,10879,11290,(NA)
 "27000","Minnesota",4,SAEMP25S,423,"33","     Primary metal industries","Number of jobs",7274,7120,6440,5813,6806,7166,5468,5636,6006,7044,7674,6812,6276,5650,5560,6375,6226,6136,6574,7051,6600,6389,6120,6031,6091,6768,7210,7285,7795,8130,8216,8136,(NA)
 "27000","Minnesota",4,SAEMP25S,426,"34","     Fabricated metal products","Number of jobs",21457,20345,19132,21261,23771,25455,31503,31200,33722,36096,39327,38244,36235,34006,33447,35697,36364,33775,33711,34797,35470,35012,35096,32592,32689,31946,35720,35977,37310,38466,38060,38956,(NA)
