GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "36000","New York",2,SAEMP25S,10,"...","Total employment (number of jobs)","Number of jobs",8494052,8465868,8345341,8348261,8465363,8392017,8172219,8125400,8198948,8384019,8580543,8602022,8665868,8672716,8729621,9002728,9227207,9424256,9471509,9684192,9752014,9727348,9482658,9410147,9431043,9464935,9511472,9595379,9731824,9901394,10164527,10424526,10438676
 "36000","New York",2,SAEMP25S,20,"..."," Wage and salary employment","Number of jobs",7592312,7553616,7418832,7433590,7554953,7500888,7274368,7209067,7251766,7424427,7600633,7594121,7669153,7640552,7679331,7943667,8105206,8243279,8399373,8502329,8568865,8494852,8244407,8089289,8101252,8142377,8161040,8186384,8301559,8471480,8669419,8840737,8791179
 "36000","New York",2,SAEMP25S,40,"..."," Proprietors employment","Number of jobs",901740,912252,926509,914671,910410,891129,897851,916333,947182,959592,979910,1007901,996715,1032164,1050290,1059061,1122001,1180977,1072136,1181863,1183149,1232496,1238251,1320858,1329791,1322558,1350432,1408995,1430265,1429914,1495108,1583789,1647497
 "36000","New York",2,SAEMP25S,50,"...","  Farm proprietors employment","Number of jobs",49793,49214,48628,47854,48146,49150,49801,48446,47480,47247,48380,47496,47560,48758,52992,50254,47019,45418,43766,42350,40678,39972,39288,39407,39737,39400,38898,38475,38676,38991,39735,38963,38249
 "36000","New York",2,SAEMP25S,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",851947,863038,877881,866817,862264,841979,848050,867887,899702,912345,931530,960405,949155,983406,997298,1008807,1074982,1135559,1028370,1139513,1142471,1192524,1198963,1281451,1290054,1283158,1311534,1370520,1391589,1390923,1455373,1544826,1609248
 "36000","New York",2,SAEMP25S,70,"[01-02]"," Farm employment","Number of jobs",76856,74648,75145,73626,78331,81884,84623,81193,82362,81247,83372,84459,83931,84137,91275,84683,77426,76429,73824,71290,66351,65891,65037,64777,64847,64955,62804,61118,60107,59991,60574,60708,60300
 "36000","New York",2,SAEMP25S,80,"..."," Nonfarm employment","Number of jobs",8417196,8391220,8270196,8274635,8387032,8310133,8087596,8044207,8116586,8302772,8497171,8517563,8581937,8588579,8638346,8918045,9149781,9347827,9397685,9612902,9685663,9661457,9417621,9345370,9366196,9399980,9448668,9534261,9671717,9841403,10103953,10363818,10378376
 "36000","New York",2,SAEMP25S,90,"...","  Private nonfarm employment","Number of jobs",7126036,7040895,6906056,6918797,7004351,6903347,6704031,6735157,6824472,6996634,7147450,7179785,7252985,7248457,7303818,7557734,7757548,7922049,7938141,8126698,8180039,8130742,7919854,7872875,7895757,7944448,8031880,8131323,8250706,8400624,8646106,8880013,8894174
 "36000","New York",2,SAEMP25S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",26871,27153,27650,27517,28973,28303,29828,29673,30991,34896,36143,37189,37338,38878,41103,43440,46164,48301,45326,45185,44321,45976,46343,46979,50720,50311,50535,53025,54958,53769,59347,61146,62986
 "36000","New York",2,SAEMP25S,110,"07","    Agricultural services","Number of jobs",24778,25052,25268,24947,26477,25627,26325,26402,27768,31765,33144,34157,34159,35516,37897,40112,42387,43903,42867,42532,41777,43598,44168,44721,48241,47815,48314,50555,52268,50453,55221,56532,(NA)
 "36000","New York",2,SAEMP25S,120,"...","    Forestry and fishing","Number of jobs",2093,2101,2382,2570,2496,2676,3503,3271,3223,3131,2999,3032,3179,3362,3206,3328,3777,4398,2459,2653,2544,2378,2175,2258,2479,2496,2221,2470,2690,3316,4126,4614,(NA)
 "36000","New York",2,SAEMP25S,121,"08","     Forestry","Number of jobs",387,534,596,795,542,725,967,726,650,679,661,682,655,906,913,930,1105,1331,1087,1279,1288,1125,981,1143,1091,1224,1101,1172,1318,1679,2152,2486,(NA)
 "36000","New York",2,SAEMP25S,122,"...","     Fishing","Number of jobs",1706,1567,1786,1775,1954,1951,2536,2545,2573,2452,2338,2350,2524,2456,2293,2398,2672,3067,1372,1374,1256,1253,1194,1115,1388,1272,1120,1298,1372,1637,1974,2128,(NA)
 "36000","New York",2,SAEMP25S,200,"B","   Mining","Number of jobs",10730,11704,11220,11443,12928,12574,12264,12666,13662,13401,13381,14348,17010,17643,19015,19095,20540,17407,12991,12737,12287,12049,10981,10509,10226,10120,10060,8850,9287,8842,9399,9255,10071
 "36000","New York",2,SAEMP25S,210,"10","    Metal mining","Number of jobs",2232,2286,1965,1892,1851,2049,1992,1957,1990,1412,1219,1340,1643,1670,1785,1550,1186,909,734,526,399,370,404,(D),(D),(D),443,450,419,369,324,(D),(NA)
 "36000","New York",2,SAEMP25S,220,"12","    Coal mining","Number of jobs",174,186,57,73,65,74,93,127,82,71,61,57,74,87,78,115,60,61,57,37,37,30,22,(D),(D),(D),9,16,15,11,11,8,(NA)
 "36000","New York",2,SAEMP25S,230,"13","    Oil and gas extraction","Number of jobs",3549,4342,4485,4936,6277,5815,5734,6299,7029,7410,7787,8742,11165,11819,12919,13103,14875,12167,7605,7353,6945,6862,6227,5983,5741,5577,5477,4364,4659,4193,4589,(D),(NA)
 "36000","New York",2,SAEMP25S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",4775,4890,4713,4542,4735,4636,4445,4283,4561,4508,4314,4209,4128,4067,4233,4327,4419,4270,4595,4821,4906,4787,4328,4046,4072,4108,4131,4020,4194,4269,4475,4670,(NA)
 "36000","New York",2,SAEMP25S,300,"C","   Construction","Number of jobs",325075,326068,330405,326495,335729,314332,267868,244850,245477,258660,270709,269420,278552,293026,306098,339152,375421,410829,421136,437235,436640,419978,376813,360131,355874,358990,363728,368759,384028,401184,435570,453364,466376
 "36000","New York",2,SAEMP25S,310,"15","    General building contractors","Number of jobs",74086,74328,73656,74924,77410,71743,52730,47370,48664,52686,54853,53859,55775,57779,60308,73047,83491,96699,98149,103822,97692,90962,78899,73466,72869,71238,71526,70151,73717,77949,86793,94401,(NA)
 "36000","New York",2,SAEMP25S,320,"16","    Heavy construction contractors","Number of jobs",42062,42586,44728,41536,43455,41609,35850,31527,32167,34305,35684,33372,32623,32869,34757,35944,35376,35272,33887,31141,31433,31001,30190,26732,29112,28473,27735,26009,26873,27165,29231,30301,(NA)
 "36000","New York",2,SAEMP25S,330,"17","    Special trade contractors","Number of jobs",208927,209154,212021,210035,214864,200980,179288,165953,164646,171669,180172,182189,190154,202378,211033,230161,256554,278858,289100,302272,307515,298015,267724,259933,253893,259279,264467,272599,283438,296070,319546,328662,(NA)
 "36000","New York",2,SAEMP25S,400,"D","   Manufacturing","Number of jobs",1897132,1784763,1657885,1626448,1643527,1599097,1446472,1466228,1486245,1516058,1535405,1490311,1472033,1388668,1341874,1367302,1334213,1292751,1249374,1241710,1217093,1152507,1089829,1045366,1013011,988801,972084,955089,952436,941516,919979,902215,863867
 "36000","New York",2,SAEMP25S,410,"...","    Durable goods manufacturing","Number of jobs",990771,928358,852377,845113,877399,874379,780324,789236,803091,830327,855337,830598,819743,771187,738008,758764,745037,716691,682247,680092,665161,624435,585006,555197,528399,515105,509056,504325,503058,500026,488187,481750,462973
 "36000","New York",2,SAEMP25S,413,"24","     Lumber and wood products","Number of jobs",17089,16713,16479,16266,16400,15386,14968,16653,17228,17316,19428,19158,16794,15480,15709,17116,17352,17532,18294,20044,20180,19143,18774,17125,17829,17906,17968,17846,18502,18258,18805,18594,(NA)
 "36000","New York",2,SAEMP25S,417,"25","     Furniture and fixtures","Number of jobs",35008,32980,29306,30405,30947,29859,23654,23439,23388,24547,24103,23419,22401,21107,21248,22276,22486,23458,24130,23746,23303,22056,18702,18113,18595,18116,17185,17074,17365,18748,19526,20515,(NA)
 "36000","New York",2,SAEMP25S,420,"32","     Stone, clay, and glass products","Number of jobs",49258,47051,44239,44454,46670,45091,39404,39257,40261,41519,42551,41263,39162,36111,35842,35734,34059,34863,34298,33370,33314,31591,28746,29021,27976,28413,26528,26383,26440,26655,26610,28374,(NA)
 "36000","New York",2,SAEMP25S,423,"33","     Primary metal industries","Number of jobs",82170,77022,68904,66382,72890,72365,58293,58710,57773,57125,59276,53649,51233,40994,35703,34141,30831,28556,25969,25591,25466,23742,22667,21809,20619,20281,19962,19862,19890,20036,19483,19341,(NA)
 "36000","New York",2,SAEMP25S,426,"34","     Fabricated metal products","Number of jobs",95484,90148,84065,84068,85053,83201,78900,79225,81689,85416,86242,82894,80615,74017,70805,73443,72480,68877,66706,67015,65890,61774,57722,56157,54646,54830,55181,55619,57185,58783,58662,58808,(NA)
 "36000","New York",2,SAEMP25S,429,"35","     Industrial machinery and equipment","Number of jobs",186969,181638,164085,159796,166129,173788,157667,155858,160647,170669,178377,177640,176030,166300,155949,160087,156684,146766,133360,135303,130879,123704,119403,113018,102769,97829,99356,100100,100649,100856,95660,94739,(NA)
 "36000","New York",2,SAEMP25S,432,"36","     Electronic and other electric equipment","Number of jobs",189593,176155,157957,158103,163546,160669,141686,142844,146091,156801,165242,161150,162144,155658,153638,162700,157764,152705,148916,113233,107410,102343,95213,87679,82405,82068,84415,84397,82855,81980,89707,88611,(NA)
 "36000","New York",2,SAEMP25S,435,"371","     Motor vehicles and equipment","Number of jobs",44153,35487,39798,38975,42294,38026,31926,36229,39498,41152,41523,34183,33239,27834,28670,32507,34694,33789,30761,28916,34653,33279,31848,31125,30066,31735,33269,32138,31511,30349,20833,20361,(NA)
 "36000","New York",2,SAEMP25S,438,"372-379","     Other transportation equipment","Number of jobs",63203,54848,44636,42207,44096,47466,41876,40878,40181,39836,39310,39639,38938,36666,34994,36115,37042,37337,36215,33699,31080,28023,25558,21982,18799,15673,12232,10047,10640,11022,11657,11403,(NA)
 "36000","New York",2,SAEMP25S,441,"38","     Instruments and related products","Number of jobs",124434,121116,113920,115444,120882,124978,121176,122856,122503,123538,127258,130102,135197,137771,127758,126287,126669,118960,112616,150020,143711,133489,123644,116205,110857,103748,98597,97001,95428,91273,85610,80800,(NA)
 "36000","New York",2,SAEMP25S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",95918,89138,83906,84029,83782,79391,70774,73287,73832,72408,72027,67501,63990,59249,57692,58358,54976,53848,50982,49155,49275,45291,42729,42963,43838,44506,44363,43858,42593,42066,41634,40204,(NA)
 "36000","New York",2,SAEMP25S,447,"...","     Ordnance 3/","Number of jobs",7492,6062,5082,4984,4710,4159,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "36000","New York",2,SAEMP25S,450,"...","    Nondurable goods manufacturing","Number of jobs",906361,856405,805508,781335,766128,724718,666148,676992,683154,685731,680068,659713,652290,617481,603866,608538,589176,576060,567127,561618,551932,528072,504823,490169,484612,473696,463028,450764,449378,441490,431792,420465,400894
 "36000","New York",2,SAEMP25S,453,"20","     Food and kindred products","Number of jobs",132705,128126,122044,113633,108248,103590,97779,95248,96215,96129,94924,91020,89583,84973,83323,82658,79343,78147,76972,75173,72871,70307,69473,66508,64887,63909,62031,61136,59683,60037,59383,59802,(NA)
 "36000","New York",2,SAEMP25S,456,"21","     Tobacco products","Number of jobs",3030,2974,2790,2587,2537,2452,2310,2229,2454,2646,2710,2916,3022,3136,3086,2827,2721,2102,1336,1381,1380,1372,1500,1412,1321,1322,1326,1336,1324,1264,1182,1183,(NA)
 "36000","New York",2,SAEMP25S,459,"22","     Textile mill products","Number of jobs",56981,54395,53169,56193,58422,53974,44816,44933,44664,42480,38393,36864,35980,31619,30629,32192,31022,30155,28892,26063,25261,22278,20616,19519,20131,19973,19358,18004,18113,17301,14750,12616,(NA)
 "36000","New York",2,SAEMP25S,462,"23","     Apparel and other textile products","Number of jobs",276564,252806,235776,227929,221840,201636,183390,188235,187085,187323,180428,172558,168744,156270,150844,149295,140437,133600,127007,123552,120984,114212,107973,104437,101888,97146,92654,89715,90393,86189,80224,73830,(NA)
 "36000","New York",2,SAEMP25S,465,"26","     Paper and allied products","Number of jobs",66543,63274,58502,56103,54103,53045,47880,50697,51480,52657,52477,50676,49867,47098,45246,46281,44257,43233,43414,43310,42185,40486,37340,37140,36550,35559,34827,33275,32955,32166,32072,30593,(NA)
 "36000","New York",2,SAEMP25S,468,"27","     Printing and publishing","Number of jobs",187828,182069,172077,168051,164670,160234,153217,152895,156347,159808,166442,166328,166881,166641,165375,169491,169931,171294,173800,172183,171637,165161,156155,150374,150561,150254,149053,145991,145366,144094,144195,143044,(NA)
 "36000","New York",2,SAEMP25S,471,"28","     Chemicals and allied products","Number of jobs",93414,90060,84260,79451,78803,78440,72917,74518,74946,74129,74292,72868,71526,67655,65770,66858,65718,63283,61236,61780,61557,61463,61511,61289,60634,57944,56933,56040,56007,56051,57474,58142,(NA)
 "36000","New York",2,SAEMP25S,474,"29","     Petroleum and coal products","Number of jobs",10728,10372,10685,9788,9117,8074,7997,7958,7430,7898,7249,7075,6515,5557,5775,5786,5419,4516,4246,4361,4393,4153,4019,4083,4138,3891,3766,3796,3593,3490,3278,3085,(NA)
 "36000","New York",2,SAEMP25S,477,"30","     Rubber and miscellaneous plastics products","Number of jobs",29581,27656,26277,28554,31188,29151,25964,29158,31445,32422,33159,31461,31948,29251,29802,31126,31535,32381,33991,38003,37305,36360,35781,35597,35103,34570,34820,33961,35249,35029,34292,33642,(NA)
 "36000","New York",2,SAEMP25S,480,"31","     Leather and leather products","Number of jobs",48987,44673,39928,39046,37200,34122,29878,31121,31088,30239,29994,27947,28224,25281,24016,22024,18793,17349,16233,15812,14359,12280,10455,9810,9399,9128,8260,7510,6695,5869,4942,4528,(NA)
 "36000","New York",2,SAEMP25S,500,"E","   Transportation and public utilities","Number of jobs",531400,534511,511108,509838,509251,499039,479573,468031,467956,477964,481996,481225,478153,470269,451816,466300,462644,451235,449629,453848,452386,477247,474989,458967,465417,466948,472221,473572,485708,493645,500475,518308,523653
 "36000","New York",2,SAEMP25S,510,"40","    Railroad transportation","Number of jobs",41063,37698,35622,33168,31811,32030,30094,29087,29184,27818,27353,26981,25934,21329,10370,11293,10524,9217,8212,8266,8530,8123,7511,7319,7686,7570,7659,7176,7026,(D),(D),(D),(NA)
 "36000","New York",2,SAEMP25S,520,"42","    Trucking and warehousing","Number of jobs",95236,95462,92805,93177,94078,89933,82837,80671,84348,87940,89592,87315,84230,79029,80385,86145,87775,89083,88118,74096,81297,85166,82351,80405,82378,83599,83734,85752,85188,87440,89670,92018,(NA)
 "36000","New York",2,SAEMP25S,530,"44","    Water transportation","Number of jobs",52343,45208,37605,35821,34398,33307,29381,28523,26865,30018,27638,26100,25508,23263,20359,18018,16825,15519,13881,12319,11637,12242,12590,10892,10265,10201,9833,9510,9741,9285,9342,9809,(NA)
 "36000","New York",2,SAEMP25S,540,"41, 45-47","    Other transportation","Number of jobs",149699,150790,149244,146981,148815,146577,144266,140955,142888,145300,145777,144232,143090,143275,144122,150315,151809,153185,157785,177033,180914,193431,192183,185432,191915,194834,203636,203550,212957,(D),(D),(D),(NA)
 "36000","New York",2,SAEMP25S,541,"41","     Local and interurban passenger transit","Number of jobs",58815,58093,59856,59818,60807,60655,61793,56206,55079,55184,53111,52445,51861,52497,54640,56584,56583,57585,61095,63831,64915,68495,72518,73312,76763,79734,86476,84960,95114,101075,104385,110170,(NA)
 "36000","New York",2,SAEMP25S,542,"45","     Transportation by air","Number of jobs",61476,61764,58564,58648,58706,55875,53523,54464,55829,56669,57584,56400,54763,53810,52256,53737,54319,54896,54985,71711,74805,82762,77939,70968,72058,72344,73741,77813,76305,78265,79245,80967,(NA)
 "36000","New York",2,SAEMP25S,543,"46","     Pipelines, except natural gas","Number of jobs",170,366,201,157,136,136,126,115,112,108,106,121,124,129,129,133,126,124,123,124,133,138,135,127,133,127,111,107,97,(D),(D),(D),(NA)
 "36000","New York",2,SAEMP25S,544,"47","     Transportation services","Number of jobs",29238,30567,30623,28358,29166,29911,28824,30170,31868,33339,34976,35266,36342,36839,37097,39861,40781,40580,41582,41367,41061,42036,41591,41025,42961,42629,43308,40670,41441,41059,41201,42477,(NA)
 "36000","New York",2,SAEMP25S,560,"48","    Communications","Number of jobs",136002,148105,138529,142924,140561,136474,132922,129421,126166,127419,131871,136066,138389,141258,136464,138683,133781,121667,118989,119422,106862,114941,117898,112178,111009,109610,109426,111722,117445,117673,118983,125833,(NA)
 "36000","New York",2,SAEMP25S,570,"49","    Electric, gas, and sanitary services","Number of jobs",57057,57248,57303,57767,59588,60718,60073,59374,58505,59469,59765,60531,61002,62115,60116,61846,61930,62564,62644,62712,63146,63344,62456,62741,62164,61134,57933,55862,53351,51561,50340,49703,(NA)
 "36000","New York",2,SAEMP25S,610,"F","   Wholesale trade","Number of jobs",503783,501553,490531,491616,492662,489394,492946,497432,501288,511427,519589,524454,520624,514066,509928,515785,520010,514456,509056,505789,502915,493705,466165,454295,450388,449753,454727,452894,456622,465833,476839,481787,461478
 "36000","New York",2,SAEMP25S,620,"G","   Retail trade","Number of jobs",1183421,1181876,1175621,1168117,1173677,1162190,1131135,1133106,1146052,1160231,1178057,1170799,1164561,1169170,1204322,1258156,1299054,1333592,1348072,1362174,1374311,1352206,1325976,1305994,1314889,1330509,1356426,1377203,1396569,1390098,1434955,1471477,1472431
 "36000","New York",2,SAEMP25S,621,"52","    Building materials and garden equipment","Number of jobs",37345,37312,37582,38170,38143,37734,32298,31930,32622,32713,33208,32898,33168,33462,34828,37810,41858,44535,46794,50336,50962,48103,46535,45715,44606,45694,47938,47594,48909,49472,53036,55386,(NA)
 "36000","New York",2,SAEMP25S,622,"53","    General merchandise stores","Number of jobs",229244,228117,224563,226419,225729,224094,187667,181454,183997,183102,177847,170912,164227,156701,159566,166360,168248,167818,165715,162462,161320,150380,142229,135097,131888,128721,131822,132433,129948,126521,125068,126077,(NA)
 "36000","New York",2,SAEMP25S,623,"54","    Food stores","Number of jobs",203468,204966,202741,203041,201550,199639,196226,196693,197811,197788,203535,201869,204766,211902,220148,227546,234995,243302,240643,239465,240098,236305,236629,234825,229697,233049,234263,236527,238520,234027,237226,238011,(NA)
 "36000","New York",2,SAEMP25S,624,"55","    Automotive dealers and service stations","Number of jobs",110123,111166,113119,112369,112364,104192,102355,105125,104859,102971,99016,91949,87883,87564,89957,96110,100283,103718,107308,109433,110444,106319,101817,100067,98527,99722,100573,102054,103798,102925,105524,106064,(NA)
 "36000","New York",2,SAEMP25S,625,"56","    Apparel and accessory stores","Number of jobs",112576,111842,107760,104872,102793,99398,95280,96337,95298,95430,96237,96499,96716,96178,97205,99748,101488,104397,103553,104901,108874,108915,103668,103371,102841,103008,103704,102431,103512,108063,110510,115555,(NA)
 "36000","New York",2,SAEMP25S,626,"57","    Home furniture and furnishings stores","Number of jobs",50917,50001,50125,50251,51534,51255,49911,49099,48918,49155,49577,49997,48489,49231,51191,54872,58355,59982,61631,64306,63650,60807,57050,55602,56506,58023,60560,60894,61768,63255,67413,71602,(NA)
 "36000","New York",2,SAEMP25S,627,"58","    Eating and drinking places","Number of jobs",271772,270336,264957,264103,271428,272873,277244,289452,298884,312836,325521,327372,328183,329485,342489,359387,372773,383257,385064,389300,391696,389997,384838,380865,383596,392466,400916,406572,416096,424206,438967,449865,(NA)
 "36000","New York",2,SAEMP25S,628,"59","    Miscellaneous retail","Number of jobs",167976,168136,174774,168892,170136,173005,190154,183016,183663,186236,193116,199303,201129,204647,208938,216323,221054,226583,237364,241971,247267,251380,253210,250452,267228,269826,276650,288698,294018,281629,297211,308917,(NA)
 "36000","New York",2,SAEMP25S,700,"H","   Finance, insurance, and real estate","Number of jobs",844006,855728,883196,868127,860115,841442,825122,858092,871798,885021,895791,901852,916442,913425,901995,910317,929060,1010750,1047279,1094434,1083144,1066216,1033466,1008890,1006232,1044654,1037069,1046323,1027973,1050558,1050013,1089000,1090605
 "36000","New York",2,SAEMP25S,710,"60, 61","    Depository and nondepository institutions","Number of jobs",192319,201965,202968,203077,207110,215805,220450,221270,220633,226087,236793,247184,259014,267852,271630,273533,275171,283024,289616,290766,284399,282132,269599,256579,249375,243224,234191,227704,219538,219317,216101,207361,(NA)
 "36000","New York",2,SAEMP25S,730,"62-65, 67","    Other finance, insurance, and real estate","Number of jobs",651687,653763,680228,665050,653005,625637,604672,636822,651165,658934,658998,654668,657428,645573,630365,636784,653889,727726,757663,803668,798745,784084,763867,752311,756857,801430,802878,818619,808435,831241,833912,881639,(NA)
 "36000","New York",2,SAEMP25S,731,"62","     Security and commodity brokers","Number of jobs",123651,102484,99616,99095,89541,77938,74811,78780,79229,80422,86551,94248,108790,113179,125811,135450,138695,153242,176284,172864,163497,154411,146297,147989,156450,167564,167734,168338,180222,190934,200341,216848,(NA)
 "36000","New York",2,SAEMP25S,732,"63","     Insurance carriers","Number of jobs",134376,138095,134135,132180,130242,131092,127759,125855,126209,132040,131018,130050,127649,127832,125354,124218,124878,126335,127660,129309,131018,132627,134534,130634,127216,125245,122661,121625,119850,120931,121386,117108,(NA)
 "36000","New York",2,SAEMP25S,733,"64","     Insurance agents, brokers, and services","Number of jobs",55657,57048,57751,57611,57741,57478,57931,57750,60285,60946,62698,64108,66018,67126,67232,67965,68712,70803,74905,81145,82209,81166,83852,82843,85939,87963,88379,86721,86246,86951,88459,85833,(NA)
 "36000","New York",2,SAEMP25S,734,"65","     Real estate","Number of jobs",205533,207463,219533,222629,230124,220249,210089,220073,221356,219348,214136,217516,217581,214056,215893,219826,231415,270449,300426,327029,323107,330244,318606,311355,310608,328793,319156,320931,295276,296366,311251,331786,(NA)
 "36000","New York",2,SAEMP25S,735,"...","     Combined real estate, insurance, etc. 4/","Number of jobs",7530,8182,6939,6635,5552,5150,4407,4848,4742,4563,3896,3522,3315,3057,2267,2144,1982,2197,1878,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "36000","New York",2,SAEMP25S,736,"67","     Holding and other investment offices","Number of jobs",124940,140491,162254,146900,139805,133730,129675,149516,159344,161615,160699,145224,134075,120323,93808,87181,88207,104700,76510,93321,98914,85636,80578,79490,76644,91865,104948,121004,126841,136059,112475,130064,(NA)
 "36000","New York",2,SAEMP25S,800,"I","   Services","Number of jobs",1803618,1817539,1818440,1889196,1947489,1956976,2018823,2025079,2061003,2138976,2216379,2290187,2368272,2443312,2527667,2638187,2770442,2842728,2855278,2973586,3056942,3110858,3095292,3181744,3229000,3244362,3315030,3395608,3483125,3595179,3759529,3893461,3942707
 "36000","New York",2,SAEMP25S,805,"70","    Hotels and other lodging places","Number of jobs",87965,85592,86026,81299,80129,78791,70803,68041,67027,67208,68634,70117,72198,71128,73435,76227,77626,77655,80748,81642,83786,82280,80324,79859,78065,78802,79853,79667,81068,83608,91310,94675,(NA)
 "36000","New York",2,SAEMP25S,810,"72","    Personal services","Number of jobs",164464,156808,140562,133568,133503,127558,120635,119311,120783,123281,127800,134577,138419,141825,148979,157704,178969,186433,165834,164924,149829,148603,147944,155887,162070,154474,164610,174837,186347,177262,181476,179860,(NA)
 "36000","New York",2,SAEMP25S,815,"88","    Private households","Number of jobs",156016,155279,155139,155349,150966,140755,140696,144325,152064,152882,144846,135715,137839,141847,142278,142470,142954,143196,141903,137993,134379,127166,124543,135257,133196,119234,117553,112986,110044,111995,106605,99351,(NA)
 "36000","New York",2,SAEMP25S,820,"73","    Business services","Number of jobs",307649,308200,294778,307755,326799,334704,342107,351969,373411,407980,448038,468950,485992,504970,531073,572943,614690,642632,630266,583187,577055,575608,547701,563494,570970,570531,580598,616948,655908,658094,688098,738400,(NA)
 "36000","New York",2,SAEMP25S,825,"75","    Automotive repair, services, and parking","Number of jobs",43421,44107,46341,48376,50870,50082,49140,50565,53703,57126,58393,58713,59772,61441,64789,70573,75085,76524,76433,76459,76961,78748,74691,73044,74937,74916,76879,79503,81077,78588,82509,85190,(NA)
 "36000","New York",2,SAEMP25S,830,"76","    Miscellaneous repair services","Number of jobs",32734,34077,34171,34637,36015,35262,35075,35514,37284,38364,38231,39100,39817,39007,38546,41298,41787,42026,38818,40698,39795,40366,35753,33061,34635,34108,35054,34811,36118,36377,39411,40804,(NA)
 "36000","New York",2,SAEMP25S,835,"79","    Amusement and recreation services","Number of jobs",66432,68698,70050,72201,77298,81271,82988,83194,88596,93286,95194,102053,103138,102970,103425,112011,118731,120654,126944,139843,154738,160003,160144,168954,165368,158764,167081,174377,176989,223662,240289,255821,(NA)
 "36000","New York",2,SAEMP25S,840,"78","    Motion pictures","Number of jobs",34774,36162,34653,32204,31668,30684,30927,29983,31750,39742,37086,38300,38619,38019,39466,40184,41013,40585,37009,39609,42804,43448,44540,40794,41293,53194,58184,61194,62615,66903,70544,76957,(NA)
 "36000","New York",2,SAEMP25S,845,"80","    Health services","Number of jobs",316268,325139,360299,392769,419703,434433,448038,456280,462455,474533,488019,502789,524894,547580,567606,588959,621043,635464,648378,676669,708564,731976,756899,783856,805764,815837,834672,839479,843457,851424,870331,877673,(NA)
 "36000","New York",2,SAEMP25S,850,"81","    Legal services","Number of jobs",70135,72320,73425,76055,81013,81493,83642,86652,90520,90707,93634,96800,102308,108006,111468,116794,123355,129143,134325,137333,144140,145588,143475,154175,150749,146844,151321,153182,156098,159383,165044,168107,(NA)
 "36000","New York",2,SAEMP25S,855,"82","    Educational services","Number of jobs",184730,191270,186705,194570,198490,210507,208923,198058,186118,193125,202886,209150,214829,220975,232350,238579,239709,244664,251704,258353,281525,284340,293665,299584,297988,304730,305792,308720,308556,329930,338953,350214,(NA)
