GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "04000","Arizona",6,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",2178443,2254939,2332044,2352082,2356072,2393694,2479989,2610087,2738783,2773088,2706550,2515005,2473095,2499245,2558410,2617500,2669276,2745054,2815425,2882752,2963209,3055859,2967485
 "04000","Arizona",6,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",13394,12270,12362,12230,11918,12801,13021,13833,13423,13290,11632,12150,11417,11523,12626,13949,12360,13584,15203,12961,12831,11943,12465
 "04000","Arizona",6,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",2165049,2242669,2319682,2339852,2344154,2380893,2466968,2596254,2725360,2759798,2694918,2502855,2461678,2487722,2545784,2603551,2656916,2731470,2800222,2869791,2950378,3043916,2955020
 "04000","Arizona",6,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",1800765,1869324,1930933,1942670,1932613,1960453,2041440,2164049,2287978,2310041,2235849,2050230,2012695,2045870,2102624,2159150,2212229,2287787,2356157,2421620,2499594,2584627,2504186
 "04000","Arizona",6,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",16381,16200,14749,15360,15745,14931,15165,14335,14636,14302,13236,11653,12295,12389,12091,11957,12121,13266,12882,12114,11899,11826,10518
 "04000","Arizona",6,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",373,(T),(T),(D),(D),(D),146,(D),(D),(D),(D),109,(D),91,(D),101,(D),(D),(D),(D),123,109,112
 "04000","Arizona",6,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),(D),(D),0,(D),(D),(D),(D),3,(D),4,(D),4,(D),(D),(D),(D),5,4,4
 "04000","Arizona",6,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",15996,15918,14479,15165,15546,14759,15019,14176,14491,14172,13116,11541,12180,12294,11995,11852,11984,13059,12671,11922,11771,11713,10402
 "04000","Arizona",6,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",12914,10931,9591,9400,8652,7925,8255,8535,9820,11472,12976,10561,10286,10917,11924,12616,12299,11732,11297,11707,13045,13225,12139
 "04000","Arizona",6,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),3,3,(D),(D),3,3,4,11,(D),20,114,122,115,119,105,104,85,80,77,79
 "04000","Arizona",6,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",12529,10540,9222,9235,8424,7792,8112,8333,9554,11169,12449,9755,9645,10303,11287,12017,11657,11153,10782,11182,12335,12461,11462
 "04000","Arizona",6,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",317,332,301,162,225,(D),(D),199,263,299,516,(D),621,500,515,484,523,474,411,440,630,687,598
 "04000","Arizona",6,SAEMP27N,300,"22","   Utilities","Number of jobs",9557,10068,10428,10971,11110,11408,11439,11823,12402,12745,12738,12437,12076,11971,12290,11934,11952,12085,12368,12258,12133,12274,11929
 "04000","Arizona",6,SAEMP27N,400,"23","   Construction","Number of jobs",154396,165364,172990,179646,179198,183828,199830,227230,248154,231404,191596,132478,114836,113952,119422,126937,128147,130976,138534,149776,162200,175772,178258
 "04000","Arizona",6,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",28338,29979,31659,33330,32913,34416,37363,43006,48184,44128,37369,25520,22411,22362,22734,23963,23512,24589,26962,29832,33420,35971,36539
 "04000","Arizona",6,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",21682,23563,26055,27834,30108,26360,25755,29026,30026,29016,26543,18800,16564,16613,16906,17941,17374,16641,16332,17310,18715,21046,21156
 "04000","Arizona",6,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",104376,111822,115276,118482,116177,123052,136712,155198,169944,158260,127684,88158,75861,74977,79782,85033,87261,89746,95240,102634,110065,118755,120563
 "04000","Arizona",6,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",210803,208110,210378,201927,184246,176737,177303,180418,185164,180888,172178,151922,146594,148211,153559,153985,155069,156517,158467,162259,168357,176242,175519
 "04000","Arizona",6,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",168633,165199,168797,164204,148545,141240,142443,145428,149585,146813,139109,121353,116459,117558,121627,121335,121603,121118,121168,123228,127221,134063,134542
 "04000","Arizona",6,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",7989,8621,8124,7717,7215,7490,8598,9812,9749,7672,5660,3677,3195,3079,3215,3519,3889,4114,4266,4596,4699,4592,4547
 "04000","Arizona",6,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",8288,8800,9158,8431,8070,8019,8531,9693,10437,10057,8542,6243,5480,5007,5212,5666,6593,6064,6496,6775,7080,7214,7443
 "04000","Arizona",6,SAEMP27N,513,"331","     Primary metal manufacturing","Number of jobs",6724,6200,6127,5808,4771,4316,4146,4257,4927,4680,4642,3918,3823,3599,4103,4166,4356,4238,3816,3690,3703,3950,3689
 "04000","Arizona",6,SAEMP27N,514,"332","     Fabricated metal product manufacturing","Number of jobs",19973,19544,20134,19267,17371,16865,17384,18212,18904,19869,18868,15482,15197,16150,17265,17699,18362,19133,19703,19415,20062,20720,21117
 "04000","Arizona",6,SAEMP27N,515,"333","     Machinery manufacturing","Number of jobs",9816,9383,9696,9194,8213,7784,8080,7596,7627,7784,7575,6294,5960,5820,6036,5756,6160,6533,6615,6978,7530,7793,7566
 "04000","Arizona",6,SAEMP27N,516,"334","     Computer and electronic product manufacturing","Number of jobs",60097,56284,57803,56810,49452,45082,44317,43243,44463,42764,41607,37871,37268,37623,38534,36916,34840,33146,31612,31281,31485,32929,33943
 "04000","Arizona",6,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",2680,2850,3285,2876,2346,2216,2111,2152,2433,2913,2742,2556,2491,2551,2463,2239,2295,2406,2560,3247,3134,3214,2946
 "04000","Arizona",6,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",7798,6724,6014,5658,(D),(D),(D),(D),(D),(D),(D),(D),(D),2714,(D),3301,3435,3496,2888,3091,3115,3633,3537
 "04000","Arizona",6,SAEMP27N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",27345,28768,30600,31070,(D),(D),(D),(D),(D),(D),(D),(D),(D),26899,(D),26646,25420,25212,26338,26984,28603,31146,31066
 "04000","Arizona",6,SAEMP27N,521,"337","     Furniture and related product manufacturing","Number of jobs",8728,9142,9042,8580,8243,8395,8987,9317,9598,9097,7531,5292,4674,4700,5008,5213,5584,5878,5845,5932,6061,6177,6017
 "04000","Arizona",6,SAEMP27N,522,"339","     Miscellaneous manufacturing","Number of jobs",9195,8883,8814,8793,8613,8799,8824,9308,9801,9827,9206,8295,8197,9416,9751,10214,10669,10898,11029,11239,11749,12695,12671
 "04000","Arizona",6,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",42170,42911,41581,37723,35701,35497,34860,34990,35579,34075,33069,30569,30135,30653,31932,32650,33466,35399,37299,39031,41136,42179,40977
 "04000","Arizona",6,SAEMP27N,531,"311","     Food manufacturing","Number of jobs",8813,9202,8810,8280,8973,9386,9547,9615,9455,8798,8751,8761,8851,8956,9352,9906,10487,11221,12426,13350,14134,13888,12987
 "04000","Arizona",6,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",3188,3770,3752,3748,3536,3513,3454,3430,3782,3894,3723,3512,3389,3371,3409,3512,3558,3685,3874,4164,4497,4691,4988
 "04000","Arizona",6,SAEMP27N,533,"313","     Textile mills","Number of jobs",683,744,726,803,757,716,726,187,196,353,374,394,370,345,319,302,344,322,313,242,195,180,150
 "04000","Arizona",6,SAEMP27N,534,"314","     Textile product mills","Number of jobs",1397,1406,1400,1241,1064,1185,1318,1460,1527,1440,1311,1048,656,766,794,770,726,647,698,731,687,701,771
 "04000","Arizona",6,SAEMP27N,535,"315","     Apparel manufacturing","Number of jobs",1389,1236,1171,669,655,557,426,323,385,347,295,203,211,188,143,191,248,475,522,411,425,468,498
 "04000","Arizona",6,SAEMP27N,536,"316","     Leather and allied product manufacturing","Number of jobs",436,465,433,318,504,475,331,277,259,264,298,313,382,361,360,386,262,263,338,313,275,252,152
 "04000","Arizona",6,SAEMP27N,537,"322","     Paper manufacturing","Number of jobs",2799,3082,3142,2722,2765,2812,3091,3205,2863,2735,2635,2303,2296,2390,2336,2071,2084,2175,2188,2148,2054,2300,2416
 "04000","Arizona",6,SAEMP27N,538,"323","     Printing and related support activities","Number of jobs",9155,9248,9000,8188,7472,6771,6741,6816,6965,6789,6435,5712,5349,5315,5681,6080,6215,6329,6262,6102,6239,6117,5473
 "04000","Arizona",6,SAEMP27N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",192,193,223,173,161,163,228,196,216,215,205,191,212,289,247,208,216,228,200,195,197,201,230
 "04000","Arizona",6,SAEMP27N,541,"325","     Chemical manufacturing","Number of jobs",6205,5618,5530,4548,3613,3687,3859,4491,4886,5013,4663,4327,4345,4680,5078,5116,5322,5901,6201,6496,7254,7845,7601
 "04000","Arizona",6,SAEMP27N,542,"326","     Plastics and rubber products manufacturing","Number of jobs",7913,7947,7394,7033,6201,6232,5139,4990,5045,4227,4379,3805,4074,3992,4213,4108,4004,4153,4277,4879,5179,5536,5711
 "04000","Arizona",6,SAEMP27N,600,"42","   Wholesale trade","Number of jobs",89097,91993,95267,96706,94937,93987,96576,101141,106762,111302,110385,102199,98356,98134,98855,99388,95596,95531,96359,97601,99296,100365,99962
 "04000","Arizona",6,SAEMP27N,700,"44-45","   Retail trade","Number of jobs",252314,261353,271557,272387,274591,280350,293404,311931,327212,335936,324671,300601,295083,297189,300017,301687,314831,324214,330482,334056,329693,329708,322918
 "04000","Arizona",6,SAEMP27N,701,"441","    Motor vehicle and parts dealers","Number of jobs",39791,40140,41835,42905,43215,43573,44453,46019,47110,47908,43092,36019,34923,35989,37620,39702,41524,43485,44306,45587,46853,49098,48175
 "04000","Arizona",6,SAEMP27N,702,"442","    Furniture and home furnishings stores","Number of jobs",10492,10919,11806,11050,11356,11891,13000,14344,15426,14895,12530,9700,9119,9054,9363,9677,10169,10349,10493,10645,10795,10139,9405
 "04000","Arizona",6,SAEMP27N,703,"443","    Electronics and appliance stores","Number of jobs",9168,9955,10633,10235,9458,10077,10428,10964,12117,12517,13127,12554,13743,14738,14008,11101,11444,11562,12264,12297,10849,10079,9738
 "04000","Arizona",6,SAEMP27N,704,"444","    Building material and garden equipment and supplies dealers","Number of jobs",15927,17203,18263,18897,20650,20982,22368,24792,28243,27647,24425,21545,21116,21128,21178,21754,22913,23399,24513,25450,26568,26850,29536
 "04000","Arizona",6,SAEMP27N,705,"445","    Food and beverage stores","Number of jobs",49366,50667,50164,49187,49073,50145,52928,56116,59136,61123,59460,58622,56730,55595,54624,54755,56000,57682,58560,60661,60542,59759,62039
 "04000","Arizona",6,SAEMP27N,706,"446","    Health and personal care stores","Number of jobs",13009,13543,14458,14829,15234,15831,16168,17153,17867,18185,18849,18279,18049,18025,17972,18549,18851,19023,19714,19875,19367,19864,19243
 "04000","Arizona",6,SAEMP27N,707,"447","    Gasoline stations","Number of jobs",17673,18202,18080,18189,17228,16700,16373,16695,16700,16940,16840,15848,14946,14761,15133,15701,16508,17500,17701,17922,17546,17829,17330
 "04000","Arizona",6,SAEMP27N,708,"448","    Clothing and clothing accessories stores","Number of jobs",16849,17103,17490,17605,18520,19027,20289,21478,22593,24169,23264,21920,22166,21606,22400,23209,22755,22362,22775,22906,22137,21106,15769
 "04000","Arizona",6,SAEMP27N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Number of jobs",11413,11663,11737,11696,11590,11403,11624,12330,12854,13443,13148,12101,11815,11378,11311,11766,12095,12088,11937,11687,11468,11021,9754
 "04000","Arizona",6,SAEMP27N,711,"452","    General merchandise stores","Number of jobs",41278,43335,47545,49280,50711,52461,56186,59875,61784,65016,67128,63203,62123,63824,63838,63743,64704,66656,66630,65552,65099,64386,63651
 "04000","Arizona",6,SAEMP27N,712,"453","    Miscellaneous store retailers","Number of jobs",20024,21242,21221,21356,21195,21115,21604,21790,22641,22603,21167,19077,18568,18989,19329,19797,20794,20880,20731,20590,21207,22061,20022
 "04000","Arizona",6,SAEMP27N,713,"454","    Nonstore retailers","Number of jobs",7324,7381,8325,7158,6361,7145,7983,10375,10741,11490,11641,11733,11785,12102,13241,11933,17074,19228,20858,20884,17262,17516,18256
 "04000","Arizona",6,SAEMP27N,800,"48-49","   Transportation and warehousing","Number of jobs",63168,66383,66021,66096,66028,66394,68482,70661,74996,75485,74335,69375,66535,70107,72467,73148,75606,79802,82965,86558,99669,107699,119158
 "04000","Arizona",6,SAEMP27N,801,"481","    Air transportation","Number of jobs",16801,17787,15885,15229,14676,14493,15325,15411,16754,16370,15340,14217,13665,13612,13834,13044,13097,13651,13993,14092,14430,14286,13282
 "04000","Arizona",6,SAEMP27N,802,"482","    Rail transportation","Number of jobs",2560,2589,2478,2462,2361,2329,2525,(D),2739,(D),(D),(D),(D),2317,2364,(D),(D),(D),2426,2378,(D),(D),(D)
 "04000","Arizona",6,SAEMP27N,803,"483","    Water transportation","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0
 "04000","Arizona",6,SAEMP27N,804,"484","    Truck transportation","Number of jobs",17065,17848,18120,18297,18847,18706,19157,20249,21007,21196,20218,17987,17434,18590,19687,19668,19917,20889,22010,22103,22955,23997,24359
