GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "12000","Florida",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",6976587,7227372,7448054,7473715,7515541,7664325,7890743,8163188,8381988,8376376,8100529,7598169,7519804,7601048,7760916,7935168,8191643,8472297,8744109,8936892,9155162,9356095,8901285
 "12000","Florida",5,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",50028,52071,56633,54250,52767,57403,52219,45035,46993,47050,45006,40686,43192,44307,47948,44639,48772,42091,40153,41184,39391,39774,42061
 "12000","Florida",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",6926559,7175301,7391421,7419465,7462774,7606922,7838524,8118153,8334995,8329326,8055523,7557483,7476612,7556741,7712968,7890529,8142871,8430206,8703956,8895708,9115771,9316321,8859224
 "12000","Florida",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",5869682,6110071,6298641,6307362,6331284,6454198,6676333,6939634,7138874,7118517,6834755,6352339,6273109,6375012,6547323,6727155,6984776,7264927,7518386,7695246,7915227,8102420,7661648
 "12000","Florida",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",61155,56935,52561,48904,45457,46055,47092,46794,47644,46990,45608,45025,44265,43000,42231,44342,45168,45206,44502,44552,44463,44402,42578
 "12000","Florida",5,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",3286,3157,3002,2802,2801,(D),2915,2988,(D),(D),2605,2814,2882,2805,2581,2575,2373,2478,2436,2416,2196,2210,2189
 "12000","Florida",5,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",849,881,745,734,677,(D),641,568,(D),(D),523,473,519,511,483,430,413,473,482,483,420,422,493
 "12000","Florida",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",57020,52897,48814,45368,41979,42496,43536,43238,44071,43691,42480,41738,40864,39684,39167,41337,42382,42255,41584,41653,41847,41770,39896
 "12000","Florida",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",6838,6454,6239,6162,5433,5360,5448,5366,4640,4773,4491,3717,3623,3871,3949,3958,4100,4087,4168,4069,4135,4045,3720
 "12000","Florida",5,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),187,240,231,175,141,124,126,113,113,76,73,74,97,101,158,147,120,90,87,60,40
 "12000","Florida",5,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",6533,6128,5829,5706,4964,4888,4985,4704,4018,4162,3901,3282,3020,3260,3279,3308,3389,3374,3503,3393,3397,3415,3257
 "12000","Florida",5,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),216,238,297,322,538,496,498,477,359,530,537,573,549,553,566,545,586,651,570,423
 "12000","Florida",5,SAEMP27N,300,"22","   Utilities","Number of jobs",27318,27903,27817,27986,25257,24499,24092,24279,24711,23966,23899,23638,22529,22433,22656,22301,21994,22480,22868,23029,23305,22583,22821
 "12000","Florida",5,SAEMP27N,400,"23","   Construction","Number of jobs",378845,394271,416005,438421,461646,486037,544598,623549,682666,623446,527387,404545,357912,343275,352138,375700,406884,442772,486248,517353,554468,578712,576307
 "12000","Florida",5,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",81098,83868,89021,91961,96338,103783,116147,136540,147371,132799,108645,80133,70296,65524,69483,76151,83253,90913,98170,104345,111559,115207,112901
 "12000","Florida",5,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",61202,64744,65954,67666,65797,66245,71497,75186,79473,76686,68914,55860,51560,46173,46781,48959,51445,54840,60653,66832,69563,73618,75510
 "12000","Florida",5,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",236545,245659,261030,278794,299511,316009,356954,411823,455822,413961,349828,268552,236056,231578,235874,250590,272186,297019,327425,346176,373346,389887,387896
 "12000","Florida",5,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",456832,454251,452021,434748,409906,393243,396034,403758,410901,396139,371753,324308,307685,311633,317158,322368,331782,343013,355287,363708,372181,384999,377185
 "12000","Florida",5,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",297750,297977,300904,290463,271422,258466,263681,272697,281046,267802,250074,214159,202737,205625,209441,214950,222967,233264,240652,246873,254171,263201,258893
 "12000","Florida",5,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",16745,16717,16637,16962,18212,18025,20482,22614,22086,17407,12850,9178,8450,8608,8853,10388,11254,12638,13501,14059,14469,14057,13966
 "12000","Florida",5,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",22336,22600,23447,23851,23475,22642,24566,25887,30028,26595,22227,17521,15455,15251,15806,17293,18517,19725,20428,21663,22287,23309,22948
