GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "44000","Rhode Island",1,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",478729,487477,497676,498580,498821,502188,505747,505702,508017,508026,497535,475472,474027,475367,477449,483908,491546,499515,503575,507665,513219,517345,475325
 "44000","Rhode Island",1,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",619,618,648,660,660,677,562,545,499,484,527,510,503,550,537,613,615,614,572,494,482,485,463
 "44000","Rhode Island",1,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",478110,486859,497028,497920,498161,501511,505185,505157,507518,507542,497008,474962,473524,474817,476912,483295,490931,498901,503003,507171,512737,516860,474862
 "44000","Rhode Island",1,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",403096,411787,420636,421095,420601,423644,428276,429456,432349,432136,422348,401581,400421,402555,405473,411564,419062,426828,429756,433886,439336,441435,401416
 "44000","Rhode Island",1,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",773,780,781,(D),(D),621,634,597,585,567,548,524,(D),(D),554,(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",(T),(T),(T),5,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3,(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",552,550,550,(D),458,476,489,467,471,467,451,431,468,429,458,420,441,505,491,(D),438,(D),(D)
 "44000","Rhode Island",1,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",(T),(T),177,142,147,(D),(D),(D),(D),(D),(D),(D),(D),(D),93,100,(D),(D),(D),(D),(D),(D),112
 "44000","Rhode Island",1,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",288,299,306,(D),(D),186,190,253,260,279,246,194,(D),(D),188,(D),(D),(D),(D),(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0
 "44000","Rhode Island",1,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",(T),214,213,(D),210,170,(D),252,259,276,244,(D),172,(D),(D),181,202,198,199,(D),(D),(D),(D)
 "44000","Rhode Island",1,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAEMP27N,300,"22","   Utilities","Number of jobs",1484,1347,1376,(D),(D),1172,1091,1145,1145,1113,1111,1119,1129,1077,1058,1060,1057,1082,1080,1093,1141,1114,1100
 "44000","Rhode Island",1,SAEMP27N,400,"23","   Construction","Number of jobs",16258,17899,18496,19658,(D),21740,21900,22457,23525,22774,20958,17689,16453,16088,16467,16545,16899,17441,18578,(D),19683,20491,19394
 "44000","Rhode Island",1,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",4104,4419,4512,4884,5105,5242,5610,5911,5948,5617,5197,4210,3890,3810,3970,4091,4138,4346,4467,4613,4805,4992,4772
 "44000","Rhode Island",1,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",1712,1695,1596,1908,(D),2357,2342,2147,2188,2162,2014,1769,1753,1699,1885,1926,1903,1848,1870,(D),1991,2213,2190
 "44000","Rhode Island",1,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",10442,11785,12388,12866,12938,14141,13948,14399,15389,14995,13747,11710,10810,10579,10612,10528,10858,11247,12241,12379,12887,13286,12432
