GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "96000","Southwest",6,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",13826344,14125923,14528072,14651374,14577730,14543015,14771534,15184877,15729993,16128515,16325983,15751338,15696005,15986357,16413520,16807907,17240255,17616537,17815582,18103515,18534079,18967068,18199799
 "96000","Southwest",6,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",77293,70834,80490,92516,80581,76257,74527,79561,70990,76005,73611,78922,70778,68854,73727,80452,76032,75874,81651,75319,76465,70233,82036
 "96000","Southwest",6,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",13749051,14055089,14447582,14558858,14497149,14466758,14697007,15105316,15659003,16052510,16252372,15672416,15625227,15917503,16339793,16727455,17164223,17540663,17733931,18028196,18457614,18896835,18117763
 "96000","Southwest",6,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",11207378,11475968,11806260,11887204,11754750,11694958,11906441,12279422,12788636,13146432,13274754,12634506,12558716,12898773,13346617,13726475,14155697,14506324,14668324,14942199,15362484,15758286,15013643
 "96000","Southwest",6,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",64464,64202,62946,51820,53050,51684,51856,52083,51189,50241,49720,47854,50767,50751,51138,51553,52842,55185,54968,54281,54083,53994,51297
 "96000","Southwest",6,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",4284,4082,3784,3315,3329,3099,(D),2945,2749,2584,2620,2423,2321,2223,2164,2136,2195,2265,2211,2147,2130,(D),(D)
 "96000","Southwest",6,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",508,592,638,1789,1877,1773,(D),1763,1767,1769,1754,1674,1769,1653,1694,1677,1763,2118,2047,1996,1784,(D),(D)
 "96000","Southwest",6,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",59672,59528,58524,46716,47844,46812,47111,47375,46673,45888,45346,43757,46677,46875,47280,47740,48884,50802,50710,50138,50169,50080,47162
 "96000","Southwest",6,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",213366,203855,201201,206429,194955,196624,206188,224259,254600,281567,315765,273220,275422,317103,362172,386559,408896,362278,293585,300012,333363,333853,252464
 "96000","Southwest",6,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",89858,84900,82673,81452,80500,(D),(D),84205,90510,96925,107333,(D),105087,113942,125851,133720,134357,131995,119045,98925,97433,96778,85573
