GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "50000","Vermont",1,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",298828,307020,315017,316443,316147,314749,318138,319449,321622,321217,320122,309536,310261,313167,318183,320076,323134,325808,326960,328508,329374,329218,300757
 "50000","Vermont",1,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",2583,2651,2857,2989,3064,3121,2572,2478,2251,2166,2359,2279,2249,2459,2581,2949,2961,2951,2754,2928,2859,2877,2748
 "50000","Vermont",1,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",296245,304369,312160,313454,313083,311628,315566,316971,319371,319051,317763,307257,308012,310708,315602,317127,320173,322857,324206,325580,326515,326341,298009
 "50000","Vermont",1,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",246934,253638,259406,260373,259064,257056,260522,261461,263374,262793,260962,250132,250595,253449,257934,259316,261907,264735,265984,267404,268463,268323,242569
 "50000","Vermont",1,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",856,846,836,799,823,799,804,796,818,806,810,887,909,909,859,880,921,935,902,907,883,913,893
 "50000","Vermont",1,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",224,215,208,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),187,204,196,171,195,213,203
 "50000","Vermont",1,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0
 "50000","Vermont",1,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",620,615,620,615,640,623,621,638,659,658,653,726,731,738,669,(D),734,731,706,736,688,700,690
 "50000","Vermont",1,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",776,838,863,931,833,777,768,697,834,833,740,650,594,611,648,621,600,646,639,616,612,623,601
 "50000","Vermont",1,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "50000","Vermont",1,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",766,827,860,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAEMP27N,300,"22","   Utilities","Number of jobs",1775,1690,1636,1651,1707,1730,1714,1704,1725,1738,1699,1756,1800,1801,1828,1790,1727,1548,1342,1263,1254,1237,1198
 "50000","Vermont",1,SAEMP27N,400,"23","   Construction","Number of jobs",13884,14850,15214,15755,15451,16006,17323,17426,17944,17352,16049,14157,13974,14445,14596,14475,15146,15562,15659,15586,15625,15675,14630
 "50000","Vermont",1,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",3964,4107,4305,4586,(D),4952,5340,5272,5292,5136,4629,3808,3629,3921,3953,3879,4041,4139,4211,4187,4171,4288,4077
 "50000","Vermont",1,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",1962,2096,2050,2173,(D),1855,1934,1954,1940,1743,1633,1618,1805,1661,1673,1614,1690,1627,1529,1533,1519,1463,1397
