GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "02000","Alaska",8,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",130194,134383,137079,140623,147036,165399,198767,208761,199967,197018,199329,202746,216274,231898,244471,254109,259208,249697,240230,244855,258330,269848,274562,279281,284926,288160,288869,289579,293471,298940,299907,307474,313492
 "02000","Alaska",8,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",185,188,282,380,192,205,205,205,205,300,300,300,285,260,282,253,135,125,140,147,168,189,198,215,212,206,197,221,226,301,351,237,216
 "02000","Alaska",8,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",130009,134195,136797,140243,146844,165194,198562,208556,199762,196718,199029,202446,215989,231638,244189,253856,259073,249572,240090,244708,258162,269659,274364,279066,284714,287954,288672,289358,293245,298639,299556,307237,313276
 "02000","Alaska",8,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",58934,62491,64394,67889,72540,88616,120923,131430,122500,118148,118303,122308,134577,146348,156401,163418,166548,156633,148282,151352,162387,170204,174958,177944,182774,189295,192477,193765,198097,202931,204550,210556,215948
 "02000","Alaska",8,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",1076,1043,1009,965,1205,1219,1176,1366,548,412,451,469,535,551,573,648,706,757,801,883,1060,1030,1149,1401,1539,1270,1301,1346,1344,1328,1403,1533,1505
 "02000","Alaska",8,SAEMP27S,110,"07","    Agricultural services","Number of jobs",41,51,66,75,89,104,128,135,155,200,190,191,237,302,342,423,434,465,456,468,447,504,549,600,697,751,794,858,899,(D),(D),1131,(NA)
 "02000","Alaska",8,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",1035,992,943,890,1116,1115,1048,1231,393,212,261,278,298,249,231,225,272,292,345,415,613,526,600,801,842,519,507,488,445,(D),(D),402,(NA)
 "02000","Alaska",8,SAEMP27S,121,"08","     Forestry","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),36,56,64,43,51,(D),(D),(D),66,65,70,70,81,74,78,(D),(D),70,(NA)
 "02000","Alaska",8,SAEMP27S,122,"...","     Fishing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),195,169,208,249,294,(D),(D),(D),534,736,772,449,426,414,367,(D),331,332,(NA)
 "02000","Alaska",8,SAEMP27S,200,"B","   Mining","Number of jobs",3484,2992,2419,2095,1947,2919,3760,3934,4450,5647,5815,6721,9003,9162,8317,8890,9691,9249,8985,9726,10437,11481,11867,10629,10184,10400,9928,9663,9665,10461,9380,10159,11293
 "02000","Alaska",8,SAEMP27S,210,"10","    Metal mining","Number of jobs",148,225,180,132,140,219,210,225,198,188,234,320,552,586,(D),(D),406,(D),511,746,886,1089,1034,1043,874,906,864,1065,1256,1261,1199,1240,(NA)
 "02000","Alaska",8,SAEMP27S,220,"12","    Coal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAEMP27S,230,"13","    Oil and gas extraction","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8735,(D),(D),10647,9341,9075,9254,8778,8231,8054,8876,7882,8600,(NA)
 "02000","Alaska",8,SAEMP27S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAEMP27S,300,"C","   Construction","Number of jobs",6984,7191,7765,8146,8009,14460,26636,31250,20232,12658,10420,11099,13450,17549,21735,21253,19373,13907,10470,9269,10169,10910,11014,10696,12283,13309,13548,13490,13637,13932,14315,14645,15322
 "02000","Alaska",8,SAEMP27S,310,"15","    General building contractors","Number of jobs",1906,2179,2479,2758,2745,3969,4189,3936,3577,3720,2881,2612,4038,4907,6093,6402,5556,3796,3064,2675,2605,2706,2890,2847,3323,3491,3737,3896,3914,3993,4411,4266,(NA)
 "02000","Alaska",8,SAEMP27S,320,"16","    Heavy construction contractors","Number of jobs",2746,2514,2579,2499,2106,6174,16640,21176,10326,3437,2888,3804,4518,5598,7312,5859,5183,4245,2950,2819,3550,3662,3418,2773,3141,3366,3241,2876,2998,2845,2492,2714,(NA)
 "02000","Alaska",8,SAEMP27S,330,"17","    Special trade contractors","Number of jobs",2332,2498,2707,2889,3158,4317,5807,6138,6329,5501,4651,4683,4894,7044,8330,8992,8634,5866,4456,3775,4014,4542,4706,5076,5819,6452,6570,6718,6725,7094,7412,7665,(NA)
 "02000","Alaska",8,SAEMP27S,400,"D","   Manufacturing","Number of jobs",7101,7901,7851,8087,9396,9658,9704,10383,10904,11636,12881,14301,14108,12855,12057,11462,12241,12769,13212,15474,16045,17297,17977,18183,17218,16718,17114,16338,15750,14435,13652,14304,14023
 "02000","Alaska",8,SAEMP27S,410,"...","    Durable goods manufacturing","Number of jobs",2086,2261,2339,2362,2780,3094,3060,2861,2848,2713,3167,3507,3057,2984,2693,2582,2597,2627,3095,3431,3752,3921,3439,3097,3097,3146,3274,2995,3021,2725,2858,2745,2490
 "02000","Alaska",8,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",1622,1787,1796,1822,2215,2434,2217,2085,2211,1863,2171,2550,2225,2114,1882,1745,1724,1893,2412,2716,2945,3106,2645,2395,2378,2276,2258,1903,1918,1597,1707,1525,(NA)
 "02000","Alaska",8,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),30,30,(D),(D),(D),(D),(D),(D),(D),(D),42,28,35,34,42,37,37,(NA)
 "02000","Alaska",8,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",253,256,302,269,281,300,399,368,277,260,227,219,291,288,291,349,331,308,307,262,258,264,276,249,264,300,293,301,308,324,335,(D),(NA)
 "02000","Alaska",8,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15,23,(D),(D),13,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",8,15,45,49,55,84,171,132,129,163,163,170,229,249,174,162,162,150,126,127,126,119,101,98,101,104,239,244,202,217,195,222,(NA)
 "02000","Alaska",8,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",63,51,35,50,44,74,108,115,85,240,405,362,85,92,87,83,80,65,35,35,57,54,59,50,67,82,86,112,98,105,84,76,(NA)
 "02000","Alaska",8,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),15,12,12,14,(D),(D),(D),(D),(D),(D),11,18,18,17,15,16,14,11,(NA)
 "02000","Alaska",8,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,(D),(D),(D),10,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",54,63,60,57,55,52,49,41,39,72,82,93,101,97,98,94,132,84,116,173,249,243,229,185,160,190,210,258,299,(D),(D),(D),(NA)
 "02000","Alaska",8,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",4,2,2,2,2,0,9,11,11,7,1,1,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "02000","Alaska",8,SAEMP27S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",27,29,40,43,53,61,65,76,66,74,83,80,89,101,102,85,98,72,55,55,51,51,47,38,44,69,77,65,59,(D),(D),(D),(NA)
