GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "09000","Connecticut",1,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",1278214,1270474,1240264,1264236,1318287,1346539,1300973,1321709,1366956,1429430,1482440,1508221,1520182,1510203,1525518,1597331,1639328,1681793,1725667,1753269,1748068,1707332,1629346,1591788,1599350,1609837,1627959,1648631,1680101,1709380,1732908,1756884,1753339
 "09000","Connecticut",1,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",7677,7272,7551,8553,8503,9206,8398,9210,9746,8400,8198,9091,8357,7959,8595,7739,6456,6945,7097,6807,6016,6051,5989,5880,5977,6246,5997,5829,5659,5626,5662,5991,6159
 "09000","Connecticut",1,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",1270537,1263202,1232713,1255683,1309784,1337333,1292575,1312499,1357210,1421030,1474242,1499130,1511825,1502244,1516923,1589592,1632872,1674848,1718570,1746462,1742052,1701281,1623357,1585908,1593373,1603591,1621962,1642802,1674442,1703754,1727246,1750893,1747180
 "09000","Connecticut",1,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",1090043,1080182,1047589,1065361,1112282,1131267,1084138,1106978,1151765,1211832,1262096,1286214,1301932,1294166,1306815,1376023,1414881,1449887,1487055,1509926,1505350,1460861,1386338,1356503,1362877,1366682,1383539,1402203,1430389,1457899,1475703,1492428,1482436
 "09000","Connecticut",1,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",3760,3797,3937,3889,4096,4089,3847,4095,4330,5465,5890,6001,5441,5869,6476,7428,7921,9075,9901,10098,9908,9457,8733,8523,9376,9693,10026,10858,11263,11681,12542,13118,13808
 "09000","Connecticut",1,SAEMP27S,110,"07","    Agricultural services","Number of jobs",3683,3725,3875,3832,4050,4033,3615,3892,4088,5229,5616,5711,5098,5572,6200,7158,7832,8990,9817,10014,9782,9336,8598,8414,9253,9575,9914,10744,11138,11552,12421,12987,(NA)
 "09000","Connecticut",1,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",77,72,62,57,46,56,232,203,242,236,274,290,343,297,276,270,89,85,84,84,126,121,135,109,123,118,112,114,125,129,121,131,(NA)
 "09000","Connecticut",1,SAEMP27S,121,"08","     Forestry","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),28,37,30,(D),(D),(D),27,26,44,(NA)
 "09000","Connecticut",1,SAEMP27S,122,"...","     Fishing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),81,86,88,(D),(D),(D),102,95,87,(NA)
 "09000","Connecticut",1,SAEMP27S,200,"B","   Mining","Number of jobs",738,786,725,722,776,885,910,859,1711,1605,1652,1806,1967,1790,1554,1508,1656,1605,1621,1651,1321,974,821,849,831,748,725,746,748,792,805,817,845
 "09000","Connecticut",1,SAEMP27S,210,"10","    Metal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,(D),0,(D),(D),(D),(D),(D),0,0,0,0,0,0,0,(NA)
 "09000","Connecticut",1,SAEMP27S,220,"12","    Coal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,(NA)
 "09000","Connecticut",1,SAEMP27S,230,"13","    Oil and gas extraction","Number of jobs",11,15,11,17,26,35,24,32,177,230,225,241,276,223,180,171,162,(D),130,(D),106,41,(D),(D),(D),(D),(D),(D),39,(D),(D),(D),(NA)
 "09000","Connecticut",1,SAEMP27S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),805,804,836,911,996,1130,1202,921,765,645,696,697,705,684,(D),709,(D),(D),(D),(NA)
 "09000","Connecticut",1,SAEMP27S,300,"C","   Construction","Number of jobs",57538,59863,57450,57196,59168,53781,45169,40621,43279,47840,52160,49947,50412,50813,56125,62830,68104,73538,80006,84064,77657,64357,53883,49335,49679,51591,52691,54546,58597,60888,63239,67289,67619
 "09000","Connecticut",1,SAEMP27S,310,"15","    General building contractors","Number of jobs",17246,17197,16173,15962,16508,14840,11429,10911,11835,13200,14071,12791,12367,12171,13452,16127,18967,21857,24522,25277,20382,15581,11939,10029,10047,10532,10372,10654,11552,12376,13072,13733,(NA)
 "09000","Connecticut",1,SAEMP27S,320,"16","    Heavy construction contractors","Number of jobs",9275,10379,9983,10186,9974,9326,7972,5681,6331,6250,7324,7161,7420,8597,9725,9992,8697,7077,7293,7485,9067,8262,7311,7225,6379,6085,6476,7070,7279,6942,6351,6696,(NA)
 "09000","Connecticut",1,SAEMP27S,330,"17","    Special trade contractors","Number of jobs",31017,32287,31294,31048,32686,29615,25768,24029,25113,28390,30765,29995,30625,30045,32948,36711,40440,44604,48191,51302,48208,40514,34633,32081,33253,34974,35843,36822,39766,41570,43816,46860,(NA)
 "09000","Connecticut",1,SAEMP27S,400,"D","   Manufacturing","Number of jobs",473531,443518,401396,401089,421184,431213,390372,397641,407482,420763,437430,441560,438539,418161,403573,416458,409593,396079,386055,374870,361547,342733,324058,306697,295262,286661,280597,276458,276097,277437,268407,262932,254292
 "09000","Connecticut",1,SAEMP27S,410,"...","    Durable goods manufacturing","Number of jobs",366239,339682,301937,299650,317410,329344,295103,300532,308879,321259,336839,341555,337969,316195,301875,312526,307100,295222,288224,280372,269443,253644,236897,222274,211057,202063,197231,194889,194117,195060,187156,183384,177519
 "09000","Connecticut",1,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",1937,1944,1839,1962,2152,1876,1676,1810,1858,2223,2337,2289,2347,2211,2511,3128,3321,3434,(D),3611,3058,(D),2168,2163,2203,2281,2467,2521,(D),2817,3043,3109,(NA)
 "09000","Connecticut",1,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",5093,4771,4584,5037,5723,6004,5150,5354,5441,5262,4756,4415,4108,4156,3660,4064,4176,4050,3925,3711,3432,(D),2602,2406,2298,2210,2306,2271,(D),2553,2921,2989,(NA)
 "09000","Connecticut",1,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",9257,9451,9011,8882,9282,9168,7694,7621,7970,8695,8656,7358,7276,6462,5848,5479,5435,5189,5181,4947,4401,3965,3463,3162,3100,2881,2769,2847,2961,2815,2756,2859,(NA)
 "09000","Connecticut",1,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",26344,25076,22615,22705,23777,23843,19883,20314,19589,21019,22011,20572,19295,17801,16382,16228,14668,13610,13194,13230,12002,10998,10264,9370,9054,9188,9326,9149,9017,9322,9376,9216,(NA)
 "09000","Connecticut",1,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",60156,57800,54467,56775,59552,61392,60939,62634,62762,65603,67407,65804,65257,59663,55827,52060,49348,45144,43409,44226,41395,38279,34569,33566,33714,34233,34305,34125,34729,35510,34065,33738,(NA)
 "09000","Connecticut",1,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",65584,61412,52704,53309,57999,60087,56408,54597,59194,58788,60915,63168,58593,52086,47455,49950,50048,51102,47957,47540,46615,44420,40123,37278,36074,35318,35070,35451,34398,34950,33053,32808,(NA)
 "09000","Connecticut",1,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",48558,45654,40362,41835,44548,45434,38408,40812,42894,47674,49927,51448,51784,50266,50942,60748,58972,51022,50159,41204,38484,34729,31359,29187,28055,27745,27725,28245,28900,28436,26888,27363,(NA)
 "09000","Connecticut",1,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",1629,1777,1635,1394,1769,1784,1686,1575,1566,1394,1464,1188,2178,1914,1822,3216,3346,3201,(D),3069,3082,2702,2452,2277,2612,2795,3023,3068,3871,3846,4429,4327,(NA)
 "09000","Connecticut",1,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",95713,86374,74771,67706,72281,76901,71182,71883,72718,73763,82143,86473,86097,82610,80062,79243,80031,82364,83967,78961,79645,78075,75150,68388,60394,54278,50160,47654,46195,46443,43807,41240,(NA)
