GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "11000","District of Columbia",2,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",645858,641570,635649,637616,633151,639600,640256,634888,638911,650744,662281,660575,645481,627657,622745,644355,655519,670093,689431,709118,716505,727514,714011,711174,708724,693384,674168,656731,650449,652232,664926,684236,688978
 "11000","District of Columbia",2,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",645858,641570,635649,637616,633151,639600,640256,634888,638911,650744,662281,660575,645481,627657,622745,644355,655519,670093,689431,709118,716505,727514,714011,711174,708724,693384,674168,656731,650449,652232,664926,684236,688978
 "11000","District of Columbia",2,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",355538,350371,339615,339386,334620,336124,335623,329257,331189,339588,351770,354296,351626,345194,346949,362143,374948,387879,401678,416073,423766,426007,409659,404055,403074,403729,401298,396785,397692,403340,419633,443493,443820
 "11000","District of Columbia",2,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",236,159,213,171,162,181,208,185,164,201,205,201,143,134,159,183,223,256,252,310,292,267,229,241,252,262,271,241,278,(D),(D),(D),(D)
 "11000","District of Columbia",2,SAEMP27S,110,"07","    Agricultural services","Number of jobs",236,159,213,171,162,181,208,185,164,201,205,201,143,134,159,183,223,256,252,310,292,267,229,241,252,262,271,(D),(D),(D),(D),278,(NA)
 "11000","District of Columbia",2,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),0,0,(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,121,"08","     Forestry","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAEMP27S,122,"...","     Fishing","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),0,0,(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,200,"B","   Mining","Number of jobs",41,40,44,40,42,46,34,38,40,46,49,52,56,61,74,76,90,87,84,74,60,69,89,53,54,60,57,48,45,(D),(D),(D),(D)
 "11000","District of Columbia",2,SAEMP27S,210,"10","    Metal mining","Number of jobs",0,0,0,0,2,4,9,7,7,7,7,10,11,11,11,10,8,7,(D),(D),(D),5,7,7,7,(D),(D),(D),(D),(D),(D),(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,220,"12","    Coal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,(NA)
 "11000","District of Columbia",2,SAEMP27S,230,"13","    Oil and gas extraction","Number of jobs",41,40,44,40,40,42,22,26,25,25,26,27,34,35,45,48,71,66,68,59,(D),(D),73,41,41,49,44,36,34,36,30,29,(NA)
 "11000","District of Columbia",2,SAEMP27S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),10,9,11,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,300,"C","   Construction","Number of jobs",19774,20354,19658,21162,22168,24611,19883,16675,14903,14983,14721,13508,12092,10959,10445,11944,13650,14754,15162,14219,14741,14612,11443,9248,8885,9601,9168,9060,9590,9383,9733,11659,11497
 "11000","District of Columbia",2,SAEMP27S,310,"15","    General building contractors","Number of jobs",5933,6393,5917,6492,7266,8166,5321,4912,3913,4526,4800,4502,4567,4039,3813,4129,5282,5409,5293,4871,4990,4774,3643,3099,2906,3002,2844,3234,3251,3175,3670,4372,(NA)
 "11000","District of Columbia",2,SAEMP27S,320,"16","    Heavy construction contractors","Number of jobs",2604,2879,3230,3573,4449,4991,5236,3591,2821,2842,2283,1729,1098,828,918,925,1083,1565,1933,1827,1954,1862,1762,1361,1258,1575,1459,1570,1551,1574,1534,1729,(NA)
 "11000","District of Columbia",2,SAEMP27S,330,"17","    Special trade contractors","Number of jobs",11237,11082,10511,11097,10453,11454,9326,8172,8169,7615,7638,7277,6427,6092,5714,6890,7285,7780,7936,7521,7797,7976,6038,4788,4721,5024,4865,4256,4788,4634,4529,5558,(NA)
 "11000","District of Columbia",2,SAEMP27S,400,"D","   Manufacturing","Number of jobs",20169,18705,17976,17150,16594,16370,15472,15330,14859,15184,15451,15780,14603,13849,14362,14708,14990,15736,16280,16686,16074,15871,14984,14072,13868,13255,12988,13170,13023,13128,12720,12264,11890
 "11000","District of Columbia",2,SAEMP27S,410,"...","    Durable goods manufacturing","Number of jobs",2586,2330,2063,1915,1776,1718,1553,1569,1606,1501,1459,1361,1290,1197,1137,1472,1987,2698,2725,2477,2356,2153,2110,1546,1518,1461,1421,1768,1705,2070,1931,1524,1405
 "11000","District of Columbia",2,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",165,175,110,65,47,44,36,43,39,41,39,26,24,28,22,31,29,(D),35,(D),99,99,(D),(D),23,21,31,27,25,35,(D),(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",122,103,94,65,12,9,16,15,14,12,14,19,21,17,18,28,43,44,53,48,54,50,37,52,62,55,48,60,59,66,45,38,(NA)
 "11000","District of Columbia",2,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",453,409,310,284,320,272,185,151,126,145,157,136,130,149,134,144,176,192,208,210,221,204,192,120,122,128,105,97,92,89,102,(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),19,36,40,39,39,39,38,34,31,28,23,20,18,(NA)
 "11000","District of Columbia",2,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",320,275,308,446,393,408,282,268,248,236,236,125,99,72,72,69,77,64,65,58,75,75,72,60,49,46,45,37,32,37,34,24,(NA)
 "11000","District of Columbia",2,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",161,127,184,113,62,111,252,336,197,78,77,75,74,70,63,103,197,233,209,325,(D),(D),154,140,151,128,115,120,124,104,90,131,(NA)
 "11000","District of Columbia",2,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",665,583,513,423,399,367,325,317,314,285,199,220,218,186,201,236,271,(D),1182,(D),(D),(D),(D),(D),(D),(D),(D),975,920,1182,(D),(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),40,42,48,50,45,46,42,41,39,40,(D),(D),(D),(D),(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",246,208,154,146,141,142,137,136,133,105,87,59,63,77,78,(D),(D),(D),(D),196,183,183,215,(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",168,164,154,151,130,113,89,88,86,93,89,87,67,66,59,64,68,76,100,143,97,89,91,77,58,48,55,42,43,49,41,57,(NA)
 "11000","District of Columbia",2,SAEMP27S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",258,262,215,199,201,166,121,114,110,109,101,106,109,104,98,116,124,121,138,127,120,110,109,104,106,100,101,90,80,146,156,176,(NA)
 "11000","District of Columbia",2,SAEMP27S,447,"...","     Ordnance 2/","Number of jobs",1,1,1,0,0,0,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "11000","District of Columbia",2,SAEMP27S,450,"...","    Nondurable goods manufacturing","Number of jobs",17583,16375,15913,15235,14818,14652,13919,13761,13253,13683,13992,14419,13313,12652,13225,13236,13003,13038,13555,14209,13718,13718,12874,12526,12350,11794,11567,11402,11318,11058,10789,10740,10485
 "11000","District of Columbia",2,SAEMP27S,453,"20","     Food and kindred products","Number of jobs",3493,2529,2097,1770,1685,1531,1243,1108,1073,1004,952,977,888,813,773,647,634,573,531,439,(D),318,354,369,381,390,345,340,316,306,308,279,(NA)
 "11000","District of Columbia",2,SAEMP27S,456,"21","     Tobacco products","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26,24,0,(D),(D),(D),4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,459,"22","     Textile mill products","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),16,14,9,9,9,11,25,22,22,26,27,24,25,12,10,8,13,(NA)
 "11000","District of Columbia",2,SAEMP27S,462,"23","     Apparel and other textile products","Number of jobs",109,97,87,74,76,43,64,47,50,54,56,59,43,41,40,43,(D),(D),58,39,40,38,27,17,12,(D),4,16,12,(D),16,15,(NA)
 "11000","District of Columbia",2,SAEMP27S,465,"26","     Paper and allied products","Number of jobs",249,234,207,166,62,45,359,357,344,326,323,318,369,398,420,376,69,47,39,37,36,37,38,66,71,71,68,71,70,70,71,(D),(NA)
 "11000","District of Columbia",2,SAEMP27S,468,"27","     Printing and publishing","Number of jobs",13438,13228,13244,12940,12695,12746,11820,11843,11374,11862,12206,12578,11512,10906,11504,11668,11779,11952,12488,13289,12990,12969,12181,11791,11594,11034,10890,10691,10667,10385,10107,10116,(NA)
