GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "13000","Georgia",5,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",1857261,1849605,1875636,1946911,2040593,2057844,1989411,2071067,2164577,2272580,2345351,2377591,2408910,2415797,2489126,2665966,2778088,2885840,2993644,3086984,3148430,3182256,3119423,3186782,3313436,3463359,3599687,3715078,3805328,3929292,4043055,4132965,4122141
 "13000","Georgia",5,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",30355,30809,28077,25543,31522,33757,38919,35817,33856,34000,32992,36963,40645,37193,40233,36190,29447,20761,23700,26286,25226,24989,23317,21969,21076,19795,19527,16253,20274,19254,16541,16155,15639
 "13000","Georgia",5,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",1826906,1818796,1847559,1921368,2009071,2024087,1950492,2035250,2130721,2238580,2312359,2340628,2368265,2378604,2448893,2629776,2748641,2865079,2969944,3060698,3123204,3157267,3096106,3164813,3292360,3443564,3580160,3698825,3785054,3910038,4026514,4116810,4106502
 "13000","Georgia",5,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",1393076,1401183,1430379,1507357,1592059,1597514,1505695,1577905,1655599,1751018,1809523,1820300,1851737,1852371,1925601,2094127,2205677,2307032,2398734,2472735,2520364,2540745,2476422,2534436,2652298,2786526,2919905,3039377,3116947,3230615,3346399,3421923,3399265
 "13000","Georgia",5,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",6604,6840,7014,7757,8275,8965,7453,8061,8313,10098,11075,11341,11417,11608,13130,15368,17064,18899,20348,20239,20241,20491,20501,20324,22347,24510,27332,28948,30912,31923,33262,34533,36383
 "13000","Georgia",5,SAEMP27S,110,"07","    Agricultural services","Number of jobs",4998,5070,5217,6035,6427,6859,5386,5989,6334,7963,8624,9082,9176,9923,11525,13744,15566,17226,18873,18735,18621,18829,18815,18757,20644,22596,25474,26907,28742,29650,30964,32054,(NA)
 "13000","Georgia",5,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",1606,1770,1797,1722,1848,2106,2067,2072,1979,2135,2451,2259,2241,1685,1605,1624,1498,1673,1475,1504,1620,1662,1686,1567,1703,1914,1858,2041,2170,2273,2298,2479,(NA)
 "13000","Georgia",5,SAEMP27S,121,"08","     Forestry","Number of jobs",1290,1440,1453,1363,1443,1645,1624,1603,1694,1770,2065,1898,1973,1398,1286,1393,1261,1384,1212,1166,1301,1391,1402,1300,1429,1586,1515,1688,1767,1864,1891,2034,(NA)
 "13000","Georgia",5,SAEMP27S,122,"...","     Fishing","Number of jobs",316,330,344,359,405,461,443,469,285,365,386,361,268,287,319,231,237,289,263,338,319,271,284,267,274,328,343,353,403,409,407,445,(NA)
 "13000","Georgia",5,SAEMP27S,200,"B","   Mining","Number of jobs",6815,7118,6986,6993,7273,7623,6882,6912,7300,7621,7828,7930,7874,7576,7463,7989,8138,8410,8772,9078,9047,8927,7599,7650,7613,7664,7760,7901,7907,8006,8013,7903,7658
 "13000","Georgia",5,SAEMP27S,210,"10","    Metal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,(D),(D),(D),(NA)
 "13000","Georgia",5,SAEMP27S,220,"12","    Coal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5,(D),(D),(D),(D),(NA)
 "13000","Georgia",5,SAEMP27S,230,"13","    Oil and gas extraction","Number of jobs",67,71,51,60,93,72,65,54,35,40,41,70,133,139,109,100,90,91,71,69,76,78,60,20,(D),(D),(D),40,(D),27,32,55,(NA)
 "13000","Georgia",5,SAEMP27S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",6416,6742,6654,6684,6995,7371,6670,6698,7022,7381,7595,7723,7611,7297,7232,7759,8015,8298,8678,8983,8952,8833,7528,7628,7587,7641,7738,7856,7869,7973,7746,7557,(NA)
 "13000","Georgia",5,SAEMP27S,300,"C","   Construction","Number of jobs",85315,82131,91101,106919,112528,108408,89829,86413,94419,104924,107009,108581,107249,106906,113138,136414,148692,158761,157237,155765,150837,151208,130772,125217,132403,145872,157099,169956,174346,186734,204374,211161,209809
 "13000","Georgia",5,SAEMP27S,310,"15","    General building contractors","Number of jobs",29530,28241,32262,38287,39784,37535,30671,29721,29391,32778,33382,33341,32661,32584,34066,41174,44440,46678,43297,41838,42324,44280,34422,30108,31861,35785,36743,39556,39477,42420,47331,48754,(NA)
 "13000","Georgia",5,SAEMP27S,320,"16","    Heavy construction contractors","Number of jobs",16652,16636,18241,20690,22073,21217,17725,16796,19364,21025,20937,21950,20639,20617,22787,27099,27402,28874,29184,25914,23542,22962,20253,19703,20689,21209,22505,23475,24265,25711,27577,29535,(NA)
 "13000","Georgia",5,SAEMP27S,330,"17","    Special trade contractors","Number of jobs",39133,37254,40598,47942,50671,49656,41433,39896,45664,51121,52690,53290,53949,53705,56285,68141,76850,83209,84756,88013,84971,83966,76097,75406,79853,88878,97851,106925,110604,118603,129466,132872,(NA)
 "13000","Georgia",5,SAEMP27S,400,"D","   Manufacturing","Number of jobs",477958,467694,461220,480831,498356,484056,439728,477646,498070,516097,531448,521415,525842,503148,515427,549919,556239,570603,576261,579682,571372,561047,541809,546751,557738,578853,590460,586641,590667,594441,596469,587871,551997
 "13000","Georgia",5,SAEMP27S,410,"...","    Durable goods manufacturing","Number of jobs",167581,158095,153359,160431,168145,159450,140361,153457,164833,175588,186159,182950,185513,179131,187747,208942,218770,225640,225829,227430,219423,212624,202647,202381,208800,221889,233125,238091,246030,252429,257209,256712,238862
 "13000","Georgia",5,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",26135,25568,25593,25696,26812,25428,24674,26820,27846,29492,31002,29577,29053,28168,31298,34551,35426,35659,34634,35156,33305,32219,29060,30093,31741,33773,38050,40449,41137,42751,43868,42250,(NA)
 "13000","Georgia",5,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",10464,9453,9371,10592,10799,9591,7471,8211,8987,9882,10059,9395,9250,9540,9974,11056,11819,11823,11862,11213,10900,9994,9169,8670,9608,10121,10452,10930,10790,11352,11656,12287,(NA)
 "13000","Georgia",5,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",14076,13877,14187,15422,16749,16454,14869,15535,16767,18062,18444,18156,17391,16463,17971,19062,19749,21028,21035,20419,19478,18395,17719,17278,17516,17934,19169,19531,20873,21212,20756,21349,(NA)
 "13000","Georgia",5,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",7253,8390,8760,10426,11548,12335,12168,13019,13835,15672,16724,16323,17595,16260,15346,16344,16582,16499,16470,15797,15367,15012,13842,13525,13470,13860,13913,14062,14207,13639,13504,14075,(NA)
 "13000","Georgia",5,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",17607,16676,17082,18247,19712,18283,15287,16839,19153,20544,21105,21168,20498,18270,19085,20458,20487,20907,20761,21048,21483,20741,19056,19527,20503,21926,23045,23601,24523,25005,25212,24934,(NA)
 "13000","Georgia",5,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",14142,14162,13605,15064,17584,18233,17133,16789,18500,18861,21988,21960,23083,20753,21072,24178,25742,26069,27264,28083,28951,29206,28366,28022,28925,32009,34383,35530,36737,37755,39795,40753,(NA)
 "13000","Georgia",5,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",10916,11609,11767,12720,14480,15880,13265,14759,16253,18068,19619,20212,21898,22868,24856,26595,27163,29704,30195,29890,31522,31668,30329,29605,30398,31992,33527,33298,34191,33615,34239,34033,(NA)
 "13000","Georgia",5,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",15951,14391,15938,16790,17636,14584,12248,16460,18681,19441,18570,15946,15777,14350,13889,18236,19785,20419,18374,18589,16252,13752,13113,12540,13005,14653,16018,15962,16925,19011,20358,21276,(NA)
 "13000","Georgia",5,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",40506,34105,27328,24914,21820,17556,13712,14522,13816,14237,16553,18097,20046,20656,22035,25988,29397,30967,32459,31943,26410,25743,25483,26631,26471,27355,26719,27179,29138,30672,30342,27692,(NA)
 "13000","Georgia",5,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",2735,2861,2748,3179,3181,3469,3224,3700,4192,4160,4674,4804,5286,5924,6194,6181,6392,6421,6395,8617,9158,9592,10261,10488,10987,11600,10987,10693,10500,10240,10138,9998,(NA)
 "13000","Georgia",5,SAEMP27S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",5797,5839,5940,6314,6900,6952,6310,6803,6803,7169,7421,7312,5636,5879,6027,6293,6228,6144,6380,6675,6597,6302,6249,6002,6176,6666,6862,6856,7009,7177,7341,8065,(NA)
 "13000","Georgia",5,SAEMP27S,447,"...","     Ordnance 2/","Number of jobs",1999,1164,1040,1067,924,685,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "13000","Georgia",5,SAEMP27S,450,"...","    Nondurable goods manufacturing","Number of jobs",310377,309599,307861,320400,330211,324606,299367,324189,333237,340509,345289,338465,340329,324017,327680,340977,337469,344963,350432,352252,351949,348423,339162,344370,348938,356964,357335,348550,344637,342012,339260,331159,313135
 "13000","Georgia",5,SAEMP27S,453,"20","     Food and kindred products","Number of jobs",50847,52884,52002,52759,52742,52261,51592,53506,55216,56529,57840,59123,59607,58511,57677,57605,58876,61073,61368,60325,60520,60879,61389,62371,64184,65230,67146,69539,70294,71186,74219,72710,(NA)
 "13000","Georgia",5,SAEMP27S,456,"21","     Tobacco products","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
 "13000","Georgia",5,SAEMP27S,459,"22","     Textile mill products","Number of jobs",120503,115943,114315,120263,125474,123427,111492,121277,123563,124484,123797,116839,113580,102123,104127,105695,101251,103554,107898,109622,111559,109867,105640,106978,108812,112425,112130,108800,107607,106690,104070,102582,(NA)
 "13000","Georgia",5,SAEMP27S,462,"23","     Apparel and other textile products","Number of jobs",70091,70416,71107,73447,74886,70997,65942,73262,73303,75222,74196,72932,72584,69668,70079,75296,70636,69718,68646,67513,64060,61164,58069,59181,57652,55522,51067,41774,35464,31322,27651,24314,(NA)
 "13000","Georgia",5,SAEMP27S,465,"26","     Paper and allied products","Number of jobs",25886,24995,24788,24687,25946,26332,24355,25328,26262,27239,28105,28449,28546,27827,28077,30181,30253,30533,31578,32246,32900,33333,33425,33900,34175,34226,34670,34296,34578,33703,32864,31631,(NA)
 "13000","Georgia",5,SAEMP27S,468,"27","     Printing and publishing","Number of jobs",15107,15534,15176,15970,16498,16962,16657,17739,20695,21703,23198,23722,24691,25634,27470,31013,34328,37121,37987,39800,39987,40022,38839,38842,39638,42740,43502,43394,43995,44923,45069,44339,(NA)
 "13000","Georgia",5,SAEMP27S,471,"28","     Chemicals and allied products","Number of jobs",13052,13703,14218,14996,15802,16647,14132,15596,15964,16365,17199,17663,18311,18336,18575,19058,19420,19563,19342,19477,19596,19936,19476,19423,20167,20664,21042,21013,21582,22115,22159,22365,(NA)
 "13000","Georgia",5,SAEMP27S,474,"29","     Petroleum and coal products","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),924,1073,1025,(NA)
 "13000","Georgia",5,SAEMP27S,477,"30","     Rubber and miscellaneous plastics products","Number of jobs",8618,9766,10384,11700,12825,12693,11390,12848,13868,14580,15977,14713,17789,16673,16543,17120,17692,18197,18241,17772,18100,17898,16989,18440,19168,21203,22904,25052,26255,27195,28418,28601,(NA)
 "13000","Georgia",5,SAEMP27S,480,"31","     Leather and leather products","Number of jobs",4737,4732,4287,4436,4125,3487,2106,3069,2822,2779,2484,2405,2499,2254,1884,1690,1660,1596,1614,1792,1632,1538,1577,1595,1394,1337,1397,867,648,(D),(D),(D),(NA)
 "13000","Georgia",5,SAEMP27S,500,"E","   Transportation and public utilities","Number of jobs",102689,106560,106380,111838,119421,121103,115219,117916,121943,130442,138582,142495,146045,148995,149880,158075,163940,169896,177560,184945,185609,199313,194919,198209,203630,212917,218668,225260,232965,244780,258318,269476,271703
 "13000","Georgia",5,SAEMP27S,510,"40","    Railroad transportation","Number of jobs",14416,14016,13316,13574,14280,14683,14098,13239,12883,13129,13801,13786,13430,12412,11903,11972,11265,10592,10055,9398,8853,8571,7946,7643,7274,6985,7082,6775,6660,(D),(D),(D),(NA)
 "13000","Georgia",5,SAEMP27S,520,"42","    Trucking and warehousing","Number of jobs",26966,27553,27333,29255,31995,32025,28494,30797,32292,35049,36798,35626,35462,35592,37090,42408,44631,46501,49239,40316,40819,40615,42274,43930,47739,51782,54421,55417,57571,61244,65079,67142,(NA)
 "13000","Georgia",5,SAEMP27S,530,"44","    Water transportation","Number of jobs",2838,3010,2977,3139,3493,3357,3657,4007,3253,3484,3608,3905,3666,3495,3985,3744,3763,3632,3638,3708,3631,3892,4131,4058,3454,3647,3746,3590,3824,3498,3342,3251,(NA)
 "13000","Georgia",5,SAEMP27S,540,"41, 45-47","    Other transportation","Number of jobs",20206,21017,21102,22352,23485,23810,23929,24488,25823,28298,30503,32545,34511,35362,36286,38543,40606,42454,44529,59013,58965,64500,59397,62896,64239,67374,67879,71504,74277,(D),(D),(D),(NA)
 "13000","Georgia",5,SAEMP27S,541,"41","     Local and interurban passenger transit","Number of jobs",3627,3511,3378,3489,2194,2371,2140,2097,2151,2360,2282,2405,2560,2511,2401,2773,2690,3197,3370,3766,3937,4033,3849,4185,4724,5508,5679,6123,6263,6585,6447,6434,(NA)
 "13000","Georgia",5,SAEMP27S,542,"45","     Transportation by air","Number of jobs",15044,15840,15903,16924,19227,19290,19543,19992,20780,22613,24668,26318,28165,28720,29365,30465,31754,33127,34158,47191,45143,49845,44445,47010,46797,48051,47845,50559,52294,57214,59802,63583,(NA)
 "13000","Georgia",5,SAEMP27S,543,"46","     Pipelines, except natural gas","Number of jobs",492,460,465,463,445,439,436,441,433,461,450,493,494,503,517,479,477,467,464,456,507,505,529,525,537,491,477,473,442,(D),(D),(D),(NA)
 "13000","Georgia",5,SAEMP27S,544,"47","     Transportation services","Number of jobs",1043,1206,1356,1476,1619,1710,1810,1958,2459,2864,3103,3329,3292,3628,4003,4826,5685,5663,6537,7600,9378,10117,10574,11176,12181,13324,13878,14349,15278,16611,16184,17004,(NA)
