GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "25000","Massachusetts",1,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",2426012,2419005,2382649,2425884,2503929,2519052,2425297,2453025,2518757,2633956,2729900,2769905,2776296,2758562,2824429,2990162,3062644,3126822,3206409,3274711,3248870,3130002,2959456,2935951,2986505,3037841,3105071,3153585,3230286,3306736,3366203,3451675,3455268
 "25000","Massachusetts",1,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",7388,7304,7615,7106,7772,8286,7579,8289,8823,9100,8898,9890,9022,8243,8914,8020,6472,7020,7228,6897,6064,6067,5972,5832,5778,5886,5512,5226,4952,4810,4732,4895,4920
 "25000","Massachusetts",1,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",2418624,2411701,2375034,2418778,2496157,2510766,2417718,2444736,2509934,2624856,2721002,2760015,2767274,2750319,2815515,2982142,3056172,3119802,3199181,3267814,3242806,3123935,2953484,2930119,2980727,3031955,3099559,3148359,3225334,3301926,3361471,3446780,3450348
 "25000","Massachusetts",1,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",2030942,2016051,1978429,2012469,2080033,2095563,1999249,2033435,2092774,2200637,2286244,2318384,2343153,2344359,2404980,2567598,2633114,2686524,2753793,2812651,2791096,2675464,2518822,2503987,2550055,2604099,2667158,2717109,2791328,2861988,2914135,2992160,2992407
 "25000","Massachusetts",1,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",8165,8499,8665,8687,8804,8837,8908,9261,9182,10562,11886,11968,11537,12244,13222,14906,16326,17979,19156,19554,19013,17021,15793,15019,15380,15873,16308,17418,18366,19362,21033,22282,24201
 "25000","Massachusetts",1,SAEMP27S,110,"07","    Agricultural services","Number of jobs",5664,5848,5850,5701,6139,6011,5969,6091,6082,7297,8203,8182,7747,8759,9730,11420,12973,14576,15781,15993,15445,13577,12337,11966,12629,13457,13975,15239,16240,17340,18981,20086,(NA)
 "25000","Massachusetts",1,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",2501,2651,2815,2986,2665,2826,2939,3170,3100,3265,3683,3786,3790,3485,3492,3486,3353,3403,3375,3561,3568,3444,3456,3053,2751,2416,2333,2179,2126,2022,2052,2196,(NA)
 "25000","Massachusetts",1,SAEMP27S,121,"08","     Forestry","Number of jobs",18,29,36,37,35,34,31,37,11,18,43,41,51,54,48,47,77,77,62,77,46,36,31,31,32,33,29,32,27,25,26,29,(NA)
 "25000","Massachusetts",1,SAEMP27S,122,"...","     Fishing","Number of jobs",2483,2622,2779,2949,2630,2792,2908,3133,3089,3247,3640,3745,3739,3431,3444,3439,3276,3326,3313,3484,3522,3408,3425,3022,2719,2383,2304,2147,2099,1997,2026,2167,(NA)
 "25000","Massachusetts",1,SAEMP27S,200,"B","   Mining","Number of jobs",1036,993,941,800,837,786,871,853,915,886,915,998,1026,1062,1106,1171,1331,1664,1846,1765,1584,1402,1136,1123,1189,1334,1358,1244,1299,1313,1384,1364,1479
