GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "32000","Nevada",8,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",216871,227122,236209,246867,268101,279065,286882,305866,336324,381583,415350,433255,444132,434165,436340,457024,477092,499836,532538,569126,615035,653952,660752,670333,703433,771185,818161,875240,923274,958129,1012236,1054843,1081457
 "32000","Nevada",8,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",1932,2256,2261,2286,2207,2353,2356,2661,2565,2700,2499,2498,2374,2167,2346,2109,2684,3034,3034,3260,2843,2773,2018,1915,1955,2115,1631,2094,2605,2391,2375,2385,2369
 "32000","Nevada",8,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",214939,224866,233948,244581,265894,276712,284526,303205,333759,378883,412851,430757,441758,431998,433994,454915,474408,496802,529504,565866,612192,651179,658734,668418,701478,769070,816530,873146,920669,955738,1009861,1052458,1079088
 "32000","Nevada",8,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",167456,175959,182458,192158,212512,221723,227007,243185,271019,313406,345213,359488,369755,357659,359531,381429,399920,420644,450908,485251,526119,560313,562574,568779,599993,663547,707789,760034,802525,832307,883018,921920,943566
 "32000","Nevada",8,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",494,528,587,645,737,768,740,841,1048,1319,1555,1663,1543,1535,1745,1970,2198,2436,2720,2929,3381,4056,4174,4008,4295,4857,5690,6825,7326,7887,8634,9011,10070
 "32000","Nevada",8,SAEMP27S,110,"07","    Agricultural services","Number of jobs",493,527,586,644,736,767,709,807,1004,1282,1485,1544,1444,1435,1639,1845,2108,2361,2649,2850,(D),(D),4091,3942,4225,4776,5612,6746,7262,7820,8582,8968,(NA)
 "32000","Nevada",8,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",1,1,1,1,1,1,31,34,44,37,70,119,99,100,106,125,90,75,71,79,(D),(D),83,66,70,81,78,79,64,67,52,43,(NA)
 "32000","Nevada",8,SAEMP27S,121,"08","     Forestry","Number of jobs",1,1,1,1,1,1,0,2,1,0,1,0,0,(D),(D),(D),0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),20,13,18,(NA)
 "32000","Nevada",8,SAEMP27S,122,"...","     Fishing","Number of jobs",0,0,0,0,0,0,31,32,43,37,69,119,99,(D),(D),(D),90,75,71,79,(D),(D),(D),(D),(D),(D),(D),(D),(D),47,39,25,(NA)
 "32000","Nevada",8,SAEMP27S,200,"B","   Mining","Number of jobs",3985,4052,3646,3436,3630,4251,4371,3699,4332,4227,4721,6225,7896,6736,5939,6664,6168,6493,8477,11332,13825,14639,13508,13259,12976,12530,13512,14876,14797,13281,12028,11292,10362
 "32000","Nevada",8,SAEMP27S,210,"10","    Metal mining","Number of jobs",3068,3184,2836,2617,2662,3080,3028,2418,2912,2414,2413,3628,5038,4295,(D),(D),(D),5209,7251,10106,12589,13281,12296,12041,11677,11278,12085,13273,13168,11520,10384,9564,(NA)
 "32000","Nevada",8,SAEMP27S,220,"12","    Coal mining","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),0,0,0,0,(D),(D),(D),(D),(D),0,0,0,(NA)
 "32000","Nevada",8,SAEMP27S,230,"13","    Oil and gas extraction","Number of jobs",96,69,52,23,30,65,94,106,173,310,692,800,755,581,316,413,474,250,226,247,171,208,183,133,(D),(D),(D),(D),(D),65,49,73,(NA)
 "32000","Nevada",8,SAEMP27S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",821,799,758,796,938,1106,1249,1175,1247,1503,1616,1797,2103,1860,(D),(D),(D),(D),(D),(D),1065,1150,1029,1085,1145,1111,1299,1488,1557,1696,1595,1655,(NA)
 "32000","Nevada",8,SAEMP27S,300,"C","   Construction","Number of jobs",12125,12763,13734,14914,19061,15844,12953,15230,20450,26737,28660,27336,26594,21142,20593,22883,24883,28645,30962,37402,46560,48457,41317,40802,48975,58252,64519,78427,84842,89546,91666,90430,92180
 "32000","Nevada",8,SAEMP27S,310,"15","    General building contractors","Number of jobs",3119,3193,4037,4603,5545,4591,3833,4490,6401,8302,8500,7415,7204,5912,4988,5738,6130,7131,7651,9278,10564,9936,8462,8544,9814,12399,12900,15196,16263,16797,17180,16956,(NA)
 "32000","Nevada",8,SAEMP27S,320,"16","    Heavy construction contractors","Number of jobs",3213,3558,2990,2449,2983,2902,1961,2282,2554,3150,4120,4985,4031,3250,3482,3545,3707,3761,4266,5043,5418,5250,5236,5024,5823,7330,7969,9053,8888,10454,11056,10997,(NA)
 "32000","Nevada",8,SAEMP27S,330,"17","    Special trade contractors","Number of jobs",5793,6012,6707,7862,10533,8351,7159,8458,11495,15285,16040,14936,15359,11980,12123,13600,15046,17753,19045,23081,30578,33271,27619,27234,33338,38523,43650,54178,59691,62295,63430,62477,(NA)
 "32000","Nevada",8,SAEMP27S,400,"D","   Manufacturing","Number of jobs",8035,8459,8670,9557,11657,12195,12246,13074,15269,17888,19608,19301,20237,18935,19230,20843,21803,22104,23385,25005,25545,26415,26007,26323,29693,33928,36837,38862,40692,41917,42554,44519,46428
 "32000","Nevada",8,SAEMP27S,410,"...","    Durable goods manufacturing","Number of jobs",4528,4909,5025,5594,7036,7544,7512,8021,9675,11601,12963,12767,13527,12380,12379,13562,14118,13947,14269,15050,15528,16413,15749,15833,18092,20650,22873,24261,25509,26156,26512,27301,29166
 "32000","Nevada",8,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1171,1317,1387,1451,1090,1099,1473,1802,(D),1743,2015,1975,2199,2360,(NA)
 "32000","Nevada",8,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",175,203,209,175,308,235,169,156,178,237,319,330,369,284,313,338,381,437,544,583,804,718,604,593,600,633,719,782,814,883,979,947,(NA)
 "32000","Nevada",8,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",1036,1071,1130,1292,1359,1287,1313,1344,1920,1887,2163,1900,1671,1347,1261,1390,1445,1498,1643,1904,2045,2190,2092,2241,2406,2786,3257,3488,3455,3475,3578,3836,(NA)
 "32000","Nevada",8,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",1571,1592,1204,1100,1312,1506,1451,1111,1130,1276,1493,1632,1781,1453,1046,1089,1109,997,1066,1115,1153,1017,903,1037,943,795,(D),(D),(D),1419,1180,1130,(NA)
 "32000","Nevada",8,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",292,349,386,428,480,476,596,826,812,1068,1234,1312,1375,1241,1153,1005,1154,1172,1181,1402,1582,1774,1943,1670,2129,2640,3195,3588,3848,4265,4220,4389,(NA)
 "32000","Nevada",8,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",129,88,278,428,641,672,909,1007,981,1285,1434,1610,1703,1478,1804,2580,2737,2657,2486,2529,2175,2164,2122,2002,2237,2646,2742,2936,3030,2989,2822,2740,(NA)
 "32000","Nevada",8,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",538,890,958,1177,1517,1616,1463,1747,1976,2449,2772,2574,2539,2649,2721,3028,3117,2811,2465,2161,1356,1579,1528,1497,1741,2088,2496,(D),(D),2589,2441,2588,(NA)
 "32000","Nevada",8,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",26,18,18,7,22,27,8,3,76,102,56,75,101,105,84,(D),(D),(D),222,213,321,337,339,230,265,280,316,314,305,387,417,418,(NA)
 "32000","Nevada",8,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),439,197,171,295,282,396,625,472,454,573,636,638,663,675,665,679,678,(NA)
 "32000","Nevada",8,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",30,36,36,84,162,378,159,168,217,527,619,675,742,715,698,749,737,756,867,1003,1938,1886,2050,2150,2331,2328,2408,2354,2657,2683,2705,2803,(NA)
 "32000","Nevada",8,SAEMP27S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",502,475,544,621,889,1004,944,1050,1544,1777,1867,1875,1999,1911,1866,1852,2108,2171,2329,2541,2371,2672,2606,2860,3394,4016,4496,4555,4802,4826,5292,5412,(NA)
