GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "94000","Plains",4,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",5937618,5958540,5975684,6110880,6395761,6561172,6534156,6747304,6956482,7259647,7495230,7422348,7364104,7187628,7228064,7525174,7644967,7723499,7937090,8175242,8387540,8533379,8532054,8670436,8850788,9098161,9340113,9526715,9730849,9948328,10122057,10253595,10233972
 "94000","Plains",4,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",132280,133071,143525,137655,152646,166739,173085,179083,162406,162300,162761,161139,152988,144967,156906,141089,127783,113304,114947,118185,108550,99732,92153,88232,82967,82796,87616,95091,91322,83824,82564,79703,81331
 "94000","Plains",4,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",5805338,5825469,5832159,5973225,6243115,6394433,6361071,6568221,6794076,7097347,7332469,7261209,7211116,7042661,7071158,7384085,7517184,7610195,7822143,8057057,8278990,8433647,8439901,8582204,8767821,9015365,9252497,9431624,9639527,9864504,10039493,10173892,10152641
 "94000","Plains",4,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",4575326,4561335,4547718,4690352,4953963,5082876,5024548,5231541,5457166,5741638,5943611,5850425,5823929,5666137,5692253,5983047,6084663,6157802,6345933,6554625,6754842,6873588,6869120,6985868,7154294,7382826,7606302,7774043,7974349,8189290,8342271,8445041,8414978
 "94000","Plains",4,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",24583,25463,26591,26784,28792,29733,22510,24348,26463,33821,35007,35644,34422,33649,35992,40062,43201,45661,49809,49044,49247,52136,52812,52973,55708,58233,59097,62111,65153,(D),70403,71649,75281
 "94000","Plains",4,SAEMP27S,110,"07","    Agricultural services","Number of jobs",24534,25402,26516,26692,28712,29604,22157,24155,26307,33568,34773,35400,34165,33283,35633,39683,42857,45270,49397,48634,48800,51664,52356,52436,55157,57676,58488,61453,64482,(D),69759,70966,(NA)
 "94000","Plains",4,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",49,61,75,92,80,129,353,193,156,253,234,244,257,366,359,379,344,391,412,410,447,472,456,537,551,557,609,658,671,642,644,683,(NA)
 "94000","Plains",4,SAEMP27S,121,"08","     Forestry","Number of jobs",23,23,25,29,28,45,53,62,70,181,166,176,197,288,288,298,248,267,290,297,317,335,309,344,343,397,416,464,494,481,463,492,(NA)
 "94000","Plains",4,SAEMP27S,122,"...","     Fishing","Number of jobs",26,38,50,63,52,84,300,131,86,72,68,68,60,78,71,81,96,124,122,113,130,137,147,193,208,160,193,194,177,161,181,191,(NA)
 "94000","Plains",4,SAEMP27S,200,"B","   Mining","Number of jobs",44306,43417,41407,38851,39451,41315,42131,43180,42527,48264,52251,53797,59581,52493,46387,48277,45181,35848,34093,34082,32935,34438,33259,32319,31123,30431,30646,30702,30758,(D),27022,27795,26810
 "94000","Plains",4,SAEMP27S,210,"10","    Metal mining","Number of jobs",18979,19094,18247,16740,17198,17710,17789,18112,16075,18751,19763,18448,17981,13140,10920,10709,9551,7849,7256,8360,8915,9362,8983,9202,8605,(D),8597,8605,8509,(D),7380,7339,(NA)
 "94000","Plains",4,SAEMP27S,220,"12","    Coal mining","Number of jobs",1512,1731,1820,1837,1919,2039,2347,2641,2965,3378,3784,3206,3189,3484,3371,3640,3646,3183,2857,2666,2397,2328,2249,2227,1861,(D),1777,1602,1494,1493,(D),1633,(NA)
 "94000","Plains",4,SAEMP27S,230,"13","    Oil and gas extraction","Number of jobs",12379,11531,10573,9937,9457,10224,10441,11339,12724,14864,16888,21381,28825,26709,22766,23949,21950,15002,13583,12909,11638,12520,12183,10939,10427,9626,9419,9630,9835,(D),7127,8073,(NA)
 "94000","Plains",4,SAEMP27S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",11436,11061,10767,10337,10877,11342,11554,11088,10763,11271,11816,10762,9586,9160,9330,9979,10034,9814,10397,10147,9985,10228,9844,9951,10230,10738,10853,10865,10920,11461,(D),10750,(NA)
 "94000","Plains",4,SAEMP27S,300,"C","   Construction","Number of jobs",277395,270982,270114,268466,281003,286571,282146,298507,318860,351033,359461,321815,294300,265824,269782,293013,299650,306502,313760,309154,311487,320664,313309,323957,338091,369685,378883,400152,416585,439538,470015,484055,486422
 "94000","Plains",4,SAEMP27S,310,"15","    General building contractors","Number of jobs",89350,81988,81721,84449,92237,94647,87407,93891,98937,107537,109238,91644,78600,71015,72792,80364,81087,83412,83642,82470,80106,82923,78488,79675,84481,92812,92048,96424,100220,106458,113109,115554,(NA)
 "94000","Plains",4,SAEMP27S,320,"16","    Heavy construction contractors","Number of jobs",57874,60190,58569,57045,54991,55016,55046,55762,59782,68103,72287,66528,62666,56181,57190,55936,53535,50537,50201,45247,46010,47855,47239,50764,51494,54837,56919,58992,60723,62367,66089,66218,(NA)
 "94000","Plains",4,SAEMP27S,330,"17","    Special trade contractors","Number of jobs",130171,128804,129824,126972,133775,136908,139693,148854,160141,175393,177936,163643,153034,138628,139800,156713,165028,172553,179917,181437,185371,189886,187582,193518,202116,222036,229916,244736,255642,270713,290817,302283,(NA)
 "94000","Plains",4,SAEMP27S,400,"D","   Manufacturing","Number of jobs",1285790,1231356,1179636,1229307,1315599,1339297,1235402,1280913,1334434,1397484,1454814,1392282,1358819,1262920,1247816,1333886,1322717,1309198,1329814,1386017,1410107,1416160,1388824,1380208,1400522,1439780,1472579,1477849,1503040,1526911,1517501,1506493,1447976
 "94000","Plains",4,SAEMP27S,410,"...","    Durable goods manufacturing","Number of jobs",733059,685701,645605,689549,762933,783852,707411,739092,780610,831673,876648,820411,794176,717469,704084,771978,760073,745462,756920,796000,804460,799287,771695,763300,773296,801925,828452,840034,866301,888064,883615,879753,838878
 "94000","Plains",4,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",23491,23006,23489,26687,28257,28316,30065,33433,35626,37682,38115,32901,31773,28473,31813,35049,34499,36260,40097,43626,44109,44900,43718,45255,47770,51788,54004,54922,56561,59379,62340,(D),(NA)
 "94000","Plains",4,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",18190,17592,19736,21718,23764,21904,17490,18666,19697,20708,22269,20343,20128,19118,20488,22567,22508,23619,25684,27172,28683,28497,27542,29586,30604,32686,33515,33050,33062,34064,34467,36149,(NA)
 "94000","Plains",4,SAEMP27S,420,"32","     Stone, clay, and glass products","Number of jobs",40100,39215,37893,39392,41593,42049,40395,41547,43570,46587,46728,41998,39241,35338,35837,36372,34898,35041,35806,35534,36010,36659,34798,33890,34525,36726,37779,38960,39427,39929,41019,42127,(NA)
 "94000","Plains",4,SAEMP27S,423,"33","     Primary metal industries","Number of jobs",34169,33890,30328,31029,34845,37094,32174,31756,34103,37055,40028,37450,35741,31443,29078,33088,31512,30477,30840,32655,31766,31820,30889,30123,31151,33241,34266,34615,35596,(D),(D),(D),(NA)
 "94000","Plains",4,SAEMP27S,426,"34","     Fabricated metal products","Number of jobs",85381,80098,76708,82933,90487,95612,98974,100825,107236,112728,117959,109618,104799,96800,94919,99684,100003,97371,97292,101567,102767,108888,106348,102843,101370,104133,108576,110079,115348,118183,117242,119187,(NA)
 "94000","Plains",4,SAEMP27S,429,"35","     Industrial machinery and equipment","Number of jobs",173104,165741,155102,170479,197150,211587,194238,197326,209809,220092,242514,236454,230167,200734,187021,208506,199454,185918,189971,200637,201069,196606,188316,184616,193005,204346,210801,211210,219388,224993,218727,212788,(NA)
 "94000","Plains",4,SAEMP27S,432,"36","     Electronic and other electric equipment","Number of jobs",120588,115841,105774,109742,124899,129008,107786,113440,118127,126986,134494,129325,128454,116136,112910,124692,123010,116064,116831,119892,119701,112955,110835,109283,109917,113709,113266,115182,117751,120487,110872,113908,(NA)
 "94000","Plains",4,SAEMP27S,435,"371","     Motor vehicles and equipment","Number of jobs",52723,47864,50170,51240,58235,56107,48375,54255,64267,68120,61627,44670,42198,40278,45845,58981,61827,62700,57765,57828,59151,55913,53328,55603,55763,57346,66342,67358,69087,69684,70984,68829,(NA)
 "94000","Plains",4,SAEMP27S,438,"372-379","     Other transportation equipment","Number of jobs",89406,78695,72805,81519,86045,83927,76865,82272,79057,88264,96134,91556,89525,74851,71926,77269,76830,80083,86386,93528,98958,98878,90713,86675,79917,78810,79616,84570,90813,96065,93108,88698,(NA)
 "94000","Plains",4,SAEMP27S,441,"38","     Instruments and related products","Number of jobs",31148,30423,28883,30079,31115,33290,33541,37107,39894,43205,46365,47552,45408,49292,50130,51911,51560,53848,53296,59155,58614,59391,59717,58938,60099,59306,60633,61964,62557,(D),(D),(D),(NA)
 "94000","Plains",4,SAEMP27S,444,"39","     Miscellaneous manufacturing industries","Number of jobs",24488,24525,24196,26440,29518,31525,27508,28465,29224,30246,30415,28544,26742,25006,24117,23859,23972,24081,22952,24406,23632,24780,25491,26488,29175,29834,29654,28124,26711,25600,26504,28035,(NA)
 "94000","Plains",4,SAEMP27S,447,"...","     Ordnance 2/","Number of jobs",40271,28811,20521,18291,17025,13433,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "94000","Plains",4,SAEMP27S,450,"...","    Nondurable goods manufacturing","Number of jobs",552731,545655,534031,539758,552666,555445,527991,541821,553824,565811,578166,571871,564643,545451,543732,561908,562644,563736,572894,590017,605647,616873,617129,616908,627226,637855,644127,637815,636739,638847,633886,626740,609098
 "94000","Plains",4,SAEMP27S,453,"20","     Food and kindred products","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),199328,197891,198281,196500,199466,201488,204702,209947,215127,218862,219514,224529,229155,234893,237294,236181,236780,238227,239695,(NA)
 "94000","Plains",4,SAEMP27S,456,"21","     Tobacco products","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),13,19,14,15,(D),6,6,7,7,(D),(D),(D),13,(D),29,18,(NA)
 "94000","Plains",4,SAEMP27S,459,"22","     Textile mill products","Number of jobs",6611,6103,6087,6588,7277,6934,6066,5934,5907,5936,5697,5313,4900,(D),(D),(D),3655,3848,4125,4314,(D),3701,3761,3675,3474,(D),(D),(D),3177,3174,2963,2835,(NA)
 "94000","Plains",4,SAEMP27S,462,"23","     Apparel and other textile products","Number of jobs",53262,52912,51006,52357,55927,54244,48623,50583,50150,50010,48494,47341,43123,38844,38419,40033,38292,37256,37731,38476,38594,37526,37348,38123,39360,39851,37925,35403,34195,31993,28478,25761,(NA)
 "94000","Plains",4,SAEMP27S,465,"26","     Paper and allied products","Number of jobs",53592,52479,51706,52576,55551,56645,50811,52278,52891,54508,57151,55668,54675,54043,54381,56240,57115,56611,57138,58061,59524,60102,60336,59950,60270,60546,60872,58647,58085,(D),(D),(D),(NA)
 "94000","Plains",4,SAEMP27S,468,"27","     Printing and publishing","Number of jobs",92444,92918,92310,94893,97325,98705,98949,101407,105990,111344,116632,118446,120457,120376,121278,129886,133530,135988,139140,145751,151297,155544,153239,151431,153529,157284,159510,157361,157669,158392,155630,154660,(NA)
 "94000","Plains",4,SAEMP27S,471,"28","     Chemicals and allied products","Number of jobs",54716,53711,49963,48536,49096,49760,48695,50961,52968,54963,56991,56876,56872,55304,53485,54792,55496,54756,54927,56875,56863,57544,57856,57489,57093,57004,55108,54650,55342,56492,(D),54467,(NA)
 "94000","Plains",4,SAEMP27S,474,"29","     Petroleum and coal products","Number of jobs",8412,8333,8035,7893,7748,8249,7649,8528,8495,8927,9012,8899,9305,8277,7361,6758,6876,6697,6689,6461,6449,6639,6555,6646,6655,6823,6757,6862,6599,6419,6849,7246,(NA)
