GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "45000","South Carolina",5,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",1030860,1054503,1067686,1107590,1169083,1203694,1161253,1206477,1235493,1287545,1325476,1336777,1346740,1317444,1344919,1416575,1436833,1468809,1524896,1588778,1634607,1676011,1645677,1655065,1685528,1722796,1760197,1788494,1839477,1888382,1933166,1958940,1925645
 "45000","South Carolina",5,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",31501,31972,30449,29158,29441,30688,32774,24560,22571,21000,22995,25974,25925,23270,25163,22640,14006,9508,10452,11600,11139,11043,10311,9723,9346,8795,8691,7246,9054,8737,7632,7584,7473
 "45000","South Carolina",5,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",999359,1022531,1037237,1078432,1139642,1173006,1128479,1181917,1212922,1266545,1302481,1310803,1320815,1294174,1319756,1393935,1422827,1459301,1514444,1577178,1623468,1664968,1635366,1645342,1676182,1714001,1751506,1781248,1830423,1879645,1925534,1951356,1918172
 "45000","South Carolina",5,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",753672,772977,781123,821041,879662,894753,838444,891522,923730,969487,997250,997559,1007222,980678,1003902,1073227,1094828,1123842,1173736,1232253,1269310,1304003,1270910,1278177,1312967,1354418,1399496,1430961,1475059,1515776,1552553,1568418,1540372
 "45000","South Carolina",5,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",3880,4003,4159,4353,4745,4975,4670,4841,5151,6483,7022,7276,6941,7089,7361,8191,8692,9238,9987,10015,9875,10533,10395,10328,10961,11162,12237,12839,13747,14440,15290,15721,16624
 "45000","South Carolina",5,SAEMP27S,110,"07","    Agricultural services","Number of jobs",2686,2761,2887,3084,3413,3578,3349,3719,3973,5259,5659,5851,5575,5705,6042,6803,7413,8136,8856,8813,8549,9214,9102,9002,9530,9799,10778,11372,12264,12972,13811,14203,(NA)
 "45000","South Carolina",5,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",1194,1242,1272,1269,1332,1397,1321,1122,1178,1224,1363,1425,1366,1384,1319,1388,1279,1102,1131,1202,1326,1319,1293,1326,1431,1363,1459,1467,1483,1468,1479,1518,(NA)
 "45000","South Carolina",5,SAEMP27S,121,"08","     Forestry","Number of jobs",992,1031,1052,1039,1174,1316,1217,1007,1064,1127,1289,1346,1290,1308,1246,1336,1230,1050,1079,1149,1279,1267,1207,1206,1263,1196,1240,1326,1345,1378,1382,1416,(NA)
 "45000","South Carolina",5,SAEMP27S,122,"...","     Fishing","Number of jobs",202,211,220,230,158,81,104,115,114,97,74,79,76,76,73,52,49,52,52,53,47,52,86,120,168,167,219,141,138,90,97,102,(NA)
 "45000","South Carolina",5,SAEMP27S,200,"B","   Mining","Number of jobs",1655,1665,1621,1706,1777,1994,1931,1791,1835,1852,1946,1933,1880,1785,1786,1837,1767,1707,1842,1984,2015,2062,1867,1778,1790,1795,1860,1852,1857,1811,1921,1813,1623
 "45000","South Carolina",5,SAEMP27S,210,"10","    Metal mining","Number of jobs",0,1,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),183,199,(D),(D),(D),(D),(D),(NA)
 "45000","South Carolina",5,SAEMP27S,220,"12","    Coal mining","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,(NA)
 "45000","South Carolina",5,SAEMP27S,230,"13","    Oil and gas extraction","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12,14,22,24,20,32,28,29,30,23,19,19,21,14,10,30,(D),(D),(D),(NA)
 "45000","South Carolina",5,SAEMP27S,240,"14","    Nonmetallic minerals, except fuels","Number of jobs",1652,1664,1621,1705,1777,1988,1921,1788,1821,1846,1938,1927,1830,1762,1766,1806,1726,1656,1769,1885,1677,1694,1531,1439,1524,1591,1647,(D),(D),1621,1761,1686,(NA)
 "45000","South Carolina",5,SAEMP27S,300,"C","   Construction","Number of jobs",52407,54191,57364,63124,72438,77715,63480,63558,67958,72602,75329,76007,72988,67112,72735,84125,86883,89720,88905,94408,94397,104090,91850,82874,85628,88132,90504,97989,103920,111084,116488,116908,113798
 "45000","South Carolina",5,SAEMP27S,310,"15","    General building contractors","Number of jobs",19634,19826,22533,24967,29796,32607,24934,26251,27162,27988,28539,28412,26857,23935,27458,32006,32589,33944,31693,34749,34982,40803,34261,28475,28907,28154,27401,28919,28988,30933,31458,30067,(NA)
 "45000","South Carolina",5,SAEMP27S,320,"16","    Heavy construction contractors","Number of jobs",11059,12137,11876,12612,13613,14471,11419,10582,11396,12303,12732,12951,11806,11106,11838,12408,12913,12946,13681,13077,12788,12962,11700,10805,10363,10103,10629,11450,12715,13776,14791,15748,(NA)
 "45000","South Carolina",5,SAEMP27S,330,"17","    Special trade contractors","Number of jobs",21714,22228,22955,25545,29029,30637,27127,26725,29400,32311,34058,34644,34325,32071,33439,39711,41381,42830,43531,46582,46627,50325,45889,43594,46358,49875,52474,57620,62217,66375,70239,71093,(NA)
 "45000","South Carolina",5,SAEMP27S,400,"D","   Manufacturing","Number of jobs",343560,341537,338013,353602,376798,376851,340853,372675,381051,392239,400649,393860,390584,365203,365374,381932,368187,366527,376035,388333,390654,384427,371787,373369,376240,379330,378750,368453,364503,362395,345708,346199,326839
 "45000","South Carolina",5,SAEMP27S,410,"...","    Durable goods manufacturing","Number of jobs",87107,85084,81813,88243,100043,104327,91547,99866,108588,116490,122437,121061,120841,112543,113370,125096,123009,120999,125749,133785,135889,135906,131637,132310,135605,140087,144522,145608,147613,152132,153565,160144,154595
 "45000","South Carolina",5,SAEMP27S,413,"24","     Lumber and wood products","Number of jobs",14717,14115,13932,14379,14612,14812,13593,14792,15290,16053,16433,14903,14515,13228,14441,15465,15462,15465,15770,16712,15979,15322,14305,14322,14563,15319,15329,15346,15451,15242,14794,14563,(NA)
 "45000","South Carolina",5,SAEMP27S,417,"25","     Furniture and fixtures","Number of jobs",4880,4769,5023,5546,5850,5093,3864,4570,4558,4997,5051,4804,4920,4485,4964,5044,4979,4263,4558,4538,4473,4436,4246,4454,4675,4632,4814,4768,4806,5050,4860,4733,(NA)
