GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "48000","Texas",6,SAEMP27S,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",4207596,4235239,4287509,4435631,4692745,4877736,4966314,5212712,5463739,5800877,6095450,6345484,6675657,6761485,6684957,6996157,7170168,7026942,6978835,7099882,7264633,7469560,7591690,7704177,7923608,8178586,8451793,8670194,9030024,9372859,9573162,9850925,9929736
 "48000","Texas",6,SAEMP27S,70,"[01-02]"," Farm wage and salary employment","Number of jobs",95268,93641,85709,90760,83310,85926,83981,84937,85153,82000,77981,76924,76446,70766,76494,68838,62843,55410,65598,56480,49118,51347,50623,53286,54371,50066,49125,51910,50730,45710,41878,49528,59340
 "48000","Texas",6,SAEMP27S,80,"..."," Nonfarm wage and salary employment","Number of jobs",4112328,4141598,4201800,4344871,4609435,4791810,4882333,5127775,5378586,5718877,6017469,6268560,6599211,6690719,6608463,6927319,7107325,6971532,6913237,7043402,7215515,7418213,7541067,7650891,7869237,8128520,8402668,8618284,8979294,9327149,9531284,9801397,9870396
 "48000","Texas",6,SAEMP27S,90,"...","  Private nonfarm wage and salary employment","Number of jobs",3209996,3233488,3261139,3394360,3628601,3785476,3851225,4068342,4295866,4615027,4891987,5111234,5434985,5498095,5395805,5688184,5828160,5655162,5569620,5674034,5810736,5980572,6092271,6159962,6343265,6560177,6797815,7008738,7348655,7668689,7847794,8081581,8135829
 "48000","Texas",6,SAEMP27S,100,"[07-09]","   Agricultural services, forestry, and fishing","Number of jobs",21853,23063,24454,26207,27999,30631,31511,34267,37058,42248,46709,47181,45836,46402,47810,50967,54863,53947,57022,55663,53676,56055,58224,58366,61037,63379,67994,69416,73848,75753,82000,84127,87626
 "48000","Texas",6,SAEMP27S,110,"07","    Agricultural services","Number of jobs",19543,20744,22080,23709,25238,27916,29008,31310,34192,39355,43691,44425,43807,44486,45765,49338,52911,52173,55419,53927,51782,54083,56180,56283,58917,61066,65613,66986,71293,73235,79368,81358,(NA)
 "48000","Texas",6,SAEMP27S,120,"...","    Forestry and fishing","Number of jobs",2310,2319,2374,2498,2761,2715,2503,2957,2866,2893,3018,2756,2029,1916,2045,1629,1952,1774,1603,1736,1894,1972,2044,2083,2120,2313,2381,2430,2555,2518,2632,2769,(NA)
 "48000","Texas",6,SAEMP27S,121,"08","     Forestry","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),818,667,534,610,688,687,685,731,657,687,773,874,960,946,1026,1060,(NA)
 "48000","Texas",6,SAEMP27S,122,"...","     Fishing","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1134,1107,1069,1126,1206,1285,1359,1352,1463,1626,1608,1556,1595,1572,1606,1709,(NA)
 "48000","Texas",6,SAEMP27S,200,"B","   Mining","Number of jobs",105672,104160,101871,101732,107058,120914,133825,138916,154691,184430,203870,241630,297702,305116,264307,271877,260373,207358,184104,187924,175552,182733,186520,172042,167496,164340,157219,157254,166785,166475,146882,149706,161678
