GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "54000","West Virginia",5,SAINC30,10,"...","Personal income (millions of dollars)","Millions of dollars",2928.0,3028.7,3075.7,3117.2,3255.6,3400.1,3628.1,3877.8,4115.3,4360.6,4622.8,4944.1,5511.8,6051.6,6700.7,7333.2,8128.7,9186.1,10241.1,11457.3,12752.7,14222.6,15632.7,17051.2,18069.4,18550.2,19940.7,20765.6,21261.4,21785.0,23237.6,24601.0,26186.2,27308.2,29404.4,30498.8,31820.5,32894.7,34208.8,35630.2,37123.0,38114.1,40327.7,42791.9,44263.4,44986.9,46658.4,49118.6,52467.6,54490.8,58167.1,58608.6,60753.8,64227.3,65898.5,65572.8,67764.4,69178.6,68630.1,71397.6,74777.9,76299.5,80304.1
 "54000","West Virginia",5,SAINC30,45,"...","Net earnings by place of residence","Millions of dollars",2353.2,2428.3,2453.6,2442.1,2531.7,2630.0,2821.4,3017.9,3223.2,3395.2,3580.6,3776.7,4143.0,4468.8,4917.4,5255.4,5746.6,6405.2,7182.8,8112.7,9028.5,9931.2,10525.0,11050.6,11356.5,11252.2,12184.7,12633.2,12751.3,13142.3,14096.2,14742.5,15737.5,16194.0,17276.0,17840.1,18828.5,19306.0,19869.7,20820.4,21652.6,22581.7,23890.5,25317.4,26176.1,26728.9,28263.9,30041.1,31976.6,32526.1,34050.7,33708.8,34898.0,37380.0,38253.8,37852.9,38481.9,38611.1,37703.6,39460.3,41982.3,42631.2,41928.2
 "54000","West Virginia",5,SAINC30,50,"...","Personal current transfer receipts","Millions of dollars",301.0,303.0,304.2,343.9,367.5,378.9,385.1,410.8,433.5,492.1,543.9,598.9,721.8,870.5,997.5,1186.3,1343.7,1600.6,1758.0,1875.2,2082.9,2437.9,2836.2,3203.1,3512.0,3891.4,3974.6,4148.5,4406.4,4528.3,4779.1,5043.2,5406.6,6079.3,6969.6,7420.4,7523.8,7759.4,8181.5,8368.3,8672.8,8852.9,9287.4,10261.1,11086.8,11361.0,11359.4,11794.8,12600.6,13330.7,14788.6,15965.1,16841.1,16972.1,17299.0,17638.4,18571.8,19459.3,19906.7,20517.2,21001.2,21647.9,26722.5
 "54000","West Virginia",5,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",34.2,34.7,35.2,40.6,52.4,50.7,47.3,45.8,47.6,52.2,54.7,60.4,97.1,104.7,117.0,101.7,139.3,164.9,182.6,192.6,216.5,214.3,268.1,313.1,310.8,351.9,386.8,413.5,432.9,437.4,470.8,505.8,544.8,604.5,697.7,734.6,773.0,806.7,871.4,843.3,828.6,848.5,863.5,959.2,1010.9,1051.7,1095.7,1112.9,1189.6,1230.3,1319.4,1592.7,1750.8,1718.2,1713.2,1726.4,1722.7,1727.0,1754.7,1760.3,1693.3,1712.8,1900.3
 "54000","West Virginia",5,SAINC30,70,"..."," Unemployment insurance compensation","Millions of dollars",56.5,43.2,30.6,39.4,27.7,22.8,20.3,17.0,12.7,14.8,17.2,15.7,19.8,37.2,43.9,33.8,36.4,85.6,78.5,82.8,95.8,119.6,197.1,197.5,290.5,433.6,220.0,180.1,166.6,143.1,124.8,106.4,117.5,194.9,259.0,230.5,163.8,154.9,163.2,147.3,142.8,137.2,119.8,144.8,230.1,257.1,187.5,174.6,164.6,183.6,227.3,519.8,523.4,410.0,391.6,353.0,223.4,247.8,262.1,164.9,145.0,183.3,1803.2
 "54000","West Virginia",5,SAINC30,80,"..."," Retirement and other","Millions of dollars",210.4,225.0,238.4,263.9,287.4,305.4,317.6,347.9,373.3,425.1,472.0,522.8,604.8,728.6,836.6,1050.8,1168.1,1350.1,1496.9,1599.8,1770.7,2104.1,2371.0,2692.4,2910.7,3105.9,3367.8,3554.9,3806.9,3947.8,4183.5,4431.1,4744.3,5279.9,6013.0,6455.3,6587.0,6797.8,7146.9,7377.7,7701.4,7867.2,8304.1,9157.1,9845.8,10052.3,10076.1,10507.3,11246.5,11916.9,13241.9,13852.6,14566.8,14843.9,15194.2,15559.0,16625.6,17484.5,17889.8,18592.0,19162.8,19751.8,23019.0
 "54000","West Virginia",5,SAINC30,90,"...","Dividends, interest, and rent","Millions of dollars",273.8,297.4,318.0,331.2,356.5,391.2,421.6,449.1,458.5,473.3,498.3,568.6,647.0,712.2,785.9,891.5,1038.4,1180.4,1300.4,1469.3,1641.3,1853.4,2271.5,2797.5,3200.9,3406.6,3781.4,3983.9,4103.7,4114.4,4362.3,4815.3,5042.2,5035.0,5158.8,5238.4,5468.2,5829.3,6157.6,6441.5,6797.6,6679.5,7149.8,7213.5,7000.5,6896.9,7035.1,7282.7,7890.4,8633.9,9327.7,8934.7,9014.8,9875.2,10345.7,10081.5,10710.7,11108.2,11019.8,11420.1,11794.4,12020.3,11653.4
 "54000","West Virginia",5,SAINC30,91,"..."," Personal dividend income","Millions of dollars",62.7,73.4,72.3,76.6,79.0,91.6,103.4,113.6,109.4,110.4,126.1,125.6,129.2,135.9,148.2,172.0,198.6,206.9,241.5,274.6,302.2,334.7,348.7,380.0,418.6,440.6,461.5,498.0,529.0,552.9,643.4,771.4,822.1,877.5,930.2,985.8,1113.6,1196.4,1349.5,1391.3,1381.7,1331.3,1432.0,1363.4,1449.5,1380.6,1761.5,1793.8,2219.9,2567.8,2519.9,1831.3,1755.7,2140.5,2542.5,2312.0,2573.0,2722.2,2798.3,2989.8,3211.1,3385.6,3345.9
 "54000","West Virginia",5,SAINC30,92,"..."," Personal interest income","Millions of dollars",111.9,119.5,134.2,142.2,157.0,177.2,200.1,219.9,234.4,248.1,262.5,330.0,396.5,450.3,505.0,590.4,705.8,840.8,938.7,1104.5,1241.4,1423.8,1817.3,2287.6,2663.8,2821.5,3178.5,3339.0,3469.2,3460.3,3581.8,3898.2,4032.7,3927.1,3877.4,3835.4,3884.7,4141.8,4263.8,4465.9,4783.7,4655.1,4977.8,5008.5,4610.6,4494.1,4126.4,4398.6,4760.8,5145.1,5366.7,5340.8,4974.5,5034.0,5092.5,4875.6,4968.7,5128.6,5073.9,5220.4,5257.6,5315.3,5069.5
 "54000","West Virginia",5,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",55.4,61.7,67.6,73.6,80.6,87.5,97.3,105.2,115.0,123.1,134.0,156.0,195.1,228.4,262.1,297.3,348.6,444.1,488.2,561.2,636.4,686.0,815.2,944.6,1144.4,1365.5,1449.1,1623.7,1736.6,1822.8,1872.3,1952.2,2044.6,2135.5,2229.2,2314.4,2391.6,2567.7,2605.1,2781.3,2798.0,2786.6,2905.9,2933.1,2962.6,3055.8,3019.3,3073.4,3205.3,3350.3,3623.5,3737.5,3702.5,3793.3,3817.2,3779.7,3863.3,3987.5,3903.4,3955.9,4051.2,4059.5,3877.9
 "54000","West Virginia",5,SAINC30,94,"...","  Monetary interest receipts","Millions of dollars",56.5,57.8,66.6,68.7,76.4,89.7,102.8,114.7,119.4,125.0,128.5,174.0,201.3,221.9,242.9,293.1,357.2,396.7,450.4,543.3,605.0,737.8,1002.1,1343.0,1519.4,1455.9,1729.4,1715.3,1732.6,1637.5,1709.5,1946.0,1988.1,1791.6,1648.2,1521.0,1493.2,1574.1,1658.8,1684.6,1985.7,1868.5,2071.9,2075.4,1648.0,1438.2,1107.1,1325.2,1555.5,1794.8,1743.2,1603.4,1271.9,1240.7,1275.3,1095.9,1105.4,1141.1,1170.5,1264.5,1206.4,1255.8,1191.6
 "54000","West Virginia",5,SAINC30,95,"..."," Rental income of persons","Millions of dollars",99.2,104.5,111.5,112.4,120.5,122.4,118.0,115.6,114.7,114.8,109.7,113.0,121.4,126.0,132.7,129.1,134.0,132.7,120.2,90.3,97.6,94.9,105.5,129.8,118.5,144.5,141.3,147.0,105.6,101.2,137.0,145.7,187.4,230.3,351.2,417.2,469.9,491.1,544.2,584.2,632.3,693.2,740.0,841.6,940.4,1022.2,1147.2,1090.3,909.8,921.1,1441.0,1762.6,2284.6,2700.6,2710.7,2893.9,3169.0,3257.5,3147.6,3209.9,3325.7,3319.4,3237.9
 "54000","West Virginia",5,SAINC30,96,"...","  Imputed rent","Millions of dollars",67.2,73.2,78.8,82.1,86.2,88.1,88.2,89.8,92.9,95.6,93.4,97.3,102.1,109.5,109.2,104.2,106.9,99.8,86.8,54.2,60.4,53.9,51.0,56.9,30.4,28.1,16.4,7.9,-6.6,0.2,36.6,51.2,82.3,121.5,175.7,247.0,298.9,310.4,363.0,371.2,434.4,497.4,543.9,664.8,757.5,829.2,934.1,865.5,683.4,665.8,1101.9,1429.8,1807.9,2048.9,2116.1,2227.5,2358.6,2403.5,2567.0,2447.7,2471.9,2487.4,2495.7
 "54000","West Virginia",5,SAINC30,97,"...","  Monetary rent","Millions of dollars",32.0,31.3,32.7,30.4,34.3,34.3,29.8,25.8,21.8,19.2,16.3,15.7,19.3,16.5,23.5,24.9,27.1,32.8,33.3,36.1,37.2,41.1,54.5,72.9,88.1,116.4,125.0,139.1,112.2,101.0,100.4,94.5,105.2,108.8,175.5,170.2,171.0,180.7,181.2,213.0,197.9,195.8,196.1,176.8,182.8,193.1,213.0,224.8,226.4,255.2,339.1,332.7,476.7,651.7,594.7,666.3,810.4,854.0,580.6,762.3,853.8,832.0,742.2
 "54000","West Virginia",5,SAINC30,100,"...","Population (persons) 3/","Number of persons",1845000,1855000,1853000,1828000,1809000,1796000,1797000,1786000,1775000,1769000,1763000,1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854409,1857326,1858745,1856642,1853014,1846341,1835998,1822785,1810588,1800430,1789798
