GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "13000","Georgia",5,SAINC35,1000,"...","Personal current transfer receipts (thousands of dollars)","Thousands of dollars",12869,14684,34154,23873,20480,23280,20638,41257,21445,23092,25710,28905,29843,32513,32357,43355,87401,181180,197045,184825,204748,267678,225038,223515,226198,251309,274555,291296,334503,378664,400558,417474,473169,487931,521935,547142,600530,655853,780927,929986,1062758,1299297,1546218,1740503,2010447,2511394,3327137,3561604,3694303,4013417,4571025,5480873,6243024,6816877,7397864,7900722,8471630,9026022,9467029,10218144,11354148,12630666,14625756,16323216,17460183,18822579,20343533,21654939,22157794,22661291,23908479,25923672,28498742,32250431,32841311,35392998,38622113,41480365,44654074,51426733,56530664,61975342,64914062,64291108,66629633,69872189,73057041,75547290,78076976,82058500,86347176,118605065
 "13000","Georgia",5,SAINC35,2000,"..."," Current transfer receipts of individuals from governments","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),171051,190926,250066,203234,198499,206943,237617,254474,266620,307632,353185,372453,390016,443844,454381,480519,497550,545926,599232,715562,850278,961243,1201104,1444680,1625853,1876198,2348107,3102099,3317932,3486851,3736865,4246249,5130315,5831874,6398087,6940493,7276507,7780105,8291310,8790175,9521081,10574069,11871257,13957371,15665889,16830602,18196967,19551752,20730509,21321479,21614506,22597124,24329361,26706003,30779238,31566224,34375458,37320484,40302450,43157071,49724938,54675343,59960988,62732778,62314517,64701399,67788051,70738679,72903379,75777459,79677697,83719816,113579683
 "13000","Georgia",5,SAINC35,2100,"...","  Retirement and disability insurance benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),10230,12146,16035,27784,33974,44136,53302,69953,81086,105106,123747,151790,170399,199190,233415,251876,266998,304620,340179,368441,434438,472406,568342,675049,765313,957625,1101876,1292831,1490211,1676755,1853807,2098619,2441735,2833761,3125862,3405213,3640620,3878691,4110987,4288276,4546824,4901912,5291729,5790644,6254940,6700408,7102335,7542391,7964043,8407427,8815529,9194211,9804220,10486218,11162864,11700577,12359968,13294328,14339145,15399812,16439078,18285603,19292035,20174500,21816565,23095067,24366739,25632222,26414821,27375412,28849089,30677606,32149837
 "13000","Georgia",5,SAINC35,2110,"...","   Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6031,7238,10570,21906,25958,35703,43881,59800,70025,92901,110715,137291,153477,181090,214215,232056,246333,282866,316958,342887,405157,441359,532692,633088,718875,901115,1038330,1215901,1404014,1584350,1755544,1992314,2322472,2695596,2969429,3241398,3473812,3701253,3927952,4098063,4341074,4690149,5067550,5553180,6003249,6440588,6837830,7272734,7681993,8127057,8527068,8893015,9510447,10177009,10812066,11327071,11966676,12859968,13882316,14914415,15919939,17757739,18723005,19587103,21208206,22493004,23709885,24937431,25779012,26758266,28224952,30037055,31498044
 "13000","Georgia",5,SAINC35,2120,"...","   Excluding Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4199,4908,5465,5878,8016,8433,9421,10153,11061,12205,13032,14499,16922,18100,19200,19820,20665,21754,23221,25554,29281,31047,35650,41961,46438,56510,63546,76930,86197,92405,98263,106305,119263,138165,156433,163815,166808,177438,183035,190213,205750,211763,224179,237464,251691,259820,264505,269657,282050,280370,288461,301196,293773,309209,350798,373506,393292,434360,456829,485397,519139,527864,569030,587397,608359,602063,656854,694791,635809,617146,624137,640551,651793
 "13000","Georgia",5,SAINC35,2121,"...","    Railroad retirement and disability benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3946,4629,5009,5234,7248,7578,8576,9202,10016,11122,11858,13291,15789,16940,17938,18489,19282,20294,21558,23615,27119,28535,32479,38004,41700,50403,55638,65548,71975,77365,81860,89512,101136,112806,123449,129017,130149,134305,138396,141392,149420,155861,162495,170481,177254,180248,185170,189129,193125,196771,200655,202577,207296,213873,225105,234715,244190,255501,271274,286847,302035,320183,340520,348427,367252,379311,391914,401666,407230,412825,423064,435869,439258
 "13000","Georgia",5,SAINC35,2122,"...","    Workers' compensation","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),232,237,414,622,744,821,821,928,1023,1063,1155,1190,1115,1141,1244,1314,1374,1452,1657,1932,2154,2503,3116,3686,4252,4857,6629,10056,12720,13409,14178,12918,14159,21093,28248,28960,30503,36318,35625,37487,39046,44324,48474,54352,57623,57783,58145,59046,63320,64369,67036,68522,70987,80406,90639,91947,99904,118758,123124,136042,144930,139819,152368,159764,162782,165188,168926,168348,171903,175452,177741,181132,185439
 "13000","Georgia",5,SAINC35,2123,"...","    Other government retirement and disability insurance benefits 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),21,42,42,22,24,34,24,23,22,20,19,18,18,19,18,17,9,8,6,7,8,9,55,271,486,1250,1279,1326,1502,1631,2225,3875,3968,4266,4736,5838,6156,6815,9014,11334,17284,11578,13210,12631,16814,21789,21190,21482,25605,19230,20770,30097,15490,14930,35054,46844,49198,60101,62431,62508,72174,67862,76142,79206,78325,57564,96014,124777,56676,28869,23332,23550,27096
 "13000","Georgia",5,SAINC35,2200,"...","  Medical benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,0,2202,4720,7828,11285,14427,26265,79158,130932,164029,215683,263077,302884,317455,436283,521385,608984,696313,799168,919733,1127368,1348033,1481915,1697032,1865544,2111554,2324906,2630542,2941993,3433699,4032293,5162546,5814438,6457936,7305539,7829728,8260040,8411190,8123030,8662123,9577537,10617499,13197612,12769829,14534714,15936835,17370439,18746585,19855978,20759544,21828467,23370819,23851656,25138243,26796542,27838099,28896420,30289906,31999849,33431538,34699056
 "13000","Georgia",5,SAINC35,2210,"...","   Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),12173,56748,75668,87689,96822,115091,122270,144829,185821,235616,298923,351818,405617,490492,613590,757902,878538,1000905,1145727,1261933,1392855,1542776,1666629,1987084,2233235,2671684,3147388,3388721,3775780,4207623,4487847,4738147,4544930,4670881,4937061,5359986,5804400,6300855,7149641,7787900,9884152,10668531,11461332,12368321,13036551,13736777,14384529,15007008,15925801,16997021,17818288,18729798,19984400,21476363,22503907
