GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "26000","Michigan",3,SAINC35,1000,"...","Personal current transfer receipts (thousands of dollars)","Thousands of dollars",46544,46768,89672,67568,69228,64137,72546,111769,65636,112515,105182,99753,97159,119689,91693,116592,274085,440087,544414,379378,427838,501996,440610,481912,488511,627633,688457,780889,876473,1183415,1072846,1111672,1332025,1304423,1327375,1365628,1475729,1617338,2001565,2312071,2558746,3215645,3838323,4317792,4925429,6152718,8075342,8322767,8545134,9082769,10473287,13826445,14645635,16348938,17299724,17491018,18050667,18929472,19463566,20302294,21966056,23802967,26480919,28050493,29981970,30276174,31955056,33556452,35485471,35246616,37771543,39043213,43474910,45062786,47300704,49316942,52448918,55992960,61241712,69712046,77421489,82684863,82541515,82128688,83385215,86433300,91475944,93632385,93762580,98201333,103741510,146541446
 "26000","Michigan",3,SAINC35,2000,"..."," Current transfer receipts of individuals from governments","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),347743,397266,461489,388370,436106,441554,593325,633377,711841,798721,1116640,999731,1040509,1260443,1222636,1227544,1244322,1340869,1481533,1849829,2127780,2356006,3018461,3642565,4100615,4675183,5852714,7667132,7885589,8177239,8596604,9910534,13228685,13958813,15666269,16570258,16513528,16988008,17816830,18453020,19276044,20830478,22708942,25529581,27128878,29114217,29430264,30901227,32344413,34409634,33925736,36146863,37099227,41329274,43324102,45809782,48144818,50977169,54697332,59636054,67926106,75506298,80629539,80337716,80149833,81465450,84371571,89208976,91075021,91556054,95935717,101265933,140635253
 "26000","Michigan",3,SAINC35,2100,"...","  Retirement and disability insurance benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35040,41346,55866,98655,117778,157559,189235,250356,285390,367564,424101,508463,555173,627869,703310,740786,771828,859790,942580,998813,1137987,1213696,1436644,1675123,1853918,2284635,2629011,2948146,3320216,3662945,3990080,4522759,5233769,6049598,6819397,7253654,7632553,7974608,8372233,8570198,9064781,9599048,10353755,11152784,11853691,12509710,13029540,13532137,13990152,14533527,15017060,15414107,16211144,17151079,18003385,18636109,19502183,20568927,21927057,23183227,24346391,26766185,27909943,28822509,30689008,31945599,33194821,34419599,34943972,35749231,37227129,39124719,40560454
 "26000","Michigan",3,SAINC35,2110,"...","   Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),25971,31144,44535,87471,102632,142335,172069,231565,264524,344656,399521,481324,525263,594478,669887,706907,736575,824352,903539,952801,1089108,1165077,1380155,1604771,1775123,2187516,2524808,2828766,3188315,3520542,3833751,4330482,5000836,5805794,6446918,6891018,7280968,7671554,8053555,8332336,8808182,9299950,10014009,10782110,11465068,12100363,12620877,13179681,13685836,14233895,14714420,15101456,15907231,16835393,17659118,18257189,19082565,20128993,21490024,22752977,23921047,26302511,27367216,28283235,30142626,31441920,32601993,33765453,34436191,35304690,36796725,38693410,40124851
 "26000","Michigan",3,SAINC35,2120,"...","   Excluding Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9069,10202,11331,11184,15146,15224,17166,18791,20866,22908,24580,27139,29910,33391,33423,33879,35253,35438,39041,46012,48879,48619,56489,70352,78795,97119,104203,119380,131901,142403,156329,192277,232933,243804,372479,362636,351585,303054,318678,237862,256599,299098,339746,370674,388623,409347,408663,352456,304316,299632,302640,312651,303913,315686,344267,378920,419618,439934,437033,430250,425344,463674,542727,539274,546382,503679,592828,654146,507781,444541,430404,431309,435603
 "26000","Michigan",3,SAINC35,2121,"...","    Railroad retirement and disability benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6568,7476,8010,8408,11501,11935,13527,14530,15962,17545,18487,20966,23768,24767,25790,26362,27050,27902,29401,32200,35808,37495,42296,47530,50749,59785,64523,74912,80950,85517,89756,96856,107502,118416,128445,133499,137533,140380,142556,147174,153821,163271,171444,180255,188708,192312,196799,201006,205448,209713,213257,214189,217879,222933,231291,235649,238529,242221,251005,256908,263126,277674,280153,284589,294174,297907,302115,303993,301809,300791,304237,306984,302886
 "26000","Michigan",3,SAINC35,2122,"...","    Workers' compensation","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2453,2630,3225,2728,3598,3218,3591,4213,4854,5312,6042,6123,6092,8574,7585,7468,8179,7511,9612,13783,13043,11098,13685,19778,22366,24364,27602,32532,38624,44556,53037,73064,102549,102464,221332,205098,190504,136477,148523,61457,67532,107324,138732,162106,167483,184990,180688,120363,62789,59495,55764,55201,60125,69223,70889,72966,72462,76718,76402,76012,76544,78181,81317,77155,76822,77825,79106,79507,81932,82333,79263,77057,78100
 "26000","Michigan",3,SAINC35,2123,"...","    Other government retirement and disability insurance benefits 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48,96,96,48,47,71,48,48,50,51,51,50,50,50,48,49,24,25,28,29,28,26,508,3044,5680,12970,12078,11936,12327,12330,13536,22357,22882,22924,22702,24039,23548,26197,27599,29231,35246,28503,29570,28313,32432,32045,31176,31087,36079,30424,33619,43261,25909,23530,42087,70305,108627,120995,109626,97330,85674,107819,181257,177530,175386,127947,211607,270646,124040,61417,46904,47268,54617
 "26000","Michigan",3,SAINC35,2200,"...","  Medical benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9244,9688,11681,13107,14218,15460,18421,22549,26531,35950,52265,55197,56911,65956,117640,322231,418301,501388,570308,683735,814637,1002704,1206710,1462145,1620312,1863649,2145022,2501988,2866376,3297157,3675268,4225064,4608388,4798982,5107139,5381598,5534073,6399029,7049310,8456599,8827583,10299901,10745438,11696287,12775159,14053453,13129727,14932767,14895873,17395402,17367657,18572217,20025797,21466456,23340203,25466245,27515365,29204926,30550774,31936818,32932708,34054896,36096222,39660087,41194022,40887106,43481312,46695939,48090908
 "26000","Michigan",3,SAINC35,2210,"...","   Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40256,187663,231775,281450,290084,333312,386207,436173,554681,689679,785429,974979,1151894,1374008,1652811,1909077,2235411,2537502,2842051,2986374,3144256,3321599,3421651,4007728,4336650,4405725,4964499,5407298,6148093,6885751,7395183,7765860,7734710,7835451,8182196,9291590,9884018,10491318,11616013,12699985,14675277,15785358,17041020,18158239,18611754,19372901,20268097,21281191,21789967,22938752,23805715,24783537,26148757,27826815,28831298
