GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "31000","Nebraska",4,SAINC35,1000,"...","Personal current transfer receipts (thousands of dollars)","Thousands of dollars",13268,12893,24276,16019,13649,13879,15032,31313,19910,18439,19420,21800,21485,20926,20103,24600,42182,75318,78172,68908,70710,92788,80027,81550,83940,94850,108855,122189,142529,159659,174265,185436,205058,215643,228891,236094,257680,280044,340825,393592,429271,497556,562357,619511,740995,846837,1036385,1105371,1176583,1304673,1453237,1697394,1955791,2154449,2330781,2444263,2596375,2714825,2776504,2896034,3119183,3383049,3639792,3951824,4219498,4401420,4688079,4987485,5170724,5510962,5826404,6110157,6720111,7145992,7453721,7809676,8268050,8933169,9420892,10581736,11053167,11868384,12092498,12183806,12333978,12909357,13561294,14059989,14750827,15609233,16469680,20903639
 "31000","Nebraska",4,SAINC35,2000,"..."," Current transfer receipts of individuals from governments","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),63418,65193,85718,71300,71865,76208,89328,100736,112665,132295,150300,164095,174990,192883,202467,213257,218325,239420,261688,319620,368449,394526,463935,529737,583187,699077,796481,967703,1031547,1114517,1222746,1358644,1596492,1838813,2036734,2203863,2273800,2412095,2524256,2605422,2722292,2927253,3198452,3479342,3796039,4072403,4257695,4508521,4780667,4986677,5284563,5547749,5777096,6352421,6847373,7196733,7606582,8011215,8705267,9135671,10260380,10703906,11489438,11683664,11814382,11973811,12521008,13131509,13572374,14328564,15174153,15992431,19644262
 "31000","Nebraska",4,SAINC35,2100,"...","  Retirement and disability insurance benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),5767,6710,8378,13375,16785,23633,29330,39699,47102,65591,79505,97292,107176,119237,132793,141076,147675,165203,179901,192356,221520,234582,275984,320581,352734,430480,482334,549739,609612,672993,731062,813361,930428,1084106,1208993,1274634,1319650,1387376,1454064,1498204,1584781,1671138,1786841,1905746,2014957,2110585,2192433,2282311,2359982,2456771,2526631,2582037,2696409,2832652,2953920,3033827,3155799,3323827,3491850,3668419,3819069,4148242,4282149,4384347,4649339,4846328,5050233,5269848,5420118,5599614,5881634,6243321,6536023
 "31000","Nebraska",4,SAINC35,2110,"...","   Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2622,3161,4606,9419,11298,17616,22754,32834,39525,57011,70104,86883,95136,106531,119216,127202,133649,150427,164241,175030,201800,213667,252121,292551,321982,393588,441332,500973,555719,614721,669239,746305,855826,1000886,1118201,1180053,1221684,1285901,1352009,1392407,1475365,1555638,1665828,1777417,1879988,1971704,2051185,2138075,2213424,2306444,2371655,2424469,2535249,2665307,2776612,2850273,2965387,3123390,3278445,3442423,3580715,3895724,4001952,4094940,4338125,4517446,4700591,4899504,5034455,5198747,5459950,5801781,6079420
 "31000","Nebraska",4,SAINC35,2120,"...","   Excluding Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3145,3549,3772,3956,5487,6017,6576,6865,7577,8580,9401,10409,12040,12706,13577,13874,14026,14776,15660,17326,19720,20915,23863,28030,30752,36892,41002,48766,53893,58272,61823,67056,74602,83220,90792,94581,97966,101475,102055,105797,109416,115500,121013,128329,134969,138881,141248,144236,146558,150327,154976,157568,161160,167345,177308,183554,190412,200437,213405,225996,238354,252518,280197,289407,311214,328882,349642,370344,385663,400867,421684,441540,456603
 "31000","Nebraska",4,SAINC35,2121,"...","    Railroad retirement and disability benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3053,3455,3626,3756,5266,5772,6317,6586,7262,8275,9095,10100,11751,12410,13265,13546,13684,14445,15317,16946,19317,20443,23279,27281,29877,35901,39737,47100,51765,55787,59166,64276,72046,80188,87233,91190,94255,97402,98154,101613,104736,110630,115674,122741,128664,132090,135511,137999,140634,144548,148291,149856,153309,158734,167436,172725,179466,187213,199423,212346,224546,238967,266086,274842,296421,314751,333713,353644,371453,387619,408405,427952,442616
 "31000","Nebraska",4,SAINC35,2122,"...","    Workers' compensation","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88,86,138,196,217,241,256,276,312,301,302,305,284,292,309,324,340,329,341,377,400,469,579,726,829,874,1157,1564,2012,2372,2537,2575,2347,2845,3362,3170,3476,3846,3635,3828,4245,4560,4988,5238,5863,6346,5358,5864,5208,5173,6035,6757,7349,8120,8073,8160,8259,9568,9633,9825,10531,10649,11091,11504,11711,11846,12031,11902,11973,12103,12284,12580,12819
 "31000","Nebraska",4,SAINC35,2123,"...","    Other government retirement and disability insurance benefits 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4,8,8,4,4,4,3,3,3,4,4,4,5,4,3,4,2,2,2,3,3,3,5,23,46,117,108,102,116,113,120,205,209,187,197,221,235,227,266,356,435,310,351,350,442,445,379,373,716,606,650,955,502,491,1799,2669,2687,3656,4349,3825,3277,2902,3020,3061,3082,2285,3898,4798,2237,1145,995,1008,1168
 "31000","Nebraska",4,SAINC35,2200,"...","  Medical benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1331,1644,1931,2328,2705,2971,4248,5740,6258,6300,7180,9004,9887,12807,21444,57546,71290,71056,81478,88820,96524,125063,146353,170752,190176,219964,258475,300770,351384,414551,464004,528028,573037,601189,644886,694798,713794,798289,923842,1048761,1175366,1332362,1441343,1545330,1704027,1805918,2012536,2142288,2271960,2617374,2789253,2965745,3199224,3362726,3855506,4088291,4235552,4468877,4537301,4696502,4901135,4900117,5166271,5416244,5618763,5947211,6191506,6435277,6844286
 "31000","Nebraska",4,SAINC35,2210,"...","   Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),8558,39897,46774,54680,58520,62050,65484,76739,92721,108598,122755,146617,169595,199254,237814,279338,318780,359490,404637,417275,430615,445210,448111,495126,554547,605061,662134,713679,792783,875581,955354,1045716,1040234,1087948,1174526,1323742,1430555,1515076,1679704,1837834,2297515,2420144,2545426,2709297,2792912,2871598,2938255,2983875,3177009,3351800,3495042,3648863,3863333,4125984,4306362
 "31000","Nebraska",4,SAINC35,2220,"...","   Public assistance medical care benefits 2/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1331,1644,1931,2328,2705,2971,4248,5740,6258,6300,7180,9004,9887,12807,12886,16732,23201,14691,20659,23972,27741,44491,49727,58038,63254,68929,83866,95765,107274,127799,134667,158661,158423,173426,202928,235954,247384,284931,346292,418664,487492,595729,628846,651678,730499,741132,953595,1034611,1074166,1267875,1327817,1409215,1468483,1460773,1479425,1583360,1595583,1653844,1635220,1711098,1842946,1807314,1877097,1950774,2013063,2183050,2213927,2192836,2416271
 "31000","Nebraska",4,SAINC35,2221,"...","    Medicaid 3/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),20659,23972,27741,44491,49727,58038,63066,68553,83302,95013,106381,127043,133771,157693,156900,171391,200855,233840,245231,282739,344062,416387,485201,591991,624164,646719,725764,735903,947663,1027598,1066868,1261079,1321474,1401070,1458320,1448491,1466431,1569970,1580955,1638256,1621753,1698608,1829393,1787758,1862007,1938335,2003792,2173900,2202370,2180136,2405970
