GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "49000","Utah",7,SAINC35,1000,"...","Personal current transfer receipts (thousands of dollars)","Thousands of dollars",3765,3869,8249,6417,6501,6747,7897,12090,8195,11074,11337,12314,13894,12883,12321,15904,26244,52121,52179,50844,52346,62073,51613,52151,54923,62592,69422,73796,83224,95006,100592,105147,116904,122429,131803,140702,152210,161789,190942,219866,247898,298520,352444,401870,471648,537738,673443,732210,788392,877703,999315,1178898,1380526,1586879,1729353,1782471,1935538,2094037,2244015,2344186,2588185,2840137,3137117,3480132,3774600,3889388,4218982,4466516,4643875,4847280,5118936,5499207,6031226,6601194,7025350,7439005,8109841,8810717,9601796,11214186,12409546,13766563,14219920,14110743,14590777,15103238,16056555,16778688,17309892,18393900,19894172,25983663
 "49000","Utah",7,SAINC35,2000,"..."," Current transfer receipts of individuals from governments","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47388,48783,57389,46177,47139,50853,59896,65267,68558,77108,88949,94295,98784,110067,114735,122561,129849,140577,149180,176653,203001,224117,275001,328475,374628,439483,498330,618229,671326,735625,805808,913387,1084070,1267826,1470490,1601107,1607695,1743705,1891853,2059891,2156555,2379334,2637199,2957434,3301969,3602313,3717001,4000109,4210221,4411859,4557328,4757900,5061907,5536978,6194541,6672215,7156870,7747102,8481846,9180896,10731393,11877664,13185195,13587668,13535513,14024912,14488713,15370181,15990102,16618216,17672729,19094082,24604609
 "49000","Utah",7,SAINC35,2100,"...","  Retirement and disability insurance benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),4069,4586,5720,9226,11106,14381,17317,22582,25979,32914,38139,45620,50226,56373,63449,67902,72111,81504,89992,96886,113296,122260,145758,173013,195568,244376,280818,321526,363840,416198,456921,513749,597943,702059,780092,850245,896752,965956,1036135,1119718,1178078,1291191,1403469,1539024,1609132,1715945,1806711,1892616,1976407,2071237,2143187,2220519,2375614,2561012,2739027,2882340,3039734,3264954,3522434,3762762,3965873,4319536,4496439,4688510,5067242,5362359,5638295,5952435,6096055,6316266,6663137,7152868,7591655
 "49000","Utah",7,SAINC35,2110,"...","   Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1889,2180,3094,6318,7425,10391,12931,17889,20856,27412,31914,38627,42313,47838,54099,57793,61532,70244,77550,83386,98112,105312,126659,148486,166994,207471,238820,272345,309222,348211,385638,437827,509708,599676,666147,729708,782018,836360,893046,943104,1009251,1092400,1175585,1299997,1403370,1505042,1596794,1692855,1783151,1879179,1950277,2024969,2153817,2300044,2442106,2564917,2712151,2915125,3162305,3397341,3610685,3994720,4199008,4387040,4738286,5018694,5290785,5587575,5825380,6093390,6483243,6969803,7408079
 "49000","Utah",7,SAINC35,2120,"...","   Excluding Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2180,2406,2626,2908,3681,3990,4386,4693,5123,5502,6225,6993,7913,8535,9350,10109,10579,11260,12442,13500,15184,16948,19099,24527,28574,36905,41998,49181,54618,67987,71283,75922,88235,102383,113945,120537,114734,129596,143089,176614,168827,198791,227884,239027,205762,210903,209917,199761,193256,192058,192910,195550,221797,260968,296921,317423,327583,349829,360129,365421,355188,324816,297431,301470,328956,343665,347510,364860,270675,222876,179894,183065,183576
 "49000","Utah",7,SAINC35,2121,"...","    Railroad retirement and disability benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1365,1577,1676,1729,2389,2552,2883,3088,3368,3622,4117,4689,5462,5758,6098,6796,7227,7540,8299,9207,10585,11679,13502,16177,17883,21885,24580,29248,32583,35546,38063,42470,48519,54457,59425,62044,62143,64577,65955,67650,69595,71943,74801,78227,80551,81808,83920,84008,83858,84457,85011,85067,85551,86225,88080,89418,90803,92832,95973,98221,100630,106222,107681,109593,113754,116430,119509,121524,121286,121688,123805,126364,126352
 "49000","Utah",7,SAINC35,2122,"...","    Workers' compensation","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),814,827,948,1178,1291,1437,1501,1603,1754,1880,2108,2304,2451,2777,3252,3313,3352,3720,4143,4293,4599,5269,5387,7085,8223,9835,12625,15036,17068,27520,27994,24808,30949,39289,46242,50056,44406,56044,68212,100192,90392,118322,144531,152291,116374,120363,117713,107962,101523,100550,101381,103240,130208,168953,201837,220256,227865,246476,252178,255868,242946,208053,178754,180783,204692,219206,215918,227917,141521,96710,52370,52990,53197
 "49000","Utah",7,SAINC35,2123,"...","    Other government retirement and disability insurance benefits 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1,2,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,210,1265,2468,5185,4793,4897,4967,4921,5226,8644,8767,8637,8278,8437,8185,8975,8922,8772,8840,8526,8552,8509,8837,8732,8284,7791,7875,7051,6518,7243,6038,5790,7004,7749,8915,10521,11978,11332,11612,10541,10996,11094,10510,8029,12083,15419,7868,4478,3719,3711,4027
 "49000","Utah",7,SAINC35,2200,"...","  Medical benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),150,199,232,287,341,376,567,784,1729,3089,4882,5523,6387,6633,9070,21826,27401,31343,38151,40709,48126,60124,67133,79234,94936,112673,142598,176309,193975,236175,277306,317072,351311,392943,446527,499685,530667,597491,697838,827454,957525,1082204,1170377,1336412,1438894,1506088,1541463,1620606,1738464,1938757,2167665,2425024,2755392,3043170,3495415,3652618,3840235,4277927,4420522,4719826,4913253,5230941,5431278,5796000,6149894,6398633,6734654,7437506,8122784
 "49000","Utah",7,SAINC35,2210,"...","   Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),3069,14307,17003,18736,20465,20985,26100,30253,35477,43501,51925,64362,79492,95713,111845,139363,159829,180610,203225,225544,250722,279592,303990,357348,379055,430755,501859,573151,641873,745604,803343,843058,811667,826597,885957,1007791,1111977,1220955,1404991,1543740,1917320,2088468,2236588,2431434,2560904,2696192,2820561,2924142,3171725,3414082,3588430,3792204,4067764,4399282,4648498
