GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "00000","United States", ,SAINC35,1000,"...","Personal current transfer receipts (thousands of dollars)","Thousands of dollars",1189000,1221000,2348000,1745000,1691000,1752000,1976000,3081000,1975000,2399000,2518000,2681000,2656000,2664000,2489000,3107000,5642000,10550000,10820000,10252000,11212000,14010114,11442374,11915188,12551683,14356590,15733305,16877149,19583705,23528435,24306053,25740000,29450000,30392000,32209000,33504000,36178000,39617000,48014000,56094000,62322000,74733000,88248000,98130000,112848000,133639000,170424000,184845000,195111000,210561000,236376000,280874000,319762000,356141000,384671000,401232000,425761000,451711000,468094000,497410000,544186000,597231000,668048000,747939000,792906000,828880000,883374000,929128000,954797000,983878000,1026144000,1087280000,1192565000,1285190000,1347228000,1421206000,1516711000,1613814000,1728065000,1955082000,2146693000,2325117000,2358654000,2362988000,2424317000,2541516000,2685370000,2776983000,2856320000,2976288000,3139054000,4241091000
 "00000","United States", ,SAINC35,2000,"..."," Current transfer receipts of individuals from governments","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),9526000,10505000,13081362,10259242,10793753,11504008,13615199,14639947,15516483,18060407,22112414,22771529,24208000,27836000,28547000,30011000,30899000,33384000,36790000,44774000,52224000,57683000,70200000,83771000,93129000,107057000,126659000,160829000,174478000,186336000,198899000,222794000,266290000,302752000,338895000,365934000,375911000,398071000,422614000,441602000,470347000,514069000,568060000,642577000,723129000,769383000,805802000,854510000,895821000,925025000,947034000,980524000,1032404000,1131508000,1235362000,1304243000,1387144000,1473518000,1575359000,1679768000,1900544000,2087422000,2260351000,2288747000,2300206000,2363160000,2475559000,2612313000,2694124000,2784542000,2902300000,3057831000,4050252000
 "00000","United States", ,SAINC35,2100,"...","  Retirement and disability insurance benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),950000,1115000,1458149,2413456,2871428,3725282,4466032,5806178,6633732,8397080,9657786,11482195,12573000,14152000,15939000,16982000,17821000,19945000,21771000,23278000,26985000,28931000,34321000,40152000,44966000,55771000,63041000,72015000,81261000,90513000,99237000,111895000,128802000,149780000,165783000,177146000,186272000,197243000,208369000,216862000,231057000,245408000,263888000,285655000,304661000,320858000,334780000,350022000,364760000,378930000,391214000,402394000,424461000,449803000,474483000,493438000,517045000,545484000,576879000,608759000,639044000,698533000,724895000,747448000,796218000,832756000,870337000,907978000,930384000,959239000,1006324000,1065496000,1113849000
 "00000","United States", ,SAINC35,2110,"...","   Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),552000,664000,956770,1876958,2182815,2986632,3642307,4927428,5665936,7338238,8497905,10198167,11130000,12614000,14298000,15245000,16018000,18067000,19786000,21122000,24598000,26382000,31380000,36617000,40948000,50665000,57607000,65895000,74501000,83239000,91380000,102581000,118586000,138644000,153708000,164426000,173027000,183275000,193631000,200995000,213916000,227380000,244135000,264204000,281776000,297935000,312161000,327675000,342005000,356592000,369182000,379864000,401393000,425084000,446909000,463531000,485512000,512728000,544096000,575653000,605542000,664470000,690174000,713261000,762139000,799044000,834640000,871793000,896472000,926072000,972412000,1030743000,1077928000
 "00000","United States", ,SAINC35,2120,"...","   Excluding Social Security benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),398000,451000,501379,536498,688613,738650,823725,878750,967796,1058842,1159881,1284028,1443000,1538000,1641000,1737000,1803000,1878000,1985000,2156000,2387000,2549000,2941000,3535000,4018000,5106000,5434000,6120000,6760000,7274000,7857000,9314000,10216000,11136000,12075000,12720000,13245000,13968000,14738000,15867000,17141000,18028000,19753000,21451000,22885000,22923000,22619000,22347000,22755000,22338000,22032000,22530000,23068000,24719000,27574000,29907000,31533000,32756000,32783000,33106000,33502000,34063000,34721000,34187000,34079000,33712000,35697000,36185000,33912000,33167000,33912000,34753000,35921000
 "00000","United States", ,SAINC35,2121,"...","    Railroad retirement and disability benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),251000,288000,307163,318189,442250,469252,529319,566309,624316,688325,737301,833333,949000,994000,1040000,1070000,1097000,1140000,1202000,1308000,1471000,1541000,1745000,1995000,2154000,2566000,2797000,3265000,3550000,3783000,3985000,4313000,4812000,5314000,5771000,6011000,6065000,6211000,6351000,6478000,6708000,6958000,7221000,7513000,7744000,7825000,7961000,8025000,8087000,8198000,8229000,8206000,8267000,8412000,8700000,8854000,9009000,9194000,9519000,9813000,10068000,10630000,10779000,10961000,11410000,11676000,11955000,12228000,12352000,12475000,12731000,13024000,13126000
 "00000","United States", ,SAINC35,2122,"...","    Workers' compensation","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),119000,128000,152214,180306,201360,217395,232403,247438,267477,284513,316576,335691,354000,382000,414000,436000,456000,476000,515000,562000,598000,650000,687000,762000,893000,1020000,1185000,1381000,1717000,1946000,2198000,2556000,2848000,3178000,3647000,3954000,4319000,4653000,5115000,5986000,6783000,7500000,8618000,9510000,10431000,10990000,10742000,10560000,10889000,10613000,10296000,10442000,10898000,12020000,13499000,14703000,15568000,15863000,15347000,15448000,15542000,15392000,15505000,14903000,14401000,14309000,14252000,13721000,13105000,12832000,12624000,12363000,12102000
 "00000","United States", ,SAINC35,2123,"...","    Other government retirement and disability insurance benefits 1/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),28000,35000,42002,38003,45003,52003,62003,65003,76003,86004,106004,115004,140000,162000,187000,231000,250000,262000,268000,286000,318000,358000,509000,778000,971000,1520000,1452000,1474000,1493000,1545000,1674000,2445000,2556000,2644000,2657000,2755000,2861000,3104000,3272000,3403000,3650000,3570000,3914000,4428000,4710000,4108000,3916000,3762000,3779000,3527000,3507000,3882000,3903000,4287000,5375000,6350000,6956000,7699000,7917000,7845000,7892000,8041000,8437000,8323000,8268000,7727000,9490000,10236000,8455000,7860000,8557000,9366000,10693000
 "00000","United States", ,SAINC35,2200,"...","  Medical benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),116500,140537,165646,197732,227803,249876,350080,468350,529000,689000,930000,1070000,1255000,1476000,2998000,7615000,10140000,11579000,13163000,15381000,17767000,20716000,25051000,30828000,35664000,40520000,46119000,53205000,62624000,74373000,84633000,95586000,105554000,114146000,124156000,135056000,145517000,165773000,188808000,222822000,257716000,284953000,311886000,338579000,360865000,377592000,383406000,400723000,427194000,480761000,522404000,556459000,611374000,655571000,720384000,775933000,825516000,890395000,938402000,970055000,1001620000,1040505000,1117744000,1197744000,1250495000,1292294000,1351012000,1427227000,1504739000
 "00000","United States", ,SAINC35,2210,"...","   Medicare benefits","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1008000,4699000,5890000,6695000,7254000,8049000,8836000,10244000,12726000,15633000,18795000,22101000,25543000,29936000,36201000,43499000,50927000,57797000,64748000,69720000,75269000,81585000,86289000,98175000,107638000,117487000,132596000,146785000,164423000,181220000,194868000,206917000,205558000,208736000,219117000,242580000,259736000,276708000,304359000,332127000,399107000,428201000,461613000,492951000,513390000,535609000,554746000,572843000,600007000,634939000,662109000,692547000,734919000,785703000,819202000
