GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "06000","California",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",6618909,7159161,7746764,8109107,8790823,9437402,10332156,11266629,12107777,12861519,13527617,15139365,16875870,18269178,19878427,22211155,25386274,27935497,30045134,33225936,38085124,43769535,53179883,65378871,72150465,78856468,89946591,95922271,100016700,102735645,111296159,125843126,133372080,134003255,135584431,139270593,145731552,157303974,167650097,178620686,193061831,200490696,216140246,218658443,210299625,219221022,229112108,252797343,289378704,314524357,323562985,285806607,284291062,313870912,350919832,341829783,379126761,416147524,437468467,463808848,486592807,501259733,498511433
 "06000","California",8,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",1183235,1282191,1364436,1414901,1537507,1655922,1856485,2087302,2143335,2228969,2466039,2574070,2589372,2670141,2871184,3182065,3529689,3578880,4291448,4989142,5681290,6451421,7397351,8702688,8444683,9740049,10862135,11472292,12610617,13273222,15129545,18244306,19618619,20887396,21453744,22647375,25237696,27684689,32796930,37812528,40205249,40547821,45532741,44375872,48139611,52777713,69243956,72713098,92871894,102290046,98676676,67041227,66890139,85307934,106069381,101314573,123942487,138927251,147979614,157775112,171125036,179137070,176904547
 "06000","California",8,SAINC40,92,"..."," Personal interest income","Thousands of dollars",3594987,3932352,4319204,4579913,5042043,5511408,6124370,6731260,7398221,7951404,8385454,9691911,11481198,12573066,13772731,15607297,18303710,20806184,22469557,25715332,29779228,34674009,42565474,52685283,59729781,64999979,74750447,79865997,83929323,86473967,92032738,103814538,108585832,105778364,102042575,98856493,98934138,106158683,107677489,112925689,121589296,127510485,139175046,141835299,129974434,132564596,125014766,148298644,170182367,184928312,183315479,166728787,154557112,157236882,168051804,160699951,173276499,191480428,199158959,212917534,218799573,223908707,218990949
 "06000","California",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1600498,1825203,2004845,2163521,2363020,2569132,2809901,3036904,3334622,3654716,4004629,4724916,5869225,6504440,7228386,7955096,9177281,11262344,11919386,13286731,15053243,15945059,18742424,21493134,25436414,30983873,33054443,37807566,41311581,44417179,46760254,50398964,53465532,55866931,57646420,58740962,59296822,63220082,63467503,68083916,69256449,76975259,81291624,81643063,82461877,86521461,86837616,91580744,98504451,104829307,108507881,106459232,104232845,105847573,108559061,108542376,115743257,126556425,128184093,133049797,138468173,140040098,139457098
 "06000","California",8,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",1994489,2107149,2314359,2416392,2679023,2942276,3314469,3694356,4063599,4296688,4380825,4966995,5611973,6068626,6544345,7652201,9126429,9543840,10550171,12428601,14725985,18728950,23823050,31192149,34293367,34016106,41696004,42058431,42617742,42056788,45272484,53415574,55120300,49911433,44396155,40115531,39637316,42938601,44209986,44841773,52332847,50535226,57883422,60192236,47512557,46043135,38177150,56717900,71677916,80099005,74807598,60269555,50324267,51389309,59492743,52157575,57533242,64924003,70974866,79867737,80331400,83868609,79533851
 "06000","California",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",1840687,1944618,2063124,2114293,2211273,2270072,2351301,2448067,2566221,2681146,2676124,2873384,2805300,3025971,3234512,3421793,3552875,3550433,3284129,2521462,2624606,2644105,3217058,3990900,3976001,4116440,4334009,4583982,3476760,2988456,4133876,3784282,5167629,7337495,12088112,17766725,21559718,23460602,27175678,27882469,31267286,32432390,31432459,32447272,32185580,33878713,34853386,31785601,26324443,27305999,41570830,52036593,62843811,71326096,76798647,79815259,81907775,85739845,90329894,93116202,96668198,98213956,102615937
 "06000","California",8,SAINC40,96,"...","  Imputed rent","Thousands of dollars",1153743,1276815,1393434,1493017,1608729,1678539,1707863,1760161,1837965,1914090,1875379,2031701,1929752,2156116,2199769,2173595,2312958,2261023,2010390,1104587,1099324,841667,882741,853493,132901,-70997,-585154,-1253681,-2429771,-2558990,-1325242,-1414249,-913091,54420,2768882,7157432,10223860,11472861,14065035,14504673,16777754,18305619,18100110,18273209,19244993,20544431,21023672,16824108,12112992,11721960,22572683,30845636,39274081,45667063,47469412,51253700,53155769,55139811,57718906,62172561,65046811,66526218,70483186
 "06000","California",8,SAINC40,97,"...","  Monetary rent","Thousands of dollars",686944,667803,669690,621276,602544,591533,643438,687906,728256,767056,800745,841683,875548,869855,1034743,1248198,1239917,1289410,1273739,1416875,1525282,1802438,2334317,3137407,3843100,4187437,4919163,5837663,5906531,5547446,5459118,5198531,6080720,7283075,9319230,10609293,11335858,11987741,13110643,13377796,14489532,14126771,13332349,14174063,12940587,13334282,13829714,14961493,14211451,15584039,18998147,21190957,23569730,25659033,29329235,28561559,28752006,30600034,32610988,30943641,31621387,31687738,32132751
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
