GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "25000","Massachusetts",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1699471,1829316,1936894,2034528,2237175,2447670,2741701,2986884,3198474,3465260,3656651,3822864,4087607,4329136,4593286,5018158,5564091,5771884,6175908,6810957,7446560,8329466,10118503,12412958,14972026,15767520,18413323,19428612,20841006,22075927,24720456,26816480,27778538,27741056,28189859,29477239,30839089,33298487,35587229,38012552,40971937,41769959,46267371,47428586,44484479,44832578,45816206,49807303,58437226,62843712,64787476,56956612,57024454,62816449,69847294,69391201,76964131,83166990,87270860,91102033,95084460,97606554,96771091
 "25000","Massachusetts",1,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",580826,631798,639469,641390,676044,721853,810828,879884,912487,972700,908681,948055,939272,955762,1013792,1110141,1212699,1139374,1320725,1484963,1646270,1833465,2049781,2359049,2704673,2745842,3040815,3117420,3318405,3473510,3946561,4702047,4774793,5047442,5250732,5777062,6487030,7239475,8526665,9821468,10203594,10149601,11439940,11330444,11867526,12485609,15221895,15504532,20446766,21882392,21900662,15323744,15523234,19109444,23356162,22651617,27881649,30106383,32146475,33873348,36124070,37496086,36928409
 "25000","Massachusetts",1,SAINC40,92,"..."," Personal interest income","Thousands of dollars",813497,869723,939520,1004093,1138186,1283723,1449685,1578319,1704226,1852753,2076306,2224364,2548009,2773901,3002993,3355452,3819117,4155356,4420104,4992765,5483154,6211063,7696694,9591114,11793973,12555889,14902578,15802066,17141384,18228560,20160832,21589755,22374070,21827596,21249561,21016988,20967750,22246890,22625038,23703237,25795125,26388496,29766719,30524643,27267621,27087063,25084217,29673350,34506716,37639288,37157974,34117961,31871377,32239970,34345792,33591429,35410137,38971495,40108857,41847254,43093582,43807042,42800243
 "25000","Massachusetts",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",379355,414479,443273,480857,518029,557499,615114,657943,696399,759982,844562,965361,1144304,1276978,1408265,1562952,1747616,2061601,2172175,2403447,2655527,2812904,3364870,3896460,4624343,5597835,6216288,7030467,7954141,8848459,9625374,10336835,10754146,10883210,11188919,11627648,11808194,12662299,12775345,13736301,13931554,14940605,16175844,16298409,16086890,16280715,16426344,17254891,18507002,20018328,21302924,20541207,20254806,20799713,21140966,21219207,22785318,25025787,24250391,24268181,24692541,24588043,24576023
 "25000","Massachusetts",1,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",434142,455244,496247,523236,620157,726224,834571,920376,1007827,1092771,1231744,1259003,1403705,1496923,1594728,1792500,2071501,2093755,2247929,2589318,2827627,3398159,4331824,5694654,7169630,6958054,8686290,8771599,9187243,9380101,10535458,11252920,11619924,10944386,10060642,9389340,9159556,9584591,9849693,9966936,11863571,11447891,13590875,14226234,11180731,10806348,8657873,12418459,15999714,17620960,15855050,13576754,11616571,11440257,13204826,12372222,12624819,13945708,15858466,17579073,18401041,19218999,18224220
 "25000","Massachusetts",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",305148,327795,357905,389045,422945,442094,481188,528681,581761,639807,671664,650445,600326,599473,576501,552565,532275,477154,435079,333229,317136,284938,372028,462795,473380,465789,469930,509126,381217,373857,613063,524678,629675,866018,1689566,2683189,3384309,3812122,4435526,4487847,4973218,5231862,5060712,5573499,5349332,5259906,5510094,4629421,3483744,3322032,5728840,7514907,9629843,11467035,12145340,13148155,13672345,14089112,15015528,15381431,15866808,16303426,17042439
 "25000","Massachusetts",1,SAINC40,96,"...","  Imputed rent","Thousands of dollars",263699,288938,312779,333229,357766,371420,376175,385947,401290,416056,406620,365146,338878,356485,342045,319328,320982,295631,248207,126328,115097,79765,80723,82254,4113,-26013,-104640,-221831,-441176,-496935,-301297,-348409,-280219,-104365,430442,1273407,1832867,2050291,2504257,2565394,3012661,3340566,3326827,3671750,3662011,3679201,3804839,2886080,1879058,1667153,3769354,5353413,7067005,8522461,9060028,9822528,10375182,10639926,11251328,11846832,12255092,12680979,13355547
 "25000","Massachusetts",1,SAINC40,97,"...","  Monetary rent","Thousands of dollars",41449,38857,45126,55816,65179,70674,105013,142734,180471,223751,265044,285299,261448,242988,234456,233237,211293,181523,186872,206901,202039,205173,291305,380541,469267,491802,574570,730957,822393,870792,914360,873087,909894,970383,1259124,1409782,1551442,1761831,1931269,1922453,1960557,1891296,1733885,1901749,1687321,1580705,1705255,1743341,1604686,1654879,1959486,2161494,2562838,2944574,3085312,3325627,3297163,3449186,3764200,3534599,3611716,3622447,3686892
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
