GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "29000","Missouri",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1177445,1281759,1355645,1409106,1495861,1594503,1710389,1835303,1973983,2078389,2310392,2478188,2788255,3018297,3266422,3652730,4191723,4618052,4976171,5554570,6202381,7016075,8563876,10538873,12424544,13258778,14925518,15761582,16424423,16729890,17742376,19307305,20181860,20656319,21510915,22495680,23790481,25020827,26198099,27932915,29420034,28590253,30807488,30612261,29390901,30770870,31916573,33383207,37098980,40264435,42920147,37798244,38136131,40538929,46381807,43545478,47876025,50572825,52957793,52954742,57489806,59338028,58604644
 "29000","Missouri",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",261295,301171,315370,328049,344621,374565,412039,449866,458703,471144,545294,558142,560061,577045,618220,691385,769584,747967,884287,1009495,1126359,1259714,1371198,1548302,1648159,1748030,1887875,2024718,2197042,2364848,2760278,3326021,3502538,3720208,3958217,4259394,4926498,5405464,6164088,6763743,6964321,6412626,6760574,6377753,7149170,8239770,10559428,10442233,12645213,14120102,14306213,9694827,9615220,11469009,15113300,13427921,16481879,17760969,18974147,18390481,20196661,21287740,21015626
 "29000","Missouri",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",539663,592698,652328,680316,739449,789957,882756,961236,1086847,1188121,1345579,1518782,1800337,1993783,2177607,2483809,2938331,3408576,3673565,4213079,4731487,5415674,6810315,8519471,10323159,11107788,12613586,13317130,13942045,14093977,14615026,15612627,16184033,16257934,16563221,16857009,17098147,17728073,18003567,18938201,20060337,19552736,21271508,21039807,18936461,19033063,17446681,19471195,21620928,23495567,24183822,22813441,21767987,21427485,23114388,21276424,22400825,23528918,24515600,24865259,27350473,28022504,27210119
 "29000","Missouri",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",261327,291627,318077,342633,365472,382650,420408,451331,497205,545822,604732,715133,878922,988659,1086749,1192062,1386784,1726048,1820949,2028112,2262951,2370888,2795700,3194351,3864498,4838598,5177040,5911227,6408740,6870018,7158042,7505488,7816476,8145790,8621665,9176194,9534929,10212271,10339892,11047662,11140888,10922577,11541848,11401652,11327625,11709550,11901817,12442519,13155794,13893019,14920772,14922384,14802112,15011693,15297279,15091850,15846295,16668627,16521406,17236256,18098412,18273216,17981546
 "29000","Missouri",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",278336,301071,334251,337683,373977,407307,462348,509905,589642,642299,740847,803649,921415,1005124,1090858,1291747,1551547,1682528,1852616,2184967,2468536,3044786,4014615,5325120,6458661,6269190,7436546,7405903,7533305,7223959,7456984,8107139,8367557,8112144,7941556,7680815,7563218,7515802,7663675,7890539,8919449,8630159,9729660,9638155,7608836,7323513,5544864,7028676,8465134,9602548,9263050,7891057,6965875,6415792,7817109,6184574,6554530,6860291,7994194,7629003,9252061,9749288,9228573
 "29000","Missouri",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",376487,387890,387947,400741,411791,429981,415594,424201,428433,419124,419519,401264,427857,447469,470595,477536,483808,461509,418319,331996,344535,340687,382363,471100,453226,402960,424057,419734,285336,271065,367072,368657,495289,678177,989477,1379277,1765836,1887290,2030444,2230971,2395376,2624891,2775406,3194701,3305270,3498037,3910464,3469779,2832839,2648766,4430112,5289976,6752924,7642435,8154119,8841133,8993321,9282938,9468046,9699002,9942672,10027784,10378899
 "29000","Missouri",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",202991,222582,240980,252023,265800,272303,272652,277159,285905,294360,285836,295087,305063,323156,321225,304631,311415,286100,247276,155072,162090,139055,137220,139462,67376,48044,5522,-42973,-121397,-118793,-14739,3649,67422,166755,371982,715308,976194,1082202,1313502,1350827,1621563,1861833,2009376,2369505,2517041,2683955,3137535,2615890,1908042,1859916,3347234,4224508,5565962,6365676,6773730,7342227,7472558,7714541,7800862,8182611,8429469,8513670,8853271
 "29000","Missouri",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",173496,165308,146967,148718,145991,157678,142942,147042,142528,124764,133683,106177,122794,124313,149370,172905,172393,175409,171043,176924,182445,201632,245143,331638,385850,354916,418535,462707,406733,389858,381811,365008,427867,511422,617495,663969,789642,805088,716942,880144,773813,763058,766030,825196,788229,814082,772929,853889,924797,788850,1082878,1065468,1186962,1276759,1380389,1498906,1520763,1568397,1667184,1516391,1513203,1514114,1525628
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
