GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "36000","New York",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",6069170,6581842,7096071,7504338,8306831,9116086,10038798,10904202,11562496,12230906,13280909,13814823,14736049,15427540,16207655,17672029,19779539,20941921,21992001,24114466,26314426,29376042,34687566,41871607,47655970,50969188,58927413,61790278,63839174,65093052,71691893,81805041,84815783,84608970,83731860,84347902,87965504,95360825,100681832,107041944,113098542,114167058,122934001,121638976,112710987,115632687,121021038,136756031,156883423,179712146,181702555,156587103,156591284,172074385,193668068,196286249,214754768,229153194,239075415,258266196,271637900,278640347,274799178
 "36000","New York",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",2144669,2323774,2455382,2481476,2614732,2790606,3088188,3405916,3398016,3455509,3791387,3828144,3615472,3506490,3541887,3819745,4123069,3868218,4481121,5033351,5516226,6080097,6688045,7615285,7865518,8333070,9077719,9338795,9858867,9935828,11300525,13678114,14264525,14749299,15274301,15893946,17600935,19000893,22105281,24922953,25439891,24743093,27765019,26380324,27384824,28919207,36604586,39427938,52243438,62022470,61551417,40579110,39343991,48766722,59157460,58284813,70939125,75292077,78746232,84429907,93390099,95592637,93733635
 "36000","New York",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",2976222,3233668,3532016,3831141,4440758,4990665,5575893,6065486,6661637,7194870,7908874,8590667,9761696,10536873,11277661,12458993,14303359,15812286,16393142,18226046,19988562,22560151,27157209,33274349,38897092,41569840,48657373,51169805,53102123,54352167,59158765,67015845,69038015,67677188,64650632,62554262,63309483,68681488,69566203,73233849,77297317,78286736,83964808,82597656,72104889,72311263,68623690,85483560,95506965,108621530,104967034,95874900,92202890,93761378,103438692,104513176,108590810,117669701,122250660,134856447,138307549,142403218,139009636
 "36000","New York",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1204583,1354742,1469953,1583228,1743811,1884455,2087150,2233375,2436163,2675092,3015356,3469060,4122363,4585100,4993189,5463016,6278567,7683509,7736107,8328389,9041588,9277711,10911431,12493991,15064410,18636975,19978633,22699765,24980570,26789009,28288600,30651271,32194446,33096402,33993292,34957437,35390423,37886545,38291612,41362758,41617218,43222148,45639721,44942814,44206496,45653712,46008777,48833284,52597890,56833753,59446164,58324296,57577403,58285983,59936582,60685897,64849294,70359962,70097680,74288639,80527723,82267715,81946940
 "36000","New York",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",1771639,1878926,2062063,2247913,2696947,3106210,3488743,3832111,4225474,4519778,4893518,5121607,5639333,5951773,6284472,6995977,8024792,8128777,8657035,9897657,10946974,13282440,16245778,20780358,23832682,22932865,28678740,28470040,28121553,27563158,30870165,36364574,36843569,34580786,30657340,27596825,27919060,30794943,31274591,31871091,35680099,35064588,38325087,37654842,27898393,26657551,22614913,36650276,42909075,51787777,45520870,37550604,34625487,35475395,43502110,43827279,43741516,47309739,52152980,60567808,57779826,60135503,57062696
 "36000","New York",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",948279,1024400,1108673,1191721,1251341,1334815,1374717,1432800,1502843,1580527,1580648,1396012,1358881,1384177,1388107,1393291,1353111,1261417,1117738,855069,809638,735794,842312,981973,893360,1066278,1192321,1281678,878184,805057,1232603,1111082,1513243,2182483,3806927,5899694,7055086,7678444,9010348,8885142,10361334,11137229,11204174,12660996,13221274,14402217,15792762,11844533,9133020,9068146,15184104,20133093,25044403,29546285,31071916,33488260,35224833,36191416,38078523,38979842,39940252,40644492,42055907
 "36000","New York",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",773542,850466,923329,974989,1038456,1071228,1078991,1101892,1141180,1180409,1148459,920161,883777,923566,887922,823562,823091,747962,621250,326430,304041,220068,212438,222246,43790,-15595,-178973,-410467,-841574,-938148,-524545,-596310,-432103,-57015,990806,2568334,3585469,3945833,4761637,4846803,5975733,6971219,7375715,8647008,9644175,10796914,11935857,7663770,5120004,4807757,10084149,14258842,18556858,22353786,23607744,25597680,26682323,27466861,28656064,30179493,30901243,31618739,33042175
 "36000","New York",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",174737,173934,185344,216732,212885,263587,295726,330908,361663,400118,432189,475851,475104,460611,500185,569729,530020,513455,496488,528639,505597,515726,629874,759727,849570,1081873,1371294,1692145,1719758,1743205,1757148,1707392,1945346,2239498,2816121,3331360,3469617,3732611,4248711,4038339,4385601,4166010,3828459,4013988,3577099,3605303,3856905,4180763,4013016,4260389,5099955,5874251,6487545,7192499,7464172,7890580,8542510,8724555,9422459,8800349,9039009,9025753,9013732
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 1998-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
