GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "02000","Alaska",8,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",4126,4890,4658,5155,5642,6708,9681,10442,11876,11911,12249,12098,14556,18077,24067,25348,25264,28290,29201,30384,28808,26698,26639,25735,29998,37925,37315,42799,48026,47818,49536,54055,51971,50318,31915,32810,34628,32949,33385,31080,31291,31826,32517,33026,31444,35859,35057,36493,39128,42631,42445,45080
 "02000","Alaska",8,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",3200,3381,3118,3252,3083,3827,4138,4665,4893,4805,4452,4505,5534,6828,7733,7303,8221,10465,10822,10096,9023,7467,6447,6036,14066,21246,18844,25424,29151,27874,28309,33240,29541,28336,7633,8016,8547,8418,7270,6109,6543,7465,7720,7709,5672,6958,6316,6834,6971,8870,8397,9141
 "02000","Alaska",8,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",997,1024,837,742,771,902,994,1358,1467,1810,1555,1954,2374,3145,3300,3110,2786,2983,3283,4036,4356,4119,3780,3570,11668,18708,16443,22739,26259,25148,25638,30753,26761,24892,4419,5194,5977,6549,5446,4717,5195,5855,6171,6413,5012,6235,5634,6133,6421,8364,8145,8904
 "02000","Alaska",8,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",538,513,388,372,377,373,420,616,564,696,426,477,515,453,456,687,780,494,1057,1317,1475,992,622,640,661,121,1340,1828,2495,3307,1578,2064,1811,2406,1214,1793,2526,3090,2215,1962,2315,2826,3212,3680,1981,2800,2091,2205,1952,3876,3842,4666
 "02000","Alaska",8,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",104,114,124,103,97,100,105,139,286,425,391,398,493,916,1166,629,226,369,69,56,37,103,124,262,383,362,441,447,510,626,455,250,186,250,346,482,512,474,398,370,480,614,444,268,261,435,445,440,671,349,564,383
 "02000","Alaska",8,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",355,397,325,267,297,429,469,603,617,689,738,1079,1366,1776,1678,1794,1780,2120,2157,2663,2844,3024,3034,2668,10624,18225,14662,20464,23254,21215,23605,28439,24764,22236,2859,2919,2939,2985,2833,2385,2400,2415,2515,2465,2770,3000,3098,3488,3798,4139,3739,3855
 "02000","Alaska",8,SAINC45,40,"...","  Dairy products","Thousands of dollars",1862,1994,1838,1963,2112,2449,2700,2725,2814,2463,2160,2118,2465,2791,2900,2778,4214,6141,6791,5969,4549,3254,2582,2391,2318,2465,2323,2608,2892,2726,2671,2487,2780,3444,3214,2822,2570,1869,1824,1392,1348,1610,1549,1296,660,723,682,701,550,506,252,237
 "02000","Alaska",8,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",341,363,443,547,200,476,444,582,612,532,737,433,695,892,1533,1415,1221,1341,748,91,118,94,85,75,80,73,78,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",926,1509,1540,1903,2559,2881,5543,5777,6983,7106,7797,7593,9022,11249,16334,18045,17043,17825,18379,20288,19785,19231,20192,19699,15932,16679,18471,17375,18875,19944,21227,20815,22430,21982,24282,24794,26081,24531,26115,24971,24748,24361,24797,25317,25772,28901,28741,29659,32157,33761,34048,35939
 "02000","Alaska",8,SAINC45,70,"...","  Total grains","Thousands of dollars",34,37,34,69,338,106,256,238,400,404,517,902,908,1091,1138,1646,567,395,509,594,753,346,757,380,517,615,1044,694,607,385,567,338,736,605,517,539,763,529,652,448,641,832,967,1076,781,963,969,982,1244,1168,946,1081
 "02000","Alaska",8,SAINC45,71,"...","   Corn","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,72,"...","   Oats","Thousands of dollars",9,10,10,15,40,19,31,21,36,40,21,16,39,94,79,237,10,22,67,63,107,50,114,18,98,105,161,72,146,84,108,13,134,115,70,69,118,55,118,25,45,86,170,187,74,119,114,119,134,169,155,181
 "02000","Alaska",8,SAINC45,73,"...","   Sorghum","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,74,"...","   Wheat","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,75,"...","   Soybeans","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,76,"...","   Other grains","Thousands of dollars",25,27,24,54,298,87,225,217,364,364,496,886,869,997,1059,1409,557,373,442,531,646,296,643,362,419,510,883,622,461,301,459,325,602,490,447,470,645,474,534,423,596,746,797,889,707,844,855,863,1110,999,791,900
 "02000","Alaska",8,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",132,143,120,336,396,715,1794,1513,1391,1326,988,952,1876,1311,3960,2240,1860,1530,1705,2240,1275,1394,1715,1523,1869,2214,2376,1330,2831,2660,2457,1958,3150,2000,4268,4649,3960,3025,4698,3822,3760,3955,3731,4509,3767,4759,4258,4828,5036,5467,5894,5646
 "02000","Alaska",8,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",1,26,26,25,25,25,25,16,17,20,25,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",13,87,50,60,70,90,90,70,50,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "02000","Alaska",8,SAINC45,113,"...","  Tobacco","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,114,"...","  Cotton","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02000","Alaska",8,SAINC45,115,"...","  Other crops 1/","Thousands of dollars",746,1216,1310,1413,1730,1945,3378,3940,5125,5356,6267,5714,6211,8847,11236,14159,14616,15900,16165,17454,17757,17491,17720,17796,13546,13850,15051,15351,15437,16899,18203,18519,18544,19377,19497,19606,21358,20977,20765,20701,20347,19574,20099,19732,21224,23179,23514,23849,25877,27126,27208,29212
 "02000","Alaska",8,SAINC45,120,"...","Other income","Thousands of dollars",307,412,299,481,349,652,844,984,1070,1445,1482,1317,1861,2288,2061,2459,2943,3511,5004,4089,3665,3494,3199,3376,3434,2806,3138,2628,2717,2989,3741,3866,4785,5099,5845,9821,8633,7334,7485,11515,10103,14782,19404,22915,23953,20622,20070,19528,16293,18556,19481,67194
 "02000","Alaska",8,SAINC45,130,"..."," Government payments","Thousands of dollars",123,84,117,197,75,59,84,151,127,192,270,194,352,411,240,181,309,791,2378,1760,1143,1117,1285,1694,1789,1348,1735,1258,1490,1404,1766,1672,2173,1831,2021,5720,5216,3383,4073,5013,5820,9598,11294,12358,12217,10043,10849,12921,5898,10494,11096,59809
 "02000","Alaska",8,SAINC45,140,"..."," Imputed and miscellaneous income received 2/","Thousands of dollars",184,328,182,284,274,593,760,833,943,1253,1212,1123,1509,1877,1821,2278,2634,2720,2626,2329,2522,2377,1914,1682,1645,1458,1403,1370,1227,1585,1975,2194,2612,3268,3824,4101,3417,3951,3412,6502,4283,5184,8110,10557,11736,10579,9221,6607,10395,8062,8385,7385
 "02000","Alaska",8,SAINC45,150,"...","Production expenses","Thousands of dollars",3751,3989,4083,4599,4882,6008,6797,7932,9350,9739,10698,13726,16483,18858,24877,26382,27012,25005,25363,24893,29050,24206,23793,23248,25706,31074,29762,33679,35576,37613,40111,40270,40527,39508,31268,33036,35200,36497,37889,60942,65253,63939,67058,66127,66917,71148,67154,68113,77166,77067,77281,72785
 "02000","Alaska",8,SAINC45,160,"..."," Feed purchased","Thousands of dollars",809,859,787,768,1077,1457,1423,1470,1563,1665,1477,1525,2029,2293,2840,2112,2153,2941,2785,2463,2374,1775,1503,1581,1956,2312,1992,2325,2493,2572,2556,3292,3453,3784,2472,3269,3661,3953,4046,4871,4674,4715,5671,5107,5267,5377,4938,4693,6053,5975,6597,6671
