GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "01000","Alabama",5,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",791520,827927,880036,979808,1400871,1282147,1428001,1711144,1618509,1928465,2140562,1943166,2186009,2092120,2114221,2276995,2061169,2145387,2293913,2565760,2842982,2915279,2981682,2841110,2963962,3061299,2986374,3212791,3409690,3476863,3665084,3550505,3780905,3246454,3957468,4735108,4713622,4172816,4567941,4820249,4635976,5004740,5035692,5574764,6346482,6799351,5726141,5097239,5724692,6010112,5529302,4958395
 "01000","Alabama",5,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",584204,593339,585596,683990,993087,735002,920310,1081209,1022416,1288221,1415932,1275007,1332952,1300884,1350383,1465794,1381427,1509440,1628182,1861636,2102349,2272545,2234383,2072224,2224486,2260459,2271573,2460122,2611158,2799157,3016761,2947902,3136988,2706051,3162142,3898739,3936990,3548337,3860322,4022231,3691171,4057826,3989144,4258818,4993113,5531173,4675446,3997891,4588600,4773902,4283482,3693559
 "01000","Alabama",5,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",246988,273189,271946,350076,450718,240405,334753,500605,430762,618807,693158,511293,524536,544874,523468,486669,507454,490540,655738,701832,729908,850268,835965,631215,574702,529374,540951,519894,662301,699992,809966,884491,810113,753410,985199,1147137,1194026,1160810,1069659,975050,839005,921730,934502,1041141,987086,1223511,811512,722804,865784,899621,803549,785875
 "01000","Alabama",5,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",165288,194263,193755,249717,308104,126264,183942,377656,318871,483635,531385,351268,385227,419204,409068,380677,416004,396372,541952,609244,623916,675564,660644,486642,452575,418521,420303,385291,523069,573616,666700,712757,657168,609880,787344,926403,943124,929813,827782,743044,618271,698279,699069,824889,769979,1011427,617949,524398,678221,735866,625329,601020
 "01000","Alabama",5,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",80265,77513,72786,94502,136457,109754,144265,116332,104471,126786,153117,150317,128710,107652,95400,82992,61450,61135,78709,57171,62272,118122,115217,99482,72260,59088,58981,69843,63691,41648,48588,66671,58232,36252,38374,55005,88053,77053,91013,72936,93947,79241,67539,64213,74791,65074,40332,34239,26124,27999,35917,37501
 "01000","Alabama",5,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",1435,1413,5405,5857,6157,4387,6546,6617,7420,8386,8656,9708,10599,18018,19000,23000,30000,33033,35077,35417,43720,56582,60104,45091,49867,51765,61667,64760,75541,84728,94678,105063,94713,107278,159481,165729,162849,153944,150864,159070,126787,144210,167894,152039,142316,147010,153231,164167,161439,135756,142303,147354
 "01000","Alabama",5,SAINC45,40,"...","  Dairy products","Thousands of dollars",50340,52544,55975,57258,64289,68756,69575,72226,72633,75061,79996,86986,89851,83512,84360,78144,78735,75456,73206,73982,78076,81090,69795,72500,72562,72912,66920,70520,61272,63030,61545,48990,50193,38500,35250,43497,37687,31108,41944,39711,25428,30225,33512,27864,27492,30024,19504,15907,16558,11956,10965,8071
 "01000","Alabama",5,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",286876,267606,257675,276656,478080,425841,515982,508378,519021,594353,642778,676728,718565,672498,742555,900981,795238,943444,899238,1085822,1294365,1341187,1328623,1368509,1577222,1658173,1663702,1869708,1887585,2036135,2145250,2014421,2276682,1914141,2141693,2708105,2705277,2356419,2748719,3007470,2826738,3105871,3021130,3189813,3978535,4277638,3844430,3259180,3706258,3862325,3468968,2899613
 "01000","Alabama",5,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",207316,234588,294440,295818,407784,547145,507691,629935,596093,640244,724630,668159,853057,791236,763838,811201,679742,635947,665731,704124,740633,642734,747299,768886,739476,800840,714801,752669,798532,677706,648323,602603,643917,540403,795326,836369,776632,624479,707619,798018,944805,946914,1046548,1315946,1353369,1268178,1050695,1099348,1136092,1236210,1245820,1264836
 "01000","Alabama",5,SAINC45,70,"...","  Total grains","Thousands of dollars",75259,91484,111770,124720,176711,289310,267873,356407,345822,395721,475287,366801,344900,345110,328491,250547,212858,131629,86285,147710,121518,89888,79169,94036,88202,99155,91331,132062,125027,79800,57885,45923,50209,57213,81390,98412,72305,59236,104835,236331,336418,295698,322142,460084,548660,508564,389721,366023,313362,325762,298484,336263
