GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "24000","Maryland",2,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",398541,410442,404191,431088,608544,667535,712785,703751,678250,816952,928179,936430,1072317,1069486,1109653,1282450,1214356,1221114,1172241,1274944,1377429,1421965,1394720,1388517,1438184,1417581,1466842,1640915,1643350,1570642,1526939,1480201,1585742,1412122,1363614,1628774,1598769,1564639,1818630,1932428,1839113,1948575,2055225,2341588,2502419,2511176,2276037,2174728,2330174,2319220,2347627,2159422
 "24000","Maryland",2,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",277787,279551,282322,297200,409708,399043,438753,458651,449704,553032,606902,658226,732165,740646,758513,859468,802169,841944,773801,810694,903015,883642,853099,846938,901553,878572,890005,951983,993937,986128,967965,868857,960420,804458,840645,1025362,1050091,1000569,1180057,1187148,983280,1101624,1206400,1298205,1464098,1546230,1406643,1274695,1427731,1450967,1463433,1207265
 "24000","Maryland",2,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",53220,56273,57626,68824,96295,80621,90928,99152,82744,119873,133340,142687,145237,153331,154319,170447,165958,157606,175509,182378,194186,220176,217963,186184,236630,207005,186179,163752,212410,175777,171844,165328,147800,142986,138590,156098,187371,200418,181234,175727,153909,176510,189395,240465,210771,221340,159105,181788,197708,256701,363858,310344
 "24000","Maryland",2,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",37250,40965,40083,46835,63303,50513,52766,62779,47600,67086,75808,83942,70856,65577,81723,92261,89310,83874,85698,97595,108035,120861,121660,96555,123095,97175,90165,68231,110779,102154,101378,101677,89108,86070,119418,133589,146786,166743,148104,140584,116593,131269,140388,193164,162048,167130,111004,127873,136691,176764,257355,187006
 "24000","Maryland",2,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",13696,12926,15072,19266,29991,26811,31873,29090,27890,33222,37538,38807,54316,67944,50042,57537,55934,47907,53725,43342,35419,50814,44205,48569,51093,47386,28234,27399,28517,12616,8643,7943,10746,8497,10870,13126,19326,14861,15174,16419,14957,19886,20582,15853,15881,18107,7844,10460,14832,17410,17627,22319
 "24000","Maryland",2,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",2274,2382,2471,2723,3001,3297,6289,7283,7254,19565,19994,19938,20065,19810,22554,20649,20714,25825,36086,41441,50732,48501,52098,41060,62442,62444,67780,68122,73114,61007,61823,55708,47946,48419,8302,9383,21259,18814,17956,18724,22359,25355,28425,31448,32842,36103,40257,43455,46185,62527,88876,101019
 "24000","Maryland",2,SAINC45,40,"...","  Dairy products","Thousands of dollars",96426,100732,103540,104898,113927,133621,140746,157347,161648,171665,188859,205180,220792,219520,222880,212240,211041,207045,195714,185640,197635,203588,183040,200760,186260,181525,175560,199206,181608,208967,203250,181035,208008,170412,155477,188360,183870,151524,208800,194180,144565,182896,204906,187596,201685,245164,171682,155494,167946,147756,152110,149986
 "24000","Maryland",2,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",128141,122546,121156,123478,199486,184801,207079,202152,205312,261494,284703,310359,366136,367795,381314,476781,425170,477293,402578,442676,511194,459878,452096,459994,478663,490042,528266,589025,599919,601384,592871,522494,604612,491060,546578,680904,678850,648627,790023,817241,684806,742218,812099,870144,1051642,1079726,1075856,937413,1062077,1046510,947465,746935
 "24000","Maryland",2,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",120754,130891,121869,133888,198836,268492,274032,245100,228546,263920,321277,278204,340152,328840,351140,422982,412187,379170,398440,464250,474414,538323,541621,541579,536631,539009,576837,688932,649413,584514,558974,611344,625322,607664,522969,603412,548678,564070,638573,745280,855833,846951,848825,1043383,1038321,964946,869394,900033,902443,868253,884194,952157
 "24000","Maryland",2,SAINC45,70,"...","  Total grains","Thousands of dollars",52536,62465,51999,60965,120105,177620,172141,152823,124202,144595,193327,156402,204433,166004,164192,223554,181642,147950,118501,189201,204164,220007,189695,196597,177074,178972,200733,305177,253452,181610,153785,201464,208564,173604,189736,269571,209933,237959,297704,348440,417010,451141,467343,682151,686942,606093,488008,501059,487448,495126,491488,534167
 "24000","Maryland",2,SAINC45,71,"...","   Corn","Thousands of dollars",34701,40419,25621,34330,63992,92091,103921,97111,67833,64776,101690,80332,115945,83850,67326,122433,92885,71995,45638,59421,72118,87676,66441,63786,49368,48277,61030,144132,95023,70472,56070,85637,94993,72315,88414,126920,93913,110551,138191,168399,187745,219962,233516,298191,291969,276462,229659,218562,222279,232043,248093,283571
 "24000","Maryland",2,SAINC45,72,"...","   Oats","Thousands of dollars",59,122,230,211,415,368,331,386,309,244,287,481,435,289,271,349,179,109,201,638,1043,693,324,336,172,101,289,511,331,258,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "24000","Maryland",2,SAINC45,73,"...","   Sorghum","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,1328,871,437,551,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "24000","Maryland",2,SAINC45,74,"...","   Wheat","Thousands of dollars",3333,5350,4993,5001,9139,18641,11757,9543,8408,5772,11343,11997,17974,15815,15241,17937,17570,14657,16632,29823,31191,26234,23165,34902,29658,36174,55438,53558,43014,25243,24083,23560,27868,35264,17335,28048,26616,33635,56688,63414,49487,39522,58712,104383,107050,98464,72076,70012,60475,62540,57849,57489
 "24000","Maryland",2,SAINC45,75,"...","   Soybeans","Thousands of dollars",12919,14739,19097,19585,43299,61773,52401,41038,44789,70596,76897,59605,62948,59326,74336,72553,62210,55024,49550,90297,92747,97475,92949,91551,91309,89575,76638,100123,109614,81439,69018,86938,81210,62310,80052,108465,85821,89011,96825,109266,173327,187462,168189,270653,276340,221255,180448,208940,201145,197756,183048,190651
 "24000","Maryland",2,SAINC45,76,"...","   Other grains","Thousands of dollars",1524,1835,2058,1838,3260,4747,3731,4745,2863,3207,3110,3987,7131,6724,7018,10282,8798,6165,6480,9022,7065,7929,6816,6022,6567,4845,7338,6853,5470,4198,4420,4681,3165,2844,3498,5587,3248,4762,6000,7361,6451,4195,6926,8924,11583,9912,5825,3545,3549,2787,2498,2456
 "24000","Maryland",2,SAINC45,80,"...","  Hay, silage, etc.","Thousands of dollars",1772,2039,2293,2673,2448,2980,3609,3971,4645,5547,4934,4939,5147,6104,7475,7947,9794,10240,14129,18388,18034,16505,13843,14414,13965,14733,15067,18894,20673,20328,19646,21563,21687,22465,22412,20595,25654,27084,21682,24137,20282,20878,30463,30923,28101,29066,27691,29718,27054,26843,26663,24674
 "24000","Maryland",2,SAINC45,110,"...","  Fruits and nuts","Thousands of dollars",6341,6523,5952,7066,8734,8564,9194,9500,10535,13559,15228,12810,13298,12071,14300,13649,11783,15701,10635,11070,11477,9808,14908,12427,11577,11648,13481,12364,18313,15264,13746,13319,12290,11659,13359,12977,15117,16890,18359,11714,11362,12209,14850,19017,9890,14346,12118,13084,13886,11036,10742,12492
 "24000","Maryland",2,SAINC45,112,"...","  Forest and maple products","Thousands of dollars",4125,4125,4250,4378,5472,5563,2500,2500,2500,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "24000","Maryland",2,SAINC45,113,"...","  Tobacco","Thousands of dollars",22664,21105,23123,23018,20076,28556,28880,22202,30200,34124,37670,30294,43174,57717,57343,31127,39990,24900,16659,19212,13759,18041,17658,20898,20020,18530,20869,19202,18091,15761,14833,15106,13620,5938,5119,2292,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "24000","Maryland",2,SAINC45,114,"...","  Cotton","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "24000","Maryland",2,SAINC45,115,"...","  Other crops 1/","Thousands of dollars",33316,34634,34252,35788,42001,45209,57708,54104,56464,66095,70118,73759,74100,86944,107830,146705,168978,180379,238516,226379,226980,273962,305517,297243,313995,315126,326687,333295,338884,351551,356964,359892,369161,393998,292343,297977,295300,282137,300828,360989,407179,362723,336169,311292,313388,315441,341577,356172,374055,335248,355301,380824
 "24000","Maryland",2,SAINC45,120,"...","Other income","Thousands of dollars",17495,17555,15389,19920,17156,14554,16620,18736,20088,31671,40797,41445,41396,53055,58569,71478,65238,76829,148773,150898,133389,110926,124393,107653,123567,107717,127523,119419,141318,170079,218418,247191,222104,196934,199663,201651,227630,220384,243898,281621,274068,302620,272688,440695,360594,315206,270436,290166,305025,304222,470219,467778
 "24000","Maryland",2,SAINC45,130,"..."," Government payments","Thousands of dollars",8602,7986,6307,9572,5763,1023,1204,1514,3398,6993,2127,3514,2961,2580,13115,23773,15613,32201,48963,42680,23735,17386,15342,16067,26289,15601,15241,17664,19489,38267,68265,104438,87088,48701,66836,52407,85340,67445,41545,57419,52785,54327,41145,56199,43546,26895,25715,41791,51511,33860,99977,169123
 "24000","Maryland",2,SAINC45,140,"..."," Imputed and miscellaneous income received 2/","Thousands of dollars",8893,9569,9082,10348,11393,13531,15416,17222,16690,24678,38670,37931,38435,50475,45454,47705,49625,44628,99810,108218,109654,93540,109051,91586,97278,92116,112282,101755,121829,131812,150153,142753,135016,148233,132827,149244,142290,152939,202353,224202,221283,248293,231543,384496,317048,288311,244721,248375,253514,270362,370242,298655
 "24000","Maryland",2,SAINC45,150,"...","Production expenses","Thousands of dollars",313827,339261,349921,345493,459664,545135,558044,602478,628359,753414,895355,998953,1096708,1063793,1115346,1175288,1078354,998170,1055670,1106589,1194897,1248163,1268276,1256667,1268932,1326846,1400242,1455643,1554883,1501742,1448816,1423891,1456367,1505589,1372596,1470143,1456617,1566223,1834085,1919876,1787545,1850210,1935189,2211592,2190644,2360898,2184001,2205427,2259954,2367277,2319720,2183879
 "24000","Maryland",2,SAINC45,160,"..."," Feed purchased","Thousands of dollars",89012,99100,93763,85023,139839,170406,141687,162136,151956,222215,261127,297462,316054,275819,320697,344502,278526,263566,242005,263040,277317,285469,285911,295695,302498,297020,330440,399556,413611,374079,344482,322347,316434,311664,265286,302179,244236,247909,329856,411073,356374,407758,439252,478293,518827,537597,533419,485589,522272,516961,493061,498573
 "24000","Maryland",2,SAINC45,170,"..."," Livestock purchased","Thousands of dollars",36109,40136,42078,46177,61064,62212,61585,59974,67247,75774,92056,91147,99602,98288,103491,112027,110085,97373,102147,105302,111449,129165,122014,126429,133223,129102,109196,100430,129432,112732,110851,103835,103452,96055,106340,110391,156476,176395,171246,136954,133614,130710,149424,161816,125468,159197,98720,131716,158051,216730,273190,268835
 "24000","Maryland",2,SAINC45,180,"..."," Seed purchased","Thousands of dollars",6558,6668,7293,7890,10225,11583,14140,15751,15583,18927,20742,22910,24296,22406,18951,23788,21916,22270,22704,28925,32020,33607,38851,32765,31788,35051,39255,43673,46153,51994,46491,56504,59649,80666,83133,75444,67932,69863,87185,94919,89997,87888,92107,121521,126195,135888,127753,142554,148618,141187,121124,121424
 "24000","Maryland",2,SAINC45,190,"..."," Fertilizer and lime (incl. ag. chemicals 1978-fwd.)","Thousands of dollars",25427,28111,36755,31990,48117,64985,80257,69707,77742,75688,94823,115761,135247,106854,94695,103891,90757,76801,75773,74530,88937,93880,114279,101392,89906,99719,110070,103334,107529,98949,91423,99027,100441,90270,88839,103204,110839,115661,138923,165178,148841,152956,172089,205095,211934,223635,189053,184916,171060,197268,176095,182754
 "24000","Maryland",2,SAINC45,200,"..."," Petroleum products purchased","Thousands of dollars",10793,11088,11053,10658,11738,16843,20936,24939,27767,29334,35065,47854,50781,44717,41671,42024,37408,30875,28763,28011,28062,34181,33172,30402,29748,28901,30733,33819,38428,33200,31662,42736,42628,41135,43338,51022,56429,60605,72236,82921,66653,69855,81399,89195,98325,99690,74908,63073,73644,72575,71623,61876
 "24000","Maryland",2,SAINC45,210,"..."," Hired farm labor expenses 3/","Thousands of dollars",37903,39014,39063,38158,47258,55928,60849,71525,76724,73574,81058,83065,81613,87700,85713,90122,93018,85537,88928,97337,105980,121270,119072,111397,123041,128026,144604,139722,147207,158429,146141,163133,173708,218241,186369,187032,152739,169049,197004,172101,171371,157853,138250,193615,204299,213314,183962,200262,236129,218835,190008,198935
 "24000","Maryland",2,SAINC45,220,"..."," All other production expenses 4/","Thousands of dollars",108025,115144,119916,125597,141423,163178,178590,198446,211340,257902,310484,340754,389115,428009,450128,458934,446644,421748,495350,509444,551132,550591,554977,558587,558728,609027,635944,635109,672523,672359,677766,636309,660055,667558,599291,640871,667966,726741,837635,856730,820695,843190,862668,962057,905596,991577,976186,997317,950180,1003721,994619,851482
 "24000","Maryland",2,SAINC45,240,"...","Value of inventory change","Thousands of dollars",945,1610,-6657,-4227,17361,-16412,-9258,-5422,-8408,29796,18750,-11041,39938,5495,-42808,24745,18973,-64984,-16172,-11391,3125,9814,-12627,50196,-48808,49069,-81358,38297,-39856,-1135,-28381,32882,-12197,-42675,6218,30923,-41459,-2669,-50814,51660,18459,-102707,60859,-18056,32038,24702,-26471,-44081,35328,-62921,-13485,-48015
 "24000","Maryland",2,SAINC45,250,"..."," Value of inventory change: livestock","Thousands of dollars",-2356,-1220,1764,1958,2019,9188,-589,-21349,-2807,8973,25802,7521,12636,-11379,9609,-7775,-11416,-22915,-3274,-293,-8196,-4590,-6351,10948,-10852,5402,-20308,-14244,-6764,-10299,-4256,-9605,8096,-4976,-3769,2096,-5961,-13153,-28986,-8264,3655,5424,17270,-23974,-13322,7535,7788,-4250,8722,3167,-9612,-2996
 "24000","Maryland",2,SAINC45,260,"..."," Value of inventory change: crops","Thousands of dollars",3301,2830,-8421,-6185,15342,-25600,-8669,15927,-5601,20823,-7052,-18562,27302,16874,-52417,32520,30389,-42069,-12898,-11098,11321,14404,-8734,30355,-38227,33429,-50027,43110,-36372,5644,-15334,37742,-15889,-47154,25004,22237,-17055,-3312,-30576,57406,14915,-108604,47027,831,46783,10255,-35244,-39346,25467,-66860,14681,-44803
 "24000","Maryland",2,SAINC45,265,"..."," Value of inventory change: materials and supplies","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2458,8893,271,10238,-11023,9431,3280,3520,-8791,4745,-4404,9455,-15017,6590,-18443,13796,8748,2518,-111,473,-3438,5087,-1423,6912,985,-485,1139,772,-18554,-216
 "24000","Maryland",2,SAINC45,270,"...","Cash receipts and other income","Thousands of dollars",416036,427997,419580,451008,625700,682089,729405,722487,698338,848623,968976,977875,1113713,1122541,1168222,1353928,1279594,1297943,1321014,1425842,1510818,1532891,1519113,1496170,1561751,1525298,1594365,1760334,1784668,1740721,1745357,1727392,1807846,1609056,1563277,1830425,1826399,1785023,2062528,2214049,2113181,2251195,2327913,2782283,2863013,2826382,2546473,2464894,2635199,2623442,2817846,2627200
 "24000","Maryland",2,SAINC45,280,"..."," Less: Production expenses","Thousands of dollars",313827,339261,349921,345493,459664,545135,558044,602478,628359,753414,895355,998953,1096708,1063793,1115346,1175288,1078354,998170,1055670,1106589,1194897,1248163,1268276,1256667,1268932,1326846,1400242,1455643,1554883,1501742,1448816,1423891,1456367,1505589,1372596,1470143,1456617,1566223,1834085,1919876,1787545,1850210,1935189,2211592,2190644,2360898,2184001,2205427,2259954,2367277,2319720,2183879
 "24000","Maryland",2,SAINC45,290,"...","Equals: Realized net income","Thousands of dollars",102209,88736,69659,105515,166036,136954,171361,120009,69979,95209,73621,-21078,17005,58748,52876,178640,201240,299773,265344,319253,315921,284728,250837,239503,292819,198452,194123,304691,229785,238979,296541,303501,351479,103467,190681,360282,369782,218800,228443,294173,325636,400985,392724,570691,672369,465484,362472,259467,375245,256165,498126,443321
 "24000","Maryland",2,SAINC45,300,"..."," Plus: Value of inventory change","Thousands of dollars",945,1610,-6657,-4227,17361,-16412,-9258,-5422,-8408,29796,18750,-11041,39938,5495,-42808,24745,18973,-64984,-16172,-11391,3125,9814,-12627,50196,-48808,49069,-81358,38297,-39856,-1135,-28381,32882,-12197,-42675,6218,30923,-41459,-2669,-50814,51660,18459,-102707,60859,-18056,32038,24702,-26471,-44081,35328,-62921,-13485,-48015
 "24000","Maryland",2,SAINC45,310,"...","Equals: Net income including corporate farms","Thousands of dollars",103154,90346,63002,101288,183397,120542,162103,114587,61571,125005,92371,-32119,56943,64243,10068,203385,220213,234789,249172,307862,319046,294542,238210,289699,244011,247521,112765,342988,189929,237844,268160,336383,339282,60792,196899,391205,328323,216131,177629,345833,344095,298278,453583,552635,704407,490186,336001,215386,410573,193244,484641,395306
 "24000","Maryland",2,SAINC45,320,"..."," Less: Net income of corporate farms","Thousands of dollars",3324,2920,2519,5528,16024,6477,11943,6755,4257,11259,8789,-10649,4949,2930,-741,16497,21279,20477,22327,24419,40332,39725,28398,43908,28937,41994,12840,65129,33478,37010,33327,55796,64107,12379,45487,103852,71917,43269,41566,80446,61150,60149,100825,106029,101157,60078,18389,22572,46943,52162,95310,81912
 "24000","Maryland",2,SAINC45,330,"..."," Plus: Statistical adjustment","Thousands of dollars",3,3,2,3,3,1,0,-2,-1,1,1,-1,3,-4,1,3,2,3,1,1,-4,0,2,3,2,-2,-4,2,3,-1,2,-3,-3,1,-1,-3,-3,0,-1,-1,-3,3,-2,1,-2,0,1,-2,0,-1,3,1
 "24000","Maryland",2,SAINC45,340,"...","Equals: Farm proprietors' income","Thousands of dollars",99833,87429,60485,95763,167376,114066,150160,107830,57313,113747,83583,-21471,51997,61309,10810,186891,198936,214315,226846,283444,278710,254817,209814,245794,215076,205525,99921,277861,156454,200833,234835,280584,275172,48414,151411,287350,256403,172862,136062,265386,282942,238132,352756,446607,603248,430108,317613,192812,363630,141081,389334,313395
 "24000","Maryland",2,SAINC45,350,"..."," Plus: Farm wages and salaries","Thousands of dollars",31083,32553,31593,30313,39009,47202,50686,59596,63459,61736,67661,70581,69471,74786,71328,70325,70343,64743,64052,71934,75824,88408,85326,82326,89260,86881,97144,101135,106693,108445,99716,116853,121490,153782,138338,134660,108589,121687,141636,130096,125844,120138,104463,148268,151146,160143,130192,147915,174098,166425,133550,128343
 "24000","Maryland",2,SAINC45,360,"..."," Plus: Farm supplements to wages and salaries","Thousands of dollars",1744,1804,2009,2134,2960,3549,3365,7497,8817,8580,9115,8990,7965,8337,8116,8904,8574,8465,8677,9257,11348,13474,14449,14440,15677,16068,17483,16229,16929,15730,15233,18540,20802,23204,20187,21836,18801,20904,29863,33190,29099,28264,22489,33395,32380,35848,32449,37481,41562,29317,27601,33831
 "24000","Maryland",2,SAINC45,370,"...","Equals: Farm earnings","Thousands of dollars",132660,121786,94087,128210,209345,164817,204211,174923,129589,184063,160359,58100,129433,144432,90254,266120,277853,287523,299575,364635,365882,356699,309589,342560,320013,308474,214548,395225,280076,325008,349784,415977,417464,225400,309936,443846,383793,315453,307561,428672,437885,386534,479708,628270,786774,626099,480254,378208,579290,336823,550485,475569
"Note: See the included footnote file."
"SAINC45: Farm Income and Expenses "
"Last updated: September 23, 2021-- new statistics for 2020; revised statistics for 2002-2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
