GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "37000","North Carolina",5,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",1460544,1559716,1522221,1685536,2410542,2658982,2699812,2906950,2702706,3248215,3341225,3529090,4033525,3996149,3759966,4293564,3953167,3879194,3920178,4298522,4782063,5410430,5448426,5760753,6289210,6740103,7336804,8450053,8903386,7672996,7334820,8142769,8524733,7394391,7782521,9537020,9489606,9173552,10152906,10784345,10116651,10817730,11354334,12432412,13627043,13950322,11910900,10920586,11965065,11852501,11792710,11400477
 "37000","North Carolina",5,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",644024,648981,625789,684052,1037738,986977,1062977,1157226,1144564,1373760,1499374,1548912,1702753,1732696,1795677,2034125,2067418,2286396,2247709,2307635,2654164,2816103,2814646,2988861,3437599,3648842,4147272,5027510,5410620,4480077,4359749,5108891,5574162,4740473,5109041,6634922,6961529,6439847,7244156,7606217,6677033,7372994,7821807,8225289,9258246,9802670,8193000,7561379,8347899,8418562,8507463,7863400
 "37000","North Carolina",5,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",220869,224339,215766,258444,364239,346596,367899,422469,364128,506279,552143,541072,599916,662315,642709,621426,694986,765794,873129,771479,855859,1004008,1093497,1157704,1404237,1528069,1903448,2562645,3006711,2047042,1940400,2763133,2921392,2492483,2748191,3691642,3762801,3486221,3551082,3855376,3232935,3667086,3953899,3932654,4278775,4461455,2951810,2862284,3388438,3265490,3544243,3480681
 "37000","North Carolina",5,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",68065,70370,72653,79983,110616,88851,71086,90423,90671,138618,168679,145649,152801,167838,131871,117513,181461,192656,219101,179836,189705,205553,224869,209307,218122,217491,195557,196754,248140,211398,281848,332944,333475,320917,329317,396963,387823,353081,340012,316983,309406,329171,389918,410911,409792,550682,435846,304375,378287,333824,312790,325708
 "37000","North Carolina",5,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",150242,151436,139810,173356,249272,252492,291340,326309,266806,363040,374307,385510,429097,455027,469572,462463,470132,529528,602015,541090,611429,745606,815544,894778,1131575,1253174,1646901,2308979,2711039,1789402,1607298,2379341,2535358,2110785,2349441,3219634,3301180,3052131,3126792,3367370,2754796,3178379,3397512,3353153,3720527,3778624,2390514,2432330,2888248,2816263,3116469,3038876
 "37000","North Carolina",5,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",2562,2533,3303,5105,4351,5253,5473,5737,6651,4621,9157,9913,18018,39450,41266,41450,43393,43610,52013,50553,54725,52849,53084,53619,54540,57404,60990,56912,47532,46242,51254,50848,52559,60781,69433,75045,73798,81009,84278,171023,168733,159536,166469,168590,148456,132149,125450,125579,121903,115403,114984,116097
 "37000","North Carolina",5,SAINC45,40,"...","  Dairy products","Thousands of dollars",91953,94522,98714,102298,118923,139115,149392,161912,166812,173011,191086,220716,239581,240492,245088,238800,246935,230720,222558,219675,223782,234788,204267,218854,211248,210532,189888,214261,193582,208039,207081,174479,194427,154698,143309,170796,163836,138868,189280,189630,133000,165787,205642,191470,198806,245435,182134,164200,177888,161103,172763,167478
 "37000","North Carolina",5,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",331202,330120,311309,323310,554576,501266,545686,572845,613624,694470,756145,787124,863256,829889,907880,1173899,1125497,1289882,1152022,1316481,1574523,1577307,1516882,1612303,1822114,1910241,2053936,2250604,2210327,2224996,2212268,2171279,2458343,2093292,2217541,2772484,3034892,2814758,3503794,3561211,3311098,3540121,3662266,4101165,4780665,5095780,5059056,4534895,4781573,4991969,4790457,4215241
 "37000","North Carolina",5,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",816520,910735,896432,1001484,1372804,1672005,1636835,1749724,1558142,1874455,1841851,1980178,2330772,2263453,1964289,2259439,1885749,1592798,1672469,1990887,2127899,2594327,2633780,2771892,2851611,3091261,3189532,3422543,3492766,3192919,2975071,3033878,2950571,2653918,2673480,2902098,2528077,2733705,2908750,3178128,3439618,3444736,3532527,4207123,4368797,4147652,3717900,3359207,3617166,3433939,3285247,3537077
 "37000","North Carolina",5,SAINC45,70,"...","  Total grains","Thousands of dollars",154643,192815,185291,246710,432365,601922,476788,505545,400031,517531,690819,598660,582148,611504,520520,683548,475425,397662,375129,517288,524576,473141,382331,465336,423046,449146,452793,663023,579161,331449,467067,382005,418025,355287,515272,553305,505401,597167,761094,991797,966148,1006385,1153148,1642678,1710877,1385671,1121903,1046396,1215646,1076976,941913,1149281
 "37000","North Carolina",5,SAINC45,71,"...","   Corn","Thousands of dollars",53777,66134,66523,86585,168184,285556,205706,231129,153787,152923,280867,243941,243457,246620,190685,321116,193637,178263,132434,189856,206460,194804,144239,168991,148556,141695,172448,297981,192759,108376,106641,128450,153754,129320,178413,218075,176039,224584,351108,381402,311541,355288,431105,648496,566407,501386,377093,467776,480783,472411,399138,463954
 "37000","North Carolina",5,SAINC45,72,"...","   Oats","Thousands of dollars",1091,1588,1958,1117,1787,2281,2335,2015,1829,3345,2977,2066,3049,2808,1999,2797,2123,1267,2455,5567,3741,2260,963,2892,2164,2286,1585,1404,1275,199,1551,846,1101,1247,1053,1154,1750,2238,1698,5680,3356,1409,2688,2401,1989,2563,1855,1276,1082,1796,1442,1781
 "37000","North Carolina",5,SAINC45,73,"...","   Sorghum","Thousands of dollars",2020,2487,3829,3835,4963,7072,5691,5374,2991,3630,5260,4313,4225,3954,3125,4253,4528,2574,1530,3250,4288,3736,2552,1746,1472,2003,2022,1632,1157,939,799,980,1298,1290,1414,1559,1175,1411,612,1060,1105,1326,1591,1909,2291,2749,3482,3748,4015,1926,2087,2216
 "37000","North Carolina",5,SAINC45,74,"...","   Wheat","Thousands of dollars",5234,9674,9858,7025,11221,25968,19936,12206,13223,9315,22738,40318,57415,62450,46106,76068,62650,38338,40396,74320,80102,62339,46897,81849,68979,92757,108269,127009,112766,42934,172772,62823,72767,58587,50566,76936,76772,98003,108339,194171,189568,65857,246623,302604,327289,222307,145487,68222,88389,101667,69930,89982
