GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "34000","New Jersey",2,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",256516,254221,249280,246910,311095,351420,333966,343643,363280,403966,417846,443088,497373,516740,531325,546573,590289,585938,639909,656181,673624,661291,662448,664361,736205,798734,809208,833813,805542,820976,751647,829331,812902,850723,859491,877032,918714,988051,1089638,991155,959703,948260,1015357,1043161,978514,1010340,1087231,1065232,1093565,1082022,1227080,1303414
 "34000","New Jersey",2,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",111060,105806,96946,96813,118965,121172,109224,116219,124995,133127,138803,133366,141081,137950,146075,143856,153049,159317,204894,202253,210995,203103,198095,196108,212946,200855,227290,223505,186092,197516,202088,186699,185750,174375,175831,176128,173067,157056,182240,109833,94313,107768,125864,112481,133893,134465,149030,103347,108656,124061,111357,122735
 "34000","New Jersey",2,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",24700,24299,24678,27111,31177,31418,27702,28074,43965,53076,55861,50965,52355,51583,58792,58093,59218,61833,116649,119298,122700,114897,111680,114862,127883,125893,158593,141198,119082,127355,134032,127706,122142,119728,116279,111241,119844,109122,112063,40854,43731,49001,58088,54131,75441,70163,64364,60215,59328,57885,63888,66274
 "34000","New Jersey",2,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",12641,13542,14129,16161,15915,17069,13094,12729,15013,21925,26279,23472,20310,14848,15693,15877,16617,18485,25252,25224,24240,21596,19720,19026,30010,28655,36377,27177,10176,16403,16143,22125,16150,12040,13648,14065,17159,17442,14590,13077,10219,10135,15175,13431,16019,15658,13159,11568,12598,13858,20863,22729
 "34000","New Jersey",2,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",9470,8532,8234,8431,12573,11746,11773,12429,10391,12945,10622,7908,10591,8254,13111,11294,9329,8993,3782,2395,2284,2204,1706,1479,3534,3958,4702,3518,6277,4440,1511,2314,2316,1607,1257,1994,1741,2182,2544,2221,1893,2350,2704,2291,2604,2153,674,855,1328,1170,1177,1410
 "34000","New Jersey",2,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",2589,2225,2315,2519,2689,2603,2835,2916,18561,18206,18960,19585,21454,28481,29988,30922,33272,34355,87615,91679,96176,91097,90254,94357,94339,93280,117514,110503,102629,106512,116378,103267,103676,106081,101374,95182,100944,89498,94929,25556,31619,36516,40209,38409,56818,52352,50531,47792,45402,42857,41848,42135
 "34000","New Jersey",2,SAINC45,40,"...","  Dairy products","Thousands of dollars",48380,46857,45112,44001,45657,49406,48751,56627,56389,59157,61880,65951,69484,68331,69915,65379,64317,62321,58086,53901,56731,53244,48860,48576,48465,44850,42028,44829,40572,44928,40996,31812,37030,29824,27264,32308,29295,23450,32340,30895,19968,23184,27797,24192,25750,31125,22181,19685,21416,17501,17918,16547
 "34000","New Jersey",2,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",37980,34650,27156,25701,42131,40348,32771,31518,24641,20894,21062,16450,19242,18036,17368,20384,29514,35163,30159,29054,31564,34962,37555,32670,36598,30112,26669,37478,26438,25233,27060,27181,26578,24823,32288,32579,23928,24484,37837,38084,30614,35583,39979,34158,32702,33177,62485,23447,27912,48675,29551,39914
 "34000","New Jersey",2,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",145456,148415,152334,150097,192130,230248,224742,227424,238285,270839,279043,309722,356292,378790,385250,402717,437240,426621,435015,453928,462629,458188,464353,468253,523259,597879,581918,610308,619450,623460,549559,642632,627152,676348,683660,700904,745647,830995,907398,881322,865390,840492,889493,930680,844621,875875,938201,961885,984909,957961,1115723,1180679
 "34000","New Jersey",2,SAINC45,70,"...","  Total grains","Thousands of dollars",9554,11141,10689,10714,18622,37431,36184,40807,39775,50513,56964,48842,61144,53290,49140,45853,48274,38033,33582,43323,37910,39893,40583,39231,40267,39739,40341,48531,49700,37622,24092,24541,27569,25960,27188,38656,31510,34768,54876,66536,72531,70555,78916,116535,109339,95165,75274,75225,76009,76225,68267,88307
