GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "46000","South Dakota",4,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",1087509,1160476,1183534,1453662,2151236,2292816,2155237,1980640,1542191,2313711,2617806,2939898,2943524,2691348,2878644,3211149,3179873,2587574,3122107,3703315,3248680,3406599,3600403,3510582,3602298,3490626,3838907,3689353,4330560,3526874,3854199,4205974,4255429,4130964,4529657,5033276,5286282,5182799,6381383,8112684,7767126,7910090,9625978,10788498,10487593,11139467,9214255,9406584,9108725,9224479,8972353,8877215
 "46000","South Dakota",4,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",902346,899007,961562,1119137,1446609,1487389,1424821,1605650,1266618,1694485,1986537,2128079,2142197,1927987,1940081,2114347,2195193,1750122,2187379,2510802,2176167,2416721,2310052,2181135,2362005,1975091,1978761,1866184,1993157,1748385,2074439,2354547,2582055,2368917,2490626,2861567,3053648,3081807,3117026,3090028,2681332,3449588,3856575,3934933,4224417,4928135,3981147,3723095,4089984,4251199,4444098,4293872
 "46000","South Dakota",4,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",811198,803004,867174,1024096,1312438,1343746,1283848,1437196,1097025,1518715,1789084,1898361,1886951,1672120,1685474,1876210,1956261,1519365,1954915,2275600,1914665,2143092,2052244,1919200,2104666,1728477,1729392,1583937,1740606,1467807,1803035,2099405,2298927,2130763,2229136,2539346,2753823,2791674,2665191,2603743,2301370,2987645,3299567,3359058,3626011,4207183,3319446,3104250,3443154,3628279,3726607,3460481
 "46000","South Dakota",4,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",576280,582902,665956,781384,953217,957983,930986,1120315,801704,1144815,1411513,1511397,1495895,1265601,1298251,1455126,1567610,1072338,1457885,1815583,1440690,1580808,1498009,1427962,1602932,1283228,1284923,1133821,1319664,1163458,1504383,1695204,1860549,1765624,1803476,2011552,2221078,2230781,2151236,2027502,1787644,2344559,2524648,2547142,2875172,3397489,2720718,2491781,2734058,2862972,2903710,2459443
 "46000","South Dakota",4,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",206073,192682,175198,210279,311456,346206,316203,273855,255383,328284,319606,328666,340637,353073,335956,363281,329341,390630,423631,397875,413755,511239,501833,435556,441761,385169,376417,369654,344626,240784,236344,338457,383379,295574,330893,437008,446957,484562,434456,468618,387886,524072,646266,671527,618760,657783,462380,464168,562885,627343,682460,859894
 "46000","South Dakota",4,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",28845,27420,26020,32433,47765,39557,36659,43026,39938,45616,57965,58298,50419,53446,51267,57803,59310,56397,73399,62142,60220,51045,52402,55682,59973,60080,68052,80462,76316,63565,62308,65744,54999,69565,94767,90786,85788,76331,79499,107623,125840,119014,128653,140389,132079,151911,136348,148301,146211,137964,140437,141144
 "46000","South Dakota",4,SAINC45,40,"...","  Dairy products","Thousands of dollars",65019,70860,74163,76071,97393,111924,111909,138155,141896,150614,171112,203903,225390,227363,226526,204130,205735,193488,198900,198950,220332,221130,200860,210816,207174,201728,195875,211700,180840,212815,202464,187008,205058,163584,176746,220440,218484,196107,311903,341508,259854,309705,386262,392000,423360,519688,435401,446960,490776,466850,562632,642342
 "46000","South Dakota",4,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",26129,25143,20225,18970,36778,31719,29064,30299,27697,25156,26341,25815,29856,28504,28081,34007,33197,37269,33564,36252,41170,52499,56948,51119,50165,44886,53494,70547,71711,67763,68940,68134,78070,74570,84744,101781,81341,94026,139932,144777,120108,152238,170746,183875,175046,201264,226300,171885,156054,156070,154859,191049
 "46000","South Dakota",4,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",185163,261469,221972,334525,704627,805427,730416,374990,275573,619226,631269,811819,801327,763361,938563,1096802,984680,837452,934728,1192513,1072513,989878,1290351,1329447,1240293,1515535,1860146,1823169,2337403,1778489,1779760,1851427,1673374,1762047,2039031,2171709,2232634,2100992,3264357,5022656,5085794,4460502,5769403,6853565,6263176,6211332,5233108,5683489,5018741,4973280,4528255,4583343
 "46000","South Dakota",4,SAINC45,70,"...","  Total grains","Thousands of dollars",172436,245940,205849,313191,670150,763652,686848,329851,240557,580734,586545,760633,735497,713476,893305,1035291,924530,755502,859294,1118633,1003098,903170,1163043,1192529,1060776,1284383,1694900,1622021,2059948,1601065,1632884,1708666,1487524,1607112,1905808,1953941,2081106,1961738,3059969,4797855,4895822,4298232,5545247,6559667,5939360,5930767,4999333,5489550,4846272,4785577,4272258,4324802
