GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "51000","Virginia",5,SAINC45,10,"...","Cash receipts from marketings (thousands of dollars)","Thousands of dollars",621703,656409,651440,725861,970863,1029700,1054645,1109947,1085421,1320088,1457106,1563481,1726380,1772427,1612576,1882149,1724318,1746721,1848450,2033192,2207973,2293639,2269287,2291828,2281375,2325848,2351993,2494235,2525918,2450664,2417971,2483934,2576200,2424658,2481242,2889650,2880733,2797644,3057194,3135457,2896801,3128189,3398154,3781863,4020385,4424896,3862626,3545743,3789484,3769944,3624202,3641815
 "51000","Virginia",5,SAINC45,20,"..."," Cash receipts: Livestock and products","Thousands of dollars",378623,398362,400319,443015,565764,526567,603162,638408,634615,804755,934524,1102568,1036590,1125137,1075789,1236149,1159204,1246147,1357342,1389348,1486608,1521230,1510935,1506282,1570329,1553208,1513998,1609288,1663768,1692758,1705398,1745065,1894858,1666720,1734363,1976451,2058707,1963089,2161706,2135483,1807426,2131490,2292082,2306400,2604479,3083517,2651634,2330149,2517219,2478397,2417128,2290913
 "51000","Virginia",5,SAINC45,30,"...","  Meat animals and other livestock","Thousands of dollars",189274,203962,202295,232922,292031,239520,284571,280832,255380,383622,450562,573263,458930,564049,477995,582169,492292,543440,711989,679829,699306,720718,724693,658921,675771,617432,544202,532045,670924,605745,626867,692000,760126,747436,768911,793540,874663,882421,864006,840005,709539,819096,899330,883234,1018066,1244511,988096,805642,917492,922336,922945,948079
 "51000","Virginia",5,SAINC45,31,"...","   Cattle and calves","Thousands of dollars",130721,149350,148017,166513,206304,144269,183600,167786,167473,275274,325822,413401,303804,389030,327109,418666,341952,372775,539272,522270,538718,518570,519711,461099,455187,412215,338636,299250,446486,402667,435126,461821,519735,484826,485207,515973,621686,610979,599844,541278,436451,522989,610296,602068,729764,947439,714983,531312,634575,609728,575902,593757
 "51000","Virginia",5,SAINC45,32,"...","   Hogs and pigs","Thousands of dollars",48947,45004,44630,55931,73910,82644,88215,100046,74402,93020,107912,134888,130837,149133,133849,101447,86075,103343,97229,80136,78227,120432,113345,101029,106945,97085,84873,111708,94135,70798,57138,71620,71262,67138,77149,101838,78745,99287,86624,84040,71599,87894,78420,73264,71989,78151,50264,53327,61207,67842,102761,104407
 "51000","Virginia",5,SAINC45,33,"...","   Sheep and other livestock","Thousands of dollars",9606,9608,9648,10478,11817,12607,12756,13000,13505,15328,16828,24974,24289,25886,17037,62056,64265,67322,75488,77423,82361,81716,91637,96793,113639,108132,120693,121087,130303,132280,134603,158559,169129,195472,206555,175729,174232,172155,177538,214687,201489,208213,210614,207902,216313,218921,222849,221003,221710,244766,244282,249915
 "51000","Virginia",5,SAINC45,40,"...","  Dairy products","Thousands of dollars",101118,104734,109063,112877,125671,151884,162262,187266,191370,204403,235560,259616,281013,282865,284950,269660,278050,275600,270135,265069,279740,297300,269325,291888,276500,272272,266340,289980,258020,296136,291706,279276,318240,267386,244666,308417,293040,266213,371685,371088,264384,331934,395241,357552,396857,478170,342097,308415,334919,284450,289812,298287
 "51000","Virginia",5,SAINC45,50,"...","  Poultry and poultry products","Thousands of dollars",88231,89666,88961,97216,148062,135163,156329,170310,187865,216730,248402,269689,296647,278223,312844,384320,388862,427107,375218,444450,507562,503212,516917,555473,618058,663504,703456,787263,734824,790877,786825,773789,816492,651898,720786,874494,891004,814455,926015,924390,833503,980460,997511,1065614,1189556,1360836,1321441,1216092,1264808,1271611,1204371,1044547
 "51000","Virginia",5,SAINC45,60,"..."," Cash receipts: Crops","Thousands of dollars",243080,258047,251121,282846,405099,503133,451483,471539,450806,515333,522582,460913,689790,647290,536787,646000,565114,500574,491108,643844,721365,772409,758352,785546,711046,772640,837995,884947,862150,757906,712573,738869,681342,757938,746879,913199,822026,834555,895488,999974,1089375,996699,1106072,1475463,1415906,1341379,1210992,1215594,1272265,1291547,1207074,1350902
 "51000","Virginia",5,SAINC45,70,"...","  Total grains","Thousands of dollars",72465,88306,76702,102920,154017,223157,189476,187881,164556,196242,220143,175387,204886,213361,171617,214094,194162,141987,115913,163156,200535,192885,168295,197130,175331,177401,232153,278197,231015,143994,122928,171568,185601,160318,178709,265616,223952,216120,315819,361836,416684,359426,417500,665569,657376,597340,435779,445756,422482,431753,406255,461038
 "51000","Virginia",5,SAINC45,71,"...","   Corn","Thousands of dollars",16833,20115,16591,23050,47715,67413,59980,59226,43378,47177,56472,40207,59138,63675,35083,72207,55244,42194,23977,32532,49516,52921,47231,61806,47996,51208,71084,98424,67412,45911,36012,60890,71780,54243,66617,106693,81605,81058,102873,122492,140161,128722,141970,232275,214512,219084,167268,179031,170500,181162,189456,202814
 "51000","Virginia",5,SAINC45,72,"...","   Oats","Thousands of dollars",219,329,503,434,709,449,391,522,449,402,461,287,384,304,277,251,86,39,137,65,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,391,422,550,614,241,292,440,563,381,445,294,249,308,285,316
 "51000","Virginia",5,SAINC45,73,"...","   Sorghum","Thousands of dollars",87,106,151,194,135,89,126,83,50,91,120,183,115,78,166,262,184,48,0,0,0,0,0,0,0,0,0,0,0,0,0,381,625,445,410,327,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "51000","Virginia",5,SAINC45,74,"...","   Wheat","Thousands of dollars",4634,8350,8872,8256,14499,23825,19665,13102,11394,7800,17781,32425,53547,40879,36307,38973,30493,17791,21259,33604,43713,33064,28671,45056,38415,44215,65500,71304,57244,30929,30286,31300,28608,32073,25497,33386,31088,40139,66643,94577,74083,42990,82056,114909,110179,111895,73144,53043,42075,43681,32518,35762
