GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "08000","Colorado",7,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",635.6,596.8,498.5,380.3,378.4,399.5,480.0,590.4,589.5,564.5,581.4,619.7,736.0,1038.5,1228.2,1221.3,1350.2,1472.3,1695.8,1880.6,1914.6,2098.9,2493.8,2692.5,2725.8,2808.7,3059.7,3376.0,3699.1,3787.1,4068.0,4353.4,4683.9,4942.1,5174.4,5474.2,5840.6,6275.8,6763.5,7502.7,8438.8,9540.2,10759.7,12176.1,13923.1,15609.2,17249.7,18981.3,21174.2,24413.5,27979.3,32050.8,36882.9,40505.9,43694.2,47644.6,50483.6,52445.7,54400.0,57556.6,62010.1,65667.2,69601.9,75599.1,81812.1,87983.8,95648.8,103235.8,111207.8,123090.0,132293.9,147242.4,154444.5,154639.6,157851.9,163872.9,175069.2,189465.5,202115.9,210029.4,199351.6,205866.1,223492.6,236759.1,249512.7,271410.2,284836.8,289673.0,309657.7,331955.4,350390.1,370392.1,401122.9
 "08000","Colorado",7,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",550.4,512.3,456.2,365.5,339.0,384.1,422.2,515.4,527.2,503.1,530.0,558.4,645.6,894.4,1039.0,1041.5,1149.2,1258.7,1388.1,1610.2,1675.5,1907.5,2241.2,2448.4,2552.1,2692.1,2953.1,3264.8,3505.8,3609.4,3912.1,4180.2,4509.5,4787.2,5035.4,5337.7,5628.4,6085.4,6579.5,7261.0,8190.4,9254.1,10461.4,11846.4,13487.1,15078.5,16790.7,18651.2,20915.0,24211.5,27768.7,31767.6,36583.9,40328.4,43341.3,47227.4,50097.1,52056.3,53932.5,56989.4,61401.5,64968.9,68977.1,74935.7,81014.1,87423.3,95128.7,102586.5,110556.4,122303.9,131386.2,146487.8,153396.5,153950.5,157130.5,162951.2,173986.2,188687.3,201055.1,209176.1,198631.7,204893.1,222205.7,235551.9,248229.6,270048.7,283259.3,288422.3,308752.9,331111.4,349347.0,368543.4,399361.0
 "08000","Colorado",7,SAINC4,12,"..."," Farm income 2/","Millions of dollars",85.2,84.5,42.3,14.7,39.4,15.4,57.8,75.0,62.2,61.5,51.4,61.3,90.4,144.0,189.3,179.8,200.9,213.6,307.7,270.4,239.1,191.4,252.6,244.1,173.6,116.6,106.7,111.1,193.3,177.7,155.9,173.2,174.4,154.8,139.0,136.4,212.2,190.4,184.0,241.8,248.4,286.1,298.3,329.7,436.0,530.6,459.0,330.1,259.3,202.1,210.5,283.3,299.0,177.5,352.9,417.2,386.6,389.5,467.5,567.2,608.5,698.3,624.8,663.4,798.0,560.6,520.1,649.2,651.4,786.1,907.7,754.6,1048.0,689.1,721.4,921.7,1083.0,778.2,1060.8,853.3,719.9,973.1,1286.9,1207.2,1283.1,1361.4,1577.5,1250.7,904.8,844.0,1043.1,1848.7,1761.9
 "08000","Colorado",7,SAINC4,20,"...","Population (persons) 3/","Number of persons",1008000,1040000,1056000,1066000,1071000,1075000,1078000,1090000,1104000,1112000,1120000,1130000,1124000,1133000,1151000,1124000,1113000,1196000,1236000,1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784308,5812069
 "08000","Colorado",7,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",631,574,472,357,353,372,445,542,534,508,519,548,655,917,1067,1087,1213,1231,1372,1489,1478,1584,1881,1973,1905,1881,1979,2078,2223,2272,2379,2461,2540,2602,2673,2779,2942,3127,3294,3539,3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9820,11019,12386,13230,13944,15030,15733,16200,16685,17643,18930,19853,20549,21625,22639,23625,24995,26336,27675,29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40790,43658,45630,47404,50797,52339,52390,55294,58471,61087,64034,69016
 "08000","Colorado",7,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",505.2,467.7,369.2,276.2,284.6,301.5,375.1,452.8,469.2,449.3,459.2,490.0,594.1,886.1,1079.8,1075.0,1180.9,1261.0,1436.8,1506.0,1512.6,1626.7,1999.5,2178.6,2174.5,2191.7,2407.1,2679.0,2956.7,3001.8,3210.4,3461.5,3732.8,3910.9,4099.8,4343.3,4620.8,5023.0,5374.8,6011.5,6705.6,7472.8,8448.7,9673.2,11120.2,12350.0,13367.7,14819.5,16644.7,19339.2,22343.4,25235.2,28734.8,31244.0,33341.0,36496.1,38559.2,39981.2,41412.8,44020.4,46582.3,49719.2,53107.4,58235.1,63306.6,67714.4,72615.6,78531.5,85205.6,95221.8,104750.1,117250.3,122914.6,123161.5,124743.9,129754.5,137447.8,146427.7,153572.0,156146.2,147500.7,151257.7,160442.3,169755.6,183689.3,198909.7,205364.3,207639.1,224023.4,239775.1,254592.6,260210.3,285829.9
 "08000","Colorado",7,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,8.8,9.6,11.3,11.3,13.3,18.7,24.9,26.1,36.2,54.1,45.1,34.3,33.1,34.4,42.3,48.7,48.6,56.7,64.2,73.0,87.6,94.9,108.7,132.8,149.8,163.5,190.8,197.4,197.5,262.8,294.5,333.7,387.4,427.0,498.9,606.0,797.7,905.5,967.2,1104.7,1260.6,1506.7,1838.8,2106.4,2598.3,2908.1,3129.9,3538.8,3834.6,4020.8,4121.3,4530.3,4887.6,5333.8,5856.4,6358.5,6986.7,7557.4,8074.5,8625.6,9300.2,9710.0,10549.1,11703.5,12313.8,12725.0,12954.7,13826.6,14684.0,15587.4,16420.3,17112.9,16490.2,16667.5,15796.4,16572.2,19222.9,20676.1,21819.9,22565.8,23930.8,25491.3,27123.2,27920.6,30514.0
 "08000","Colorado",7,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.9,2.7,2.9,3.2,3.8,6.2,12.5,13.8,15.1,12.2,13.2,11.6,11.5,15.6,18.7,21.6,23.1,26.7,30.3,34.2,41.0,43.7,52.0,64.5,70.0,74.1,87.6,89.7,91.3,125.9,149.8,168.1,195.2,213.5,246.6,294.1,388.5,443.4,471.6,521.6,595.3,705.2,870.3,1008.7,1256.4,1410.1,1494.0,1659.9,1854.6,1955.6,2012.2,2221.6,2421.0,2630.0,2895.1,3132.1,3422.5,3723.4,4019.4,4309.5,4656.3,5089.2,5541.3,6136.9,6454.5,6441.3,6529.4,6869.4,7279.4,7833.4,8364.7,8748.2,8528.2,8593.6,7082.5,7424.8,9934.7,10644.2,11239.4,11671.4,12482.4,13529.9,14460.4,14943.6,16241.3
 "08000","Colorado",7,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",0.1,0.1,(L),0.1,(L),(L),(L),(L),5.9,6.9,8.4,8.1,9.5,12.4,12.3,12.4,21.1,41.9,31.9,22.7,21.5,18.8,23.6,27.1,25.5,30.0,33.9,38.8,46.7,51.2,56.7,68.3,79.8,89.4,103.1,107.6,106.2,137.0,144.7,165.6,192.2,213.6,252.2,311.9,409.1,462.0,495.6,583.0,665.3,801.5,968.5,1097.7,1341.9,1498.0,1635.8,1878.9,1980.0,2065.2,2109.0,2308.7,2466.6,2703.8,2961.3,3226.4,3564.2,3834.0,4055.1,4316.1,4643.9,4620.8,5007.9,5566.6,5859.3,6283.8,6425.2,6957.2,7404.6,7754.0,8055.6,8364.7,7962.0,8073.9,8713.9,9147.3,9288.3,10031.9,10580.4,10894.4,11448.5,11961.4,12662.7,12977.0,14272.7
 "08000","Colorado",7,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,0.1,0.3,0.6,1.0,1.5,1.8,2.3,3.1,3.5,1.3,1.2,1.1,0.7,0.5,0.3,(L),-0.3,-0.8,-1.2,-1.7,1.1,3.2,3.9,4.5,3.1,4.2,8.5,8.5,11.1,19.3,13.1,19.9,3.1,0.3,-2.0,6.9,15.9,20.6,31.7,46.3,62.8,85.6,96.8,112.0,124.0,141.9,163.1,181.7,205.1,231.0,260.7,288.1,308.8,339.2,363.4,398.3,429.3,475.9,505.0,522.9,563.2,663.1,826.9,1027.1,1183.1,1231.9,1231.8,1203.8,1319.5,1345.6,1386.1,1378.4,1487.8
