GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",639.3,641.4,631.7,567.9,500.2,547.2,626.8,719.0,745.7,728.4,766.2,842.4,971.3,1247.0,1447.6,1439.3,1516.9,1630.7,1639.5,1780.6,1844.8,1956.5,2058.2,2167.7,2105.1,2073.5,2058.8,2155.8,2242.3,2291.8,2363.4,2390.4,2517.4,2709.2,2876.7,3054.2,3290.8,3436.4,3682.0,3865.3,3763.5,4174.4,4647.0,5043.5,5316.1,5768.7,6274.7,6648.1,7137.5,7604.4,8003.0,8447.4,9094.1,9694.1,10192.7,11126.3,11781.5,12399.3,13078.7,14309.8,15152.5,15818.1,16536.8,17369.3,18066.7,18484.6,18621.1,19387.3,20290.5,21547.5,22693.4,24897.7,25778.3,25876.1,26157.6,28437.6,30028.4,31846.9,34363.2,35329.0,35618.5,38324.4,41395.0,43010.6,43697.3,46780.2,50337.3,52684.5,54453.2,56572.9,57240.3,61706.1,64909.4
 "11000","District of Columbia",2,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",639.3,641.4,631.7,567.9,500.1,547.2,626.8,719.0,745.7,728.4,766.2,842.3,971.2,1247.0,1447.6,1439.3,1516.9,1630.7,1639.5,1780.0,1844.2,1956.0,2057.7,2167.3,2104.7,2073.2,2058.7,2155.6,2242.3,2291.7,2363.4,2390.4,2517.4,2709.2,2876.7,3054.2,3290.8,3436.4,3682.0,3865.3,3763.5,4174.4,4647.0,5043.5,5316.1,5768.7,6274.7,6648.1,7137.5,7604.4,8003.0,8447.4,9094.1,9694.1,10192.7,11126.3,11781.5,12399.3,13078.7,14309.8,15152.5,15818.1,16536.8,17369.3,18066.7,18484.6,18621.1,19387.3,20290.5,21547.5,22693.4,24897.7,25778.3,25876.1,26157.6,28437.6,30028.4,31846.9,34363.2,35329.0,35618.5,38324.4,41395.0,43010.6,43697.3,46780.2,50337.3,52684.5,54453.2,56572.9,57240.3,61706.1,64909.4
 "11000","District of Columbia",2,SAINC4,12,"..."," Farm income 2/","Millions of dollars",(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0.7,0.6,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 "11000","District of Columbia",2,SAINC4,20,"...","Population (persons) 3/","Number of persons",483000,488000,504000,513000,529000,568000,608000,629000,616000,638000,658000,690000,764000,846000,888000,862000,865000,893000,873000,840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,604795,617794,631132,644755,654557,665633,673833,680945,685632,687408,690093,670050
 "11000","District of Columbia",2,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",1324,1314,1253,1107,945,963,1031,1143,1211,1142,1164,1221,1271,1474,1630,1670,1754,1826,1878,2120,2286,2427,2547,2693,2599,2621,2623,2840,2939,3027,3106,3125,3236,3438,3605,3827,4129,4344,4655,4968,4939,5528,6191,6781,7246,8004,8834,9548,10469,11349,12207,13235,14279,15286,16117,17566,18567,19426,20534,22698,24276,26132,27521,29067,30349,31370,32077,33872,35739,38122,39798,43524,44871,45147,46011,50088,52947,55805,59824,60887,60143,63368,67005,68148,67774,71469,75623,78186,79967,82512,83270,89417,96873
 "11000","District of Columbia",2,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",470.9,475.8,463.8,413.2,362.4,404.2,472.5,527.8,578.2,560.8,597.6,668.4,797.2,1064.6,1273.6,1262.2,1320.2,1486.9,1420.3,1851.9,1974.8,2048.6,2263.4,2476.9,2469.7,2390.5,2471.0,2600.8,2728.3,2910.2,3064.2,3254.8,3453.6,3718.1,4005.1,4294.2,4631.4,4995.1,5650.8,6079.3,6459.4,7065.6,7747.2,8391.4,8915.8,9624.9,10598.1,11463.1,12406.8,13578.8,14710.9,16000.3,17115.1,18048.7,18928.5,20641.5,22067.6,23268.6,24768.4,27403.8,29004.9,30998.1,32678.2,34522.2,35642.7,36433.9,36699.5,37293.8,38589.6,40635.4,44067.0,46750.0,50025.7,52651.9,55164.9,59956.3,63302.3,65684.9,69568.2,71891.3,73246.2,78016.1,81592.6,82523.7,83740.9,87975.7,92239.8,96206.3,99222.4,103149.1,104943.9,107005.2,112624.5
 "11000","District of Columbia",2,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",2.3,2.3,2.3,2.2,1.8,1.9,1.8,2.0,12.5,14.0,15.6,14.6,18.4,27.9,31.4,31.2,48.7,164.1,109.3,63.6,62.2,29.0,30.4,33.4,37.3,47.8,49.8,52.2,59.5,78.9,89.8,101.5,107.5,114.8,138.8,135.5,140.8,186.2,215.1,236.9,254.0,276.1,301.5,345.6,416.9,475.0,524.4,576.4,612.1,674.0,776.6,865.9,1010.0,1076.9,1297.8,1471.6,1687.4,1867.1,2031.3,2320.0,2555.5,2758.9,2939.8,3124.1,3273.3,3414.5,3484.1,3521.4,3665.9,3742.4,4084.0,4310.0,4922.1,5233.3,5453.4,5835.9,6160.7,6523.5,6876.6,7402.9,7630.8,8047.4,7369.2,7611.3,8863.4,9281.9,9654.7,9949.8,10398.2,10877.0,11123.0,11229.2,11708.4
 "11000","District of Columbia",2,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",2.2,2.2,2.2,2.1,1.8,1.9,1.8,2.0,5.9,5.8,6.3,6.2,8.5,14.9,20.4,23.9,26.7,24.2,24.7,9.0,8.1,10.5,12.3,13.6,14.6,17.6,17.8,19.6,23.2,29.9,35.4,42.2,44.3,47.6,59.2,58.2,61.4,87.9,101.9,113.7,115.3,122.3,128.8,145.1,176.3,199.2,213.2,225.8,241.1,266.2,310.8,349.0,417.1,456.9,561.5,628.4,747.2,835.4,917.2,1058.2,1178.9,1274.4,1354.9,1421.8,1502.3,1584.5,1634.8,1662.2,1735.7,1783.7,1957.4,2067.8,2343.7,2490.0,2608.5,2794.4,2960.9,3158.7,3343.7,3596.6,3683.1,3887.2,3035.2,3148.0,4295.6,4509.4,4686.5,4855.4,5105.4,5359.4,5471.4,5534.4,5752.5
 "11000","District of Columbia",2,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",(L),(L),(L),(L),(L),(L),(L),(L),6.6,8.2,9.2,8.4,10.0,13.0,11.0,7.3,22.1,139.8,84.6,54.6,54.1,18.5,18.1,19.8,22.7,30.3,32.0,32.6,36.3,49.0,54.4,59.3,63.2,67.2,79.5,77.3,79.4,98.4,113.2,123.2,138.7,153.8,172.6,200.5,240.6,275.7,311.2,350.6,371.0,407.8,465.7,516.9,592.9,620.0,736.3,843.3,940.2,1031.7,1114.1,1261.9,1376.7,1484.5,1584.9,1702.3,1771.0,1830.0,1849.3,1859.2,1930.3,1958.7,2126.6,2242.1,2578.5,2743.3,2844.9,3041.5,3199.8,3364.8,3533.0,3806.3,3947.7,4160.2,4334.0,4463.3,4567.8,4772.6,4968.2,5094.4,5292.8,5517.6,5651.7,5694.8,5955.9
 "11000","District of Columbia",2,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-345.2,-411.3,-476.9,-550.8,-660.5,-708.3,-716.9,-802.1,-879.8,-973.5,-1110.4,-1204.0,-1391.4,-1483.2,-1577.7,-1703.7,-1847.6,-1991.6,-2187.5,-2617.2,-2891.3,-3366.2,-3707.0,-4082.2,-4440.5,-4743.8,-5118.7,-5736.9,-6285.8,-6842.7,-7700.1,-8592.3,-9709.2,-10405.8,-10934.5,-11234.4,-12164.6,-12898.9,-13474.3,-14246.4,-15744.4,-16820.7,-17983.3,-18918.0,-20092.1,-20649.4,-21021.1,-21063.1,-21056.7,-21682.2,-22791.1,-24874.1,-25485.7,-27224.8,-29486.2,-31608.6,-34103.4,-36176.0,-37314.6,-39185.6,-40872.4,-41095.4,-43310.8,-45566.7,-45343.9,-44926.3,-46273.2,-47332.6,-49333.5,-50679.7,-52722.9,-53934.5,-54642.4,-57124.4
