GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "19000","Iowa",4,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",1404.0,1239.1,983.4,728.9,629.6,680.8,1054.6,981.2,1282.6,1124.0,1180.3,1253.6,1502.5,2022.5,2387.3,2303.5,2521.5,3053.2,3039.2,4122.7,3510.7,4039.1,4311.3,4576.2,4406.3,4765.6,4542.5,4821.0,5347.6,5463.3,5602.3,5745.1,6083.8,6344.5,6744.2,7059.4,7818.4,8513.1,8671.5,9347.1,10374.0,11095.0,11641.6,13040.1,15654.8,16225.0,18133.7,19280.3,21275.3,24537.2,26298.4,27993.7,31681.0,32544.4,33149.5,36944.1,38216.3,39480.3,41377.4,42759.8,46555.0,49023.1,50144.7,53791.9,54052.6,58946.2,61328.6,66840.9,69956.1,73171.9,75098.7,80228.5,82571.1,84424.0,86443.8,93643.1,96704.5,102746.8,110011.0,116756.7,113084.5,116906.0,125978.2,132158.9,134757.8,139531.3,144587.6,145790.0,149547.6,156072.2,159664.5,169181.6,181919.3
 "19000","Iowa",4,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",1017.4,952.2,837.3,628.0,550.4,640.8,692.0,808.2,823.0,817.1,877.5,921.3,1070.5,1254.2,1491.0,1622.5,1798.7,2012.8,2202.7,2594.6,2704.2,2894.7,3201.7,3385.6,3513.0,3612.0,3863.9,4100.5,4319.8,4451.9,4859.3,5014.7,5233.3,5462.9,5745.4,6140.3,6573.1,7169.8,7594.0,8329.7,9138.6,9882.5,10632.5,11559.0,12927.6,14509.7,16172.2,18063.5,20060.4,22108.1,24735.5,27287.9,30053.8,31740.5,33154.2,35494.3,36476.7,37364.5,38932.0,41127.5,44170.8,46536.1,48380.5,51110.0,53182.8,56103.0,59529.7,63131.7,66575.3,71029.6,73517.5,77785.0,80317.4,82316.6,84222.0,88885.4,92858.5,99921.6,106149.3,111991.3,109887.1,113298.7,118621.3,125469.5,126242.3,133755.3,139456.3,143090.8,146221.4,152261.6,156847.6,165856.0,174721.9
 "19000","Iowa",4,SAINC4,12,"..."," Farm income 2/","Millions of dollars",386.6,286.9,146.1,101.0,79.2,40.0,362.6,172.9,459.6,306.9,302.7,332.3,432.0,768.3,896.3,681.1,722.8,1040.4,836.5,1528.1,806.5,1144.4,1109.7,1190.6,893.2,1153.5,678.6,720.5,1027.8,1011.4,743.1,730.5,850.6,881.6,998.8,919.1,1245.3,1343.3,1077.5,1017.4,1235.5,1212.5,1009.2,1481.2,2727.1,1715.3,1961.5,1216.7,1214.8,2429.1,1562.9,705.8,1627.2,803.9,-4.7,1449.8,1739.5,2115.8,2445.4,1632.3,2384.3,2487.0,1764.2,2681.9,869.7,2843.2,1798.8,3709.2,3380.7,2142.3,1581.1,2443.6,2253.7,2107.4,2221.8,4757.7,3846.0,2825.2,3861.7,4765.4,3197.5,3607.3,7356.9,6689.4,8515.5,5776.0,5131.3,2699.2,3326.2,3810.6,2816.9,3325.7,7197.4
 "19000","Iowa",4,SAINC4,20,"...","Population (persons) 3/","Number of persons",2460000,2475000,2482000,2489000,2495000,2510000,2524000,2509000,2498000,2494000,2520000,2537000,2491000,2441000,2332000,2294000,2301000,2467000,2509000,2543000,2578000,2625000,2617000,2626000,2629000,2626000,2679000,2703000,2716000,2708000,2729000,2756000,2756000,2750000,2747000,2746000,2742000,2762000,2793000,2803000,2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3051447,3069937,3082570,3102253,3121583,3136111,3149432,3162621,3171441,3183831,3188669,3193079
 "19000","Iowa",4,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",571,501,396,293,252,271,418,391,513,451,468,494,603,829,1024,1004,1096,1238,1211,1621,1362,1539,1647,1743,1676,1815,1696,1784,1969,2017,2053,2085,2207,2307,2455,2571,2851,3082,3105,3335,3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38312,41036,42873,43439,44699,46104,46291,47286,49212,50149,53057,56973
 "19000","Iowa",4,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",1171.0,1021.9,779.5,573.0,503.0,544.1,912.9,794.2,1130.3,971.4,1005.1,1068.9,1308.3,1794.8,2149.7,2053.2,2199.3,2629.7,2599.9,3543.9,2869.6,3376.4,3643.1,3857.6,3661.4,3956.5,3718.2,3960.3,4438.2,4476.8,4537.8,4639.9,4874.0,5085.9,5425.4,5663.1,6317.9,6986.3,7109.0,7510.6,8353.8,8755.5,9059.9,10255.0,12556.8,12721.6,13951.4,14779.0,16332.9,19121.8,20259.7,20472.7,22566.4,21765.1,21846.2,24996.9,25949.4,27110.2,29276.6,30491.3,33267.0,35169.6,35921.4,39141.3,39123.5,43608.1,44589.1,48649.4,50966.4,53438.3,55618.9,59219.4,60578.1,61919.4,64189.9,70703.1,73018.0,76516.8,81010.9,84559.0,80978.0,83653.9,89363.8,93739.3,98024.3,100348.9,103017.8,102805.0,105463.4,109795.7,111210.3,113412.5,123743.4
 "19000","Iowa",4,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",1.0,0.9,0.8,0.9,0.7,0.7,0.7,0.7,14.2,15.6,18.5,18.6,22.1,23.6,29.3,36.4,42.9,51.3,50.4,49.9,55.3,60.5,62.7,67.4,68.7,78.8,89.1,107.6,126.4,134.6,165.7,186.2,188.8,203.4,232.6,246.7,260.6,352.3,417.8,457.2,543.3,567.2,626.4,718.6,929.7,1091.8,1167.0,1322.1,1459.1,1671.3,1955.3,2057.6,2315.1,2343.8,2426.2,2683.7,2810.2,2966.2,3173.6,3526.6,3765.2,4079.1,4285.3,4529.0,4773.0,5142.0,5400.2,5382.1,5907.6,6289.2,6557.8,6805.5,6966.8,7117.7,7442.0,7832.7,8243.0,8683.9,9120.2,9545.6,9425.8,9738.9,9091.7,9384.3,10787.3,11113.7,11382.2,11876.6,12201.2,12721.4,13184.9,13788.8,14629.6
 "19000","Iowa",4,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.7,4.7,4.5,4.7,5.2,5.8,6.9,10.2,12.5,13.7,13.9,16.5,20.4,20.5,26.7,31.9,36.4,36.7,42.2,47.6,61.0,70.6,74.0,90.6,102.2,104.3,111.1,125.6,134.5,143.9,191.6,237.3,254.0,285.6,297.2,326.7,368.1,468.9,550.9,593.2,646.8,696.0,787.1,934.8,995.9,1122.7,1150.9,1173.2,1269.5,1381.9,1477.1,1615.5,1806.8,1968.5,2130.0,2243.2,2348.6,2458.9,2648.2,2801.8,2688.2,3070.3,3253.1,3389.0,3515.2,3625.6,3724.2,3869.1,4102.6,4348.7,4593.3,4844.1,5067.9,5026.6,5100.4,4206.8,4374.4,5684.6,5914.9,6106.3,6309.4,6481.4,6877.3,7140.8,7475.7,7891.6
 "19000","Iowa",4,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",0.2,0.1,0.1,0.2,0.1,0.1,0.1,(L),9.4,11.1,13.8,13.4,16.3,16.7,19.1,23.8,29.3,37.4,33.9,29.5,34.8,33.8,30.8,31.1,32.0,36.5,41.4,46.7,55.8,60.7,75.1,84.0,84.4,92.3,107.0,112.1,116.6,160.7,180.6,203.1,257.7,270.0,299.7,350.5,460.8,540.9,573.7,675.4,763.1,884.2,1020.5,1061.7,1192.3,1192.9,1253.0,1414.2,1428.3,1489.2,1558.0,1719.8,1796.7,1949.2,2042.1,2180.4,2314.2,2493.8,2598.4,2693.9,2837.3,3036.1,3168.8,3290.3,3341.2,3393.5,3572.9,3730.1,3894.3,4090.5,4276.1,4477.7,4399.2,4638.4,4884.9,5009.9,5102.7,5198.8,5276.0,5567.2,5719.8,5844.1,6044.0,6313.0,6737.9
 "19000","Iowa",4,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),20.8,23.7,25.0,28.8,31.2,32.9,33.1,34.2,35.1,35.3,28.7,31.1,35.2,38.0,41.1,43.3,47.0,50.4,54.7,59.0,63.0,89.2,96.9,97.2,103.3,97.7,91.2,107.4,100.1,74.0,73.0,79.2,98.1,127.0,199.8,213.3,241.7,279.0,274.4,268.2,310.9,321.4,319.3,373.4,411.2,401.1,422.8,483.9,529.1,603.8,694.6,795.6,880.7,904.9,942.7,972.0,988.8,906.5,840.9,1079.0,1149.2,1149.6,1187.3,1306.0,1229.5,1210.5,1047.7,1001.4,1048.8,1366.4,1357.5,1429.2,1668.5,1813.2
