GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",223.2,218.2,166.3,122.9,105.8,183.8,189.4,230.7,213.5,216.2,224.6,239.4,298.0,442.0,519.1,570.5,560.6,612.4,664.4,745.0,739.2,797.5,902.3,993.7,950.9,967.5,1020.3,1125.5,1192.5,1215.8,1286.9,1316.1,1391.9,1487.9,1523.0,1574.8,1793.8,1817.3,1931.8,2065.1,2391.0,2647.7,2894.2,3304.3,3820.5,4497.4,4866.7,5436.2,5942.3,6829.9,7469.2,8394.9,9237.6,9699.6,10599.5,11294.3,11932.8,12177.2,12724.4,13765.7,15146.9,16352.3,17190.9,18904.8,20720.8,22179.4,23842.7,25334.9,26420.1,28531.4,30218.5,32723.6,34054.3,35161.6,36440.8,39412.2,41979.2,46227.8,49227.0,50388.9,48624.5,50432.6,53273.7,56177.1,58403.7,61801.4,65475.7,68009.3,72066.4,76680.6,81834.1,89077.7,97667.7
 "16000","Idaho",7,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",157.7,144.7,126.4,99.5,92.3,117.1,132.8,160.7,168.4,166.0,168.8,184.4,217.0,323.4,363.3,406.6,400.7,436.2,473.9,541.0,572.5,631.6,714.7,767.6,774.1,797.2,860.2,946.2,1012.8,1051.0,1123.4,1158.3,1234.5,1321.9,1349.8,1441.8,1563.5,1639.9,1727.8,1882.1,2140.6,2383.4,2647.6,2986.6,3371.0,3873.5,4485.4,5100.8,5710.1,6529.6,7244.9,7995.4,8818.9,9314.3,10023.6,10802.2,11483.3,11706.0,12139.7,13105.6,14277.9,15365.9,16376.6,18045.0,19652.8,21423.5,23021.8,24403.2,25686.0,27597.0,29244.1,31735.1,32956.0,34087.9,35611.1,38076.3,40832.1,45175.9,47635.6,48799.6,47673.6,49061.4,51271.0,54167.2,56110.9,59426.1,63216.4,66001.5,70476.8,75032.3,79710.5,85737.8,94635.9
 "16000","Idaho",7,SAINC4,12,"..."," Farm income 2/","Millions of dollars",65.6,73.5,39.9,23.5,13.5,66.7,56.6,70.0,45.1,50.2,55.9,54.9,80.9,118.7,155.8,163.9,159.9,176.2,190.5,204.1,166.6,165.9,187.6,226.1,176.8,170.3,160.1,179.3,179.7,164.8,163.5,157.8,157.4,166.1,173.2,133.1,230.3,177.4,204.0,182.9,250.4,264.3,246.6,317.7,449.6,623.9,381.3,335.4,232.3,300.3,224.2,399.6,418.7,385.4,576.0,492.1,449.5,471.2,584.7,660.0,869.1,986.5,814.3,859.9,1068.0,755.9,820.8,931.7,734.1,934.5,974.3,988.5,1098.3,1073.7,829.7,1335.9,1147.1,1051.9,1591.4,1589.3,950.9,1371.1,2002.7,2009.9,2292.8,2375.3,2259.2,2007.9,1589.7,1648.4,2123.6,3339.9,3031.8
 "16000","Idaho",7,SAINC4,20,"...","Population (persons) 3/","Number of persons",447000,447000,454000,459000,464000,473000,481000,495000,507000,513000,521000,522000,502000,481000,499000,514000,490000,509000,522000,551000,570000,590000,589000,587000,596000,600000,618000,628000,642000,646000,657000,671000,684000,692000,683000,680000,686000,689000,688000,695000,707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571266,1586530,1600013,1618042,1640181,1662421,1696089,1734030,1768643,1808039,1847772,1900923
 "16000","Idaho",7,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",499,488,366,268,228,389,394,466,421,421,431,459,594,919,1040,1110,1144,1203,1273,1352,1297,1352,1532,1693,1596,1612,1651,1792,1857,1882,1959,1961,2035,2150,2230,2316,2615,2638,2808,2971,3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8009,8856,9600,9961,10795,11399,12004,12297,12918,13966,15232,16152,16509,17640,18688,19368,20252,21058,21506,22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32097,33579,35110,36095,37680,39386,40098,41560,43356,45261,48208,51379
 "16000","Idaho",7,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",195.8,194.7,143.3,104.1,88.1,166.0,169.4,204.2,194.2,197.0,202.1,213.0,268.3,405.5,488.3,538.6,518.8,553.2,593.8,648.3,634.7,670.3,770.2,859.6,816.1,809.3,849.9,933.5,972.2,1002.6,1060.6,1084.0,1142.9,1226.2,1251.4,1290.2,1491.3,1510.6,1601.4,1707.5,1940.8,2109.7,2270.1,2622.2,3055.1,3594.5,3755.5,4237.2,4620.9,5377.4,5828.0,6376.2,6862.3,6843.6,7543.1,8046.5,8389.4,8544.9,9103.4,10009.5,11003.3,12071.3,12664.4,14016.0,15424.5,16478.3,17402.9,18327.0,18998.1,20669.4,22307.3,24303.7,25019.7,25962.6,26458.9,28513.9,30144.8,33106.0,34926.1,34678.1,33174.5,34050.2,35182.5,36387.2,38964.5,40872.6,42956.3,44425.5,47131.5,50340.2,53999.7,57705.1,63677.4
 "16000","Idaho",7,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3.4,3.7,4.4,4.5,5.3,8.3,10.3,13.3,14.0,17.6,15.6,14.8,16.6,17.1,19.8,21.2,21.7,23.8,26.6,28.0,31.8,37.5,42.9,50.4,56.4,62.2,69.2,70.2,75.8,92.6,106.7,121.6,126.3,136.3,153.6,182.4,238.9,281.0,314.2,368.3,416.2,485.2,564.1,605.7,702.9,719.7,778.5,870.0,929.5,954.5,988.1,1127.8,1242.9,1434.9,1564.3,1701.4,1863.3,2051.3,2180.1,2241.9,2336.6,2483.1,2615.8,2847.2,2893.8,2978.7,3100.9,3310.1,3589.0,3997.5,4193.7,4225.5,4134.6,4316.9,3945.5,4045.3,4667.7,4856.2,5072.7,5327.1,5695.8,6052.8,6380.1,7015.3,7878.9
 "16000","Idaho",7,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,1.1,1.0,1.0,1.1,1.4,2.2,4.4,7.3,5.5,3.8,4.6,5.0,5.1,6.5,7.8,8.7,9.0,10.0,11.4,13.2,15.5,17.9,19.7,23.6,25.2,26.6,31.2,32.1,33.7,43.2,52.2,58.9,59.0,63.4,70.7,82.6,108.7,128.0,143.8,162.6,180.4,206.3,244.4,264.9,309.7,322.3,343.5,375.3,415.0,431.4,451.9,526.9,592.5,681.9,747.7,805.5,871.5,959.1,1011.2,1050.4,1111.8,1181.6,1260.0,1371.0,1402.7,1452.1,1510.8,1625.3,1767.5,1972.3,2090.5,2131.4,2076.3,2089.1,1713.1,1768.3,2340.5,2479.9,2605.0,2747.8,2952.9,3219.2,3441.6,3754.6,4185.3
 "16000","Idaho",7,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",(L),(L),(L),(L),(L),(L),(L),(L),2.3,2.7,3.3,3.4,3.9,6.2,5.9,6.0,8.4,13.8,11.1,9.7,11.5,10.6,12.1,12.5,12.7,13.8,15.2,14.8,16.3,19.6,23.2,26.9,31.2,35.6,38.1,38.2,42.1,49.4,54.6,62.7,67.3,72.8,82.8,99.7,130.2,153.0,170.4,205.8,235.8,278.9,319.7,340.8,393.2,397.4,435.0,494.7,514.5,523.1,536.2,600.9,650.5,752.9,816.7,896.0,991.8,1092.2,1168.9,1191.5,1224.8,1301.5,1355.8,1476.2,1491.1,1526.6,1590.1,1684.8,1821.4,2025.2,2103.2,2094.1,2058.3,2227.8,2232.4,2277.0,2327.2,2376.3,2467.7,2579.3,2742.9,2833.6,2938.5,3260.7,3693.5
 "16000","Idaho",7,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(L),(L),(L),(L),(L),0.1,0.2,0.3,(L),(L),-3.1,-3.1,-2.8,-2.7,-2.8,-2.1,-1.7,-1.8,-1.1,-0.6,-0.3,13.8,14.7,15.7,17.1,19.1,22.5,27.9,35.1,35.3,42.4,46.8,59.8,52.9,61.6,62.6,76.3,84.8,100.0,107.9,126.1,141.6,157.1,178.2,195.8,217.1,245.9,285.3,330.5,377.5,445.7,510.3,524.2,516.2,500.6,511.5,519.8,513.0,488.9,510.5,561.8,655.0,724.2,870.0,1098.2,1130.9,1233.2,1222.1,1284.6,1337.7,1384.3,1452.2,1488.1,1607.2
