GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "20000","Kansas",4,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",982.6,866.3,741.6,502.8,470.6,537.6,674.3,722.6,792.9,705.8,697.1,759.8,983.1,1521.8,1913.6,2083.8,2027.5,2058.7,2413.5,2554.7,2530.1,2838.3,3162.4,3684.6,3547.6,3755.2,3768.4,3964.2,4184.7,4593.4,4642.2,4827.1,5039.4,5244.0,5364.4,5649.7,6024.0,6452.3,6755.7,7360.3,8194.8,8892.7,9654.2,10763.3,12266.3,13262.0,14487.6,15746.2,17182.1,19014.3,21715.0,23869.2,27049.2,29326.8,30539.5,33517.6,35255.4,36958.6,38647.9,40703.6,43110.2,45751.2,47309.6,50940.2,53311.9,55736.3,58129.3,61934.2,65771.1,69763.1,72120.7,76105.1,78664.7,79365.2,81890.3,84335.9,89346.2,98610.2,105943.2,115852.5,111697.4,114239.8,123558.8,130948.1,133979.9,136878.7,138336.8,138533.9,142729.7,148955.7,154961.0,163462.2,174089.8
 "20000","Kansas",4,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",773.2,701.0,608.4,470.5,419.3,481.7,523.1,603.7,627.3,595.9,599.0,634.9,781.8,1141.4,1497.0,1618.1,1607.6,1568.6,1660.3,1985.0,2090.3,2294.9,2706.2,3086.9,3258.8,3353.1,3531.7,3735.5,3925.1,4065.9,4276.1,4385.4,4589.3,4822.6,4962.1,5282.7,5563.3,5976.0,6350.7,6962.1,7731.7,8288.7,8950.6,9803.0,10883.7,12205.8,13687.5,15170.8,16693.4,18738.5,21019.3,23778.1,26713.9,28758.5,30163.8,32776.2,34454.6,36030.6,37486.1,39573.5,42291.2,44380.8,46285.9,49543.3,51980.1,54318.5,57351.7,60441.8,64367.4,68473.3,70736.9,75111.2,77524.4,78893.9,80264.0,82796.5,87404.1,97494.0,104335.7,113822.3,109733.1,111729.2,119931.4,127936.9,129080.7,134136.6,136569.1,136420.9,141399.1,147415.2,153407.2,160849.0,169254.2
 "20000","Kansas",4,SAINC4,12,"..."," Farm income 2/","Millions of dollars",209.4,165.3,133.2,32.3,51.3,55.9,151.2,118.9,165.6,109.9,98.1,124.9,201.4,380.4,416.5,465.6,419.9,490.1,753.2,569.7,439.8,543.4,456.2,597.7,288.8,402.1,236.6,228.7,259.6,527.5,366.1,441.7,450.1,421.4,402.3,367.0,460.7,476.3,405.0,398.2,463.1,604.0,703.7,960.4,1382.6,1056.2,800.0,575.3,488.7,275.9,695.7,91.1,335.3,568.3,375.7,741.4,800.7,928.1,1161.8,1130.2,819.0,1370.4,1023.7,1396.9,1331.8,1417.8,777.6,1492.4,1403.7,1289.8,1383.8,993.9,1140.3,471.2,1626.3,1539.5,1942.1,1116.2,1607.5,2030.2,1964.3,2510.6,3627.3,3011.3,4899.2,2742.1,1767.7,2113.0,1330.6,1540.5,1553.8,2613.1,4835.6
 "20000","Kansas",4,SAINC4,20,"...","Population (persons) 3/","Number of persons",1867000,1883000,1881000,1883000,1877000,1868000,1872000,1869000,1856000,1842000,1824000,1788000,1767000,1769000,1802000,1763000,1719000,1803000,1851000,1892000,1925000,1916000,1950000,1977000,1994000,2042000,2093000,2119000,2128000,2142000,2160000,2183000,2215000,2231000,2217000,2209000,2206000,2200000,2197000,2216000,2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858822,2872476,2891101,2901661,2911506,2922671,2927230,2927419,2931572,2933747,2935880,2934582
 "20000","Kansas",4,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",526,460,394,267,251,288,360,387,427,383,382,425,556,860,1062,1182,1179,1142,1304,1350,1314,1481,1622,1864,1779,1839,1800,1871,1966,2144,2149,2211,2275,2351,2420,2558,2731,2933,3075,3321,3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10075,11342,12213,12643,13827,14524,15193,15805,16533,17433,18438,18934,20115,20853,21599,22349,23688,24958,26221,26927,28253,29112,29248,30074,30843,32545,35690,38057,41257,39431,39960,43015,45294,46174,47013,47332,47326,48756,50811,52820,55677,59324
 "20000","Kansas",4,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",800.9,711.0,588.7,383.1,373.0,437.3,565.8,581.0,670.0,590.9,577.7,631.2,838.3,1365.6,1753.1,1912.7,1826.7,1790.3,2120.4,2146.1,2107.2,2328.2,2649.3,3071.5,2920.0,3068.9,3029.7,3165.6,3318.1,3613.5,3605.2,3737.4,3904.5,4057.4,4138.2,4348.6,4617.2,5028.6,5246.8,5711.0,6245.2,6690.1,7264.2,8215.1,9480.3,10087.9,10817.5,11848.3,12897.6,14340.0,16573.5,17482.9,19379.6,20309.9,21150.6,23500.4,24656.9,26120.8,27662.6,29237.0,30767.7,32969.6,34001.3,36969.9,38706.9,40652.9,41996.4,45020.1,48063.7,51247.5,53778.2,56072.6,58081.4,58855.4,60814.2,62913.2,66153.6,71888.4,76540.6,82121.1,79526.6,81750.3,87822.8,93080.4,98367.0,98506.9,99847.6,98996.7,101465.1,105538.3,109651.6,112179.5,120446.2
 "20000","Kansas",4,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,12.3,13.6,13.0,12.7,14.7,24.1,38.8,45.3,53.2,58.8,47.3,42.9,46.1,49.6,60.9,70.3,75.5,86.6,96.0,105.4,118.1,120.9,141.6,160.7,177.0,183.0,205.8,213.4,221.7,293.2,339.8,376.8,421.0,441.8,491.7,572.8,733.6,853.1,936.4,1068.7,1175.2,1373.7,1614.7,1756.8,2055.5,2180.4,2287.5,2567.2,2732.2,2885.1,3003.0,3317.6,3509.7,3886.9,4118.8,4382.2,4591.2,4896.7,5091.0,5327.3,5697.0,6068.5,6343.1,6655.8,6869.9,7008.4,7172.8,7556.6,7911.2,8406.9,8806.9,9207.0,9002.9,9235.8,8516.0,8816.1,10225.4,10609.6,11028.2,10915.9,11224.2,11749.2,12245.5,12715.2,13406.9
 "20000","Kansas",4,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,3.8,3.4,3.6,3.9,4.8,8.1,16.3,20.8,20.2,14.8,15.8,18.2,18.6,24.4,29.8,34.1,37.1,42.3,46.8,53.2,60.6,60.0,71.5,82.4,96.1,92.8,104.6,108.8,112.6,149.6,180.5,198.4,217.1,227.1,250.7,289.1,368.1,424.3,466.7,516.5,551.7,642.8,758.0,839.6,988.2,1055.8,1093.1,1200.7,1322.8,1406.8,1483.8,1657.3,1784.4,1973.1,2103.6,2219.7,2322.6,2478.1,2604.2,2730.2,2928.8,3125.7,3276.4,3432.4,3537.2,3618.1,3680.8,3858.0,4067.2,4355.3,4656.9,4858.1,4779.0,4812.4,3949.8,4072.0,5347.5,5597.5,5736.1,5835.2,6007.6,6338.3,6654.5,6914.0,7250.3
 "20000","Kansas",4,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",0.1,0.1,0.1,0.1,0.1,0.1,0.1,(L),8.5,10.2,9.5,8.7,9.9,16.0,22.5,24.6,33.0,44.0,31.5,24.7,27.5,25.1,31.1,36.2,38.4,44.3,49.2,52.2,57.5,60.9,70.2,78.4,80.9,90.2,101.3,104.6,109.1,143.6,159.2,178.4,203.9,214.6,241.1,283.7,365.5,428.9,469.7,552.2,623.5,730.9,856.7,917.2,1067.3,1124.6,1194.5,1366.5,1409.5,1478.3,1519.2,1660.3,1725.3,1913.8,2015.1,2162.5,2268.5,2418.7,2486.8,2597.1,2768.2,2942.8,3066.7,3223.4,3332.7,3390.2,3491.9,3698.6,3844.0,4051.7,4150.1,4348.9,4223.9,4423.4,4566.2,4744.1,4877.9,5012.1,5292.1,5080.7,5216.6,5410.9,5591.0,5801.2,6156.6
 "20000","Kansas",4,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45.1,51.3,61.1,76.0,90.8,106.4,112.7,129.0,147.3,160.7,149.2,165.3,175.1,178.1,194.0,214.2,236.0,258.9,294.2,324.7,354.5,444.9,445.1,438.6,458.2,471.7,484.9,499.5,510.3,553.4,598.6,641.8,716.1,742.3,763.6,741.2,800.3,852.8,843.4,914.2,918.1,974.6,967.8,946.7,1026.7,1115.4,1065.7,1157.4,1147.0,1044.3,1064.5,1018.3,1121.3,1133.2,1197.6,1169.1,1118.4,1260.1,1368.1,1253.5,1413.5,1694.2,1674.2,1238.6,1640.0,1366.8,1187.8,1156.1,1275.0,1543.6,1585.2,1684.4,1394.9,1604.4
 "20000","Kansas",4,SAINC4,45,"..."," Equals: Net earnings by place of residence","Millions of dollars",800.1,710.3,588.0,382.4,372.4,436.7,565.2,580.5,657.7,577.3,564.6,618.6,823.5,1341.5,1714.4,1867.4,1773.5,1731.6,2073.1,2148.4,2112.5,2339.8,2664.5,3092.0,2950.9,3095.0,3062.7,3207.5,3360.7,3641.9,3628.8,3751.8,3905.6,4068.4,4146.6,4371.1,4654.5,5029.7,5231.8,5688.6,6269.0,6693.4,7211.0,8100.5,9218.4,9719.7,10380.6,11289.9,12275.8,13564.9,15600.6,16442.1,18066.4,18893.1,19604.3,21733.5,22777.6,24079.1,25573.9,26837.5,28232.6,30050.5,30829.3,33614.4,35231.2,36821.9,38062.8,40839.8,43411.0,46243.5,48453.3,50538.1,52344.7,53044.6,54810.5,56475.0,59502.4,64849.6,68987.2,74327.5,72217.9,74188.7,80545.4,85904.3,89508.3,89085.1,89975.5,89355.8,91784.5,95374.3,99090.6,100859.2,108643.7
 "20000","Kansas",4,SAINC4,46,"..."," Plus: Dividends, interest, and rent 7/","Millions of dollars",158.7,133.3,115.7,95.4,78.0,83.5,89.4,101.7,112.8,104.8,104.9,111.9,129.3,149.6,169.9,181.0,189.9,209.9,226.8,306.0,311.9,355.8,378.3,464.6,457.0,505.7,530.0,565.9,597.8,693.5,733.4,773.2,799.3,830.6,852.0,899.8,956.7,979.0,992.2,1055.4,1236.8,1396.0,1527.3,1678.3,1896.5,2218.5,2493.6,2672.8,2976.9,3345.0,3793.6,4666.0,5801.9,6864.7,7130.8,7862.1,8342.2,8539.7,8611.9,9184.4,9736.0,10118.7,10416.6,10602.9,10959.1,11557.7,12314.1,13079.9,13950.2,14975.4,14765.2,15916.2,15770.8,15111.6,15370.8,15820.5,17147.1,20117.8,22269.2,24972.5,21453.9,20861.4,23387.6,25689.4,24832.2,27412.7,27244.4,27293.4,28385.5,29953.4,30820.3,30283.5,30441.3
 "20000","Kansas",4,SAINC4,47,"..."," Plus: Personal current transfer receipts","Millions of dollars",23.8,22.7,37.9,25.1,20.2,17.4,19.7,40.5,22.4,23.7,27.6,29.3,30.3,30.8,29.3,35.4,64.1,117.2,113.5,100.3,105.7,142.7,119.5,128.0,139.8,154.6,175.6,190.8,226.1,258.0,280.0,302.1,334.5,345.0,365.9,378.8,412.8,443.7,531.7,616.3,689.0,803.3,915.9,984.6,1151.4,1323.8,1613.3,1783.5,1929.5,2104.4,2320.9,2761.1,3180.9,3569.0,3804.4,3922.0,4135.5,4339.8,4462.0,4681.8,5141.5,5581.9,6063.8,6722.9,7121.7,7356.7,7752.4,8014.5,8409.9,8544.2,8902.2,9650.8,10549.1,11209.0,11709.0,12040.5,12696.7,13642.8,14686.8,16552.5,18025.6,19189.7,19625.8,19354.5,19639.4,20381.0,21116.9,21884.6,22559.7,23628.0,25050.2,32319.4,35004.7
 "20000","Kansas",4,SAINC4,50,"..."," Wages and salaries","Millions of dollars",500.4,466.0,401.1,319.5,293.5,331.5,352.7,384.3,411.7,390.3,385.4,402.3,499.6,775.2,1076.7,1185.7,1117.9,974.2,1066.6,1227.8,1294.6,1379.1,1702.2,1931.1,2057.8,2075.7,2150.8,2261.2,2354.0,2380.6,2488.9,2546.5,2662.0,2806.0,2876.5,3049.3,3186.2,3490.7,3712.0,4073.0,4412.5,4665.8,4976.7,5441.1,6123.0,6834.6,7514.6,8426.1,9321.8,10575.5,12027.6,13283.9,14584.6,15152.3,15746.2,17136.8,17952.1,18861.4,19802.7,21035.6,22126.1,23494.1,24502.0,26170.7,27209.3,28754.2,30336.7,32161.7,34582.6,37317.8,39438.5,41766.9,43269.7,43875.2,44488.6,46702.1,48538.0,52083.6,55442.4,57623.4,55605.6,56089.7,58104.7,60616.5,61872.0,64457.7,66729.6,67253.4,68830.9,71580.5,74404.8,75798.3,80086.1
 "20000","Kansas",4,SAINC4,60,"..."," Supplements to wages and salaries","Millions of dollars",8.7,8.7,8.2,7.4,7.2,7.8,8.7,9.9,18.5,19.8,19.6,20.2,30.1,49.4,67.0,71.2,79.7,90.1,74.5,77.1,91.0,97.0,123.4,149.9,170.5,180.3,193.1,208.0,230.1,233.1,248.4,260.1,280.1,298.5,315.2,340.7,357.4,405.1,442.0,504.7,566.7,612.4,688.5,791.7,903.1,1038.1,1234.4,1403.2,1625.1,1860.9,2138.2,2383.9,2694.6,2896.7,3122.9,3406.5,3642.0,3924.2,4107.3,4412.8,4764.5,5213.2,5632.0,6302.7,6681.1,6917.3,7090.8,7224.5,7651.5,8125.9,8565.7,9056.7,9521.7,9799.1,10325.2,11057.8,11550.7,11695.2,12686.4,13659.7,13011.4,13852.8,14333.0,14171.3,15554.1,15863.8,16281.2,16091.0,16423.8,17190.2,17543.3,17510.9,18042.2
