GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",5113.9,4421.8,3772.0,2704.2,2608.5,3083.1,3520.0,4060.5,4434.3,3864.9,4268.3,4600.5,5759.0,7190.4,8740.5,9212.6,9414.6,9952.6,10873.5,12137.5,11610.5,12855.1,14837.9,15911.7,17450.0,17513.2,18913.7,20191.2,21231.9,21063.0,22540.2,23455.4,23909.9,25206.8,26265.4,28027.9,30301.8,33056.9,34629.9,38206.8,41801.0,44141.9,46980.4,50967.9,56552.4,61925.2,66162.2,72597.5,80397.2,88854.7,98136.0,107184.5,116652.4,122081.5,129132.5,142661.1,151425.6,158493.0,166090.3,178267.5,191708.3,202979.6,207676.9,221201.4,230366.4,243306.8,255101.1,267147.2,282809.0,299095.8,308329.3,324977.5,333912.2,338738.3,348858.5,362572.6,373789.4,392816.9,409745.8,424081.9,412219.0,425361.8,453595.4,471703.9,479088.7,498894.6,518826.8,529069.6,548272.7,569766.1,587177.3,627231.3,665374.4
 "39000","Ohio",3,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",4850.5,4260.9,3557.0,2612.2,2492.2,2943.2,3255.8,3859.4,4162.1,3656.8,4063.0,4422.5,5469.0,6753.6,8272.0,8807.4,8886.6,9402.7,10353.2,11429.0,11166.6,12419.4,14358.3,15393.6,16983.3,17008.8,18555.5,19838.1,20938.0,20682.0,22278.6,23123.5,23538.7,24873.0,25933.6,27725.1,29946.5,32563.6,34304.2,37798.0,41386.9,43710.7,46569.3,50466.1,55890.9,61133.8,65355.5,71819.5,79732.6,88237.2,97385.1,106619.9,116495.6,121820.4,129216.4,141803.9,150572.6,157824.5,165375.2,177504.7,190561.8,201805.4,207007.4,220053.4,229470.9,242182.2,254249.7,265932.5,281158.7,297856.4,307515.4,323796.9,332810.4,338183.2,348101.9,361198.4,372757.8,391922.3,408632.4,422855.4,410686.9,423820.9,450773.7,469837.3,476105.1,497019.6,518283.4,528557.7,547409.0,568380.0,586513.8,624944.4,661282.0
 "39000","Ohio",3,SAINC4,12,"..."," Farm income 2/","Millions of dollars",263.4,160.8,215.0,92.0,116.3,139.9,264.1,201.1,272.2,208.1,205.3,178.0,290.0,436.8,468.5,405.2,528.0,549.9,520.3,708.5,443.8,435.6,479.6,518.1,466.6,504.4,358.2,353.0,293.9,381.0,261.5,331.9,371.2,333.8,331.7,302.7,355.2,493.3,325.7,408.8,414.1,431.3,411.1,501.8,661.5,791.4,806.7,778.0,664.6,617.5,750.9,564.6,156.8,261.1,-83.9,857.3,853.0,668.5,715.1,762.8,1146.6,1174.3,669.5,1148.0,895.5,1124.6,851.4,1214.7,1650.3,1239.4,813.9,1180.7,1101.8,555.2,756.6,1374.2,1031.5,894.6,1113.4,1226.5,1532.1,1540.9,2821.7,1866.6,2983.6,1875.0,543.3,512.0,863.8,1386.2,663.5,2286.9,4092.4
 "39000","Ohio",3,SAINC4,20,"...","Population (persons) 3/","Number of persons",6626000,6662000,6694000,6717000,6740000,6751000,6787000,6801000,6809000,6837000,6886000,6929000,6958000,6970000,6866000,6928000,6915000,7516000,7705000,7876000,7973000,7980000,8061000,8275000,8591000,8873000,9017000,9207000,9410000,9599000,9671000,9734000,9854000,9929000,9986000,10080000,10201000,10330000,10414000,10516000,10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11541886,11557958,11573024,11611630,11648446,11674128,11701886,11737605,11762842,11788547,11790587,11780017
 "39000","Ohio",3,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",772,664,563,403,387,457,519,597,651,565,620,664,828,1032,1273,1330,1361,1324,1411,1541,1456,1611,1841,1923,2031,1974,2098,2193,2256,2194,2331,2410,2426,2539,2630,2781,2970,3200,3325,3633,3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9924,10813,11349,12026,13286,14106,14771,15436,16508,17703,18683,18973,20056,20752,21816,22771,23762,25078,26442,27200,28598,29323,29693,30509,31660,32607,34214,35629,36827,35755,36854,39245,40759,41259,42829,44442,45212,46711,48438,49809,53198,56483
 "39000","Ohio",3,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",4116.1,3489.0,2920.5,2067.8,2078.9,2528.6,2912.8,3343.2,3755.1,3261.3,3593.7,3889.8,4965.9,6277.2,7833.3,8289.3,8322.1,8549.7,9462.5,10551.7,10001.7,11068.6,13173.8,14159.7,15522.7,15335.4,16578.6,17772.7,18519.1,17802.6,19337.3,20017.9,20028.2,21234.3,22140.4,23761.2,25750.3,28553.8,29648.0,32649.0,35842.8,37170.0,39049.8,42547.2,47515.7,51227.6,53001.3,58820.1,65718.1,73130.4,80435.3,83894.8,89320.9,90318.4,95229.9,106678.4,113903.5,119629.4,126624.0,136896.1,145654.2,153275.6,156786.3,167858.3,175267.2,186265.2,193879.3,202348.5,214221.3,227490.7,238238.4,249957.8,255678.5,260036.4,268183.8,280097.0,285896.5,297114.2,305333.1,308930.5,296672.0,305340.6,322848.5,336544.3,348418.1,358349.3,370182.9,376400.2,390629.8,404145.2,415592.0,420701.2,450046.7
 "39000","Ohio",3,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",3.4,3.4,3.2,3.3,2.9,5.3,8.2,43.3,91.2,95.3,119.4,128.9,168.5,159.9,199.8,240.4,252.5,300.7,278.9,265.3,284.2,344.9,426.3,462.0,486.4,539.5,619.1,687.0,777.0,699.9,859.9,1002.8,984.2,1124.9,1236.3,1354.6,1408.6,1864.3,1958.4,2133.9,2359.7,2408.0,2603.3,2985.3,3863.6,4310.3,4336.3,4941.6,5553.9,6396.5,7321.6,7611.7,8708.2,8899.7,9612.5,10932.3,11869.8,12856.3,13614.4,15149.0,16208.7,17415.4,18308.2,19470.0,20591.6,22172.1,23352.8,24061.7,24789.7,25558.2,26717.3,27074.2,27709.5,27770.2,28879.5,30584.7,31413.4,32779.9,33588.3,34516.2,33450.1,33656.3,31791.5,32845.7,36901.4,38048.4,39397.1,40912.8,43308.6,44130.7,45843.7,47056.9,50498.8
 "39000","Ohio",3,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",3.0,3.0,3.0,2.9,2.7,2.9,2.8,3.1,25.9,22.6,25.5,28.6,36.2,45.6,62.9,77.1,79.7,77.0,92.5,97.5,95.8,132.5,161.3,176.1,182.6,221.5,251.9,278.0,317.1,283.4,336.3,400.0,394.2,422.5,478.1,504.4,535.2,773.3,875.4,979.7,1109.6,1138.9,1230.2,1373.5,1768.4,1980.2,2011.7,2222.2,2466.5,2802.5,3248.9,3436.4,3986.5,4098.7,4313.3,4809.9,5367.9,5831.1,6204.0,6907.2,7476.0,7988.1,8394.9,8852.3,9369.2,10169.2,10752.1,11143.1,11787.7,12453.4,13088.5,13553.5,13780.7,14108.5,14378.3,14941.8,15556.9,16352.7,16908.7,17301.0,16620.4,16879.1,14101.6,14629.5,19130.6,20059.1,20821.3,21474.3,22642.6,23667.4,24576.2,25425.7,27134.0
 "39000","Ohio",3,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",0.4,0.4,0.3,0.4,0.2,2.4,5.3,40.2,65.3,72.7,93.8,100.4,132.3,114.4,136.9,163.2,172.7,223.8,186.4,167.8,188.4,212.4,265.0,285.9,303.8,317.9,367.2,409.0,459.9,416.5,523.6,602.8,589.9,702.4,758.2,850.3,873.4,1091.0,1083.0,1154.3,1250.1,1269.1,1373.0,1611.8,2095.3,2330.1,2324.5,2719.3,3087.3,3594.0,4072.7,4175.4,4721.6,4800.9,5299.2,6122.4,6501.9,7025.2,7410.4,8241.7,8732.7,9427.4,9913.4,10617.7,11222.4,12002.9,12600.7,12918.6,13002.0,13104.8,13628.8,13520.7,13928.8,13661.7,14501.1,15642.9,15856.6,16427.2,16679.6,17215.2,16829.7,16777.3,17689.9,18216.2,17770.8,17989.2,18575.8,19438.4,20666.0,20463.4,21267.6,21631.1,23364.8
 "39000","Ohio",3,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-62.9,-66.8,-77.0,-97.0,-109.3,-127.2,-128.9,-143.2,-152.6,-156.4,-119.6,-134.1,-131.4,-121.7,-126.4,-129.0,-134.1,-147.0,-166.0,-160.4,-183.3,-199.5,-183.3,-133.8,-133.1,-158.4,-133.7,-93.3,-108.2,-113.8,-135.6,-171.5,-194.2,-482.6,-609.0,-711.2,-842.2,-918.6,-951.9,-994.6,-1041.9,-1105.1,-1093.1,-1114.8,-1230.0,-1327.4,-1450.4,-1490.9,-1546.2,-1643.5,-1819.3,-1788.6,-1748.6,-1736.7,-1758.0,-1770.9,-1716.2,-1731.4,-1885.4,-1974.1,-1964.7,-1836.9,-1795.2,-1922.5,-1888.3,-2315.7,-2555.0,-2591.8,-2690.1,-2459.9,-1995.1,-2354.5,-2489.9,-2573.9
