GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,SAINC4,10,"...","Personal income (millions of dollars)","Millions of dollars",1065.6,876.0,706.3,511.4,525.5,598.9,707.4,761.9,874.5,802.8,811.9,869.2,986.4,1423.4,1766.6,1983.3,2002.3,2046.2,2199.4,2390.6,2484.8,2593.9,2915.6,3192.0,3312.3,3322.5,3510.1,3732.4,3905.3,4208.2,4392.3,4611.8,4774.2,4985.2,5151.2,5519.0,5913.4,6343.0,6929.4,7589.4,8454.8,9325.6,10163.6,11153.4,12652.9,14079.6,15735.7,17348.7,19295.9,21896.0,25414.8,29278.8,34204.1,38175.8,39077.2,41927.0,43605.5,43881.5,43753.6,45620.3,48521.2,51121.3,52677.5,56033.9,58247.0,60818.0,63426.7,67223.0,71074.7,74933.7,77034.2,83519.2,88786.3,90797.9,95327.6,103161.6,113042.8,125269.2,129786.5,144283.1,133523.6,140140.3,150709.9,161128.4,169382.6,180469.0,175134.0,166547.7,174240.3,182574.3,191366.8,198552.1,211912.9
 "40000","Oklahoma",6,SAINC4,11,"..."," Nonfarm personal income 1/","Millions of dollars",879.6,789.7,627.6,468.7,446.9,524.9,568.0,690.9,721.9,690.5,700.9,731.4,824.4,1140.9,1493.1,1639.7,1722.4,1709.5,1803.8,2003.4,2117.5,2313.7,2584.0,2873.1,3048.4,3114.9,3322.3,3569.8,3722.6,3880.4,4130.5,4277.8,4474.3,4746.0,4938.2,5312.0,5636.9,6077.2,6654.9,7372.3,8180.8,8968.5,9830.5,10738.0,11921.7,13630.9,15335.9,17015.8,19118.1,21727.2,24785.9,29019.3,33879.1,37694.1,38868.5,41557.3,43229.8,43242.9,43196.9,44863.3,47728.2,50269.3,52064.1,55198.5,57390.6,60002.9,63152.0,66874.5,70423.4,74425.1,76206.8,82698.3,87981.5,89829.9,94383.1,101918.2,111759.5,124599.7,129142.7,143511.1,133482.2,139348.0,149382.2,159403.3,167632.1,177901.9,173262.9,165615.9,173220.8,181716.8,190329.1,197148.3,210451.1
 "40000","Oklahoma",6,SAINC4,12,"..."," Farm income 2/","Millions of dollars",186.0,86.3,78.7,42.7,78.7,74.0,139.4,71.0,152.6,112.4,111.0,137.8,162.0,282.6,273.5,343.5,279.9,336.8,395.5,387.2,367.3,280.2,331.6,318.9,263.9,207.6,187.8,162.6,182.7,327.8,261.8,334.0,299.9,239.2,213.0,207.0,276.5,265.8,274.5,217.2,274.0,357.1,333.1,415.4,731.2,448.7,399.9,332.9,177.8,168.8,628.9,259.4,325.0,481.7,208.7,369.7,375.7,638.6,556.8,757.1,793.0,852.0,613.4,835.4,856.4,815.1,274.7,348.5,651.3,508.6,827.5,820.8,804.8,968.0,944.5,1243.4,1283.2,669.5,643.8,772.0,41.4,792.4,1327.8,1725.1,1750.5,2567.0,1871.1,931.8,1019.5,857.5,1037.7,1403.8,1461.8
 "40000","Oklahoma",6,SAINC4,20,"...","Population (persons) 3/","Number of persons",2372000,2401000,2403000,2394000,2392000,2391000,2386000,2365000,2334000,2324000,2333000,2325000,2262000,2228000,2203000,2056000,2025000,2131000,2133000,2089000,2105000,2229000,2210000,2219000,2182000,2209000,2250000,2273000,2282000,2267000,2289000,2336000,2380000,2427000,2439000,2446000,2440000,2454000,2489000,2503000,2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759581,3786640,3815353,3848112,3871583,3901051,3916821,3920455,3928494,3943796,3962031,3986639
 "40000","Oklahoma",6,SAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",449,365,294,214,220,250,296,322,375,345,348,374,436,639,802,965,989,960,1031,1144,1180,1164,1319,1438,1518,1504,1560,1642,1711,1856,1919,1974,2006,2054,2112,2256,2424,2585,2784,3032,3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,22006,22412,24178,25608,26023,27198,29264,31856,34854,35711,39325,35917,37276,39800,42232,44017,46614,44894,42521,44444,46474,48524,50114,53156
 "40000","Oklahoma",6,SAINC4,35,"..."," Earnings by place of work","Millions of dollars",866.0,698.4,551.9,403.3,424.9,489.7,596.5,597.4,725.7,660.4,663.0,721.1,838.7,1251.2,1591.0,1794.7,1773.9,1695.5,1810.4,2001.0,2060.0,2114.5,2466.1,2702.2,2754.9,2742.9,2904.0,3069.8,3198.0,3416.4,3534.0,3693.6,3793.3,3963.1,4103.7,4388.1,4692.6,5079.3,5550.2,6075.6,6675.8,7255.7,7819.0,8663.6,9875.4,10830.8,11889.0,13147.6,14772.8,16912.8,19762.0,22413.3,25951.7,28508.6,28356.8,30350.7,31208.0,31360.2,31245.3,32714.6,34579.5,36596.6,37738.4,40174.8,41982.3,43564.8,44703.9,47376.7,50613.0,53397.0,54842.7,59043.8,62898.7,64569.7,67850.6,74048.5,81176.5,89605.8,90441.7,100701.1,91220.1,95585.7,102460.2,110270.8,119829.8,127657.1,122246.8,113349.4,118884.1,124676.1,130560.4,129352.0,137276.2
 "40000","Oklahoma",6,SAINC4,36,"..."," Less: Contributions for government social insurance 5/","Millions of dollars",0.9,0.9,0.8,0.8,0.6,0.7,0.7,0.6,13.0,14.2,13.3,14.6,16.5,21.8,34.5,41.6,55.1,62.4,50.3,42.8,47.1,46.7,55.5,63.6,67.3,77.6,86.3,94.9,107.8,113.2,130.0,150.4,159.0,178.1,208.5,207.6,215.7,286.3,336.6,384.9,401.4,430.6,483.6,557.8,720.2,845.3,927.5,1054.2,1197.7,1418.0,1688.1,1970.8,2450.1,2747.7,2738.9,2968.5,3108.7,3161.4,3181.1,3498.2,3730.7,4066.2,4324.4,4549.8,4798.0,5058.1,5275.5,5473.8,5733.7,6032.9,6218.0,6599.7,7047.3,7256.4,7472.7,7997.9,8476.4,9115.7,9592.9,10043.8,9852.4,10092.1,9729.6,10320.3,11897.3,12224.0,12303.5,12059.4,12544.0,13271.2,13772.6,14070.9,14762.2
 "40000","Oklahoma",6,SAINC4,37,"...","  Employee and self-employed contributions for government social insurance","Millions of dollars",0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,3.7,3.3,3.4,3.8,4.2,7.4,17.1,21.6,21.6,15.0,15.7,15.1,14.9,20.6,24.9,28.4,30.4,35.6,39.6,44.4,51.2,56.2,62.8,72.1,76.8,81.6,96.6,99.4,104.6,143.2,176.4,199.6,213.2,228.2,254.8,288.1,374.7,439.7,480.1,527.3,600.8,707.5,845.2,993.5,1244.7,1390.9,1371.7,1460.6,1574.0,1605.3,1619.7,1788.8,1933.1,2086.6,2223.4,2336.8,2430.0,2568.8,2680.0,2799.7,2972.7,3158.4,3293.3,3479.5,3683.3,3762.5,3825.1,4040.5,4324.6,4735.8,5042.8,5335.9,5236.3,5357.4,4460.1,4652.2,6085.1,6395.1,6514.7,6571.7,6846.8,7283.0,7578.6,7776.3,8128.2
 "40000","Oklahoma",6,SAINC4,38,"...","  Employer contributions for government social insurance","Millions of dollars",0.2,0.1,0.1,0.2,0.1,0.1,0.1,(L),9.3,10.9,10.0,10.8,12.3,14.4,17.4,20.0,33.4,47.4,34.6,27.6,32.2,26.1,30.6,35.3,37.0,42.0,46.7,50.6,56.6,57.0,67.2,78.3,82.2,96.5,111.8,108.2,111.1,143.1,160.1,185.2,188.3,202.4,228.8,269.7,345.5,405.6,447.5,527.0,596.9,710.5,843.0,977.3,1205.4,1356.8,1367.3,1508.0,1534.6,1556.1,1561.4,1709.4,1797.6,1979.6,2101.0,2213.0,2367.9,2489.2,2595.5,2674.1,2760.9,2874.5,2924.7,3120.2,3364.0,3493.8,3647.6,3957.4,4151.8,4379.9,4550.1,4707.9,4616.1,4734.7,5269.5,5668.1,5812.2,5828.9,5788.7,5487.8,5697.2,5988.2,6194.0,6294.6,6634.0
 "40000","Oklahoma",6,SAINC4,42,"..."," Plus: Adjustment for residence 6/","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(L),0.2,0.4,0.9,1.3,1.7,1.9,2.3,2.8,3.5,4.0,5.5,6.8,8.5,10.6,12.3,14.4,16.9,21.0,25.0,30.6,64.0,65.2,64.1,73.1,82.8,106.4,141.9,176.9,152.4,148.8,161.9,169.8,197.6,203.7,240.5,288.7,330.6,381.6,428.5,477.8,504.7,568.4,597.2,618.4,656.7,713.9,746.6,779.5,858.7,892.8,938.9,1018.8,1014.0,986.6,967.7,950.0,912.3,884.1,848.2,793.0,681.7,614.7,563.8,554.8,474.5,464.9,437.4,458.4,442.8,482.9,466.2,441.9,525.1
