GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "40000","Oklahoma",6,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2390623,2484777,2593908,2915606,3192022,3312327,3322488,3510102,3732376,3905271,4208245,4392319,4611778,4774220,4985214,5151181,5518959,5913356,6342996,6929429,7589433,8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25414785,29278754,34204111,38175757,39077210,41927021,43605482,43881454,43753615,45620330,48521160,51121318,52677463,56033875,58247034,60818012,63426687,67222981,71074659,74933702,77034229,83519163,88786321,90797895,95327581,103161585,113042769,125269188,129786517,144283135,133523584,140140348,150709925,161128385,169382612,180468965,175133987,166547739,174240274,182574301,191366815,198552111
 "40000","Oklahoma",6,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",193555,156693,188952,260558,313201,317396,296724,304621,345972,383130,375164,407864,432423,464453,488587,499258,490574,523856,593903,658635,767430,967358,967277,944402,1177484,1237878,1576298,1554773,1811685,2120090,2604258,3087826,3740128,4814014,5609650,4627686,4622023,4777234,3941929,4457792,4649651,5192099,6034772,5764448,5901600,6106701,6481274,6795942,7491038,8371735,8944381,9276512,10018057,10596647,9069227,8663094,9061204,10761933,12578247,13645904,14619187,10605342,11077514,13744518,14468337,15628868,16526535,16643434,15646489,16074648,15875878,16832046,16520943
 "40000","Oklahoma",6,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",2197068,2328084,2404956,2655048,2878821,2994931,3025764,3205481,3386404,3522141,3833081,3984455,4179355,4309767,4496627,4651923,5028385,5389500,5749093,6270794,6822003,7487466,8358298,9219209,9975910,11415053,12503281,14180971,15536999,17175851,19291780,22326959,25538626,29390097,32566107,34449524,37304998,38828248,39939525,39295823,40970679,43329061,45086546,46913015,50132275,52140333,54336738,56630745,59731943,62702924,65989321,67757717,73501106,78189674,81728668,86664487,94100381,102280836,112690941,116140613,129663948,122918242,129062834,136965407,146660048,153753744,163942430,158490553,150901250,158165626,166698423,174534769,182031168
 "40000","Oklahoma",6,SAINC50,20,"...","Population (persons) 1/","Number of persons",2089000,2105000,2229000,2210000,2219000,2182000,2209000,2250000,2273000,2282000,2267000,2289000,2336000,2380000,2427000,2439000,2446000,2440000,2454000,2489000,2503000,2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759581,3786640,3815353,3848112,3871583,3901051,3916821,3920455,3928494,3943796,3962031
 "40000","Oklahoma",6,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1144,1180,1164,1319,1438,1518,1504,1560,1642,1711,1856,1919,1974,2006,2054,2112,2256,2424,2585,2784,3032,3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,22006,22412,24178,25608,26023,27198,29264,31856,34854,35711,39325,35917,37276,39800,42232,44017,46614,44894,42521,44444,46474,48524,50114
 "40000","Oklahoma",6,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1052,1106,1079,1201,1297,1373,1370,1425,1490,1543,1691,1741,1789,1811,1853,1907,2056,2209,2343,2519,2726,2954,3257,3522,3754,4237,4576,5116,5503,5993,6623,7517,8399,9492,10157,10470,11354,11869,12279,12241,12936,13754,14319,14774,15567,16032,16561,17118,17883,18590,19379,19713,21278,22552,23424,24727,26693,28823,31355,31956,35341,33064,34329,36171,38439,39956,42345,40628,38526,40344,42433,44256,45944
 "40000","Oklahoma",6,SAINC50,60,"...","Personal current taxes","Thousands of dollars",193555,156693,188952,260558,313201,317396,296724,304621,345972,383130,375164,407864,432423,464453,488587,499258,490574,523856,593903,658635,767430,967358,967277,944402,1177484,1237878,1576298,1554773,1811685,2120090,2604258,3087826,3740128,4814014,5609650,4627686,4622023,4777234,3941929,4457792,4649651,5192099,6034772,5764448,5901600,6106701,6481274,6795942,7491038,8371735,8944381,9276512,10018057,10596647,9069227,8663094,9061204,10761933,12578247,13645904,14619187,10605342,11077514,13744518,14468337,15628868,16526535,16643434,15646489,16074648,15875878,16832046,16520943
 "40000","Oklahoma",6,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",179204,140414,169815,237370,288333,291420,268837,272985,310705,345040,335201,361598,384658,410856,422266,448616,431766,457744,513065,578924,669994,858928,851884,814247,999054,1058624,1364641,1282463,1514679,1791808,2199560,2606018,3195783,4111663,4777793,3776922,3741351,3862816,3035544,3546335,3504200,3982393,4657811,4240114,4259074,4440196,4737569,4873993,5446141,6108347,6490475,6641187,7321007,7857883,6444991,6073575,6279205,7754753,9379321,10495146,11363207,7864279,8369502,10689674,11207120,12134549,12870065,12919291,12021586,12223600,11850392,12517909,12008640
 "40000","Oklahoma",6,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",179204,140414,169815,237370,288333,291420,268837,272985,310705,345040,335201,361598,384658,410856,422266,448616,431766,457744,513065,578924,669994,858928,851884,814247,999054,1058624,1364641,1282463,1514679,1791808,2199560,2606018,3195783,4111663,4777793,3776922,3741351,3862816,3035544,3546335,3504200,3982393,4657811,4240114,4259074,4440196,4737569,4873993,5446141,6108347,6490475,6641187,7321007,7857883,6444991,6073575,6279205,7754753,9379321,10495146,11363207,7864279,8369502,10689674,11207120,12134549,12870065,12919291,12021586,12223600,11850392,12517909,12008640
 "40000","Oklahoma",6,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",194314,163616,185540,254683,308335,316420,296125,303199,340350,377138,372644,400713,425041,454467,470083,498430,484648,502169,564812,646659,751705,945265,972061,948158,1130263,1266022,1587223,1632560,1825658,2120998,2590834,3003410,3750534,4767849,5612592,4844437,4734073,4902495,4073953,4512961,4378259,4818190,5436434,4969953,5119231,5243244,5515131,5754786,6384812,7114929,7562587,7981309,8742571,9378550,8258808,7918425,8152684,9591143,11333006,12571592,14305117,10706520,11130048,13130464,13741477,14691067,15474849,15548607,14850978,15074744,14803175,15314724,14797291
 "40000","Oklahoma",6,SAINC50,82,"...","   Less: Refunds","Thousands of dollars",15110,23202,15725,17313,20002,25000,27288,30214,29645,32098,37443,39115,40383,43611,47817,49814,52882,44425,51747,67735,81711,86337,120177,133911,131209,207398,222582,350097,310979,329190,391274,397392,554751,656186,834799,1067515,992722,1039679,1038409,966626,874059,835797,778623,729839,860157,803048,777562,880793,938671,1006582,1072112,1340122,1421564,1520667,1813817,1844850,1873479,1836390,1953685,2076446,2941910,2842241,2760546,2440790,2534357,2556518,2604784,2629316,2829392,2851144,2952783,2796815,2788651
 "40000","Oklahoma",6,SAINC50,120,"..."," State governments","Thousands of dollars",13289,15101,17871,21843,23431,24442,26260,29866,33536,36343,38219,43298,44576,50189,64031,45148,50260,54437,66082,61286,74645,82546,85936,101661,151138,155455,186569,244532,269989,302958,375213,450616,511267,672099,783294,797069,833761,874527,843130,852412,1090911,1153187,1316555,1459991,1570865,1597798,1670494,1850263,1968933,2182772,2367608,2530322,2622008,2690664,2577941,2549040,2734397,2956200,3147852,3089105,3203479,2701762,2666243,3012400,3215673,3448819,3587849,3667492,3566499,3790562,3960099,4245029,4441073
