GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "42000","Pennsylvania",2,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",14779816,14575474,16307280,17977785,18876124,20291842,19846019,21033285,22725571,23920369,24046816,25239849,26118680,26685455,27845424,28908305,30915245,33158485,35757196,38299233,41637881,45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108706050,119088365,131482121,140474119,147180811,158975274,168415810,177108098,187611091,203157551,220029706,232898680,242566278,256051946,265789353,275144867,287676365,302375613,317520134,334742455,349385320,373971605,389069835,396229237,410471306,434175861,453298198,476775101,506789684,526290259,513386283,537282210,564695398,587665984,593682098,619079371,643988051,661160078,679620194,716336524,737160920,788725185
 "42000","Pennsylvania",2,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",1390950,1187251,1342058,1944529,2293810,2399947,2046471,2244506,2580416,2724732,2572000,2758938,2909502,2820235,3092049,3249255,3134533,3454308,3957973,4208512,4869313,5852523,5969494,5820664,7389200,7772998,8855757,8616707,9707916,11094194,12563469,14402460,15636962,18044648,18202232,17480422,18829611,20123956,20858872,23113526,24417055,26987691,27950200,27840133,29477080,30414696,32189673,34553191,37890234,41520853,45016602,47194028,50642488,51207968,44645725,42773326,43911823,49885988,55011859,61366460,62520591,49805932,53190389,61146123,62050232,67563632,71185558,77033593,77760400,78899769,78719154,83487238,82184111
 "42000","Pennsylvania",2,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",13388866,13388223,14965222,16033256,16582314,17891895,17799548,18788779,20145155,21195637,21474816,22480911,23209178,23865220,24753375,25659050,27780712,29704177,31799223,34090721,36768568,39493583,42874217,46014797,49190589,54259950,59277407,65856024,71575300,78079897,85708530,94303590,103451403,113437473,122271887,129700389,140145663,148291854,156249226,164497565,178740496,193042015,204948480,214726145,226574866,235374657,242955194,253123174,264485379,275999281,289725853,302191292,323329117,337861867,351583512,367697980,390264038,403412210,421763242,445423224,463769668,463580351,484091821,503549275,525615752,526118466,547893813,566954458,583399678,600720425,637617370,653673682,706541074
 "42000","Pennsylvania",2,SAINC50,20,"...","Population (persons) 1/","Number of persons",10287000,10390000,10507000,10461000,10503000,10662000,10817000,10939000,10972000,10954000,11058000,11234000,11329000,11392000,11355000,11424000,11519000,11620000,11664000,11681000,11741000,11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12989625
 "42000","Pennsylvania",2,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1437,1403,1552,1719,1797,1903,1835,1923,2071,2184,2175,2247,2305,2342,2452,2530,2684,2854,3066,3279,3546,3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42251,44211,45855,46213,48063,49927,51181,52499,55184,56742,60720
 "42000","Pennsylvania",2,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1302,1289,1424,1533,1579,1678,1646,1718,1836,1935,1942,2001,2049,2095,2180,2246,2412,2556,2726,2918,3132,3364,3630,3872,4132,4565,4996,5535,6021,6571,7224,7942,8717,9566,10323,10957,11861,12598,13261,13928,15089,16269,17218,17920,18804,19421,19970,20751,21643,22571,23659,24641,26321,27471,28512,29714,31446,32403,33712,35453,36771,36598,38068,39424,41014,40953,42537,43954,45161,46404,49120,50316,54393
 "42000","Pennsylvania",2,SAINC50,60,"...","Personal current taxes","Thousands of dollars",1390950,1187251,1342058,1944529,2293810,2399947,2046471,2244506,2580416,2724732,2572000,2758938,2909502,2820235,3092049,3249255,3134533,3454308,3957973,4208512,4869313,5852523,5969494,5820664,7389200,7772998,8855757,8616707,9707916,11094194,12563469,14402460,15636962,18044648,18202232,17480422,18829611,20123956,20858872,23113526,24417055,26987691,27950200,27840133,29477080,30414696,32189673,34553191,37890234,41520853,45016602,47194028,50642488,51207968,44645725,42773326,43911823,49885988,55011859,61366460,62520591,49805932,53190389,61146123,62050232,67563632,71185558,77033593,77760400,78899769,78719154,83487238,82184111
 "42000","Pennsylvania",2,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",1335813,1127697,1271049,1865771,2200908,2300198,1934586,2121470,2450811,2577771,2414719,2576348,2704428,2624202,2847519,3003651,2848083,3165091,3589437,3857191,4510591,5434440,5428070,4933934,5752798,5962138,7103491,6876936,7788728,8727187,9935663,11554357,12643432,14643583,14608190,13584885,14550002,15767917,16300672,18525639,19188841,21497058,22184606,21672623,22178086,23185585,24673620,26587427,29667828,32712849,35642680,37209338,40207891,40414383,34337941,32213777,32159840,37010072,41370898,46375370,47336384,35756577,38817744,46206897,46610944,51180499,54312703,59500931,60047088,60435755,59593482,63069628,61091484
 "42000","Pennsylvania",2,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",1335813,1127697,1271049,1865771,2200908,2300198,1934586,2121470,2450811,2577771,2414719,2576348,2704428,2624202,2847519,3003651,2848083,3165091,3589437,3857191,4510591,5434440,5428070,4933934,5752798,5962138,7103491,6876936,7788728,8727187,9935663,11554357,12643432,14643583,14608190,13584885,14550002,15767917,16300672,18525639,19188841,21497058,22184606,21672623,22178086,23185585,24673620,26587427,29667828,32712849,35642680,37209338,40207891,40414383,34337941,32213777,32159840,37010072,41370898,46375370,47336384,35756577,38817744,46206897,46610944,51180499,54312703,59500931,60047088,60435755,59593482,63069628,61091484
 "42000","Pennsylvania",2,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",1467259,1301266,1394849,1994544,2356253,2489837,2145974,2334406,2675467,2829380,2693263,2854963,2989530,2930289,3156010,3337933,3201546,3457755,3942773,4324488,5048890,6005781,6174968,5767635,6536106,7140772,8338933,8687612,9175934,10187938,11525815,13195841,14748753,16925503,17179369,16304562,17512892,18742286,19509598,21764951,22546697,24827599,25457582,25264807,25788799,26673303,28215515,30527228,33712914,36779532,39958533,42640003,46025899,46739216,41970778,39710242,40118984,44628757,49464456,54795602,58808009,46596340,48957881,55667328,56695599,60430379,63565668,68804718,70028604,70813523,70273409,72791949,70785427
