GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "48000","Texas",6,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",9312540,10054437,10827620,12357804,13356111,13679208,14086208,15169944,16223511,17355142,17896029,18929361,19437778,20545994,21582264,22539080,24171273,26016697,28468538,31101031,34653869,38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124677522,143140318,168292411,185542644,198083650,216833934,233561973,238934147,243559445,258240426,275917143,297726251,311370378,336646045,356399215,376613598,402805264,433164880,472178352,515146583,545418168,594465991,631990751,640381588,665861136,698584438,757968624,832292050,883810360,971051195,924343949,985165114,1077403282,1152725226,1184840515,1274636863,1300510099,1296480756,1387824297,1483121609,1544020717,1618635133
 "48000","Texas",6,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",847386,759856,891733,1206263,1388995,1367630,1356947,1403506,1546210,1713349,1697743,1814814,1934605,2048064,2201957,2320558,2150919,2371992,2825439,3150779,3876137,4636677,4630324,4560116,5547470,6191532,7530240,7737315,9277950,11070081,12651253,15930506,18936725,23773568,24300035,22596536,23765741,25496434,23759023,25045432,25307592,28491022,30851212,30908729,31967447,34185660,36490415,39768943,45344855,52379331,59050475,62117959,70347852,71423039,58758624,55267870,56104437,69323692,81055632,88606170,103413680,70053451,77755750,97349978,102977050,115432840,127184645,130983014,121384007,138051334,131588600,138491952,135227730
 "48000","Texas",6,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",8465154,9294581,9935887,11151541,11967116,12311578,12729261,13766438,14677301,15641793,16198286,17114547,17503173,18497930,19380307,20218522,22020354,23644705,25643099,27950252,30777732,33938275,37866677,41556109,45625960,51921482,58002034,67009375,74949632,82908527,95642022,108747016,124203593,144518843,161242609,175487114,193068193,208065539,215175124,218514013,232932834,247426121,266875039,280461649,304678598,322213555,340123183,363036321,387820025,419799021,456096108,483300209,524118139,560567712,581622964,610593266,642480001,688644932,751236418,795204190,867637515,854290498,907409364,980053304,1049748176,1069407675,1147452218,1169527085,1175096749,1249772963,1351533009,1405528765,1483407403
 "48000","Texas",6,SAINC50,20,"...","Population (persons) 1/","Number of persons",7626000,7623000,7776000,8111000,8314000,8336000,8382000,8660000,8830000,9070000,9252000,9405000,9624000,9820000,10053000,10159000,10270000,10378000,10492000,10599000,10819000,11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25238863,25630063,26055816,26438164,26907878,27399070,27830020,28192251,28510878,28857754,29217653
 "48000","Texas",6,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1221,1319,1392,1524,1606,1641,1681,1752,1837,1913,1934,2013,2020,2092,2147,2219,2354,2507,2713,2934,3203,3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25556,26530,28383,29644,29524,30224,31195,33276,35630,37085,39946,37269,39034,42037,44241,44816,47370,47465,46586,49227,52019,53505,55399
 "48000","Texas",6,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1110,1219,1278,1375,1439,1477,1519,1590,1662,1725,1751,1820,1819,1884,1928,1990,2144,2278,2444,2637,2845,3073,3370,3611,3880,4320,4728,5332,5809,6285,7086,7831,8662,9800,10517,11141,12061,12786,12993,13146,13976,14722,15646,16120,17156,17741,18322,19149,20052,21266,22627,23509,25024,26294,26815,27715,28690,30233,32160,33367,35692,34445,35953,38238,40288,40449,42644,42685,42224,44330,47404,48705,50771
 "48000","Texas",6,SAINC50,60,"...","Personal current taxes","Thousands of dollars",847386,759856,891733,1206263,1388995,1367630,1356947,1403506,1546210,1713349,1697743,1814814,1934605,2048064,2201957,2320558,2150919,2371992,2825439,3150779,3876137,4636677,4630324,4560116,5547470,6191532,7530240,7737315,9277950,11070081,12651253,15930506,18936725,23773568,24300035,22596536,23765741,25496434,23759023,25045432,25307592,28491022,30851212,30908729,31967447,34185660,36490415,39768943,45344855,52379331,59050475,62117959,70347852,71423039,58758624,55267870,56104437,69323692,81055632,88606170,103413680,70053451,77755750,97349978,102977050,115432840,127184645,130983014,121384007,138051334,131588600,138491952,135227730
 "48000","Texas",6,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",811328,719834,847119,1156150,1333934,1308581,1294156,1332320,1471504,1633591,1610634,1699257,1811026,1915567,2076238,2189968,2021635,2239777,2697438,3025380,3732740,4479018,4464125,4392735,5371383,5989308,7314043,7510320,9028472,10809287,12368450,15653644,18634772,23445275,23973237,22238670,23322645,24925918,23104678,24336808,24593839,27741677,30075149,30109922,31136649,33383100,35616964,38816936,44391459,51385215,58027909,61023028,69200346,70262017,57512395,53957730,54616133,67750291,79379722,86821983,101698095,68291792,75925918,95419308,100776394,113153998,124844248,128465541,118749119,135375851,128811793,135727816,132485810
 "48000","Texas",6,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",811328,719834,847119,1156150,1333934,1308581,1294156,1332320,1471504,1633591,1610634,1699257,1811026,1915567,2076238,2189968,2021635,2239777,2697438,3025380,3732740,4479018,4464125,4392735,5371383,5989308,7314043,7510320,9028472,10809287,12368450,15653644,18634772,23445275,23973237,22238670,23322645,24925918,23104678,24336808,24593839,27741677,30075149,30109922,31136649,33383100,35616964,38816936,44391459,51385215,58027909,61023028,69200346,70262017,57512395,53957730,54616133,67750291,79379722,86821983,101698095,68291792,75925918,95419308,100776394,113153998,124844248,128465541,118749119,135375851,128811793,135727816,132485810
 "48000","Texas",6,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",882080,826378,927212,1243061,1432002,1425313,1416530,1474408,1614511,1786146,1787260,1885099,1998289,2116776,2292814,2423332,2265821,2434831,2928735,3345258,4112676,4898695,5016356,5006351,5986787,6966369,8404432,9150488,10604952,12542604,14321629,17827661,21501257,26820405,28210712,27116886,28490067,30274687,28843971,30085290,30051040,33111481,35002357,35436751,36583213,38568842,40907578,44951620,50904431,58363226,65460400,70321749,79139276,81253757,71028508,67626799,69009271,82169614,95239955,103468975,124890126,91352872,97702177,115361749,122206042,134529000,146819018,150852324,143097340,159421491,155172076,159928464,156615817
