GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "55000","Wisconsin",3,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",4759631,4716779,5209006,6016935,6293843,6485623,6443598,6955693,7511678,7876930,8026604,8702716,8994258,9282390,9809653,10135245,10909438,11798392,12888422,13602249,14896301,16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797607,47281994,51613356,54462321,57196715,62913160,66276653,69916780,73793678,78456347,85533880,90431226,94002441,101407734,106713903,113394413,119327068,126196708,133915177,143202039,148959188,158832306,166751573,171113439,176142717,184301578,191047148,202681226,212179238,220311550,216466285,222982662,235433754,246242279,247847355,258347784,269703881,274374657,284474755,297730128,308224378,324251976
 "55000","Wisconsin",3,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",412861,375033,417225,613568,720409,742724,634300,735429,825549,877974,855572,956335,1056981,1020953,1121324,1196188,1179052,1314157,1544523,1730946,1902074,2335864,2295483,2241102,2653860,2925804,3334672,3385985,3888872,4447199,5244993,5792939,6229548,7071309,7013350,6812227,7323511,7701503,8118246,8960207,9440517,10432138,11163819,11436588,12247087,13061139,14137857,15124893,16713930,18405590,20173641,20851960,21880780,22168737,19512255,18762902,19057381,21066652,23420569,24777417,25817758,20705737,21413078,24873541,25664485,28063712,28628714,31369872,32607113,32432485,32647629,35051567,35085625
 "55000","Wisconsin",3,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",4346770,4341746,4791781,5403367,5573434,5742899,5809298,6220264,6686129,6998956,7171032,7746381,7937277,8261437,8688329,8939057,9730386,10484235,11343899,11871303,12994227,14088739,15353270,16718142,18077708,20232023,22101802,24485983,26720257,29763190,32964869,37004668,41052446,44542047,47448971,50384488,55589649,58575150,61798534,64833471,69015830,75101742,79267407,82565853,89160647,93652764,99256556,104202175,109482778,115509587,123028398,128107228,136951526,144582836,151601184,157379815,165244197,169980496,179260657,187401821,194493792,195760548,201569584,210560213,220577794,219783643,229719070,238334009,241767544,252042270,265082499,273172811,289166351
 "55000","Wisconsin",3,SAINC50,20,"...","Population (persons) 1/","Number of persons",3314000,3391000,3438000,3439000,3469000,3506000,3608000,3679000,3742000,3791000,3843000,3891000,3962000,4009000,4049000,4112000,4165000,4232000,4274000,4303000,4345000,4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5892323
 "55000","Wisconsin",3,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1436,1391,1515,1750,1814,1850,1786,1891,2007,2078,2089,2237,2270,2315,2423,2465,2619,2788,3016,3161,3428,3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,27031,27933,29556,30841,31425,32148,33424,34447,36338,37816,39055,38182,39175,41209,42944,43050,44709,46548,47205,48741,50818,52417,55030
 "55000","Wisconsin",3,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1312,1280,1394,1571,1607,1638,1610,1691,1787,1846,1866,1991,2003,2061,2146,2174,2336,2477,2654,2759,2991,3218,3469,3748,4019,4478,4870,5358,5828,6452,7117,7931,8712,9424,10034,10671,11739,12337,12995,13569,14312,15464,16162,16632,17742,18418,19334,20097,20934,21934,23223,24023,25484,26741,27841,28723,29968,30648,32139,33400,34479,34530,35413,36855,38468,38175,39755,41134,41595,43184,45245,46456,49075
 "55000","Wisconsin",3,SAINC50,60,"...","Personal current taxes","Thousands of dollars",412861,375033,417225,613568,720409,742724,634300,735429,825549,877974,855572,956335,1056981,1020953,1121324,1196188,1179052,1314157,1544523,1730946,1902074,2335864,2295483,2241102,2653860,2925804,3334672,3385985,3888872,4447199,5244993,5792939,6229548,7071309,7013350,6812227,7323511,7701503,8118246,8960207,9440517,10432138,11163819,11436588,12247087,13061139,14137857,15124893,16713930,18405590,20173641,20851960,21880780,22168737,19512255,18762902,19057381,21066652,23420569,24777417,25817758,20705737,21413078,24873541,25664485,28063712,28628714,31369872,32607113,32432485,32647629,35051567,35085625
 "55000","Wisconsin",3,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",365095,319276,354726,541143,642722,657778,543469,630910,700643,740740,713429,796654,884657,846256,917995,965138,891628,993702,1157564,1276203,1465533,1783618,1730647,1644374,1962162,2084041,2416665,2364507,2779612,3144934,3735616,4317196,4610143,5259705,5144714,4832769,4994663,5477280,5687711,6492722,6906402,7622808,8201447,8200722,8693424,9261379,10168140,10826436,12137231,13426548,14728920,15227756,16311786,16652773,14310699,13397016,13357679,15080637,17039340,18110943,18550370,14038105,15034741,17904596,18465694,20560673,21344857,23563485,24533288,24105277,23954954,25343203,24793147
 "55000","Wisconsin",3,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",365095,319276,354726,541143,642722,657778,543469,630910,700643,740740,713429,796654,884657,846256,917995,965138,891628,993702,1157564,1276203,1465533,1783618,1730647,1644374,1962162,2084041,2416665,2364507,2779612,3144934,3735616,4317196,4610143,5259705,5144714,4832769,4994663,5477280,5687711,6492722,6906402,7622808,8201447,8200722,8693424,9261379,10168140,10826436,12137231,13426548,14728920,15227756,16311786,16652773,14310699,13397016,13357679,15080637,17039340,18110943,18550370,14038105,15034741,17904596,18465694,20560673,21344857,23563485,24533288,24105277,23954954,25343203,24793147
 "55000","Wisconsin",3,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",401680,367024,389872,577475,687957,713395,604278,691247,767460,813089,793704,879083,972688,945881,1017297,1072140,1004194,1084577,1267542,1425071,1641165,1967114,1972330,1907146,2217656,2478400,2839300,2971806,3242803,3650673,4302895,4952657,5406802,6166219,6129749,5846190,6017424,6829896,6972659,7625346,7991994,8581448,9320652,9424251,9939056,10437325,11424676,12265984,13635348,14986703,16396986,17402618,18615023,19195946,17404404,16405170,16490337,18097301,20279505,21486176,23148469,18481056,19127916,21579022,22204179,24235928,25002001,27197097,28458147,28227814,28218046,29260151,28698662
