GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "56000","Wyoming",7,SAINC50,10,"...","Personal income (thousands of dollars)","Thousands of dollars",439771,471336,519601,588624,582012,581533,567052,615869,660019,701350,711112,752484,788538,829274,858977,878880,906298,935631,958333,1025405,1093646,1218567,1347928,1497541,1684506,1968637,2302703,2607391,2890363,3375638,4033706,4716087,5506325,6299803,6616850,6568094,6857149,7160432,7130593,6864334,7002612,7642563,8233322,8642355,9130739,9659908,10102484,10585368,11077737,11884975,12640312,13532735,14634575,15505877,15927590,16959101,18360822,20250025,23254620,24752846,27163196,24949194,26328777,28786638,31199618,31240113,33549324,33761753,31908537,32918472,34690854,35424500,36019753
 "56000","Wyoming",7,SAINC50,15,"..."," Less: Personal current taxes","Thousands of dollars",37031,32270,35075,54304,59272,58420,51194,55591,66440,67941,65811,73279,80841,80198,86648,97116,77523,81196,88972,101040,112027,137671,146196,153070,155685,206318,278145,279797,333559,390466,477281,624434,712980,848218,803966,706287,691568,723492,650337,657323,678400,787219,844560,860288,897325,974542,1029570,1070878,1334153,1476870,1590792,1724183,1958056,1960419,1616267,1535498,1617365,2081302,2769028,3053461,3166205,2006852,2337188,2640179,3363878,3414998,3587900,3522556,3100778,3327620,3213668,3367689,3165723
 "56000","Wyoming",7,SAINC50,16,"...","Equals: Disposable personal income","Thousands of dollars",402740,439066,484526,534320,522740,523113,515858,560278,593579,633409,645301,679205,707697,749076,772329,781764,828775,854435,869361,924365,981619,1080896,1201732,1344471,1528821,1762319,2024558,2327594,2556804,2985172,3556425,4091653,4793345,5451585,5812884,5861807,6165581,6436940,6480256,6207011,6324212,6855344,7388762,7782067,8233414,8685366,9072914,9514490,9743584,10408105,11049520,11808552,12676519,13545458,14311323,15423603,16743457,18168723,20485592,21699385,23996991,22942342,23991589,26146459,27835740,27825115,29961424,30239197,28807759,29590852,31477186,32056811,32854030
 "56000","Wyoming",7,SAINC50,20,"...","Population (persons) 1/","Number of persons",269000,277000,290000,291000,293000,290000,293000,307000,312000,314000,315000,320000,331000,337000,333000,336000,339000,332000,323000,322000,324000,329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564405,566858,575497,580930,580949,583645,581983,576248,574801,575341,577267
 "56000","Wyoming",7,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1635,1702,1792,2023,1986,2005,1935,2006,2115,2234,2257,2352,2382,2461,2580,2616,2673,2818,2967,3184,3375,3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10437,11612,12812,13066,12870,13581,14330,14387,14392,15056,16673,18147,18818,19583,20419,21034,21818,22693,24282,25755,27518,29607,31347,31854,33686,36065,39385,44492,46278,49746,44564,46649,50783,54213,53776,57749,57846,54827,57126,60353,61571,62397
 "56000","Wyoming",7,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1497,1585,1671,1836,1784,1804,1761,1825,1902,2017,2049,2123,2138,2223,2319,2327,2445,2574,2692,2871,3030,3285,3600,3954,4408,4987,5554,6118,6466,7254,8254,9055,10109,11087,11479,11486,12212,12882,13075,13014,13597,14956,16286,16945,17659,18359,18891,19611,19960,21265,22514,24012,25645,27384,28622,30636,32888,35337,39194,40569,43947,40979,42508,46125,48368,47898,51573,51811,49499,51351,54762,55718,56913
 "56000","Wyoming",7,SAINC50,60,"...","Personal current taxes","Thousands of dollars",37031,32270,35075,54304,59272,58420,51194,55591,66440,67941,65811,73279,80841,80198,86648,97116,77523,81196,88972,101040,112027,137671,146196,153070,155685,206318,278145,279797,333559,390466,477281,624434,712980,848218,803966,706287,691568,723492,650337,657323,678400,787219,844560,860288,897325,974542,1029570,1070878,1334153,1476870,1590792,1724183,1958056,1960419,1616267,1535498,1617365,2081302,2769028,3053461,3166205,2006852,2337188,2640179,3363878,3414998,3587900,3522556,3100778,3327620,3213668,3367689,3165723
 "56000","Wyoming",7,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",35543,30704,33172,51676,56193,55067,47800,51980,62877,64421,61817,68166,74824,73305,77865,88148,68617,71735,79691,87867,100629,124655,132131,138787,142270,188404,253527,254154,304540,360467,447800,592603,675856,804987,759538,660463,644242,676792,605252,612035,630779,735085,788925,814264,841625,921073,973735,1013675,1276806,1416895,1525805,1655117,1886704,1883198,1541256,1459504,1534098,1982262,2662722,2943735,3043709,1881437,2196089,2521352,3235301,3277418,3457535,3388737,2965190,3185920,3053781,3200972,2995097
 "56000","Wyoming",7,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",35543,30704,33172,51676,56193,55067,47800,51980,62877,64421,61817,68166,74824,73305,77865,88148,68617,71735,79691,87867,100629,124655,132131,138787,142270,188404,253527,254154,304540,360467,447800,592603,675856,804987,759538,660463,644242,676792,605252,612035,630779,735085,788925,814264,841625,921073,973735,1013675,1276806,1416895,1525805,1655117,1886704,1883198,1541256,1459504,1534098,1982262,2662722,2943735,3043709,1881437,2196089,2521352,3235301,3277418,3457535,3388737,2965190,3185920,3053781,3200972,2995097
 "56000","Wyoming",7,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",38712,35283,36522,55040,60479,59934,52878,57207,68354,70822,68773,75275,82342,81726,86368,97131,78754,78814,87664,98246,112935,137499,149576,159358,164310,218571,291986,318616,359078,421437,520636,669693,796110,934899,911904,838935,817845,866547,778408,757282,749383,825888,903294,929945,958522,1032605,1089422,1147709,1417320,1568983,1687897,1860712,2099248,2119355,1830762,1749949,1835622,2275929,2979426,3288546,3578064,2409718,2676481,2953111,3732453,3818205,4014409,3915668,3572278,3748749,3522448,3660528,3453312
 "56000","Wyoming",7,SAINC50,82,"...","   Less: Refunds","Thousands of dollars",3169,4579,3350,3364,4286,4867,5078,5227,5477,6401,6956,7109,7518,8421,8503,8983,10137,7079,7973,10379,12306,12844,17445,20571,22040,30167,38459,64462,54538,60970,72836,77090,120254,129912,152366,178472,173603,189755,173156,145247,118604,90803,114369,115681,116897,111532,115687,134034,140514,152088,162092,205595,212544,236157,289506,290445,301524,293667,316704,344811,534355,528281,480392,431759,497152,540787,556874,526931,607088,562829,468667,459556,458215
 "56000","Wyoming",7,SAINC50,120,"..."," State governments","Thousands of dollars",802,803,1090,1757,2127,2328,2308,2450,2434,2420,2818,3025,3667,4404,5158,5505,5798,6624,6820,11044,9590,10217,11165,11286,10508,14790,21498,22369,25929,26914,26319,28259,33131,38703,39674,40804,42160,41713,40199,39335,41404,45211,46960,37313,45826,44003,43721,44461,44332,47028,48166,51176,54044,54102,54700,53028,57101,58682,64309,66272,72817,77567,75353,73885,79225,78021,76010,78613,77751,83707,98783,102491,104552
 "56000","Wyoming",7,SAINC50,130,"...","  Income taxes","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "56000","Wyoming",7,SAINC50,150,"...","  Motor vehicle licenses","Thousands of dollars",398,380,461,499,474,527,573,629,722,721,1040,1189,1613,2030,2510,2815,3180,3768,3886,6643,5485,6511,6837,7166,7324,9620,15035,13120,17302,20145,19992,20415,21767,24325,26273,26417,27157,27295,26223,26679,28216,31692,31763,29526,25483,23674,25153,27721,26882,27986,28530,30460,32191,30878,31362,30230,30682,32069,36864,36603,40512,43455,40228,40395,44211,45493,44998,46289,44850,49409,59667,62595,62647
 "56000","Wyoming",7,SAINC50,160,"...","  Other taxes 5/","Thousands of dollars",404,423,629,1258,1653,1801,1735,1821,1712,1699,1778,1836,2054,2374,2648,2690,2618,2856,2934,4401,4105,3706,4328,4120,3184,5170,6463,9249,8627,6769,6327,7844,11364,14378,13401,14387,15003,14418,13976,12656,13188,13519,15197,7787,20343,20329,18568,16740,17450,19042,19636,20716,21853,23224,23338,22798,26419,26613,27445,29669,32305,34112,35125,33490,35014,32528,31012,32324,32901,34298,39116,39896,41905
 "56000","Wyoming",7,SAINC50,180,"..."," Local governments","Thousands of dollars",44,46,42,38,47,49,46,87,102,145,100,241,262,173,172,271,286,299,310,270,252,269,231,269,189,323,307,541,473,464,574,569,721,890,1002,977,858,1000,559,673,727,1116,2014,1460,1632,2178,5041,5067,5174,5451,6253,6588,6404,7010,7815,9761,11671,14996,15117,14509,14300,12590,14469,14028,13734,14380,16150,18046,19160,17741,18953,19600,20246
 "56000","Wyoming",7,SAINC50,190,"...","  Income taxes","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "56000","Wyoming",7,SAINC50,200,"...","  Motor vehicle licenses","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,100,224,267,609,1428,522,548,717,3186,3176,3734,3896,4430,4656,4762,5117,5694,7328,8128,10521,10956,8920,9381,9284,10362,10063,8425,8518,10475,11725,13164,11330,11098,11268,11569
 "56000","Wyoming",7,SAINC50,210,"...","  Other taxes","Thousands of dollars",44,46,42,38,47,49,46,87,102,145,100,241,262,173,172,271,286,299,310,270,252,269,231,269,189,323,307,541,473,464,574,569,721,890,1002,977,858,716,459,449,460,507,586,938,1084,1461,1855,1891,1440,1555,1823,1932,1642,1893,2121,2433,3543,4475,4161,5589,4919,3306,4107,3965,5309,5862,5675,6321,5996,6411,7855,8332,8677
 "56000","Wyoming",7,SAINC50,230,"..."," State and local personal property taxes","Thousands of dollars",642,717,771,833,905,976,1040,1074,1027,955,1076,1847,2088,2316,3453,3192,2822,2538,2151,1859,1556,2530,2669,2728,2718,2801,2813,2733,2617,2621,2588,3003,3272,3638,3752,4043,4308,3987,4327,5280,5490,5807,6661,7251,8242,7288,7073,7675,7841,7496,10568,11302,10904,16109,12496,13205,14495,25362,26880,28945,35379,35258,51277,30914,35618,45179,38205,37160,38677,40252,42151,44626,45828
"Note: See the included footnote file."
"SAINC50: Personal Current Taxes "
"Last updated: March 23, 2022— revised statistics for 2010-2020."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
