GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "20000","Kansas",4,SAINC5H,10,"...","Personal income (thousands of dollars)","Thousands of dollars",982634,866283,741599,502849,470636,537569,674328,722630,792870,705776,697127,759826,983138,1521815,1913565,2083750,2027507,2058680,2413498,2554655,2530134,2838336,3162374,3684638,3547609,3755245,3768390,3964218,4184657
 "20000","Kansas",4,SAINC5H,20,"...","Population (persons) 2/","Number of persons",1867000,1883000,1881000,1883000,1877000,1868000,1872000,1869000,1856000,1842000,1824000,1788000,1767000,1769000,1802000,1763000,1719000,1803000,1851000,1892000,1925000,1916000,1950000,1977000,1994000,2042000,2093000,2119000,2128000
 "20000","Kansas",4,SAINC5H,30,"...","Per capita personal income (dollars) 3/","Dollars",526,460,394,267,251,288,360,387,427,383,382,425,556,860,1062,1182,1179,1142,1304,1350,1314,1481,1622,1864,1779,1839,1800,1871,1966
 "20000","Kansas",4,SAINC5H,35,"..."," Total earnings","Thousands of dollars",800863,711044,588685,383090,372975,437283,565805,581036,670040,590908,577654,631238,838264,1365594,1753119,1912725,1826667,1790348,2120398,2146137,2107231,2328230,2649342,3071480,2919966,3068862,3029701,3165644,3318083
 "20000","Kansas",4,SAINC5H,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",806,772,703,716,584,597,572,560,12310,13614,13024,12670,14718,24107,38765,45332,53159,58792,47255,42911,46063,49552,60878,70312,75477,86573,96011,105410,118087
 "20000","Kansas",4,SAINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",682,664,627,595,524,538,499,531,3793,3400,3570,3938,4793,8092,16256,20755,20171,14828,15804,18192,18577,24446,29790,34129,37071,42314,46762,53197,60558
 "20000","Kansas",4,SAINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",124,108,76,121,60,59,73,29,8517,10214,9454,8732,9925,16015,22509,24577,32988,43964,31451,24719,27486,25106,31088,36183,38406,44259,49249,52213,57529
 "20000","Kansas",4,SAINC5H,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45134,51333,61116,76041,90822,106372,112704,129017,147293,160726
 "20000","Kansas",4,SAINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",800057,710272,587982,382374,372391,436686,565233,580476,657730,577294,564630,618568,823546,1341487,1714354,1867393,1773508,1731556,2073143,2148360,2112501,2339794,2664505,3091990,2950861,3094993,3062707,3207527,3360722
 "20000","Kansas",4,SAINC5H,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",158731,133275,115719,95363,78013,83502,89358,101703,112756,104788,104886,111919,129278,149555,169911,180970,189854,209897,226831,305996,311897,355820,378347,464618,456966,505679,530035,565921,597841
 "20000","Kansas",4,SAINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",23846,22736,37898,25112,20232,17381,19737,40451,22384,23694,27611,29339,30314,30773,29300,35387,64145,117227,113524,100299,105736,142722,119522,128030,139782,154573,175648,190770,226094
 "20000","Kansas",4,SAINC5H,50,"..."," Wages and salaries","Thousands of dollars",500398,465956,401078,319495,293471,331544,352693,384291,411727,390304,385354,402345,499634,775204,1076714,1185749,1117863,974247,1066575,1227778,1294588,1379069,1702158,1931109,2057850,2075654,2150795,2261227,2354019
 "20000","Kansas",4,SAINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",8716,8728,8204,7420,7212,7790,8652,9869,18469,19778,19591,20160,30084,49364,66982,71224,79724,90112,74516,77056,90992,96961,123361,149948,170514,180307,193140,207954,230061
 "20000","Kansas",4,SAINC5H,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",8592,8620,8128,7299,7152,7731,8579,9840,9952,9564,10137,11428,20159,33349,44473,46647,46736,46148,43065,52337,63506,71855,92273,113765,132108,136048,143891,155741,172532
 "20000","Kansas",4,SAINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",124,108,76,121,60,59,73,29,8517,10214,9454,8732,9925,16015,22509,24577,32988,43964,31451,24719,27486,25106,31088,36183,38406,44259,49249,52213,57529
 "20000","Kansas",4,SAINC5H,70,"..."," Proprietors' income 8/","Thousands of dollars",291749,236360,179403,56175,72292,97949,204460,186876,239844,180826,172709,208733,308546,541026,609423,655752,629080,725989,979307,841303,721651,852200,823823,990423,691602,812901,685766,696463,734003
 "20000","Kansas",4,SAINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",164991,128231,100892,9968,31953,35575,130195,96848,143539,89772,80106,104914,171430,340711,368815,416865,378000,442365,700811,517586,391058,497470,411885,550122,248100,363990,201889,197405,225996
 "20000","Kansas",4,SAINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",126758,108129,78511,46207,40339,62374,74265,90028,96305,91054,92603,103819,137116,200315,240608,238887,251080,283624,278496,323717,330593,354730,411938,440301,443502,448911,483877,499058,508007
 "20000","Kansas",4,SAINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",209440,165333,133219,32344,51308,55885,151233,118941,165558,109875,98093,124899,201386,380441,416535,465616,419890,490065,753197,569750,439892,543486,456384,597953,289066,402419,237040,229055,259967
 "20000","Kansas",4,SAINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",591423,545711,455466,350746,321667,381398,414572,462095,504482,481033,479561,506339,636878,985153,1336584,1447109,1406777,1300283,1367201,1576387,1667339,1784744,2192958,2473527,2630900,2666443,2792661,2936589,3058116
 "20000","Kansas",4,SAINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",526994,478836,388701,286125,253583,300379,324613,363893,410028,384399,382092,406226,512814,800590,1005964,1054953,1006527,1029386,1152756,1327572,1372636,1493362,1844318,2050465,2147323,2169739,2268446,2378350,2460567
