GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "22000","Louisiana",5,SAINC5H,10,"...","Personal income (thousands of dollars)","Thousands of dollars",852758,743085,669967,513103,491733,579820,644122,737538,795266,793879,838592,864552,1162525,1567872,2075726,2221010,2190475,2146784,2294129,2656359,2849777,3053298,3416721,3721162,3936954,3933666,4181624,4644139,5139763
 "22000","Louisiana",5,SAINC5H,20,"...","Population (persons) 2/","Number of persons",2086000,2105000,2124000,2155000,2178000,2202000,2228000,2246000,2257000,2285000,2334000,2370000,2500000,2541000,2560000,2479000,2413000,2540000,2579000,2596000,2634000,2697000,2769000,2842000,2866000,2883000,2946000,3032000,3115000
 "22000","Louisiana",5,SAINC5H,30,"...","Per capita personal income (dollars) 3/","Dollars",409,353,315,238,226,263,289,328,352,347,359,365,465,617,811,896,908,845,890,1023,1082,1132,1234,1309,1374,1364,1419,1532,1650
 "22000","Louisiana",5,SAINC5H,35,"..."," Total earnings","Thousands of dollars",695473,590222,513940,389366,386782,467132,529614,591851,666385,659444,696336,724043,1007408,1418157,1930339,2064334,1994087,1859786,1968965,2256245,2318805,2464073,2869712,3153299,3359087,3330988,3531718,3909132,4309749
 "22000","Louisiana",5,SAINC5H,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",817,791,751,804,706,744,766,804,14480,15713,17761,17993,23600,34439,54892,64589,74254,79783,62501,58984,62529,65190,78532,86265,85276,96042,109102,121657,144475
 "22000","Louisiana",5,SAINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",682,673,666,668,637,675,679,769,4984,4871,5074,5483,6039,10708,24833,28658,24555,18197,19017,19098,18535,24971,30044,32967,34804,41909,48375,53262,63089
 "22000","Louisiana",5,SAINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",135,118,85,136,69,69,87,35,9496,10842,12687,12510,17561,23731,30059,35931,49699,61586,43484,39886,43994,40219,48488,53298,50472,54133,60727,68395,81386
 "22000","Louisiana",5,SAINC5H,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),158,-285,-745,-1342,-2075,-3148,-3804,-4612,-6156,-8285
 "22000","Louisiana",5,SAINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",694656,589431,513189,388562,386076,466388,528848,591047,651905,643731,678575,706050,983808,1383718,1875447,1999745,1919833,1780003,1906464,2197419,2255991,2398138,2789838,3064959,3270663,3231142,3418004,3781319,4156989
 "22000","Louisiana",5,SAINC5H,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",146328,141434,127610,105568,88725,96521,99174,109633,123722,127173,134075,128619,144442,152604,169286,181516,195378,212669,229029,278129,293614,349460,367066,405964,429181,452390,484733,566674,646263
 "22000","Louisiana",5,SAINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",11774,12220,29168,18973,16932,16911,16100,36858,19639,22975,25942,29883,34275,31550,30993,39749,75264,154112,158636,180811,300172,305700,259817,250239,237110,250134,278887,296146,336511
