GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "28000","Mississippi",5,SAINC5H,10,"...","Personal income (thousands of dollars)","Thousands of dollars",552948,395955,337581,244949,257094,342577,358891,460904,458312,416971,436427,461153,690321,1006236,1246183,1360364,1330001,1281182,1410453,1655497,1481714,1697140,1872430,1981064,2009235,1952930,2203088,2245737,2272115
 "28000","Mississippi",5,SAINC5H,20,"...","Population (persons) 2/","Number of persons",1998000,2006000,1994000,2004000,2031000,2050000,2061000,2072000,2086000,2127000,2168000,2176000,2188000,2204000,2255000,2119000,2079000,2072000,2108000,2076000,2085000,2176000,2163000,2152000,2105000,2064000,2060000,2086000,2088000
 "28000","Mississippi",5,SAINC5H,30,"...","Per capita personal income (dollars) 3/","Dollars",277,197,169,122,127,167,174,222,220,196,201,212,316,457,553,642,640,618,669,797,711,780,866,921,955,946,1069,1077,1088
 "28000","Mississippi",5,SAINC5H,35,"..."," Total earnings","Thousands of dollars",488829,340205,277790,195778,213161,295954,312229,397673,411316,370968,387162,410154,633891,945829,1188912,1293891,1235186,1119245,1225342,1440905,1232317,1399415,1601327,1730705,1741385,1662616,1885165,1902146,1913253
 "28000","Mississippi",5,SAINC5H,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",545,519,472,506,392,401,402,377,5053,5579,5960,6631,9482,15399,27220,30446,40486,49424,36419,28684,27485,27216,32477,36233,39009,43631,48440,52141,64793
 "28000","Mississippi",5,SAINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",416,406,391,376,327,336,320,344,1930,1867,2035,2148,3001,5928,17047,16536,13962,10330,10469,10300,10067,13421,15901,17684,19251,21163,23618,26053,31250
 "28000","Mississippi",5,SAINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",129,113,81,130,65,65,82,33,3123,3712,3925,4483,6481,9471,10173,13910,26524,39094,25950,18384,17418,13795,16576,18549,19758,22468,24822,26088,33543
 "28000","Mississippi",5,SAINC5H,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1,346,1034,1997,3131,4398,5244,6592,8591,10890
 "28000","Mississippi",5,SAINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",488284,339686,277318,195272,212769,295553,311827,397296,406263,365389,381202,403523,624409,930430,1161692,1263445,1194700,1069821,1188923,1412222,1205178,1373233,1570847,1697603,1706774,1624229,1843317,1858596,1859350
 "28000","Mississippi",5,SAINC5H,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",55724,46560,38082,34123,31229,33118,35181,38968,40474,38953,41616,43613,49732,59397,68690,73699,83694,94031,94918,119049,137809,150788,164150,155257,175874,191268,211397,232730,233875
 "28000","Mississippi",5,SAINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",8940,9709,22181,15554,13096,13906,11883,24640,11575,12629,13609,14017,16180,16409,15801,23220,51607,117330,126612,124226,138727,173119,137433,128204,126587,137433,148374,154411,178890
