GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "35000","New Mexico",6,SAINC5H,10,"...","Personal income (thousands of dollars)","Thousands of dollars",170152,142024,125028,91852,94604,113629,139398,167597,182164,173252,186337,200268,240286,333453,427842,477725,514552,532115,597410,697936,765247,868103,1010864,1107030,1160995,1187999,1288170,1390126,1559841
 "35000","New Mexico",6,SAINC5H,20,"...","Population (persons) 2/","Number of persons",420000,427000,436000,441000,449000,461000,475000,489000,503000,513000,523000,531000,505000,508000,533000,526000,530000,562000,582000,604000,644000,689000,717000,735000,756000,763000,785000,806000,847000
 "35000","New Mexico",6,SAINC5H,30,"...","Per capita personal income (dollars) 3/","Dollars",405,333,287,208,211,246,293,343,362,338,356,377,476,656,803,908,971,947,1026,1156,1188,1260,1410,1506,1536,1557,1641,1725,1842
 "35000","New Mexico",6,SAINC5H,35,"..."," Total earnings","Thousands of dollars",147713,118410,101585,73433,77975,95049,117392,139754,158826,149798,159647,172416,208972,293329,389743,440417,471168,466714,517639,601187,656111,725411,874224,958856,994581,1020324,1104053,1205147,1350023
 "35000","New Mexico",6,SAINC5H,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",237,234,221,224,188,188,187,187,2649,2861,3352,3498,4177,5735,9265,12059,18562,23140,19400,14348,16196,16681,19696,20348,21909,24498,28289,30622,37172
 "35000","New Mexico",6,SAINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",209,209,203,195,173,173,168,179,997,896,963,1079,1265,2231,5584,7533,8395,5060,5410,4696,4783,6498,7890,8828,9573,11020,12688,13988,17353
 "35000","New Mexico",6,SAINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",28,25,18,29,15,15,19,8,1652,1965,2389,2419,2912,3504,3681,4526,10167,18080,13990,9652,11413,10183,11806,11520,12336,13478,15601,16634,19819
 "35000","New Mexico",6,SAINC5H,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2182,-4238,-3801,-8432,-10842,-12217,-16801,-19485,-22224,-24853
 "35000","New Mexico",6,SAINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",147476,118176,101364,73209,77787,94861,117205,139567,156177,146937,156295,168918,204795,287594,380478,428358,452606,443574,498239,584657,635677,704929,846096,927666,960455,979025,1056279,1152301,1287998
 "35000","New Mexico",6,SAINC5H,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",19904,20737,16593,13134,11818,13013,15955,19218,20674,20975,23520,24339,28607,39022,40033,39802,43809,53274,59369,73278,87126,103852,117021,130220,147517,148740,170053,173116,198274
 "35000","New Mexico",6,SAINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",2772,3111,7071,5509,4999,5755,6238,8812,5313,5340,6522,7011,6884,6837,7331,9565,18137,35267,39802,40001,42444,59322,47747,49144,53023,60234,61838,64709,73569
 "35000","New Mexico",6,SAINC5H,50,"..."," Wages and salaries","Thousands of dollars",88299,81841,70680,58401,57300,68365,76815,92332,103214,103273,105558,112383,131171,183959,262632,301994,329542,291385,323963,400447,432896,495204,587090,688688,747995,752468,830147,919780,1013520
 "35000","New Mexico",6,SAINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",2092,2223,2202,2023,1905,2069,2591,2617,4446,4827,5472,6048,7990,17692,22905,23988,30357,35884,33045,32655,38916,47775,57048,70220,76388,78224,85934,92341,106763
 "35000","New Mexico",6,SAINC5H,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",2064,2198,2184,1994,1890,2054,2572,2609,2794,2862,3083,3629,5078,14188,19224,19462,20190,17804,19055,23003,27503,37592,45242,58700,64052,64746,70333,75707,86944
