GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "97000","Rocky Mountain",7,SAINC5H,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1597234,1468116,1173664,927532,886193,1042608,1254337,1462332,1471263,1441158,1495314,1592184,1946432,2720397,3323435,3312118,3481714,3818523,4292242,4793304,4809615,5379440,6207254,6584733,6625161,6700818,7286757,7938937,8559969
 "97000","Rocky Mountain",7,SAINC5H,20,"...","Population (persons) 2/","Number of persons",2710000,2761000,2792000,2812000,2826000,2848000,2872000,2906000,2937000,2958000,2987000,3012000,2969000,2966000,3006000,2965000,2916000,3110000,3180000,3278000,3382000,3494000,3508000,3571000,3672000,3760000,3890000,4030000,4113000
 "97000","Rocky Mountain",7,SAINC5H,30,"...","Per capita personal income (dollars) 3/","Dollars",589,532,420,330,314,366,437,503,501,487,501,529,656,917,1106,1117,1194,1228,1350,1462,1422,1540,1769,1844,1804,1782,1873,1970,2081
 "97000","Rocky Mountain",7,SAINC5H,35,"..."," Total earnings","Thousands of dollars",1325975,1214288,923422,724668,698948,847489,1040203,1189644,1241977,1221051,1260840,1337212,1668643,2420765,3031063,3013097,3128493,3353959,3735719,4034045,3966975,4379609,5203892,5531697,5515812,5484330,5968402,6513288,6999850
 "97000","Rocky Mountain",7,SAINC5H,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1530,1478,1386,1410,1188,1215,1194,3504,25365,27629,31309,32010,37245,53509,71393,76660,95424,142090,118545,98030,102340,104334,124035,139757,141969,160594,179802,197907,230190
 "97000","Rocky Mountain",7,SAINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1344,1315,1270,1224,1094,1121,1077,1176,8172,7623,8091,8989,10465,16804,32091,38482,38978,31452,35335,33802,33939,44328,52796,60228,63909,72246,80776,91578,107078
 "97000","Rocky Mountain",7,SAINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",186,163,116,186,94,94,117,2328,17193,20006,23218,23021,26780,36705,39302,38178,56446,110638,83210,64228,68401,60006,71239,79529,78060,88348,99026,106329,123112
 "97000","Rocky Mountain",7,SAINC5H,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-149,-459,-358,-969,-1066,-895,-1324,-1471,-1868,-1745
 "97000","Rocky Mountain",7,SAINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1324445,1212810,922036,723258,697760,846274,1039009,1186140,1216612,1193422,1229531,1305202,1631398,2367256,2959670,2936437,3033069,3211869,3617174,3935866,3864176,4274917,5078888,5390874,5372948,5322412,5787129,6313513,6767915
 "97000","Rocky Mountain",7,SAINC5H,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",246777,228028,194773,161670,146528,154746,166107,196107,198318,188079,198122,211268,237078,278293,292610,290251,313983,368096,408141,592481,666958,754897,827699,873966,921595,1018108,1099155,1197962,1309568
