GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "47000","Tennessee",5,SAINC5H,10,"...","Personal income (thousands of dollars)","Thousands of dollars",971226,841870,724912,526196,552615,674468,735058,844397,927938,840908,891075,994765,1311186,1684676,2189387,2528274,2662391,2708316,2839494,3118116,3104117,3448254,3844068,4021452,4313637,4368113,4612144,4945718,5175141
 "47000","Tennessee",5,SAINC5H,20,"...","Population (persons) 2/","Number of persons",2604000,2619000,2657000,2711000,2747000,2784000,2798000,2791000,2795000,2821000,2874000,2935000,2976000,2953000,2939000,2877000,2875000,3077000,3168000,3216000,3236000,3315000,3372000,3352000,3319000,3359000,3415000,3415000,3434000
 "47000","Tennessee",5,SAINC5H,30,"...","Per capita personal income (dollars) 3/","Dollars",373,321,273,194,201,242,263,303,332,298,310,339,441,570,745,879,926,880,896,970,959,1040,1140,1200,1300,1300,1351,1448,1507
 "47000","Tennessee",5,SAINC5H,35,"..."," Total earnings","Thousands of dollars",817807,692246,580685,420181,455623,571306,631717,711459,823682,729314,769359,863689,1165151,1525850,2020588,2336666,2429517,2358403,2442915,2735366,2663470,2897623,3352233,3524579,3786337,3779772,4012787,4306515,4473565
 "47000","Tennessee",5,SAINC5H,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",817,777,715,755,613,750,742,727,14624,15705,19265,20162,27362,37347,52624,63181,75496,95746,78613,69526,71722,78377,95124,99674,105785,123510,137019,151992,174679
 "47000","Tennessee",5,SAINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",649,630,610,586,528,665,635,684,4849,4404,4672,5305,7279,10338,19411,23221,23124,21453,23623,25615,24915,33300,40004,42772,44683,53148,59464,65377,77195
 "47000","Tennessee",5,SAINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",168,147,105,169,85,85,107,43,9775,11301,14593,14857,20083,27009,33213,39960,52372,74293,54990,43911,46807,45077,55120,56902,61102,70362,77555,86615,97484
 "47000","Tennessee",5,SAINC5H,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3321,-4290,2194,15285,17844,9837,6474,9988,-5736,-3550
 "47000","Tennessee",5,SAINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",816990,691469,579970,419426,455010,570556,630975,710732,809058,713609,750094,843527,1137789,1488503,1967964,2273485,2354021,2262657,2364302,2662519,2587458,2821440,3272394,3442749,3690389,3662736,3885756,4148787,4295336
 "47000","Tennessee",5,SAINC5H,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",136814,132067,108326,81423,76585,81425,81185,91663,96161,96853,110529,115941,138918,160261,185262,206633,215078,232718,258059,243865,276558,340585,342065,362947,400908,441898,447670,510243,556180
 "47000","Tennessee",5,SAINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",17422,18334,36616,25347,21020,22487,22898,42002,22719,30446,30452,35297,34479,35912,36161,48156,93292,212941,217133,211732,240101,286229,229609,215756,222340,263479,278718,286688,323625
 "47000","Tennessee",5,SAINC5H,50,"..."," Wages and salaries","Thousands of dollars",531513,495935,404268,312796,327658,403133,434017,491393,531012,496138,539769,599727,782832,1003087,1372728,1612063,1653526,1517702,1652431,1838560,1840111,2040332,2342551,2517906,2729096,2741379,2904947,3167120,3292758
 "47000","Tennessee",5,SAINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",7525,7498,7082,6463,6266,7773,8979,9403,19341,20815,25216,27967,49909,71493,95341,105471,119173,142626,120434,117626,128097,145471,183488,202110,216993,229957,247666,278386,310906
 "47000","Tennessee",5,SAINC5H,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",7357,7351,6977,6294,6181,7688,8872,9360,9566,9514,10623,13110,29826,44484,62128,65511,66801,68333,65444,73715,81290,100394,128368,145208,155891,159595,170111,191771,213422
 "47000","Tennessee",5,SAINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",168,147,105,169,85,85,107,43,9775,11301,14593,14857,20083,27009,33213,39960,52372,74293,54990,43911,46807,45077,55120,56902,61102,70362,77555,86615,97484
 "47000","Tennessee",5,SAINC5H,70,"..."," Proprietors' income 8/","Thousands of dollars",278769,188813,169335,100922,121699,160400,188721,210663,273329,212361,204374,235995,332410,451270,552519,619132,656818,698075,670050,779180,695262,711820,826194,804563,840248,808436,860174,861009,869901
 "47000","Tennessee",5,SAINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",171629,94288,104735,58908,77604,88938,109793,111825,168634,115685,101530,117363,157531,229399,262134,266992,302001,352875,347854,392298,309140,285593,345411,307264,303276,235904,270472,228124,202014
 "47000","Tennessee",5,SAINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",107140,94525,64600,42014,44095,71462,78928,98838,104695,96676,102844,118632,174879,221871,290385,352140,354817,345200,322196,386882,386122,426227,480783,497299,536972,572532,589702,632885,667887
 "47000","Tennessee",5,SAINC5H,81,"[01-02]"," Farm earnings","Thousands of dollars",182740,104314,112815,65008,84731,97058,119806,122863,179634,126730,113506,129340,171504,247275,283015,288888,327933,382690,381465,433944,348091,321051,382092,341266,337214,269878,304025,262483,237847
 "47000","Tennessee",5,SAINC5H,82,"..."," Nonfarm earnings","Thousands of dollars",635067,587932,467870,355173,370892,474248,511911,588596,644048,602584,655853,734349,993647,1278575,1737573,2047778,2101584,1975713,2061450,2301422,2315379,2576572,2970141,3183313,3449123,3509894,3708762,4044032,4235718
 "47000","Tennessee",5,SAINC5H,90,"...","  Private nonfarm earnings","Thousands of dollars",575563,525245,404951,294816,306216,390141,419258,482754,545250,497115,541847,603192,810732,1034240,1302081,1544099,1590518,1609592,1764010,1976236,1944588,2178630,2481960,2638696,2884856,2933552,3117403,3402556,3551921
 "47000","Tennessee",5,SAINC5H,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1318,1302,1341,2425,1053,852,1164,1185,1565,1483,1573,1596,1897,2107,2314,2710,2706,2501,3006,5264,6076,6314,7308,8356,9285,9801,10425,10874,11329
 "47000","Tennessee",5,SAINC5H,200,"B","   Mining","Thousands of dollars",12025,10660,8465,6167,6694,8080,8113,10353,13328,11907,12302,16371,21655,25588,24910,25413,24969,27095,35051,44729,35051,40206,42657,38111,35533,33923,37216,43855,38392
 "47000","Tennessee",5,SAINC5H,300,"C","   Construction","Thousands of dollars",37301,44174,19113,8936,10362,23264,16606,33084,36237,25706,29242,32686,90332,134470,202173,249648,205912,108247,133881,166562,159443,207237,257916,246736,307207,323362,272541,276367,256969
 "47000","Tennessee",5,SAINC5H,400,"D","   Manufacturing","Thousands of dollars",156287,135803,105659,74981,86658,109889,119932,139074,163759,142488,166052,186893,252503,343638,445332,519389,549016,527595,590768,665522,635320,733764,853699,929363,1052458,1020664,1138394,1242691,1295257
 "47000","Tennessee",5,SAINC5H,500,"E","   Transportation and public utilities","Thousands of dollars",84444,77526,65764,49890,47577,51404,55385,61733,69136,64988,69303,72461,86104,109317,131321,156423,160229,181617,192637,212631,207806,222347,249537,266313,278732,276558,283599,310256,323699
 "47000","Tennessee",5,SAINC5H,600,"F-G","   Wholesale and retail trade","Thousands of dollars",145190,126320,95051,64711,69397,100819,115913,126286,142676,141345,149011,169804,213954,251522,298757,336551,370445,460659,484588,511198,517768,549440,618134,661151,673900,696872,749784,819136,882149
 "47000","Tennessee",5,SAINC5H,700,"H","   Finance, insurance, and real estate","Thousands of dollars",28355,26620,22290,18965,19512,22119,23007,24778,25591,21736,23863,26074,29079,30404,34098,66315,71825,67859,73062,94110,95857,109238,119507,125818,146379,175161,167001,189744,206064
 "47000","Tennessee",5,SAINC5H,800,"I","   Services","Thousands of dollars",110643,102840,87268,68741,64963,73714,79138,86261,92958,87462,90501,97307,115208,137194,163176,187650,205416,234019,251017,276220,287267,310084,333202,362848,381362,397211,458443,509633,538062
 "47000","Tennessee",5,SAINC5H,900,"...","  Government and government enterprises","Thousands of dollars",59504,62687,62919,60357,64676,84107,92653,105842,98798,105469,114006,131157,182915,244335,435492,503679,511066,366121,297440,325186,370791,397942,488181,544617,564267,576342,591359,641476,683797
 "47000","Tennessee",5,SAINC5H,910,"...","   Federal civilian","Thousands of dollars",15953,16187,16287,15509,21046,41006,44044,63617,55051,58413,63970,78908,90993,100992,136645,136439,128201,150923,136506,132199,142534,148577,173208,188918,201188,204488,198576,206082,222100
 "47000","Tennessee",5,SAINC5H,920,"...","   Military","Thousands of dollars",703,690,488,696,526,507,649,652,752,760,1047,1165,36870,86292,237896,301627,308304,124335,50887,58615,72863,75772,129016,157441,149530,139159,142572,154710,152382
 "47000","Tennessee",5,SAINC5H,930,"...","   State and local","Thousands of dollars",42848,45810,46144,44152,43104,42594,47960,41573,42995,46296,48989,51084,55052,57051,60951,65613,74561,90863,110047,134372,155394,173593,185957,198258,213549,232695,250211,280684,309315
"Note: See the included footnote file."
"SAINC5H: Personal Income by Major Component and Earnings by Industry (Historical) 1/"
"Last updated: March 6, 2019-- revised statistics for 1929-1957."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
