GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957
 "51000","Virginia",5,SAINC5H,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1054476,938398,906863,701871,704359,801865,891242,1004348,1104088,1038134,1149706,1304535,1827842,2804481,3114916,3416813,3521204,3540330,3442159,3854096,3900425,4399030,5192675,5657679,5858450,5959973,6293265,6809251,7179373
 "51000","Virginia",5,SAINC5H,20,"...","Population (persons) 2/","Number of persons",2425000,2427000,2445000,2452000,2460000,2485000,2520000,2552000,2590000,2638000,2670000,2720000,2975000,3311000,3510000,3642000,3566000,3371000,3273000,3207000,3292000,3315000,3434000,3504000,3557000,3555000,3588000,3722000,3844000
 "51000","Virginia",5,SAINC5H,30,"...","Per capita personal income (dollars) 3/","Dollars",435,387,371,286,286,323,354,394,426,394,431,480,614,847,887,938,987,1050,1052,1202,1185,1327,1512,1615,1647,1677,1754,1829,1868
 "51000","Virginia",5,SAINC5H,35,"..."," Total earnings","Thousands of dollars",881221,769197,725716,548093,572986,658370,751031,822621,948516,891102,992318,1128907,1643458,2588751,2908945,3229852,3341104,3338436,3121212,3264350,3218505,3560766,4344444,4717999,4828373,4835006,5060046,5477705,5686840
 "51000","Virginia",5,SAINC5H,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1634,1583,1496,1501,1270,1443,1293,1376,18273,20159,23922,25146,32808,55929,81128,109776,162568,254290,157328,81449,81037,78350,94018,99569,107222,123559,137358,147488,172321
 "51000","Virginia",5,SAINC5H,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",1477,1446,1398,1343,1191,1364,1194,1336,6841,6569,6995,7575,11812,27024,55136,76143,81991,53027,42744,28537,26093,36069,43734,48870,52753,60839,66828,72729,86583
 "51000","Virginia",5,SAINC5H,38,"...","  Employer contributions for government social insurance","Thousands of dollars",157,137,98,158,79,79,99,40,11432,13590,16927,17571,20996,28905,25992,33633,80577,201263,114584,52912,54944,42281,50284,50699,54469,62720,70530,74759,85738
 "51000","Virginia",5,SAINC5H,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),129645,163538,195785,227723,278648,302493,306031,344385,382106,426589
 "51000","Virginia",5,SAINC5H,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",879587,767614,724220,546592,571716,656927,749738,821245,930243,870943,968396,1103761,1610650,2532822,2827817,3120076,3178536,3084146,2963884,3312546,3301006,3678201,4478149,4897078,5023644,5017478,5267073,5712323,5941108
 "51000","Virginia",5,SAINC5H,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",158461,153667,146748,131371,111418,124520,120749,138786,150416,139669,152507,168469,185470,239382,254161,251623,256277,294546,311486,406380,453582,495976,551119,590916,654052,739655,799571,857244,959594
 "51000","Virginia",5,SAINC5H,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",16428,17117,35895,23908,21225,20418,20755,44317,23429,27522,28803,32305,31722,32277,32938,45114,86391,161638,166789,135170,145837,224853,163407,169685,180754,202840,226621,239684,278671
 "51000","Virginia",5,SAINC5H,50,"..."," Wages and salaries","Thousands of dollars",637268,604812,551646,448043,439182,510664,558535,626549,695253,673998,754478,857397,1235745,1954252,2277938,2543935,2582319,2337246,2297094,2375589,2412795,2654306,3241549,3568803,3730121,3686394,3878543,4210585,4418506
 "51000","Virginia",5,SAINC5H,60,"..."," Supplements to wages and salaries","Thousands of dollars",21413,21972,22294,20339,19265,21611,24190,24792,38956,42002,49284,72574,137939,257039,200897,208828,254985,421077,298602,229742,243190,284274,376975,420003,445485,453307,453932,486882,543345
 "51000","Virginia",5,SAINC5H,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",21256,21835,22196,20181,19186,21532,24091,24752,27524,28412,32357,55003,116943,228134,174905,175195,174408,219814,184018,176830,188246,241993,326691,369304,391016,390587,383402,412123,457607
 "51000","Virginia",5,SAINC5H,62,"...","  Employer contributions for government social insurance","Thousands of dollars",157,137,98,158,79,79,99,40,11432,13590,16927,17571,20996,28905,25992,33633,80577,201263,114584,52912,54944,42281,50284,50699,54469,62720,70530,74759,85738
 "51000","Virginia",5,SAINC5H,70,"..."," Proprietors' income 8/","Thousands of dollars",222540,142413,151776,79711,114539,126095,168306,171280,214307,175102,188556,198936,269774,377460,430110,477089,503800,580113,525516,659019,562520,622186,725920,729193,652767,695305,727571,780238,724989
 "51000","Virginia",5,SAINC5H,71,"...","  Farm proprietors' income","Thousands of dollars",129906,64116,88400,40782,75777,70104,102992,91856,127479,87920,93147,86244,109345,165515,191012,228283,242001,285757,241708,303181,210129,234175,289437,255351,171678,204748,177369,190750,106025
 "51000","Virginia",5,SAINC5H,72,"...","  Nonfarm proprietors' income","Thousands of dollars",92634,78297,63376,38929,38762,55991,65314,79424,86828,87182,95409,112692,160429,211945,239098,248806,261799,294356,283808,355838,352391,388011,436483,473842,481089,490557,550202,589488,618964
