GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",416327815,436360727,472851789,497538688,514203187,540473560,588257449,642291218,697349656,727260678,729994125,686755798,732457478,771409454,800551723,802975701,861412339,919834894,954069719,1023131116,1087188628,1139799293,1209995921,1323436259
 "12000","Florida",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21569932,21781128
 "12000","Florida",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49020,51444,53375,56096,60761
 "12000","Florida",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",265915440,284906081,308751767,327004403,343045358,361990839,391971693,425120042,452502313,459534466,445378616,420306539,438983914,450498606,468410475,482898301,512375290,544408719,569769284,603668170,639620451,671553148,688764753,768259039
 "12000","Florida",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",29129738,30995595,33262318,35634392,37184203,39192768,42579437,46456979,50370182,51860881,51691637,49960577,50687919,46682044,48813521,56725464,59770106,62910086,65677820,69190616,73826823,78370192,82035164,92521375
 "12000","Florida",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",15506665,16546164,17688776,18938962,19847131,20883398,22636672,24840489,26870304,27964135,28062143,27264857,27615316,22563768,23345399,30705967,32638683,34717967,36511533,38853155,41864441,44623921,47102981,52996912
 "12000","Florida",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",13623073,14449431,15573542,16695430,17337072,18309370,19942765,21616490,23499878,23896746,23629494,22695720,23072603,24118276,25468122,26019497,27131423,28192119,29166287,30337461,31962382,33746271,34932183,39524463
 "12000","Florida",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1221176,1353094,1516255,1618404,1676008,1772620,1917635,2079693,2297807,2596637,2786401,2643772,2726358,2931548,3016975,3051767,3210837,3343465,3374874,3457105,3518280,3581951,3567171,3749201
 "12000","Florida",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",238006878,255263580,277005704,292988415,307537163,324570691,351309891,380742756,404429938,410270222,396473380,372989734,391022353,406748110,422613929,429224604,455816021,484842098,507466338,537934659,569311908,596764907,610296760,679486865
 "12000","Florida",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",116952011,117300428,127836432,130411821,126798364,130637594,145235305,163062160,187842368,205183939,206531857,175282774,189749011,206903563,221824885,212830992,235888472,256147818,260396581,289397399,312423913,325282322,324681735,330093664
 "12000","Florida",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",61368926,63796719,68009653,74138452,79867660,85265275,91712253,98486302,105077350,111806517,126988888,138483290,151686114,157757781,156112909,160920105,169707846,178844978,186206800,195799058,205452807,217752064,275017426,313855730
 "12000","Florida",5,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",199099985,212076660,231180254,242318487,250893670,264523997,285403426,309874331,332428236,343027610,339020649,320654389,322573479,332057251,346080504,358216215,378841977,404274497,424727152,447201335,473274937,499703492,510579224,577033504
 "12000","Florida",5,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",42184590,45210975,48084033,52645571,56945255,61050948,65494024,71150914,71553664,74577342,75960711,72399448,75485064,73664759,76125028,80385943,82030386,85895463,88602835,94821167,101560833,106097508,105167552,114272247
