GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",99070805,101467683,107310631,114917421,118229417,122169803,127758432,137935112,145645475,159411284,170869293,165876246,173800833,179073440,188760806,191497268,200293914,201363461,200190623,206203183,215111592,222059671,236327179,251709913
 "22000","Louisiana",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544800,4577075,4603574,4628228,4648811,4670563,4685605,4678606,4670052,4664558,4651203,4624047
 "22000","Louisiana",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38242,39124,41003,41376,43085,43113,42725,44074,46062,47606,50810,54435
 "22000","Louisiana",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",71525160,73947489,78158188,83629559,86662931,90118663,93004439,97077550,104023844,109747486,117828571,115724525,121588510,123470995,128705433,133494411,141316532,138941691,135253827,139108866,145600481,149080944,148640365,158879704
 "22000","Louisiana",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",7529900,7650556,7906080,8344845,8644175,8884961,9166859,9386593,10064220,10738629,11404668,11365562,11720989,10832089,11163519,13013630,13558792,13806446,13760443,14124890,14842276,15133782,15478803,16577691
 "22000","Louisiana",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",3922603,4001730,4126046,4377263,4550432,4681364,4847541,5029001,5450730,5813782,6191444,6191408,6406229,5247428,5405711,7067514,7406152,7512598,7595098,7820229,8308954,8488617,8781591,9361129
 "22000","Louisiana",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",3607297,3648826,3780034,3967582,4093743,4203597,4319318,4357592,4613490,4924847,5213224,5174154,5314760,5584661,5757808,5946116,6152640,6293848,6165345,6304661,6533322,6645165,6697212,7216562
 "22000","Louisiana",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-236281,-216713,-229986,-272042,-298715,-348643,-382581,-361124,-424187,-451983,-496665,-483958,-513834,-414136,-348201,-410620,-561419,-579397,-734257,-952352,-897287,-705949,-552828,-533382
 "22000","Louisiana",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",63758979,66080220,70022122,75012672,77720041,80885059,83454999,87329833,93535437,98556874,105927238,103875005,109353687,112224770,117193713,120070161,127196321,124555848,120759127,124031624,129860918,133241213,132608734,141768631
 "22000","Louisiana",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",18498810,18136606,19600182,19621100,19136723,19863144,20653543,22885709,26549727,34260672,34654632,29890338,29957069,31902180,35853885,34468569,36441047,36340365,36599736,37766237,38989687,40303667,39574986,39697268
