GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "28000","Mississippi",5,SAINC5N,10,"...","Personal income (thousands of dollars)","Thousands of dollars",56584717,58573067,61755376,65175887,66375044,69022294,73109867,77981568,81284366,86544398,90748398,89226649,92933243,96917993,100377212,102317393,104255478,106063990,107499466,110107234,112818083,116335836,124988200,134040519
 "28000","Mississippi",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970366,2977897,2982342,2986574,2987621,2984959,2984317,2983393,2974618,2968981,2956870,2949965
 "28000","Mississippi",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",20174,20709,21681,22845,23219,24064,25306,26835,27981,29554,30785,30157,31287,32546,33657,34259,34896,35533,36021,36907,37927,39184,42270,45438
 "28000","Mississippi",5,SAINC5N,35,"..."," Earnings by place of work","Thousands of dollars",39685848,41393847,42964350,44730363,45363131,47573728,50660703,52759164,54612183,56562506,58345935,56292861,58373278,59694441,62410000,65014164,65712784,65813760,66349241,68393947,70044411,72070898,73434197,79590106
 "28000","Mississippi",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4579182,4782857,4926115,5012801,5213514,5375431,5697919,5914163,6398930,6670899,6889340,6799149,6890766,6403696,6617230,7551224,7739269,7943647,8125034,8380630,8585273,8829263,9321618,10011309
 "28000","Mississippi",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",2398000,2516436,2590849,2653737,2767915,2861781,3021686,3187482,3494763,3677392,3803644,3757849,3816734,3115809,3207117,4162657,4302649,4423066,4569953,4741034,4920735,5037189,5328791,5700434
 "28000","Mississippi",5,SAINC5N,38,"...","  Employer contributions for government social insurance","Thousands of dollars",2181182,2266421,2335266,2359064,2445599,2513650,2676233,2726681,2904167,2993507,3085696,3041300,3074032,3287887,3410113,3388567,3436620,3520581,3555081,3639596,3664538,3792074,3992827,4310875
 "28000","Mississippi",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1187714,1286526,1477817,1540691,1583399,1666861,1777623,1895448,2112678,2268351,2409229,2365881,2427497,2648856,2850090,2989726,3048587,3177378,3217584,3312181,3507877,3553958,3536239,3957328
 "28000","Mississippi",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",36294380,37897516,39516052,41258253,41733016,43865158,46740407,48740449,50325931,52159958,53865824,51859593,53910009,55939601,58642860,60452666,61022102,61047491,61441791,63325498,64967015,66795593,67648818,73536125
 "28000","Mississippi",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",9871185,9944328,10713380,11050667,10827160,10716868,10846452,11781596,13375096,16016538,16091284,15139177,14933420,16043772,16819520,16396600,17022728,17709744,17846515,18363130,18485396,18811990,18513359,18590089
 "28000","Mississippi",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",10419152,10731223,11525944,12866967,13814868,14440268,15523008,17459523,17583339,18367902,20791290,22227879,24089814,24934620,24914832,25468127,26210648,27306755,28211160,28418606,29365672,30728253,38826023,41914305
 "28000","Mississippi",5,SAINC5N,50,"..."," Wages and salaries","Thousands of dollars",28758597,30031335,31070047,31462968,32375976,33403094,34958221,36503704,38668656,40496041,42024134,40662305,41143887,41911700,43385162,44177189,45378521,46367000,47437168,48579184,49828258,51344984,52219622,55957157
 "28000","Mississippi",5,SAINC5N,60,"..."," Supplements to wages and salaries","Thousands of dollars",6286371,6600607,6954873,7241785,7653611,8060876,8860949,9290055,9472353,9849461,10148283,10062648,10080605,10114090,10593253,10767903,11203477,11340289,11510833,11756612,12262851,12542598,12826594,13424051
 "28000","Mississippi",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",4105189,4334186,4619607,4882721,5208012,5547226,6184716,6563374,6568186,6855954,7062587,7021348,7006573,6826203,7183140,7379336,7766857,7819708,7955752,8117016,8598313,8750524,8833767,9113176
 "28000","Mississippi",5,SAINC5N,62,"...","  Employer contributions for government social insurance","Thousands of dollars",2181182,2266421,2335266,2359064,2445599,2513650,2676233,2726681,2904167,2993507,3085696,3041300,3074032,3287887,3410113,3388567,3436620,3520581,3555081,3639596,3664538,3792074,3992827,4310875
 "28000","Mississippi",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",4640880,4761905,4939430,6025610,5333544,6109758,6841533,6965405,6471174,6217004,6173518,5567908,7148786,7668651,8431585,10069072,9130786,8106471,7401240,8058151,7953302,8183316,8387981,10208898
 "28000","Mississippi",5,SAINC5N,71,"...","  Farm proprietors' income","Thousands of dollars",775986,749591,596947,1371897,430567,1026040,1594893,1570436,622312,924204,531006,638778,683342,399893,543514,2103164,1061635,710180,540426,1312851,986488,1021470,936789,1687405
 "28000","Mississippi",5,SAINC5N,72,"...","  Nonfarm proprietors' income","Thousands of dollars",3864894,4012314,4342483,4653713,4902977,5083718,5246640,5394969,5848862,5292800,5642512,4929130,6465444,7268758,7888071,7965908,8069151,7396291,6860814,6745300,6966814,7161846,7451192,8521493
 "28000","Mississippi",5,SAINC5N,81,"111-112"," Farm earnings","Thousands of dollars",966554,945895,791897,1583285,639114,1181711,1800900,1753649,816256,1151356,742172,847114,892263,580828,814983,2308077,1360597,948218,733029,1509351,1182333,1169372,1076852,1836183
 "28000","Mississippi",5,SAINC5N,82,"..."," Nonfarm earnings","Thousands of dollars",38719294,40447952,42172453,43147078,44724017,46392017,48859803,51005515,53795927,55411150,57603763,55445747,57481015,59113613,61595017,62706087,64352187,64865542,65616212,66884596,68862078,70901526,72357345,77753923
 "28000","Mississippi",5,SAINC5N,90,"113-814","  Private nonfarm earnings","Thousands of dollars",30656669,31892931,33125670,33753305,34749000,35590519,37463275,39103283,41524053,42497607,43984304,41460010,43326391,44951793,47385362,48234790,49636111,49900434,50245355,51284664,53084470,54634339,55751269,60852013
 "28000","Mississippi",5,SAINC5N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",366341,364304,392788,404836,374471,403404,440973,424806,373267,323846,319105,309410,393441,389447,442838,438039,472415,521903,547217,567249,613126,566415,585289,667463
 "28000","Mississippi",5,SAINC5N,101,"113","    Forestry and logging","Thousands of dollars",227381,220618,238947,231748,209272,251551,285384,271097,210431,161156,152710,149466,180390,164800,180723,183773,205145,236703,266782,294217,320579,304556,312191,(NA)
 "28000","Mississippi",5,SAINC5N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",(T),(T),(T),2147,2214,2452,2913,3246,3747,2190,2493,2388,34057,29790,40576,26032,30851,31914,26950,18162,31510,24578,27621,(NA)
 "28000","Mississippi",5,SAINC5N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",136439,141070,151668,170941,162985,149401,152676,150463,159089,160500,163902,157556,178994,194857,221539,228234,236419,253286,253485,254870,261037,237281,245477,(NA)
 "28000","Mississippi",5,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",398232,351316,365592,487929,466555,514618,539546,765961,955706,839354,1804520,1110622,1324269,1522719,1448705,1610802,1625727,895349,570054,567304,566443,551622,485353,549670
 "28000","Mississippi",5,SAINC5N,201,"211","    Oil and gas extraction","Thousands of dollars",202656,183864,188440,268311,278305,319686,326399,539519,642377,485727,1400383,787042,989437,1122992,1016443,1183359,1181579,565476,341411,286067,243952,222228,214928,(NA)
 "28000","Mississippi",5,SAINC5N,202,"212","    Mining (except oil and gas)","Thousands of dollars",42033,43630,45608,45988,46477,50560,48613,45970,46353,42996,43366,39884,43270,44542,47442,51285,51613,56925,63469,69316,71929,74371,69881,(NA)
 "28000","Mississippi",5,SAINC5N,203,"213","    Support activities for mining","Thousands of dollars",153543,123822,131544,173630,141773,144372,164534,180472,266976,310631,360771,283696,291562,355185,384820,376158,392535,272948,165174,211921,250562,255023,200544,(NA)
 "28000","Mississippi",5,SAINC5N,300,"22","   Utilities","Thousands of dollars",382856,388995,413106,519849,560459,567351,631835,648020,667391,664374,705814,707210,729267,734498,731520,771931,795091,825417,886724,893114,920752,937337,1048384,1023500
 "28000","Mississippi",5,SAINC5N,400,"23","   Construction","Thousands of dollars",2375275,2510314,2622303,2592965,2797791,2788840,2885283,3226750,3864992,3981148,4244589,3854642,3932145,4051758,4292233,4387469,4288848,4020508,3907648,3890663,3988895,4159917,4338090,4791020
 "28000","Mississippi",5,SAINC5N,401,"236","    Construction of buildings","Thousands of dollars",744214,741527,804777,731321,809326,816506,773905,850339,1051301,1075190,1213289,1208652,1189877,1290873,1480305,1377545,1194037,1054749,962646,905085,916216,961509,988151,(NA)
 "28000","Mississippi",5,SAINC5N,402,"237","    Heavy and civil engineering construction","Thousands of dollars",380991,388014,393171,433288,516874,433182,433271,500230,581609,682586,900847,691375,684372,680751,724567,795972,776423,738225,746207,780351,827448,845515,926008,(NA)
 "28000","Mississippi",5,SAINC5N,403,"238","    Specialty trade contractors","Thousands of dollars",1250070,1380773,1424355,1428356,1471591,1539152,1678107,1876181,2232082,2223372,2130453,1954615,2057896,2080134,2087361,2213952,2318388,2227534,2198795,2205227,2245231,2352893,2423931,(NA)
